STE_NAME16	Year	CountryOfBirth	Sex	persons
New South Wales	2006		F	367292
New South Wales	2006		M	376617
New South Wales	2006	AUS	F	2296372
New South Wales	2006	AUS	M	2224780
New South Wales	2006	CAN	F	5424
New South Wales	2006	CAN	M	4782
New South Wales	2006	CHN	F	62544
New South Wales	2006	CHN	M	51497
New South Wales	2006	DEU	F	16325
New South Wales	2006	DEU	M	14736
New South Wales	2006	EGY	F	8366
New South Wales	2006	EGY	M	8826
New South Wales	2006	FJI	F	15241
New South Wales	2006	FJI	M	13361
New South Wales	2006	GBR	F	130277
New South Wales	2006	GBR	M	135572
New South Wales	2006	GRC	F	17759
New South Wales	2006	GRC	M	17296
New South Wales	2006	HKG	F	20231
New South Wales	2006	HKG	M	18117
New South Wales	2006	HRV	F	9018
New South Wales	2006	HRV	M	9444
New South Wales	2006	IDN	F	12033
New South Wales	2006	IDN	M	9848
New South Wales	2006	IND	F	25746
New South Wales	2006	IND	M	31415
New South Wales	2006	IRL	F	8059
New South Wales	2006	IRL	M	9213
New South Wales	2006	IRN	F	5742
New South Wales	2006	IRN	M	6196
New South Wales	2006	IRQ	F	9886
New South Wales	2006	IRQ	M	10648
New South Wales	2006	ITA	F	26202
New South Wales	2006	ITA	M	28973
New South Wales	2006	JPN	F	7322
New South Wales	2006	JPN	M	3837
New South Wales	2006	KOR	F	17908
New South Wales	2006	KOR	M	15315
New South Wales	2006	LBN	F	26845
New South Wales	2006	LBN	M	28932
New South Wales	2006	LKA	F	9607
New South Wales	2006	LKA	M	9478
New South Wales	2006	MKD	F	8708
New South Wales	2006	MKD	M	8971
New South Wales	2006	MLT	F	8268
New South Wales	2006	MLT	M	8709
New South Wales	2006	MYS	F	12736
New South Wales	2006	MYS	M	10664
New South Wales	2006	NLD	F	9099
New South Wales	2006	NLD	M	9722
New South Wales	2006	NZL	F	53131
New South Wales	2006	NZL	M	53485
New South Wales	2006	PAK	F	3824
New South Wales	2006	PAK	M	4817
New South Wales	2006	PHL	F	35252
New South Wales	2006	PHL	M	22470
New South Wales	2006	POL	F	8350
New South Wales	2006	POL	M	6872
New South Wales	2006	SGP	F	5254
New South Wales	2006	SGP	M	4422
New South Wales	2006	THA	F	7908
New South Wales	2006	THA	M	4377
New South Wales	2006	TUR	F	6073
New South Wales	2006	TUR	M	6392
New South Wales	2006	USA	F	10979
New South Wales	2006	USA	M	10769
New South Wales	2006	VNM	F	33964
New South Wales	2006	VNM	M	29826
New South Wales	2006	ZAF	F	16853
New South Wales	2006	ZAF	M	16099
New South Wales	2006	ZWE	F	2132
New South Wales	2006	ZWE	M	1984
New South Wales	2011		F	348172
New South Wales	2011		M	358350
New South Wales	2011	AUS	F	2407240
New South Wales	2011	AUS	M	2340131
New South Wales	2011	CAN	F	6402
New South Wales	2011	CAN	M	5540
New South Wales	2011	CHN	F	86736
New South Wales	2011	CHN	M	69299
New South Wales	2011	DEU	F	16429
New South Wales	2011	DEU	M	14653
New South Wales	2011	EGY	F	8766
New South Wales	2011	EGY	M	9639
New South Wales	2011	FJI	F	17331
New South Wales	2011	FJI	M	14975
New South Wales	2011	GBR	F	133993
New South Wales	2011	GBR	M	140832
New South Wales	2011	GRC	F	16238
New South Wales	2011	GRC	M	15311
New South Wales	2011	HKG	F	20378
New South Wales	2011	HKG	M	18189
New South Wales	2011	HRV	F	8808
New South Wales	2011	HRV	M	8891
New South Wales	2011	IDN	F	14668
New South Wales	2011	IDN	M	12159
New South Wales	2011	IND	F	43411
New South Wales	2011	IND	M	51975
New South Wales	2011	IRL	F	10004
New South Wales	2011	IRL	M	11920
New South Wales	2011	IRN	F	7493
New South Wales	2011	IRN	M	7976
