STE_NAME16	Year	SpeaksEnglishOnly	persons
New South Wales	2006	0	1314554
New South Wales	2006	1	4846669
New South Wales	2011	0	1554332
New South Wales	2011	1	5013345
New South Wales	2016	0	1882015
New South Wales	2016	1	5126633
Victoria	2006	0	1007437
Victoria	2006	1	3668284
Victoria	2011	0	1235435
Victoria	2011	1	3874861
Victoria	2016	0	1538835
Victoria	2016	1	4026811
Queensland	2006	0	303098
Queensland	2006	1	3371683
Queensland	2011	0	423839
Queensland	2011	1	3675958
Queensland	2016	0	557690
Queensland	2016	1	3820632
South Australia	2006	0	184517
South Australia	2006	1	1262778
South Australia	2011	0	229550
South Australia	2011	1	1303066
South Australia	2016	0	274115
South Australia	2016	1	1311533
Western Australia	2006	0	226833
Western Australia	2006	1	1603043
Western Australia	2011	0	325055
Western Australia	2011	1	1775951
Western Australia	2016	0	435339
Western Australia	2016	1	1861041
Tasmania	2006	0	16681
Tasmania	2006	1	438166
Tasmania	2011	0	22149
Tasmania	2011	1	454119
Tasmania	2016	0	27294
Tasmania	2016	1	450411
Northern Territory	2006	0	44722
Northern Territory	2006	1	127282
Northern Territory	2011	0	56680
Northern Territory	2011	1	133015
Northern Territory	2016	0	67559
Northern Territory	2016	1	132634
Australian Capital Territory	2006	0	47164
Australian Capital Territory	2006	1	262450
Australian Capital Territory	2011	0	64668
Australian Capital Territory	2011	1	278042
Australian Capital Territory	2016	0	86669
Australian Capital Territory	2016	1	288986
Other Territories	2006	0	1201
Other Territories	2006	1	972
Other Territories	2011	0	1222
Other Territories	2011	1	945
Other Territories	2016	0	2129
Other Territories	2016	1	1732
