STE_NAME16	Year	NonSchoolQualification	Sex	persons
New South Wales	2006		F	2343807
New South Wales	2006		M	2070698
New South Wales	2006	Certificate nfd	F	66597
New South Wales	2006	Certificate nfd	M	34152
New South Wales	2006	Certificate I and II Level	F	43276
New South Wales	2006	Certificate I and II Level	M	20741
New South Wales	2006	Certificate III and IV Level	F	184157
New South Wales	2006	Certificate III and IV Level	M	534320
New South Wales	2006	Advanced Diploma and Diploma	F	227797
New South Wales	2006	Advanced Diploma and Diploma	M	159856
New South Wales	2006	Bachelor	F	343088
New South Wales	2006	Bachelor	M	291940
New South Wales	2006	Graduate Diploma and Graduate Certificate	F	41329
New South Wales	2006	Graduate Diploma and Graduate Certificate	M	24503
New South Wales	2006	Postgraduate	F	70675
New South Wales	2006	Postgraduate	M	92241
New South Wales	2011		F	2290252
New South Wales	2011		M	2069845
New South Wales	2011	Certificate nfd	F	65149
New South Wales	2011	Certificate nfd	M	32805
New South Wales	2011	Certificate I and II Level	F	46185
New South Wales	2011	Certificate I and II Level	M	22783
New South Wales	2011	Certificate III and IV Level	F	243504
New South Wales	2011	Certificate III and IV Level	M	576279
New South Wales	2011	Advanced Diploma and Diploma	F	267669
New South Wales	2011	Advanced Diploma and Diploma	M	194390
New South Wales	2011	Bachelor	F	433551
New South Wales	2011	Bachelor	M	353785
New South Wales	2011	Graduate Diploma and Graduate Certificate	F	51453
New South Wales	2011	Graduate Diploma and Graduate Certificate	M	31164
New South Wales	2011	Postgraduate	F	111019
New South Wales	2011	Postgraduate	M	127829
New South Wales	2016		F	2279747
New South Wales	2016		M	2131673
New South Wales	2016	Certificate nfd	F	85464
New South Wales	2016	Certificate nfd	M	49518
New South Wales	2016	Certificate I and II Level	F	44517
New South Wales	2016	Certificate I and II Level	M	22406
New South Wales	2016	Certificate III and IV Level	F	287068
New South Wales	2016	Certificate III and IV Level	M	611985
New South Wales	2016	Advanced Diploma and Diploma	F	318103
New South Wales	2016	Advanced Diploma and Diploma	M	225035
New South Wales	2016	Bachelor	F	543936
New South Wales	2016	Bachelor	M	432949
New South Wales	2016	Graduate Diploma and Graduate Certificate	F	64998
New South Wales	2016	Graduate Diploma and Graduate Certificate	M	38346
New South Wales	2016	Postgraduate	F	170384
New South Wales	2016	Postgraduate	M	174102
Victoria	2006		F	1782324
Victoria	2006		M	1565354
Victoria	2006	Certificate nfd	F	36447
Victoria	2006	Certificate nfd	M	19919
Victoria	2006	Certificate I and II Level	F	25146
Victoria	2006	Certificate I and II Level	M	12413
Victoria	2006	Certificate III and IV Level	F	133900
Victoria	2006	Certificate III and IV Level	M	382590
