STE_NAME16	Year	IndustryOfEmployment	Sex	workers
New South Wales	2006		F	31280
New South Wales	2006		M	45912
New South Wales	2006	Accommodation and food services	F	104022
New South Wales	2006	Accommodation and food services	M	86433
New South Wales	2006	Administrative and support services	F	47261
New South Wales	2006	Administrative and support services	M	43168
New South Wales	2006	Agriculture forestry and fishing	F	23128
New South Wales	2006	Agriculture forestry and fishing	M	55533
New South Wales	2006	Arts and recreation services	F	18268
New South Wales	2006	Arts and recreation services	M	21313
New South Wales	2006	Construction	F	28731
New South Wales	2006	Construction	M	184000
New South Wales	2006	Education and training	F	152427
New South Wales	2006	Education and training	M	67248
New South Wales	2006	Electricity gas water and waste services	F	6108
New South Wales	2006	Electricity gas water and waste services	M	23081
New South Wales	2006	Financial and insurance services	F	76615
New South Wales	2006	Financial and insurance services	M	68254
New South Wales	2006	Health care and social assistance	F	236486
New South Wales	2006	Health care and social assistance	M	67859
New South Wales	2006	Information media and telecommunications	F	28858
New South Wales	2006	Information media and telecommunications	M	40119
New South Wales	2006	Manufacturing	F	75552
New South Wales	2006	Manufacturing	M	202437
New South Wales	2006	Mining	F	1992
New South Wales	2006	Mining	M	18324
New South Wales	2006	Other services	F	46919
New South Wales	2006	Other services	M	63175
New South Wales	2006	Professional scientific and technical services	F	97750
New South Wales	2006	Professional scientific and technical services	M	115503
New South Wales	2006	Public administration and safety	F	71291
New South Wales	2006	Public administration and safety	M	103620
New South Wales	2006	Rental hiring and real estate services	F	25226
New South Wales	2006	Rental hiring and real estate services	M	25358
New South Wales	2006	Retail trade	F	183872
New South Wales	2006	Retail trade	M	140059
New South Wales	2006	Transport postal and warehousing	F	33616
New South Wales	2006	Transport postal and warehousing	M	111897
New South Wales	2006	Wholesale trade	F	49591
New South Wales	2006	Wholesale trade	M	87167
New South Wales	2011		F	32106
New South Wales	2011		M	45351
New South Wales	2011	Accommodation and food services	F	113788
New South Wales	2011	Accommodation and food services	M	96589
New South Wales	2011	Administrative and support services	F	52428
New South Wales	2011	Administrative and support services	M	49929
New South Wales	2011	Agriculture forestry and fishing	F	20234
New South Wales	2011	Agriculture forestry and fishing	M	49343
New South Wales	2011	Arts and recreation services	F	21388
New South Wales	2011	Arts and recreation services	M	24943
New South Wales	2011	Construction	F	30045
New South Wales	2011	Construction	M	200015
New South Wales	2011	Education and training	F	173020
New South Wales	2011	Education and training	M	75931
New South Wales	2011	Electricity gas water and waste services	F	7256
New South Wales	2011	Electricity gas water and waste services	M	26946
New South Wales	2011	Financial and insurance services	F	81312
New South Wales	2011	Financial and insurance services	M	77104
New South Wales	2011	Health care and social assistance	F	285191
New South Wales	2011	Health care and social assistance	M	79129
New South Wales	2011	Information media and telecommunications	F	30339
New South Wales	2011	Information media and telecommunications	M	42154
New South Wales	2011	Manufacturing	F	72647
New South Wales	2011	Manufacturing	M	192217
New South Wales	2011	Mining	F	3568
New South Wales	2011	Mining	M	27617
New South Wales	2011	Other services	F	50786
New South Wales	2011	Other services	M	66826
New South Wales	2011	Professional scientific and technical services	F	111602
New South Wales	2011	Professional scientific and technical services	M	135694
New South Wales	2011	Public administration and safety	F	81748
New South Wales	2011	Public administration and safety	M	110886
New South Wales	2011	Rental hiring and real estate services	F	25731
New South Wales	2011	Rental hiring and real estate services	M	25824
New South Wales	2011	Retail trade	F	185222
New South Wales	2011	Retail trade	M	139506
New South Wales	2011	Transport postal and warehousing	F	35169
New South Wales	2011	Transport postal and warehousing	M	119858
New South Wales	2011	Wholesale trade	F	50335
New South Wales	2011	Wholesale trade	M	88553
New South Wales	2016		F	60817
New South Wales	2016		M	98294
New South Wales	2016	Accommodation and food services	F	127288
New South Wales	2016	Accommodation and food services	M	111927
New South Wales	2016	Administrative and support services	F	61858
New South Wales	2016	Administrative and support services	M	55623
New South Wales	2016	Agriculture forestry and fishing	F	21620
New South Wales	2016	Agriculture forestry and fishing	M	51007
New South Wales	2016	Arts and recreation services	F	23954
New South Wales	2016	Arts and recreation services	M	27826
New South Wales	2016	Construction	F	36769
New South Wales	2016	Construction	M	245725
New South Wales	2016	Education and training	F	200508
New South Wales	2016	Education and training	M	82060
New South Wales	2016	Electricity gas water and waste services	F	6536
New South Wales	2016	Electricity gas water and waste services	M	25339
New South Wales	2016	Financial and insurance services	F	82434
New South Wales	2016	Financial and insurance services	M	84829
New South Wales	2016	Health care and social assistance	F	328016
New South Wales	2016	Health care and social assistance	M	94176
New South Wales	2016	Information media and telecommunications	F	29480
New South Wales	2016	Information media and telecommunications	M	43914
New South Wales	2016	Manufacturing	F	58273
New South Wales	2016	Manufacturing	M	139060
New South Wales	2016	Mining	F	3869
New South Wales	2016	Mining	M	27861
New South Wales	2016	Other services	F	56746
New South Wales	2016	Other services	M	67732
New South Wales	2016	Professional scientific and technical services	F	124071
New South Wales	2016	Professional scientific and technical services	M	150003
New South Wales	2016	Public administration and safety	F	90925
New South Wales	2016	Public administration and safety	M	113251
New South Wales	2016	Rental hiring and real estate services	F	29651
New South Wales	2016	Rental hiring and real estate services	M	30001
New South Wales	2016	Retail trade	F	183611
New South Wales	2016	Retail trade	M	142784
New South Wales	2016	Transport postal and warehousing	F	36936
New South Wales	2016	Transport postal and warehousing	M	121826
New South Wales	2016	Wholesale trade	F	37925
New South Wales	2016	Wholesale trade	M	65797
Victoria	2006		F	24727
Victoria	2006		M	34702
Victoria	2006	Accommodation and food services	F	74021
Victoria	2006	Accommodation and food services	M	57819
Victoria	2006	Administrative and support services	F	37988
Victoria	2006	Administrative and support services	M	36936
Victoria	2006	Agriculture forestry and fishing	F	20160
Victoria	2006	Agriculture forestry and fishing	M	43549
Victoria	2006	Arts and recreation services	F	16852
Victoria	2006	Arts and recreation services	M	18801
Victoria	2006	Construction	F	21584
Victoria	2006	Construction	M	149879
Victoria	2006	Education and training	F	119948
Victoria	2006	Education and training	M	54479
Victoria	2006	Electricity gas water and waste services	F	4932
Victoria	2006	Electricity gas water and waste services	M	15086
Victoria	2006	Financial and insurance services	F	47619
Victoria	2006	Financial and insurance services	M	44679
Victoria	2006	Health care and social assistance	F	188088
Victoria	2006	Health care and social assistance	M	48463
Victoria	2006	Information media and telecommunications	F	21078
Victoria	2006	Information media and telecommunications	M	28856
Victoria	2006	Manufacturing	F	78935
Victoria	2006	Manufacturing	M	208169
Victoria	2006	Mining	F	1055
Victoria	2006	Mining	M	5228
Victoria	2006	Other services	F	35388
Victoria	2006	Other services	M	46254
Victoria	2006	Professional scientific and technical services	F	72511
Victoria	2006	Professional scientific and technical services	M	89103
Victoria	2006	Public administration and safety	F	55633
Victoria	2006	Public administration and safety	M	61342
Victoria	2006	Rental hiring and real estate services	F	14989
Victoria	2006	Rental hiring and real estate services	M	15790
Victoria	2006	Retail trade	F	149504
Victoria	2006	Retail trade	M	113945
Victoria	2006	Transport postal and warehousing	F	23957
