STE_NAME16	Year	BornAust	persons
New South Wales	2006	0	1555842
New South Wales	2006	1	4521157
New South Wales	2011	0	1778545
New South Wales	2011	1	4747374
New South Wales	2016	0	2072454
New South Wales	2016	1	4899202
Victoria	2006	0	1173202
Victoria	2006	1	3434472
Victoria	2011	0	1405337
Victoria	2011	1	3670934
Victoria	2016	0	1680256
Victoria	2016	1	3845510
Queensland	2006	0	699449
Queensland	2006	1	2935258
Queensland	2011	0	888634
Queensland	2011	1	3192114
Queensland	2016	0	1015875
Queensland	2016	1	3343819
South Australia	2006	0	307676
South Australia	2006	1	1120083
South Australia	2011	0	352998
South Australia	2011	1	1170789
South Australia	2016	0	384097
South Australia	2016	1	1192551
Western Australia	2006	0	531747
Western Australia	2006	1	1279222
Western Australia	2011	0	688220
Western Australia	2011	1	1407808
Western Australia	2016	0	797695
Western Australia	2016	1	1492859
Tasmania	2006	0	50539
Tasmania	2006	1	396659
Tasmania	2011	0	57653
Tasmania	2011	1	414260
Tasmania	2016	0	61240
Tasmania	2016	1	411492
Northern Territory	2006	0	26539
Northern Territory	2006	1	148169
Northern Territory	2011	0	35177
Northern Territory	2011	1	158033
Northern Territory	2016	0	45403
Northern Territory	2016	1	157533
Australian Capital Territory	2006	0	70366
Australian Capital Territory	2006	1	236459
Australian Capital Territory	2011	0	86324
Australian Capital Territory	2011	1	255052
Australian Capital Territory	2016	0	105161
Australian Capital Territory	2016	1	270037
Other Territories	2006	0	671
Other Territories	2006	1	1475
Other Territories	2011	0	1265
Other Territories	2011	1	1475
Other Territories	2016	0	1480
Other Territories	2016	1	2535
