STE_NAME16	Year	Age	FOE	Sex	adults
New South Wales	2006	15-19	Agriculture environmental and related studies	F	317
New South Wales	2006	15-19	Agriculture environmental and related studies	M	576
New South Wales	2006	15-19	Architecture and building	F	65
New South Wales	2006	15-19	Architecture and building	M	1521
New South Wales	2006	15-19	Creative arts	F	694
New South Wales	2006	15-19	Creative arts	M	562
New South Wales	2006	15-19	Education	F	243
New South Wales	2006	15-19	Education	M	105
New South Wales	2006	15-19	Engineering and related technologies	F	180
New South Wales	2006	15-19	Engineering and related technologies	M	2757
New South Wales	2006	15-19	Field of study inadequately described	F	239
New South Wales	2006	15-19	Field of study inadequately described	M	263
New South Wales	2006	15-19	Field of study not stated	F	25486
New South Wales	2006	15-19	Field of study not stated	M	28924
New South Wales	2006	15-19	Food hospitality and personal services	F	3687
New South Wales	2006	15-19	Food hospitality and personal services	M	1106
New South Wales	2006	15-19	Health	F	741
New South Wales	2006	15-19	Health	M	255
New South Wales	2006	15-19	Information technology	F	294
New South Wales	2006	15-19	Information technology	M	1021
New South Wales	2006	15-19	Management and commerce	F	5211
New South Wales	2006	15-19	Management and commerce	M	1750
New South Wales	2006	15-19	Mixed field programmes	F	224
New South Wales	2006	15-19	Mixed field programmes	M	233
New South Wales	2006	15-19	Natural and physical sciences	F	94
New South Wales	2006	15-19	Natural and physical sciences	M	96
New South Wales	2006	15-19	Society and culture	F	1872
New South Wales	2006	15-19	Society and culture	M	630
New South Wales	2006	20-24	Agriculture environmental and related studies	F	1485
New South Wales	2006	20-24	Agriculture environmental and related studies	M	3140
New South Wales	2006	20-24	Architecture and building	F	958
New South Wales	2006	20-24	Architecture and building	M	9244
New South Wales	2006	20-24	Creative arts	F	7726
New South Wales	2006	20-24	Creative arts	M	4943
New South Wales	2006	20-24	Education	F	5509
New South Wales	2006	20-24	Education	M	1140
New South Wales	2006	20-24	Engineering and related technologies	F	1560
New South Wales	2006	20-24	Engineering and related technologies	M	19077
New South Wales	2006	20-24	Field of study inadequately described	F	1262
New South Wales	2006	20-24	Field of study inadequately described	M	1181
New South Wales	2006	20-24	Field of study not stated	F	19727
New South Wales	2006	20-24	Field of study not stated	M	26203
New South Wales	2006	20-24	Food hospitality and personal services	F	11225
New South Wales	2006	20-24	Food hospitality and personal services	M	5222
New South Wales	2006	20-24	Health	F	9021
New South Wales	2006	20-24	Health	M	2041
New South Wales	2006	20-24	Information technology	F	2597
New South Wales	2006	20-24	Information technology	M	9448
New South Wales	2006	20-24	Management and commerce	F	33121
New South Wales	2006	20-24	Management and commerce	M	16878
New South Wales	2006	20-24	Mixed field programmes	F	356
New South Wales	2006	20-24	Mixed field programmes	M	326
New South Wales	2006	20-24	Natural and physical sciences	F	3136
New South Wales	2006	20-24	Natural and physical sciences	M	2123
New South Wales	2006	20-24	Society and culture	F	14969
New South Wales	2006	20-24	Society and culture	M	5615
New South Wales	2006	25-34	Agriculture environmental and related studies	F	4373
New South Wales	2006	25-34	Agriculture environmental and related studies	M	9083
New South Wales	2006	25-34	Architecture and building	F	3215
New South Wales	2006	25-34	Architecture and building	M	29141
New South Wales	2006	25-34	Creative arts	F	18342
New South Wales	2006	25-34	Creative arts	M	11019
New South Wales	2006	25-34	Education	F	27334
New South Wales	2006	25-34	Education	M	6738
New South Wales	2006	25-34	Engineering and related technologies	F	6178
New South Wales	2006	25-34	Engineering and related technologies	M	69795
New South Wales	2006	25-34	Field of study inadequately described	F	4048
New South Wales	2006	25-34	Field of study inadequately described	M	3378
New South Wales	2006	25-34	Field of study not stated	F	39927
New South Wales	2006	25-34	Field of study not stated	M	49771
New South Wales	2006	25-34	Food hospitality and personal services	F	21136
New South Wales	2006	25-34	Food hospitality and personal services	M	12466
New South Wales	2006	25-34	Health	F	33202
New South Wales	2006	25-34	Health	M	9934
New South Wales	2006	25-34	Information technology	F	8367
New South Wales	2006	25-34	Information technology	M	22949
New South Wales	2006	25-34	Management and commerce	F	88821
New South Wales	2006	25-34	Management and commerce	M	48720
New South Wales	2006	25-34	Mixed field programmes	F	255
New South Wales	2006	25-34	Mixed field programmes	M	242
New South Wales	2006	25-34	Natural and physical sciences	F	9968
New South Wales	2006	25-34	Natural and physical sciences	M	7816
New South Wales	2006	25-34	Society and culture	F	43536
New South Wales	2006	25-34	Society and culture	M	20873
New South Wales	2006	35-44	Agriculture environmental and related studies	F	3633
New South Wales	2006	35-44	Agriculture environmental and related studies	M	9685
New South Wales	2006	35-44	Architecture and building	F	2890
New South Wales	2006	35-44	Architecture and building	M	32349
New South Wales	2006	35-44	Creative arts	F	13355
New South Wales	2006	35-44	Creative arts	M	7617
New South Wales	2006	35-44	Education	F	31027
New South Wales	2006	35-44	Education	M	9057
New South Wales	2006	35-44	Engineering and related technologies	F	7757
New South Wales	2006	35-44	Engineering and related technologies	M	91831
New South Wales	2006	35-44	Field of study inadequately described	F	4003
New South Wales	2006	35-44	Field of study inadequately described	M	3883
New South Wales	2006	35-44	Field of study not stated	F	41953
New South Wales	2006	35-44	Field of study not stated	M	48286
New South Wales	2006	35-44	Food hospitality and personal services	F	17131
New South Wales	2006	35-44	Food hospitality and personal services	M	10544
New South Wales	2006	35-44	Health	F	40366
New South Wales	2006	35-44	Health	M	11734
New South Wales	2006	35-44	Information technology	F	6881
New South Wales	2006	35-44	Information technology	M	13960
New South Wales	2006	35-44	Management and commerce	F	78768
New South Wales	2006	35-44	Management and commerce	M	48609
New South Wales	2006	35-44	Mixed field programmes	F	397
New South Wales	2006	35-44	Mixed field programmes	M	254
New South Wales	2006	35-44	Natural and physical sciences	F	9179
New South Wales	2006	35-44	Natural and physical sciences	M	9055
New South Wales	2006	35-44	Society and culture	F	37217
New South Wales	2006	35-44	Society and culture	M	22059
New South Wales	2006	45-54	Agriculture environmental and related studies	F	2360
New South Wales	2006	45-54	Agriculture environmental and related studies	M	8089
New South Wales	2006	45-54	Architecture and building	F	1732
New South Wales	2006	45-54	Architecture and building	M	28608
New South Wales	2006	45-54	Creative arts	F	7879
New South Wales	2006	45-54	Creative arts	M	5901
New South Wales	2006	45-54	Education	F	40925
New South Wales	2006	45-54	Education	M	15524
New South Wales	2006	45-54	Engineering and related technologies	F	5736
New South Wales	2006	45-54	Engineering and related technologies	M	89471
New South Wales	2006	45-54	Field of study inadequately described	F	3106
New South Wales	2006	45-54	Field of study inadequately described	M	3608
New South Wales	2006	45-54	Field of study not stated	F	37958
New South Wales	2006	45-54	Field of study not stated	M	43758
New South Wales	2006	45-54	Food hospitality and personal services	F	10345
New South Wales	2006	45-54	Food hospitality and personal services	M	7493
New South Wales	2006	45-54	Health	F	44841
New South Wales	2006	45-54	Health	M	12174
New South Wales	2006	45-54	Information technology	F	4190
New South Wales	2006	45-54	Information technology	M	7161
New South Wales	2006	45-54	Management and commerce	F	57191
New South Wales	2006	45-54	Management and commerce	M	40919
New South Wales	2006	45-54	Mixed field programmes	F	415
New South Wales	2006	45-54	Mixed field programmes	M	278
New South Wales	2006	45-54	Natural and physical sciences	F	6943
New South Wales	2006	45-54	Natural and physical sciences	M	8565
New South Wales	2006	45-54	Society and culture	F	30681
New South Wales	2006	45-54	Society and culture	M	20238
New South Wales	2006	55-64	Agriculture environmental and related studies	F	1067
New South Wales	2006	55-64	Agriculture environmental and related studies	M	5362
New South Wales	2006	55-64	Architecture and building	F	736
New South Wales	2006	55-64	Architecture and building	M	21204
New South Wales	2006	55-64	Creative arts	F	4486
New South Wales	2006	55-64	Creative arts	M	3629
New South Wales	2006	55-64	Education	F	26089
New South Wales	2006	55-64	Education	M	11111
New South Wales	2006	55-64	Engineering and related technologies	F	3608
New South Wales	2006	55-64	Engineering and related technologies	M	69795
New South Wales	2006	55-64	Field of study inadequately described	F	1893
New South Wales	2006	55-64	Field of study inadequately described	M	2402
New South Wales	2006	55-64	Field of study not stated	F	34249
New South Wales	2006	55-64	Field of study not stated	M	36785
New South Wales	2006	55-64	Food hospitality and personal services	F	7039
New South Wales	2006	55-64	Food hospitality and personal services	M	5475
New South Wales	2006	55-64	Health	F	25818
New South Wales	2006	55-64	Health	M	7788
New South Wales	2006	55-64	Information technology	F	1568
New South Wales	2006	55-64	Information technology	M	2247
New South Wales	2006	55-64	Management and commerce	F	34377
New South Wales	2006	55-64	Management and commerce	M	28470
New South Wales	2006	55-64	Mixed field programmes	F	269
New South Wales	2006	55-64	Mixed field programmes	M	239
New South Wales	2006	55-64	Natural and physical sciences	F	3505
New South Wales	2006	55-64	Natural and physical sciences	M	6829
New South Wales	2006	55-64	Society and culture	F	18042
New South Wales	2006	55-64	Society and culture	M	14463
New South Wales	2006	65-74	Agriculture environmental and related studies	F	407
New South Wales	2006	65-74	Agriculture environmental and related studies	M	2759
New South Wales	2006	65-74	Architecture and building	F	276
New South Wales	2006	65-74	Architecture and building	M	13423
New South Wales	2006	65-74	Creative arts	F	2140
New South Wales	2006	65-74	Creative arts	M	1521
New South Wales	2006	65-74	Education	F	11365
New South Wales	2006	65-74	Education	M	5150
New South Wales	2006	65-74	Engineering and related technologies	F	3317
New South Wales	2006	65-74	Engineering and related technologies	M	40787
