STE_NAME16	Year	Sex	adults
Australian Capital Territory	2006	F	133983
Australian Capital Territory	2006	M	128112
Australian Capital Territory	2011	F	148334
Australian Capital Territory	2011	M	142542
Australian Capital Territory	2016	F	165688
Australian Capital Territory	2016	M	157222
New South Wales	2006	F	2689404
New South Wales	2006	M	2560864
New South Wales	2011	F	2860849
New South Wales	2011	M	2724291
New South Wales	2016	F	3119830
New South Wales	2016	M	2974070
Northern Territory	2006	F	70445
Northern Territory	2006	M	74860
Northern Territory	2011	F	78508
Northern Territory	2011	M	84280
Northern Territory	2016	F	86255
Northern Territory	2016	M	93106
Other Territories	2006	F	773
Other Territories	2006	M	994
Other Territories	2011	F	821
Other Territories	2011	M	1708
Other Territories	2016	F	1744
Other Territories	2016	M	2043
Queensland	2006	F	1576491
Queensland	2006	M	1521490
Queensland	2011	F	1758404
Queensland	2011	M	1698484
Queensland	2016	F	1937125
Queensland	2016	M	1853363
South Australia	2006	F	632303
South Australia	2006	M	601207
South Australia	2011	F	669391
South Australia	2011	M	640244
South Australia	2016	F	708070
South Australia	2016	M	675580
Tasmania	2006	F	197470
Tasmania	2006	M	184981
Tasmania	2011	F	206927
Tasmania	2011	M	194534
Tasmania	2016	F	216499
Tasmania	2016	M	203255
Victoria	2006	F	2049148
Victoria	2006	M	1932892
Victoria	2011	F	2235420
Victoria	2011	M	2119834
Victoria	2016	F	2492203
Victoria	2016	M	2353513
Western Australia	2006	F	790137
Western Australia	2006	M	772506
Western Australia	2011	F	898858
Western Australia	2011	M	900242
Western Australia	2016	F	1004048
Western Australia	2016	M	993685
