STE_NAME16	Year	LanguageSpoken	persons
New South Wales	2006		387951
New South Wales	2006	(Other)	188140
New South Wales	2006	Afrikaans	3604
New South Wales	2006	Arabic	164988
New South Wales	2006	Australian_Indigenous_Languages	1947
New South Wales	2006	Chinese_languages_Bengali	12990
New South Wales	2006	Chinese_languages_Cantonese	129604
New South Wales	2006	Chinese_languages_Mandarin	100597
New South Wales	2006	Chinese_languages_Other	13371
New South Wales	2006	Croatian	23602
New South Wales	2006	Dutch	8716
New South Wales	2006	English	4846669
New South Wales	2006	Filipino	18259
New South Wales	2006	French	15188
New South Wales	2006	German	22104
New South Wales	2006	Greek	86158
New South Wales	2006	Hindi	38148
New South Wales	2006	Indonesian	19056
New South Wales	2006	Italian	87297
New South Wales	2006	Japanese	12528
New South Wales	2006	Korean	36683
New South Wales	2006	Macedonian	28938
New South Wales	2006	Persian_includes_Dari	10939
New South Wales	2006	Polish	15495
New South Wales	2006	Punjabi	10372
New South Wales	2006	Russian	14051
New South Wales	2006	Samoan	12907
New South Wales	2006	Serbian	21611
New South Wales	2006	Sinhalese	6727
New South Wales	2006	Spanish	49561
New South Wales	2006	Tagalog	29219
New South Wales	2006	Tamil	15743
New South Wales	2006	Thai	10285
New South Wales	2006	Turkish	20592
New South Wales	2006	Urdu	10547
New South Wales	2006	Vietnamese	74586
New South Wales	2011		349983
New South Wales	2011	(Other)	239694
New South Wales	2011	Afrikaans	6228
New South Wales	2011	Arabic	184253
New South Wales	2011	Australian_Indigenous_Languages	1299
New South Wales	2011	Chinese_languages_Bengali	21485
New South Wales	2011	Chinese_languages_Cantonese	136373
New South Wales	2011	Chinese_languages_Mandarin	139822
New South Wales	2011	Chinese_languages_Other	19277
New South Wales	2011	Croatian	22881
New South Wales	2011	Dutch	9294
New South Wales	2011	English	5013345
New South Wales	2011	Filipino	21107
New South Wales	2011	French	19012
New South Wales	2011	German	23429
New South Wales	2011	Greek	86602
New South Wales	2011	Hindi	52780
New South Wales	2011	Indonesian	24783
New South Wales	2011	Italian	83175
New South Wales	2011	Japanese	14369
New South Wales	2011	Korean	47423
New South Wales	2011	Macedonian	29453
New South Wales	2011	Persian_includes_Dari	14702
New South Wales	2011	Polish	14853
New South Wales	2011	Punjabi	21540
New South Wales	2011	Russian	16476
New South Wales	2011	Samoan	14916
New South Wales	2011	Serbian	22235
New South Wales	2011	Sinhalese	9383
New South Wales	2011	Spanish	55623
New South Wales	2011	Tagalog	37119
New South Wales	2011	Tamil	21528
New South Wales	2011	Thai	15715
New South Wales	2011	Turkish	22273
New South Wales	2011	Urdu	17742
New South Wales	2011	Vietnamese	87499
New South Wales	2016		471576
New South Wales	2016	(Other)	322694
New South Wales	2016	Afrikaans	7735
New South Wales	2016	Arabic	200825
New South Wales	2016	Australian_Indigenous_Languages	1922
New South Wales	2016	Chinese_languages_Bengali	31687
New South Wales	2016	Chinese_languages_Cantonese	143333
New South Wales	2016	Chinese_languages_Mandarin	239945
New South Wales	2016	Chinese_languages_Other	18169
New South Wales	2016	Croatian	21156
New South Wales	2016	Dutch	8686
New South Wales	2016	English	5126633
