STE_NAME16	Year	Sex	SpeaksEnglishOnly	persons
New South Wales	2006	F	0	677111
New South Wales	2006	F	1	2462813
New South Wales	2006	M	0	637441
New South Wales	2006	M	1	2383863
New South Wales	2011	F	0	803295
New South Wales	2011	F	1	2543331
New South Wales	2011	M	0	751040
New South Wales	2011	M	1	2470013
New South Wales	2016	F	0	973694
New South Wales	2016	F	1	2590527
New South Wales	2016	M	0	908327
New South Wales	2016	M	1	2536108
Victoria	2006	F	0	517504
Victoria	2006	F	1	1872334
Victoria	2006	M	0	489934
Victoria	2006	M	1	1795947
Victoria	2011	F	0	634527
Victoria	2011	F	1	1972464
Victoria	2011	M	0	600907
Victoria	2011	M	1	1902396
Victoria	2016	F	0	794087
Victoria	2016	F	1	2045460
Victoria	2016	M	0	744745
Victoria	2016	M	1	1981356
Queensland	2006	F	0	159032
Queensland	2006	F	1	1705439
Queensland	2006	M	0	144058
Queensland	2006	M	1	1666250
Queensland	2011	F	0	221773
Queensland	2011	F	1	1858888
Queensland	2011	M	0	202074
Queensland	2011	M	1	1817073
Queensland	2016	F	0	294389
Queensland	2016	F	1	1931413
Queensland	2016	M	0	263298
Queensland	2016	M	1	1889220
South Australia	2006	F	0	95233
South Australia	2006	F	1	642772
South Australia	2006	M	0	89283
South Australia	2006	M	1	620009
South Australia	2011	F	0	118537
South Australia	2011	F	1	661447
South Australia	2011	M	0	111012
South Australia	2011	M	1	641614
South Australia	2016	F	0	141774
South Australia	2016	F	1	664893
South Australia	2016	M	0	132339
South Australia	2016	M	1	646641
Western Australia	2006	F	0	117832
Western Australia	2006	F	1	807269
Western Australia	2006	M	0	108999
Western Australia	2006	M	1	795770
Western Australia	2011	F	0	166622
Western Australia	2011	F	1	888504
Western Australia	2011	M	0	158432
Western Australia	2011	M	1	887442
Western Australia	2016	F	0	224239
Western Australia	2016	F	1	930034
Western Australia	2016	M	0	211101
Western Australia	2016	M	1	931004
Tasmania	2006	F	0	8707
Tasmania	2006	F	1	224043
Tasmania	2006	M	0	7972
Tasmania	2006	M	1	214121
Tasmania	2011	F	0	11591
Tasmania	2011	F	1	232133
Tasmania	2011	M	0	10556
Tasmania	2011	M	1	221986
Tasmania	2016	F	0	14397
Tasmania	2016	F	1	230075
Tasmania	2016	M	0	12895
Tasmania	2016	M	1	220342
Northern Territory	2006	F	0	22950
Northern Territory	2006	F	1	61527
Northern Territory	2006	M	0	21769
Northern Territory	2006	M	1	65750
Northern Territory	2011	F	0	29195
Northern Territory	2011	F	1	64083
Northern Territory	2011	M	0	27484
Northern Territory	2011	M	1	68936
Northern Territory	2016	F	0	34491
Northern Territory	2016	F	1	63434
Northern Territory	2016	M	0	33063
Northern Territory	2016	M	1	69200
Australian Capital Territory	2006	F	0	24492
Australian Capital Territory	2006	F	1	133205
Australian Capital Territory	2006	M	0	22676
Australian Capital Territory	2006	M	1	129246
Australian Capital Territory	2011	F	0	33615
Australian Capital Territory	2011	F	1	140446
Australian Capital Territory	2011	M	0	31056
Australian Capital Territory	2011	M	1	137596
Australian Capital Territory	2016	F	0	45182
Australian Capital Territory	2016	F	1	145943
Australian Capital Territory	2016	M	0	41487
Australian Capital Territory	2016	M	1	143048
Other Territories	2006	F	0	597
Other Territories	2006	F	1	428
Other Territories	2006	M	0	605
Other Territories	2006	M	1	549
Other Territories	2011	F	0	587
Other Territories	2011	F	1	418
Other Territories	2011	M	0	638
Other Territories	2011	M	1	524
Other Territories	2016	F	0	1068
Other Territories	2016	F	1	833
Other Territories	2016	M	0	1062
Other Territories	2016	M	1	896
