STE_NAME16	Year	employmentToPopulation
New South Wales	2006	55.4
New South Wales	2011	56.2
New South Wales	2016	55.5
Victoria	2006	57.1
Victoria	2011	58.1
Victoria	2016	56.5
Queensland	2006	58.9
Queensland	2011	59
Queensland	2016	56.4
South Australia	2006	55.9
South Australia	2011	56.5
South Australia	2016	53.9
Western Australia	2006	59.9
Western Australia	2011	61
Western Australia	2016	58
Tasmania	2006	53.5
Tasmania	2011	54.1
Tasmania	2016	51.6
Northern Territory	2006	60
Northern Territory	2011	60.5
Northern Territory	2016	57.3
Australian Capital Territory	2006	67.3
Australian Capital Territory	2011	67.3
Australian Capital Territory	2016	63.7
Other Territories	2006	60.6
Other Territories	2011	46.7
Other Territories	2016	57.6
