STE_NAME16	Year	CoupleFamily	HasChild	TotalFamilyIncome.min	FullTimeWorkers	PartTimeWorkers	AwayFromWork	NotWorking	families
New South Wales	2006	0							4425
New South Wales	2006	0			0	0	0	0	13370
New South Wales	2006	0			0	0	0	1	1723
New South Wales	2006	0			0	0	1	0	1370
New South Wales	2006	0			0	1	0	0	5582
New South Wales	2006	0			1	0	0	0	8717
New South Wales	2006	0		-1					87
New South Wales	2006	0		-1	0	0	0	0	2729
New South Wales	2006	0		-1	0	0	0	1	370
New South Wales	2006	0		-1	0	0	1	0	67
New South Wales	2006	0		-1	0	1	0	0	140
New South Wales	2006	0		-1	1	0	0	0	252
New South Wales	2006	0		52					58
New South Wales	2006	0		52	0	0	0	0	2862
New South Wales	2006	0		52	0	0	0	1	549
New South Wales	2006	0		52	0	0	1	0	98
New South Wales	2006	0		52	0	1	0	0	598
New South Wales	2006	0		52	1	0	0	0	253
New South Wales	2006	0		7800					174
New South Wales	2006	0		7800	0	0	0	0	11716
New South Wales	2006	0		7800	0	0	0	1	2607
New South Wales	2006	0		7800	0	0	1	0	259
New South Wales	2006	0		7800	0	1	0	0	2014
New South Wales	2006	0		7800	1	0	0	0	369
New South Wales	2006	0		15600					229
New South Wales	2006	0		15600	0	0	0	0	19623
New South Wales	2006	0		15600	0	0	0	1	4578
New South Wales	2006	0		15600	0	0	1	0	672
New South Wales	2006	0		15600	0	1	0	0	7188
New South Wales	2006	0		15600	1	0	0	0	1144
New South Wales	2006	0		20800					131
New South Wales	2006	0		20800	0	0	0	0	6697
New South Wales	2006	0		20800	0	0	0	1	629
New South Wales	2006	0		20800	0	0	1	0	72
New South Wales	2006	0		20800	0	1	0	0	575
New South Wales	2006	0		20800	1	0	0	0	171
New South Wales	2006	0		26000					401
New South Wales	2006	0		26000	0	0	0	0	26451
New South Wales	2006	0		26000	0	0	0	1	4065
New South Wales	2006	0		26000	0	0	1	0	1266
New South Wales	2006	0		26000	0	1	0	0	15533
New South Wales	2006	0		26000	1	0	0	0	5883
New South Wales	2006	0		33800					160
New South Wales	2006	0		33800	0	0	0	0	7265
New South Wales	2006	0		33800	0	0	0	1	964
New South Wales	2006	0		33800	0	0	1	0	734
New South Wales	2006	0		33800	0	1	0	0	7863
New South Wales	2006	0		33800	1	0	0	0	8256
New South Wales	2006	0		41600					219
New South Wales	2006	0		41600	0	0	0	0	8225
New South Wales	2006	0		41600	0	0	0	1	661
New South Wales	2006	0		41600	0	0	1	0	657
New South Wales	2006	0		41600	0	1	0	0	4688
New South Wales	2006	0		41600	1	0	0	0	8311
New South Wales	2006	0		52000					316
New South Wales	2006	0		52000	0	0	0	0	13227
New South Wales	2006	0		52000	0	0	0	1	838
New South Wales	2006	0		52000	0	0	1	0	1318
New South Wales	2006	0		52000	0	1	0	0	7368
New South Wales	2006	0		52000	1	0	0	0	19902
New South Wales	2006	0		78000					93
New South Wales	2006	0		78000	0	0	0	0	3944
New South Wales	2006	0		78000	0	0	0	1	202
New South Wales	2006	0		78000	0	0	1	0	513
New South Wales	2006	0		78000	0	1	0	0	2175
New South Wales	2006	0		78000	1	0	0	0	8299
New South Wales	2006	0		104000					20
New South Wales	2006	0		104000	0	0	0	0	1386
New South Wales	2006	0		104000	0	0	0	1	69
New South Wales	2006	0		104000	0	0	1	0	206
New South Wales	2006	0		104000	0	1	0	0	759
New South Wales	2006	0		104000	1	0	0	0	3327
New South Wales	2006	0		130000					32
New South Wales	2006	0		130000	0	0	0	0	1200
New South Wales	2006	0		130000	0	0	0	1	78
New South Wales	2006	0		130000	0	0	1	0	182
New South Wales	2006	0		130000	0	1	0	0	574
New South Wales	2006	0		130000	1	0	0	0	3458
New South Wales	2006	0		156000					14
New South Wales	2006	0		156000	0	0	0	0	540
New South Wales	2006	0		156000	0	0	0	1	14
New South Wales	2006	0		156000	0	0	1	0	83
New South Wales	2006	0		156000	0	1	0	0	230
New South Wales	2006	0		156000	1	0	0	0	1189
New South Wales	2006	0		208000					13
New South Wales	2006	0		208000	0	0	0	0	217
