STE_NAME16	Year	Rent.min	TotalHouseholdIncome.min	occupied_private_dwellings_being_rented
New South Wales	2006			6146
New South Wales	2006		-1	964
New South Wales	2006		52	889
New South Wales	2006		7800	2817
New South Wales	2006		15600	2192
New South Wales	2006		20800	926
New South Wales	2006		26000	2423
New South Wales	2006		33800	1191
New South Wales	2006		41600	1157
New South Wales	2006		52000	1565
New South Wales	2006		65000	839
New South Wales	2006		78000	891
New South Wales	2006		104000	440
New South Wales	2006		130000	512
New South Wales	2006		156000	226
New South Wales	2006		208000	112
New South Wales	2006	0		6137
New South Wales	2006	0	-1	1291
New South Wales	2006	0	52	3874
New South Wales	2006	0	7800	25283
New South Wales	2006	0	15600	12580
New South Wales	2006	0	20800	2659
New South Wales	2006	0	26000	6438
New South Wales	2006	0	33800	3141
New South Wales	2006	0	41600	2843
New South Wales	2006	0	52000	4107
New South Wales	2006	0	65000	2227
New South Wales	2006	0	78000	2349
New South Wales	2006	0	104000	1149
New South Wales	2006	0	130000	1168
New South Wales	2006	0	156000	513
New South Wales	2006	0	208000	198
New South Wales	2006	3937		2556
New South Wales	2006	3937	-1	295
New South Wales	2006	3937	52	1126
New South Wales	2006	3937	7800	5770
New South Wales	2006	3937	15600	7173
New South Wales	2006	3937	20800	2097
New South Wales	2006	3937	26000	3753
New South Wales	2006	3937	33800	1104
New South Wales	2006	3937	41600	859
New South Wales	2006	3937	52000	918
New South Wales	2006	3937	65000	358
New South Wales	2006	3937	78000	322
New South Wales	2006	3937	104000	111
New South Wales	2006	3937	130000	150
New South Wales	2006	3937	156000	36
New South Wales	2006	3937	208000	14
New South Wales	2006	5250		7296
New South Wales	2006	5250	-1	926
New South Wales	2006	5250	52	2269
New South Wales	2006	5250	7800	9400
New South Wales	2006	5250	15600	12899
New South Wales	2006	5250	20800	9638
New South Wales	2006	5250	26000	15365
New South Wales	2006	5250	33800	6289
New South Wales	2006	5250	41600	4912
New South Wales	2006	5250	52000	5514
New South Wales	2006	5250	65000	2176
New South Wales	2006	5250	78000	2013
New South Wales	2006	5250	104000	785
New South Wales	2006	5250	130000	558
New South Wales	2006	5250	156000	172
New South Wales	2006	5250	208000	93
New South Wales	2006	7875		9422
New South Wales	2006	7875	-1	1450
New South Wales	2006	7875	52	1546
New South Wales	2006	7875	7800	6807
New South Wales	2006	7875	15600	12074
New South Wales	2006	7875	20800	5041
New South Wales	2006	7875	26000	20639
New South Wales	2006	7875	33800	12913
New South Wales	2006	7875	41600	10849
New South Wales	2006	7875	52000	13362
New South Wales	2006	7875	65000	5885
New South Wales	2006	7875	78000	5214
New South Wales	2006	7875	104000	1970
New South Wales	2006	7875	130000	1178
New South Wales	2006	7875	156000	435
New South Wales	2006	7875	208000	113
New South Wales	2006	10500		6268
New South Wales	2006	10500	-1	1022
New South Wales	2006	10500	52	837
New South Wales	2006	10500	7800	2565
New South Wales	2006	10500	15600	5012
New South Wales	2006	10500	20800	2386
New South Wales	2006	10500	26000	11775
New South Wales	2006	10500	33800	8650
New South Wales	2006	10500	41600	8480
New South Wales	2006	10500	52000	11414
New South Wales	2006	10500	65000	5503
New South Wales	2006	10500	78000	5306
New South Wales	2006	10500	104000	1912
New South Wales	2006	10500	130000	1162
New South Wales	2006	10500	156000	362
New South Wales	2006	10500	208000	92
New South Wales	2006	11812		9730
New South Wales	2006	11812	-1	1641
New South Wales	2006	11812	52	1097
New South Wales	2006	11812	7800	2752
New South Wales	2006	11812	15600	5199
New South Wales	2006	11812	20800	2498
New South Wales	2006	11812	26000	13509
New South Wales	2006	11812	33800	10873
New South Wales	2006	11812	41600	12050
New South Wales	2006	11812	52000	18820
