STE_NAME16	Year	DwellingStructure	TenureType	occupied_private_dwellings
New South Wales	2006			586
New South Wales	2006		Other tenure type	14
New South Wales	2006		Owned outright	473
New South Wales	2006		Owned with a mortgage	407
New South Wales	2006		Rented Housing co operative community church group	51
New South Wales	2006		Rented Landlord type not stated	18
New South Wales	2006		Rented Other landlord type	43
New South Wales	2006		Rented Person not in same household	113
New South Wales	2006		Rented Real estate agent	237
New South Wales	2006		Rented State or territory housing authority	64
New South Wales	2006	(Other)		5670
New South Wales	2006	(Other)	Other tenure type	528
New South Wales	2006	(Other)	Owned outright	15406
New South Wales	2006	(Other)	Owned with a mortgage	2548
New South Wales	2006	(Other)	Rented Housing co operative community church group	100
New South Wales	2006	(Other)	Rented Landlord type not stated	570
New South Wales	2006	(Other)	Rented Other landlord type	4502
New South Wales	2006	(Other)	Rented Person not in same household	2440
New South Wales	2006	(Other)	Rented Real estate agent	2894
New South Wales	2006	(Other)	Rented State or territory housing authority	152
New South Wales	2006	Flat/apartment		66013
New South Wales	2006	Flat/apartment	Other tenure type	5643
New South Wales	2006	Flat/apartment	Owned outright	65809
New South Wales	2006	Flat/apartment	Owned with a mortgage	70998
New South Wales	2006	Flat/apartment	Rented Housing co operative community church group	5321
New South Wales	2006	Flat/apartment	Rented Landlord type not stated	4218
New South Wales	2006	Flat/apartment	Rented Other landlord type	3956
New South Wales	2006	Flat/apartment	Rented Person not in same household	35016
New South Wales	2006	Flat/apartment	Rented Real estate agent	178590
New South Wales	2006	Flat/apartment	Rented State or territory housing authority	34930
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.		20225
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	4517
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	59918
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	56151
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	3204
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	1995
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	2555
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	15055
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	55826
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	21905
New South Wales	2006	Separate house		91359
New South Wales	2006	Separate house	Other tenure type	9373
New South Wales	2006	Separate house	Owned outright	678933
New South Wales	2006	Separate house	Owned with a mortgage	615233
New South Wales	2006	Separate house	Rented Housing co operative community church group	6148
New South Wales	2006	Separate house	Rented Landlord type not stated	13088
New South Wales	2006	Separate house	Rented Other landlord type	16755
New South Wales	2006	Separate house	Rented Person not in same household	79755
