STE_NAME16	Year	CoupleFamily	HasChild	HasDependantStudent	HasNonDependentChild	Rent.min	occupied_private_dwellings_being_rented
New South Wales	2006	0	0	1	0		389
New South Wales	2006	0	0	1	0	0	1079
New South Wales	2006	0	0	1	0	3937	897
New South Wales	2006	0	0	1	0	5250	1321
New South Wales	2006	0	0	1	0	7875	2359
New South Wales	2006	0	0	1	0	10500	1577
New South Wales	2006	0	0	1	0	11812	2274
New South Wales	2006	0	0	1	0	14437	1777
New South Wales	2006	0	0	1	0	18375	1049
New South Wales	2006	0	0	1	0	23625	378
New South Wales	2006	0	0	1	0	28875	160
New South Wales	2006	0	0	1	0	34125	76
New South Wales	2006	0	0	1	0	39375	45
New South Wales	2006	0	0	1	0	44625	17
New South Wales	2006	0	0	1	0	49875	110
New South Wales	2006	0	1	0	0		2462
New South Wales	2006	0	1	0	0	0	3369
New South Wales	2006	0	1	0	0	3937	7468
New South Wales	2006	0	1	0	0	5250	10378
New South Wales	2006	0	1	0	0	7875	15913
New South Wales	2006	0	1	0	0	10500	10921
New South Wales	2006	0	1	0	0	11812	13795
New South Wales	2006	0	1	0	0	14437	7509
New South Wales	2006	0	1	0	0	18375	3117
New South Wales	2006	0	1	0	0	23625	914
New South Wales	2006	0	1	0	0	28875	350
New South Wales	2006	0	1	0	0	34125	138
New South Wales	2006	0	1	0	0	39375	97
New South Wales	2006	0	1	0	0	44625	62
New South Wales	2006	0	1	0	0	49875	514
New South Wales	2006	0	1	1	0		380
New South Wales	2006	0	1	1	0	0	359
New South Wales	2006	0	1	1	0	3937	934
New South Wales	2006	0	1	1	0	5250	1698
New South Wales	2006	0	1	1	0	7875	1873
New South Wales	2006	0	1	1	0	10500	1364
New South Wales	2006	0	1	1	0	11812	2034
New South Wales	2006	0	1	1	0	14437	1403
New South Wales	2006	0	1	1	0	18375	713
New South Wales	2006	0	1	1	0	23625	206
New South Wales	2006	0	1	1	0	28875	104
New South Wales	2006	0	1	1	0	34125	30
New South Wales	2006	0	1	1	0	39375	26
New South Wales	2006	0	1	1	0	44625	17
New South Wales	2006	0	1	1	0	49875	81
New South Wales	2006	0	1	1	1		1033
New South Wales	2006	0	1	1	1	0	2641
New South Wales	2006	0	1	1	1	3937	1183
New South Wales	2006	0	1	1	1	5250	4348
New South Wales	2006	0	1	1	1	7875	4920
New South Wales	2006	0	1	1	1	10500	3168
New South Wales	2006	0	1	1	1	11812	4209
New South Wales	2006	0	1	1	1	14437	2981
New South Wales	2006	0	1	1	1	18375	1454
New South Wales	2006	0	1	1	1	23625	415
New South Wales	2006	0	1	1	1	28875	172
New South Wales	2006	0	1	1	1	34125	69
New South Wales	2006	0	1	1	1	39375	36
New South Wales	2006	0	1	1	1	44625	28
New South Wales	2006	0	1	1	1	49875	201
New South Wales	2006	1	0	1			3231
New South Wales	2006	1	0	1		0	8080
New South Wales	2006	1	0	1		3937	2995
New South Wales	2006	1	0	1		5250	14618
New South Wales	2006	1	0	1		7875	17594
New South Wales	2006	1	0	1		10500	12838
New South Wales	2006	1	0	1		11812	21331
New South Wales	2006	1	0	1		14437	22538
