STE_NAME16	Year	Age	NonSchoolQualification	adults
New South Wales	2006	15-19		55484
New South Wales	2006	15-19	Certificate nfd	1936
New South Wales	2006	15-19	Certificate I and II Level	5329
New South Wales	2006	15-19	Certificate III and IV Level	12935
New South Wales	2006	15-19	Advanced Diploma and Diploma	2818
New South Wales	2006	15-19	Bachelor	524
New South Wales	2006	15-19	Graduate Diploma and Graduate Certificate	38
New South Wales	2006	15-19	Postgraduate	79
New South Wales	2006	20-24		51050
New South Wales	2006	20-24	Certificate nfd	6377
New South Wales	2006	20-24	Certificate I and II Level	11050
New South Wales	2006	20-24	Certificate III and IV Level	61404
New South Wales	2006	20-24	Advanced Diploma and Diploma	29760
New South Wales	2006	20-24	Bachelor	55349
New South Wales	2006	20-24	Graduate Diploma and Graduate Certificate	1164
New South Wales	2006	20-24	Postgraduate	3085
New South Wales	2006	25-34		105024
New South Wales	2006	25-34	Certificate nfd	17916
New South Wales	2006	25-34	Certificate I and II Level	15238
New South Wales	2006	25-34	Certificate III and IV Level	143412
New South Wales	2006	25-34	Advanced Diploma and Diploma	81535
New South Wales	2006	25-34	Bachelor	193588
New South Wales	2006	25-34	Graduate Diploma and Graduate Certificate	12936
New South Wales	2006	25-34	Postgraduate	40977
New South Wales	2006	35-44		112416
New South Wales	2006	35-44	Certificate nfd	22947
New South Wales	2006	35-44	Certificate I and II Level	12925
New South Wales	2006	35-44	Certificate III and IV Level	160009
New South Wales	2006	35-44	Advanced Diploma and Diploma	91550
New South Wales	2006	35-44	Bachelor	151731
New South Wales	2006	35-44	Graduate Diploma and Graduate Certificate	16685
New South Wales	2006	35-44	Postgraduate	45215
New South Wales	2006	45-54		108556
New South Wales	2006	45-54	Certificate nfd	22186
New South Wales	2006	45-54	Certificate I and II Level	10539
New South Wales	2006	45-54	Certificate III and IV Level	142545
New South Wales	2006	45-54	Advanced Diploma and Diploma	82164
New South Wales	2006	45-54	Bachelor	122068
New South Wales	2006	45-54	Graduate Diploma and Graduate Certificate	19510
New South Wales	2006	45-54	Postgraduate	38519
New South Wales	2006	55-64		95099
New South Wales	2006	55-64	Certificate nfd	16995
New South Wales	2006	55-64	Certificate I and II Level	5898
New South Wales	2006	55-64	Certificate III and IV Level	101969
New South Wales	2006	55-64	Advanced Diploma and Diploma	55625
New South Wales	2006	55-64	Bachelor	68649
New South Wales	2006	55-64	Graduate Diploma and Graduate Certificate	10582
New South Wales	2006	55-64	Postgraduate	23738
New South Wales	2006	65-74		81753
New South Wales	2006	65-74	Certificate nfd	7483
New South Wales	2006	65-74	Certificate I and II Level	1973
New South Wales	2006	65-74	Certificate III and IV Level	57924
New South Wales	2006	65-74	Advanced Diploma and Diploma	26846
New South Wales	2006	65-74	Bachelor	26911
New South Wales	2006	65-74	Graduate Diploma and Graduate Certificate	3496
New South Wales	2006	65-74	Postgraduate	7957
