STE_NAME16	Year	Sex	overseas_visitors
New South Wales	2006	F	30374
New South Wales	2006	M	26668
New South Wales	2011	F	33196
New South Wales	2011	M	28888
New South Wales	2016	F	53204
New South Wales	2016	M	42709
Victoria	2006	F	18333
Victoria	2006	M	16103
Victoria	2011	F	23746
Victoria	2011	M	20411
Victoria	2016	F	41662
Victoria	2016	M	31460
Queensland	2006	F	38692
Queensland	2006	M	34230
Queensland	2011	F	35096
Queensland	2011	M	30717
Queensland	2016	F	46890
Queensland	2016	M	37056
South Australia	2006	F	5037
South Australia	2006	M	4204
South Australia	2011	F	5557
South Australia	2011	M	4885
South Australia	2016	F	8037
South Australia	2016	M	6326
Western Australia	2006	F	10792
Western Australia	2006	M	10468
Western Australia	2011	F	12411
Western Australia	2011	M	12488
Western Australia	2016	F	17393
Western Australia	2016	M	13852
Tasmania	2006	F	951
Tasmania	2006	M	851
Tasmania	2011	F	1174
Tasmania	2011	M	1017
Tasmania	2016	F	1588
Tasmania	2016	M	1382
Northern Territory	2006	F	3385
Northern Territory	2006	M	3278
Northern Territory	2011	F	3196
Northern Territory	2011	M	2963
Northern Territory	2016	F	3887
Northern Territory	2016	M	5093
Australian Capital Territory	2006	F	1517
Australian Capital Territory	2006	M	1400
Australian Capital Territory	2011	F	1910
Australian Capital Territory	2011	M	1746
Australian Capital Territory	2016	F	2777
Australian Capital Territory	2016	M	2095
Other Territories	2006	F	20
Other Territories	2006	M	53
Other Territories	2011	F	22
Other Territories	2011	M	17
Other Territories	2016	F	55
Other Territories	2016	M	58
