STE_NAME16	Year	DwellingStructure	UsualResidents.min	occupied_private_dwellings
Australian Capital Territory	2016		3	27
Australian Capital Territory	2016		4	20
Australian Capital Territory	2016		5	10
Australian Capital Territory	2016		6	3
Australian Capital Territory	2016	(Other)	1	106
Australian Capital Territory	2016	(Other)	2	36
Australian Capital Territory	2016	(Other)	3	17
Australian Capital Territory	2016	(Other)	4	19
Australian Capital Territory	2016	(Other)	5	3
Australian Capital Territory	2016	(Other)	6	3
Australian Capital Territory	2016	Flat/apartment	1	10045
Australian Capital Territory	2016	Flat/apartment	2	8105
Australian Capital Territory	2016	Flat/apartment	3	2153
Australian Capital Territory	2016	Flat/apartment	4	866
Australian Capital Territory	2016	Flat/apartment	5	170
Australian Capital Territory	2016	Flat/apartment	6	74
Australian Capital Territory	2016	Semi-detached, row/terrace house, townhouse etc.	1	9326
Australian Capital Territory	2016	Semi-detached, row/terrace house, townhouse etc.	2	8326
Australian Capital Territory	2016	Semi-detached, row/terrace house, townhouse etc.	3	4032
Australian Capital Territory	2016	Semi-detached, row/terrace house, townhouse etc.	4	2583
Australian Capital Territory	2016	Semi-detached, row/terrace house, townhouse etc.	5	712
Australian Capital Territory	2016	Semi-detached, row/terrace house, townhouse etc.	6	300
Australian Capital Territory	2016	Separate house	1	15810
Australian Capital Territory	2016	Separate house	2	30363
Australian Capital Territory	2016	Separate house	3	17947
Australian Capital Territory	2016	Separate house	4	20299
Australian Capital Territory	2016	Separate house	5	7828
Australian Capital Territory	2016	Separate house	6	3266
Other Territories	2006		1	0
Other Territories	2006		2	0
Other Territories	2006		3	0
Other Territories	2006		4	0
Other Territories	2006		5	0
Other Territories	2006		6	0
Other Territories	2006	(Other)	1	3
Other Territories	2006	(Other)	2	0
Other Territories	2006	(Other)	3	3
Other Territories	2006	(Other)	4	0
Other Territories	2006	(Other)	5	0
Other Territories	2006	(Other)	6	0
Other Territories	2006	Flat/apartment	1	66
Other Territories	2006	Flat/apartment	2	32
Other Territories	2006	Flat/apartment	3	17
Other Territories	2006	Flat/apartment	4	19
Other Territories	2006	Flat/apartment	5	3
Other Territories	2006	Flat/apartment	6	3
Other Territories	2006	Semi-detached, row/terrace house, townhouse etc.	1	4
Other Territories	2006	Semi-detached, row/terrace house, townhouse etc.	2	0
Other Territories	2006	Semi-detached, row/terrace house, townhouse etc.	3	0
Other Territories	2006	Semi-detached, row/terrace house, townhouse etc.	4	0
Other Territories	2006	Semi-detached, row/terrace house, townhouse etc.	5	0
Other Territories	2006	Semi-detached, row/terrace house, townhouse etc.	6	0
Other Territories	2006	Separate house	1	102
Other Territories	2006	Separate house	2	144
Other Territories	2006	Separate house	3	95
Other Territories	2006	Separate house	4	105
Other Territories	2006	Separate house	5	60
Other Territories	2006	Separate house	6	54
Other Territories	2011		1	3
Other Territories	2011		2	6
Other Territories	2011		3	4
Other Territories	2011		4	0
Other Territories	2011		5	0
Other Territories	2011		6	0
Other Territories	2011	(Other)	1	3
Other Territories	2011	(Other)	2	3
Other Territories	2011	(Other)	3	0
Other Territories	2011	(Other)	4	0
Other Territories	2011	(Other)	5	0
Other Territories	2011	(Other)	6	0
Other Territories	2011	Flat/apartment	1	75
Other Territories	2011	Flat/apartment	2	58
Other Territories	2011	Flat/apartment	3	46
Other Territories	2011	Flat/apartment	4	20
Other Territories	2011	Flat/apartment	5	13
Other Territories	2011	Flat/apartment	6	7
Other Territories	2011	Semi-detached, row/terrace house, townhouse etc.	1	18
Other Territories	2011	Semi-detached, row/terrace house, townhouse etc.	2	21
Other Territories	2011	Semi-detached, row/terrace house, townhouse etc.	3	17
Other Territories	2011	Semi-detached, row/terrace house, townhouse etc.	4	5
Other Territories	2011	Semi-detached, row/terrace house, townhouse etc.	5	4
Other Territories	2011	Semi-detached, row/terrace house, townhouse etc.	6	0
Other Territories	2011	Separate house	1	36
Other Territories	2011	Separate house	2	123
Other Territories	2011	Separate house	3	84
Other Territories	2011	Separate house	4	67
Other Territories	2011	Separate house	5	41
Other Territories	2011	Separate house	6	44
Other Territories	2016		1	8
Other Territories	2016		2	5
Other Territories	2016		3	0
Other Territories	2016		4	0
Other Territories	2016		5	0
Other Territories	2016		6	0
Other Territories	2016	(Other)	1	5
Other Territories	2016	(Other)	2	9
Other Territories	2016	(Other)	3	0
Other Territories	2016	(Other)	4	0
Other Territories	2016	(Other)	5	0
Other Territories	2016	(Other)	6	0
Other Territories	2016	Flat/apartment	1	43
Other Territories	2016	Flat/apartment	2	35
Other Territories	2016	Flat/apartment	3	17
Other Territories	2016	Flat/apartment	4	5
Other Territories	2016	Flat/apartment	5	8
Other Territories	2016	Flat/apartment	6	8
Other Territories	2016	Semi-detached, row/terrace house, townhouse etc.	1	25
Other Territories	2016	Semi-detached, row/terrace house, townhouse etc.	2	31
Other Territories	2016	Semi-detached, row/terrace house, townhouse etc.	3	9
Other Territories	2016	Semi-detached, row/terrace house, townhouse etc.	4	12
Other Territories	2016	Semi-detached, row/terrace house, townhouse etc.	5	5
Other Territories	2016	Semi-detached, row/terrace house, townhouse etc.	6	3
Other Territories	2016	Separate house	1	282
Other Territories	2016	Separate house	2	408
Other Territories	2016	Separate house	3	170
Other Territories	2016	Separate house	4	135
Other Territories	2016	Separate house	5	80
Other Territories	2016	Separate house	6	59
