STE_NAME16	Year	adults
Australian Capital Territory	2006	262100
Australian Capital Territory	2011	290877
Australian Capital Territory	2016	322932
New South Wales	2006	5250257
New South Wales	2011	5585141
New South Wales	2016	6093896
Northern Territory	2006	145283
Northern Territory	2011	162800
Northern Territory	2016	179363
Other Territories	2006	1759
Other Territories	2011	2530
Other Territories	2016	3778
Queensland	2006	3097997
Queensland	2011	3456879
Queensland	2016	3790503
South Australia	2006	1233511
South Australia	2011	1309633
South Australia	2016	1383650
Tasmania	2006	382457
Tasmania	2011	401486
Tasmania	2016	419769
Victoria	2006	3982040
Victoria	2011	4355241
Victoria	2016	4845713
Western Australia	2006	1562643
Western Australia	2011	1799106
Western Australia	2016	1997730
