STE_NAME16	Year	BornAust	Sex	persons
New South Wales	2006	0	F	793729
New South Wales	2006	0	M	762119
New South Wales	2006	1	F	2296372
New South Wales	2006	1	M	2224780
New South Wales	2011	0	F	911570
New South Wales	2011	0	M	866974
New South Wales	2011	1	F	2407240
New South Wales	2011	1	M	2340131
New South Wales	2016	0	F	1064716
New South Wales	2016	0	M	1007742
New South Wales	2016	1	F	2473670
New South Wales	2016	1	M	2425532
Victoria	2006	0	F	598647
Victoria	2006	0	M	574559
Victoria	2006	1	F	1753251
Victoria	2006	1	M	1681219
Victoria	2011	0	F	717438
Victoria	2011	0	M	687898
Victoria	2011	1	F	1868815
Victoria	2011	1	M	1802125
Victoria	2016	0	F	863136
Victoria	2016	0	M	817124
Victoria	2016	1	F	1951765
Victoria	2016	1	M	1893746
Queensland	2006	0	F	356786
Queensland	2006	0	M	342660
Queensland	2006	1	F	1483896
Queensland	2006	1	M	1451358
Queensland	2011	0	F	454481
Queensland	2011	0	M	434154
Queensland	2011	1	F	1612950
Queensland	2011	1	M	1579167
Queensland	2016	0	F	526551
Queensland	2016	0	M	489325
Queensland	2016	1	F	1685693
Queensland	2016	1	M	1658125
South Australia	2006	0	F	157684
South Australia	2006	0	M	149995
South Australia	2006	1	F	569095
South Australia	2006	1	M	550986
South Australia	2011	0	F	181370
South Australia	2011	0	M	171635
South Australia	2011	1	F	592916
South Australia	2011	1	M	577877
South Australia	2016	0	F	198482
South Australia	2016	0	M	185620
South Australia	2016	1	F	601986
South Australia	2016	1	M	590563
Western Australia	2006	0	F	270449
Western Australia	2006	0	M	261297
Western Australia	2006	1	F	643104
Western Australia	2006	1	M	636115
Western Australia	2011	0	F	343822
Western Australia	2011	0	M	344397
Western Australia	2011	1	F	705513
Western Australia	2011	1	M	702299
Western Australia	2016	0	F	404078
Western Australia	2016	0	M	393619
Western Australia	2016	1	F	744012
Western Australia	2016	1	M	748850
Tasmania	2006	0	F	25577
Tasmania	2006	0	M	24962
Tasmania	2006	1	F	202817
Tasmania	2006	1	M	193845
Tasmania	2011	0	F	29336
Tasmania	2011	0	M	28312
Tasmania	2011	1	F	211812
Tasmania	2011	1	M	202456
Tasmania	2016	0	F	31568
Tasmania	2016	0	M	29672
Tasmania	2016	1	F	209956
Tasmania	2016	1	M	201535
Northern Territory	2006	0	F	13254
Northern Territory	2006	0	M	13285
Northern Territory	2006	1	F	72066
Northern Territory	2006	1	M	76101
Northern Territory	2011	0	F	17553
Northern Territory	2011	0	M	17627
Northern Territory	2011	1	F	76690
Northern Territory	2011	1	M	81338
Northern Territory	2016	0	F	22767
Northern Territory	2016	0	M	22636
Northern Territory	2016	1	F	75851
Northern Territory	2016	1	M	81677
Australian Capital Territory	2006	0	F	36259
Australian Capital Territory	2006	0	M	34107
Australian Capital Territory	2006	1	F	119883
Australian Capital Territory	2006	1	M	116576
Australian Capital Territory	2011	0	F	44522
Australian Capital Territory	2011	0	M	41801
Australian Capital Territory	2011	1	F	128617
Australian Capital Territory	2011	1	M	126433
Australian Capital Territory	2016	0	F	54552
Australian Capital Territory	2016	0	M	50617
Australian Capital Territory	2016	1	F	136021
Australian Capital Territory	2016	1	M	134014
Other Territories	2006	0	F	307
Other Territories	2006	0	M	364
Other Territories	2006	1	F	699
Other Territories	2006	1	M	779
Other Territories	2011	0	F	299
Other Territories	2011	0	M	962
Other Territories	2011	1	F	694
Other Territories	2011	1	M	784
Other Territories	2016	0	F	646
Other Territories	2016	0	M	832
Other Territories	2016	1	F	1215
Other Territories	2016	1	M	1313
