STE_NAME16	Year	medianTotalFamilyIncomeWeekly
New South Wales	2006	1202
Victoria	2006	1189
Queensland	2006	1172
South Australia	2006	1114
Western Australia	2006	1256
Tasmania	2006	1035
Northern Territory	2006	1296
Australian Capital Territory	2006	1789
Other Territories	2006	1229
New South Wales	2011	1477
Victoria	2011	1460
Queensland	2011	1453
South Australia	2011	1330
Western Australia	2011	1726
Tasmania	2011	1202
Northern Territory	2011	1762
Australian Capital Territory	2011	2277
Other Territories	2011	1768
New South Wales	2016	1780
Victoria	2016	1715
Queensland	2016	1661
South Australia	2016	1510
Western Australia	2016	1910
Tasmania	2016	1399
Northern Territory	2016	2105
Australian Capital Territory	2016	2445
Other Territories	2016	1568
