STE_NAME16	Year	AustCitizen	persons
New South Wales	2006	0	933211
New South Wales	2006	1	5615963
New South Wales	2011	0	1003387
New South Wales	2011	1	5914269
New South Wales	2016	0	1294109
New South Wales	2016	1	6186119
Victoria	2006	0	674680
Victoria	2006	1	4257742
Victoria	2011	0	804464
Victoria	2011	1	4549575
Victoria	2016	0	1088493
Victoria	2016	1	4838131
Queensland	2006	0	542486
Queensland	2006	1	3362045
Queensland	2011	0	671211
Queensland	2011	1	3661526
Queensland	2016	0	811863
Queensland	2016	1	3891330
South Australia	2006	0	177984
South Australia	2006	1	1336356
South Australia	2011	0	207230
South Australia	2011	1	1389339
South Australia	2016	0	241150
South Australia	2016	1	1435503
Western Australia	2006	0	324187
Western Australia	2006	1	1634900
Western Australia	2011	0	433231
Western Australia	2011	1	1805940
Western Australia	2016	0	519734
Western Australia	2016	1	1954676
Tasmania	2006	0	44033
Tasmania	2006	1	432448
Tasmania	2011	0	44852
Tasmania	2011	1	450499
Tasmania	2016	0	56110
Tasmania	2016	1	453855
Northern Territory	2006	0	28760
Northern Territory	2006	1	164139
Northern Territory	2011	0	36867
Northern Territory	2011	1	175076
Northern Territory	2016	0	48866
Northern Territory	2016	1	179967
Australian Capital Territory	2006	0	33888
Australian Capital Territory	2006	1	290146
Australian Capital Territory	2011	0	43465
Australian Capital Territory	2011	1	313753
Australian Capital Territory	2016	0	61448
Australian Capital Territory	2016	1	335949
Other Territories	2006	0	495
Other Territories	2006	1	1825
Other Territories	2011	0	1199
Other Territories	2011	1	1830
Other Territories	2016	0	1282
Other Territories	2016	1	3305
