STE_NAME16	Year	Age	Sex	persons
New South Wales	2006	0-4	F	203914
New South Wales	2006	0-4	M	216514
New South Wales	2006	5-14	F	427415
New South Wales	2006	5-14	M	451071
New South Wales	2006	15-19	F	214291
New South Wales	2006	15-19	M	225577
New South Wales	2006	20-24	F	213675
New South Wales	2006	20-24	M	218178
New South Wales	2006	25-34	F	452444
New South Wales	2006	25-34	M	438598
New South Wales	2006	35-44	F	488847
New South Wales	2006	35-44	M	468994
New South Wales	2006	45-54	F	458722
New South Wales	2006	45-54	M	445616
New South Wales	2006	55-64	F	359399
New South Wales	2006	55-64	M	360149
New South Wales	2006	65-74	F	239816
New South Wales	2006	65-74	M	225505
New South Wales	2006	75-84	F	186585
New South Wales	2006	75-84	M	142213
New South Wales	2006	85+	F	75625
New South Wales	2006	85+	M	36034
New South Wales	2011	0-4	F	223400
New South Wales	2011	0-4	M	235335
New South Wales	2011	5-14	F	424538
New South Wales	2011	5-14	M	449234
New South Wales	2011	15-19	F	215190
New South Wales	2011	15-19	M	228225
New South Wales	2011	20-24	F	222735
New South Wales	2011	20-24	M	226956
New South Wales	2011	25-34	F	477188
New South Wales	2011	25-34	M	464305
New South Wales	2011	35-44	F	497826
New South Wales	2011	35-44	M	473804
New South Wales	2011	45-54	F	483242
New South Wales	2011	45-54	M	467204
New South Wales	2011	55-64	F	410158
New South Wales	2011	55-64	M	400129
New South Wales	2011	65-74	F	276600
New South Wales	2011	65-74	M	265087
New South Wales	2011	75-84	F	186058
New South Wales	2011	75-84	M	150698
New South Wales	2011	85+	F	91852
New South Wales	2011	85+	M	47883
New South Wales	2016	0-4	F	226279
New South Wales	2016	0-4	M	238859
New South Wales	2016	5-14	F	448106
New South Wales	2016	5-14	M	473094
New South Wales	2016	15-19	F	218321
New South Wales	2016	15-19	M	230103
New South Wales	2016	20-24	F	241181
New South Wales	2016	20-24	M	248490
New South Wales	2016	25-34	F	540962
New South Wales	2016	25-34	M	526560
New South Wales	2016	35-44	F	508625
New South Wales	2016	35-44	M	494264
New South Wales	2016	45-54	F	499528
New South Wales	2016	45-54	M	478458
New South Wales	2016	55-64	F	456703
New South Wales	2016	55-64	M	433059
New South Wales	2016	65-74	F	346555
New South Wales	2016	65-74	M	330471
New South Wales	2016	75-84	F	202200
New South Wales	2016	75-84	M	170912
New South Wales	2016	85+	F	105755
New South Wales	2016	85+	M	61753
Victoria	2006	0-4	F	149270
Victoria	2006	0-4	M	156664
Victoria	2006	5-14	F	313592
Victoria	2006	5-14	M	330864
Victoria	2006	15-19	F	163607
Victoria	2006	15-19	M	171578
Victoria	2006	20-24	F	167582
Victoria	2006	20-24	M	171130
Victoria	2006	25-34	F	344085
Victoria	2006	25-34	M	333795
Victoria	2006	35-44	F	381052
Victoria	2006	35-44	M	360299
Victoria	2006	45-54	F	346234
Victoria	2006	45-54	M	333284
Victoria	2006	55-64	F	270899
Victoria	2006	55-64	M	263586
Victoria	2006	65-74	F	179400
Victoria	2006	65-74	M	166127
Victoria	2006	75-84	F	139487
Victoria	2006	75-84	M	106018
Victoria	2006	85+	F	56802
Victoria	2006	85+	M	27075
Victoria	2011	0-4	F	167636
Victoria	2011	0-4	M	177098
Victoria	2011	5-14	F	318365
Victoria	2011	5-14	M	335694
Victoria	2011	15-19	F	168334
Victoria	2011	15-19	M	177010
Victoria	2011	20-24	F	184422
Victoria	2011	20-24	M	190684
Victoria	2011	25-34	F	383800
Victoria	2011	25-34	M	377081
Victoria	2011	35-44	F	397535
Victoria	2011	35-44	M	377081
Victoria	2011	45-54	F	371274
Victoria	2011	45-54	M	355201
Victoria	2011	55-64	F	313023
Victoria	2011	55-64	M	298227
Victoria	2011	65-74	F	207318
Victoria	2011	65-74	M	194910
Victoria	2011	75-84	F	140987
Victoria	2011	75-84	M	113371
Victoria	2011	85+	F	68727
Victoria	2011	85+	M	36269
Victoria	2016	0-4	F	180626
Victoria	2016	0-4	M	190593
Victoria	2016	5-14	F	345717
Victoria	2016	5-14	M	363984
Victoria	2016	15-19	F	174492
Victoria	2016	15-19	M	181849
Victoria	2016	20-24	F	204065
Victoria	2016	20-24	M	209733
Victoria	2016	25-34	F	452031
Victoria	2016	25-34	M	437167
Victoria	2016	35-44	F	409936
Victoria	2016	35-44	M	395979
Victoria	2016	45-54	F	401040
Victoria	2016	45-54	M	379374
Victoria	2016	55-64	F	349886
Victoria	2016	55-64	M	327567
