STE_NAME16	Year	overseas_visitors
New South Wales	2006	57047
New South Wales	2011	62084
New South Wales	2016	95913
Victoria	2006	34440
Victoria	2011	44149
Victoria	2016	73120
Queensland	2006	72921
Queensland	2011	65814
Queensland	2016	83946
South Australia	2006	9239
South Australia	2011	10446
South Australia	2016	14362
Western Australia	2006	21266
Western Australia	2011	24902
Western Australia	2016	31243
Tasmania	2006	1801
Tasmania	2011	2192
Tasmania	2016	2964
Northern Territory	2006	6661
Northern Territory	2011	6162
Northern Territory	2016	8980
Australian Capital Territory	2006	2919
Australian Capital Territory	2011	3656
Australian Capital Territory	2016	4878
Other Territories	2006	73
Other Territories	2011	41
Other Territories	2016	118
