STE_NAME16	Year	averageHouseholdSize
New South Wales	2006	2.6
Victoria	2006	2.6
Queensland	2006	2.6
South Australia	2006	2.4
Western Australia	2006	2.5
Tasmania	2006	2.4
Northern Territory	2006	2.9
Australian Capital Territory	2006	2.6
Other Territories	2006	2.9
New South Wales	2011	2.6
Victoria	2011	2.6
Queensland	2011	2.6
South Australia	2011	2.4
Western Australia	2011	2.6
Tasmania	2011	2.4
Northern Territory	2011	2.9
Australian Capital Territory	2011	2.6
Other Territories	2011	2.8
New South Wales	2016	2.6
Victoria	2016	2.6
Queensland	2016	2.6
South Australia	2016	2.4
Western Australia	2016	2.6
Tasmania	2016	2.3
Northern Territory	2016	2.9
Australian Capital Territory	2016	2.5
Other Territories	2016	2.6
