STE_NAME16	Year	Age.min	Sex	persons
New South Wales	2006			252357
New South Wales	2006	0	F	42464
New South Wales	2006	0	M	44708
New South Wales	2006	1	F	40423
New South Wales	2006	1	M	43463
New South Wales	2006	2	F	40138
New South Wales	2006	2	M	42659
New South Wales	2006	3	F	40570
New South Wales	2006	3	M	43094
New South Wales	2006	4	F	40321
New South Wales	2006	4	M	42601
New South Wales	2006	5	F	41444
New South Wales	2006	5	M	44218
New South Wales	2006	6	F	42414
New South Wales	2006	6	M	44625
New South Wales	2006	7	F	41842
New South Wales	2006	7	M	44088
New South Wales	2006	8	F	42078
New South Wales	2006	8	M	44038
New South Wales	2006	9	F	42388
New South Wales	2006	9	M	44784
New South Wales	2006	10	F	42552
New South Wales	2006	10	M	44874
New South Wales	2006	11	F	43867
New South Wales	2006	11	M	45785
New South Wales	2006	12	F	43591
New South Wales	2006	12	M	45912
New South Wales	2006	13	F	43818
New South Wales	2006	13	M	46154
New South Wales	2006	14	F	43420
New South Wales	2006	14	M	46592
New South Wales	2006	15	F	44219
New South Wales	2006	15	M	46621
New South Wales	2006	16	F	43876
New South Wales	2006	16	M	46850
New South Wales	2006	17	F	43234
New South Wales	2006	17	M	45460
New South Wales	2006	18	F	41255
New South Wales	2006	18	M	43436
New South Wales	2006	19	F	41702
New South Wales	2006	19	M	43207
New South Wales	2006	20	F	42165
New South Wales	2006	20	M	43824
New South Wales	2006	21	F	42568
New South Wales	2006	21	M	44023
New South Wales	2006	22	F	42444
New South Wales	2006	22	M	43105
New South Wales	2006	23	F	43428
New South Wales	2006	23	M	43653
New South Wales	2006	24	F	43062
New South Wales	2006	24	M	43579
New South Wales	2006	25	F	42845
New South Wales	2006	25	M	43419
New South Wales	2006	26	F	42162
New South Wales	2006	26	M	42060
New South Wales	2006	27	F	42458
New South Wales	2006	27	M	41649
New South Wales	2006	28	F	42632
New South Wales	2006	28	M	41360
New South Wales	2006	29	F	43641
New South Wales	2006	29	M	41922
New South Wales	2006	30	F	44186
