STE_NAME16	Year	Landlord	Rent.min	occupied_private_dwellings_being_rented
New South Wales	2006			1322
New South Wales	2006		0	14128
New South Wales	2006		3937	505
New South Wales	2006		5250	1093
New South Wales	2006		7875	824
New South Wales	2006		10500	451
New South Wales	2006		11812	563
New South Wales	2006		14437	392
New South Wales	2006		18375	240
New South Wales	2006		23625	97
New South Wales	2006		28875	74
New South Wales	2006		34125	35
New South Wales	2006		39375	18
New South Wales	2006		44625	8
New South Wales	2006		49875	137
New South Wales	2006	(Other)		2516
New South Wales	2006	(Other)	0	5696
New South Wales	2006	(Other)	3937	1459
New South Wales	2006	(Other)	5250	6111
New South Wales	2006	(Other)	7875	5518
New South Wales	2006	(Other)	10500	1749
New South Wales	2006	(Other)	11812	1887
New South Wales	2006	(Other)	14437	1231
New South Wales	2006	(Other)	18375	733
New South Wales	2006	(Other)	23625	318
New South Wales	2006	(Other)	28875	159
New South Wales	2006	(Other)	34125	93
New South Wales	2006	(Other)	39375	61
New South Wales	2006	(Other)	44625	44
New South Wales	2006	(Other)	49875	244
New South Wales	2006	Co-op/church group etc		1250
New South Wales	2006	Co-op/church group etc	0	4540
New South Wales	2006	Co-op/church group etc	3937	2711
New South Wales	2006	Co-op/church group etc	5250	3563
New South Wales	2006	Co-op/church group etc	7875	1125
New South Wales	2006	Co-op/church group etc	10500	443
New South Wales	2006	Co-op/church group etc	11812	461
New South Wales	2006	Co-op/church group etc	14437	249
New South Wales	2006	Co-op/church group etc	18375	167
New South Wales	2006	Co-op/church group etc	23625	72
New South Wales	2006	Co-op/church group etc	28875	41
New South Wales	2006	Co-op/church group etc	34125	36
New South Wales	2006	Co-op/church group etc	39375	26
New South Wales	2006	Co-op/church group etc	44625	7
New South Wales	2006	Co-op/church group etc	49875	117
New South Wales	2006	Person not in same household		5512
New South Wales	2006	Person not in same household	0	12323
New South Wales	2006	Person not in same household	3937	3332
New South Wales	2006	Person not in same household	5250	17980
New South Wales	2006	Person not in same household	7875	23676
New South Wales	2006	Person not in same household	10500	16650
New South Wales	2006	Person not in same household	11812	18358
New South Wales	2006	Person not in same household	14437	15006
New South Wales	2006	Person not in same household	18375	10045
New South Wales	2006	Person not in same household	23625	4271
New South Wales	2006	Person not in same household	28875	1929
New South Wales	2006	Person not in same household	34125	1011
New South Wales	2006	Person not in same household	39375	580
New South Wales	2006	Person not in same household	44625	335
New South Wales	2006	Person not in same household	49875	1374
New South Wales	2006	Real estate agent		6110
New South Wales	2006	Real estate agent	0	1714
New South Wales	2006	Real estate agent	3937	2873
New South Wales	2006	Real estate agent	5250	25565
New South Wales	2006	Real estate agent	7875	66102
New South Wales	2006	Real estate agent	10500	49247
New South Wales	2006	Real estate agent	11812	85061
New South Wales	2006	Real estate agent	14437	75002
New South Wales	2006	Real estate agent	18375	48726
New South Wales	2006	Real estate agent	23625	18441
New South Wales	2006	Real estate agent	28875	7679
New South Wales	2006	Real estate agent	34125	3558
New South Wales	2006	Real estate agent	39375	1878
New South Wales	2006	Real estate agent	44625	1049
New South Wales	2006	Real estate agent	49875	3238
New South Wales	2006	State or territory housing authority		6662
New South Wales	2006	State or territory housing authority	0	37590
New South Wales	2006	State or territory housing authority	3937	15806
New South Wales	2006	State or territory housing authority	5250	26068
New South Wales	2006	State or territory housing authority	7875	11751
New South Wales	2006	State or territory housing authority	10500	4249
New South Wales	2006	State or territory housing authority	11812	3188
New South Wales	2006	State or territory housing authority	14437	1182
New South Wales	2006	State or territory housing authority	18375	415
New South Wales	2006	State or territory housing authority	23625	144
New South Wales	2006	State or territory housing authority	28875	283
New South Wales	2006	State or territory housing authority	34125	72
New South Wales	2006	State or territory housing authority	39375	57
New South Wales	2006	State or territory housing authority	44625	60
New South Wales	2006	State or territory housing authority	49875	1970
New South Wales	2011			1509
New South Wales	2011		0	10704
New South Wales	2011		3937	309
New South Wales	2011		5250	561
New South Wales	2011		7875	528
New South Wales	2011		10500	276
New South Wales	2011		11812	391
New South Wales	2011		14437	591
New South Wales	2011		18375	548
New South Wales	2011		23625	266
New South Wales	2011		28875	122
New South Wales	2011		34125	62
New South Wales	2011		39375	48
New South Wales	2011		44625	26
New South Wales	2011		49875	113
New South Wales	2011	(Other)		3079
New South Wales	2011	(Other)	0	5033
New South Wales	2011	(Other)	3937	924
New South Wales	2011	(Other)	5250	3406
New South Wales	2011	(Other)	7875	3875
New South Wales	2011	(Other)	10500	3283
New South Wales	2011	(Other)	11812	2894
New South Wales	2011	(Other)	14437	2878
New South Wales	2011	(Other)	18375	2251
New South Wales	2011	(Other)	23625	883
New South Wales	2011	(Other)	28875	431
New South Wales	2011	(Other)	34125	244
New South Wales	2011	(Other)	39375	142
New South Wales	2011	(Other)	44625	74
New South Wales	2011	(Other)	49875	344
New South Wales	2011	Co-op/church group etc		1638
New South Wales	2011	Co-op/church group etc	0	2101
New South Wales	2011	Co-op/church group etc	3937	1938
New South Wales	2011	Co-op/church group etc	5250	4787
New South Wales	2011	Co-op/church group etc	7875	3018
New South Wales	2011	Co-op/church group etc	10500	1035
New South Wales	2011	Co-op/church group etc	11812	1215
New South Wales	2011	Co-op/church group etc	14437	898
New South Wales	2011	Co-op/church group etc	18375	437
New South Wales	2011	Co-op/church group etc	23625	159
New South Wales	2011	Co-op/church group etc	28875	106
New South Wales	2011	Co-op/church group etc	34125	55
New South Wales	2011	Co-op/church group etc	39375	55
New South Wales	2011	Co-op/church group etc	44625	28
New South Wales	2011	Co-op/church group etc	49875	20
New South Wales	2011	Person not in same household		7203
New South Wales	2011	Person not in same household	0	12673
New South Wales	2011	Person not in same household	3937	1708
New South Wales	2011	Person not in same household	5250	10598
New South Wales	2011	Person not in same household	7875	15524
New South Wales	2011	Person not in same household	10500	12384
New South Wales	2011	Person not in same household	11812	16848
New South Wales	2011	Person not in same household	14437	23451
New South Wales	2011	Person not in same household	18375	21364
New South Wales	2011	Person not in same household	23625	10920
New South Wales	2011	Person not in same household	28875	5763
New South Wales	2011	Person not in same household	34125	3088
New South Wales	2011	Person not in same household	39375	1951
New South Wales	2011	Person not in same household	44625	1052
New South Wales	2011	Person not in same household	49875	2806
New South Wales	2011	Real estate agent		7459
New South Wales	2011	Real estate agent	0	1375
New South Wales	2011	Real estate agent	3937	825
New South Wales	2011	Real estate agent	5250	9493
New South Wales	2011	Real estate agent	7875	24453
New South Wales	2011	Real estate agent	10500	19397
New South Wales	2011	Real estate agent	11812	46851
New South Wales	2011	Real estate agent	14437	91894
New South Wales	2011	Real estate agent	18375	109616
New South Wales	2011	Real estate agent	23625	58708
New South Wales	2011	Real estate agent	28875	30057
New South Wales	2011	Real estate agent	34125	15291
New South Wales	2011	Real estate agent	39375	8097
New South Wales	2011	Real estate agent	44625	4460
New South Wales	2011	Real estate agent	49875	8714
New South Wales	2011	State or territory housing authority		6954
New South Wales	2011	State or territory housing authority	0	12167
New South Wales	2011	State or territory housing authority	3937	30617
New South Wales	2011	State or territory housing authority	5250	23991
New South Wales	2011	State or territory housing authority	7875	16479
New South Wales	2011	State or territory housing authority	10500	5701
New South Wales	2011	State or territory housing authority	11812	6346
New South Wales	2011	State or territory housing authority	14437	4428
New South Wales	2011	State or territory housing authority	18375	1664
New South Wales	2011	State or territory housing authority	23625	421
New South Wales	2011	State or territory housing authority	28875	240
New South Wales	2011	State or territory housing authority	34125	127
New South Wales	2011	State or territory housing authority	39375	281
New South Wales	2011	State or territory housing authority	44625	83
New South Wales	2011	State or territory housing authority	49875	43
New South Wales	2016			1234
New South Wales	2016		0	9204
New South Wales	2016		3937	113
New South Wales	2016		5250	549
New South Wales	2016		7875	560
New South Wales	2016		10500	302
New South Wales	2016		11812	380
New South Wales	2016		14437	577
New South Wales	2016		18375	663
New South Wales	2016		23625	387
New South Wales	2016		28875	185
New South Wales	2016		34125	124
New South Wales	2016		39375	56
New South Wales	2016		44625	31
New South Wales	2016		49875	66
New South Wales	2016	(Other)		2831
New South Wales	2016	(Other)	0	4057
New South Wales	2016	(Other)	3937	554
New South Wales	2016	(Other)	5250	2049
New South Wales	2016	(Other)	7875	2627
New South Wales	2016	(Other)	10500	1551
New South Wales	2016	(Other)	11812	4175
New South Wales	2016	(Other)	14437	3094
New South Wales	2016	(Other)	18375	3125
New South Wales	2016	(Other)	23625	1685
New South Wales	2016	(Other)	28875	817
New South Wales	2016	(Other)	34125	460
New South Wales	2016	(Other)	39375	265
New South Wales	2016	(Other)	44625	158
New South Wales	2016	(Other)	49875	461
New South Wales	2016	Co-op/church group etc		1681
New South Wales	2016	Co-op/church group etc	0	1234
New South Wales	2016	Co-op/church group etc	3937	1217
New South Wales	2016	Co-op/church group etc	5250	2680
New South Wales	2016	Co-op/church group etc	7875	4313
New South Wales	2016	Co-op/church group etc	10500	1498
New South Wales	2016	Co-op/church group etc	11812	1535
New South Wales	2016	Co-op/church group etc	14437	1528
New South Wales	2016	Co-op/church group etc	18375	1232
New South Wales	2016	Co-op/church group etc	23625	409
New South Wales	2016	Co-op/church group etc	28875	149
New South Wales	2016	Co-op/church group etc	34125	114
New South Wales	2016	Co-op/church group etc	39375	58
New South Wales	2016	Co-op/church group etc	44625	35
New South Wales	2016	Co-op/church group etc	49875	17
New South Wales	2016	Person not in same household		7588
New South Wales	2016	Person not in same household	0	12752
New South Wales	2016	Person not in same household	3937	865
New South Wales	2016	Person not in same household	5250	6086
New South Wales	2016	Person not in same household	7875	10145
New South Wales	2016	Person not in same household	10500	9726
New South Wales	2016	Person not in same household	11812	13126
New South Wales	2016	Person not in same household	14437	20984
New South Wales	2016	Person not in same household	18375	26329
New South Wales	2016	Person not in same household	23625	16276
New South Wales	2016	Person not in same household	28875	9308
New South Wales	2016	Person not in same household	34125	5544
New South Wales	2016	Person not in same household	39375	3383
New South Wales	2016	Person not in same household	44625	1943
New South Wales	2016	Person not in same household	49875	4275
New South Wales	2016	Real estate agent		8459
New South Wales	2016	Real estate agent	0	1356
New South Wales	2016	Real estate agent	3937	382
New South Wales	2016	Real estate agent	5250	3908
New South Wales	2016	Real estate agent	7875	13734
New South Wales	2016	Real estate agent	10500	12337
New South Wales	2016	Real estate agent	11812	29692
New South Wales	2016	Real estate agent	14437	70467
New South Wales	2016	Real estate agent	18375	138648
New South Wales	2016	Real estate agent	23625	102774
New South Wales	2016	Real estate agent	28875	62744
New South Wales	2016	Real estate agent	34125	35283
New South Wales	2016	Real estate agent	39375	18131
New South Wales	2016	Real estate agent	44625	10165
New South Wales	2016	Real estate agent	49875	17490
New South Wales	2016	State or territory housing authority		5927
New South Wales	2016	State or territory housing authority	0	5503
New South Wales	2016	State or territory housing authority	3937	4751
New South Wales	2016	State or territory housing authority	5250	37701
New South Wales	2016	State or territory housing authority	7875	19947
New South Wales	2016	State or territory housing authority	10500	8938
New South Wales	2016	State or territory housing authority	11812	7904
New South Wales	2016	State or territory housing authority	14437	7864
New South Wales	2016	State or territory housing authority	18375	5007
New South Wales	2016	State or territory housing authority	23625	1242
New South Wales	2016	State or territory housing authority	28875	390
New South Wales	2016	State or territory housing authority	34125	201
New South Wales	2016	State or territory housing authority	39375	94
New South Wales	2016	State or territory housing authority	44625	47
New South Wales	2016	State or territory housing authority	49875	46
Victoria	2006			922
Victoria	2006		0	9665
Victoria	2006		3937	276
Victoria	2006		5250	644
Victoria	2006		7875	694
Victoria	2006		10500	268
Victoria	2006		11812	261
Victoria	2006		14437	169
Victoria	2006		18375	90
Victoria	2006		23625	42
Victoria	2006		28875	24
Victoria	2006		34125	15
Victoria	2006		39375	7
Victoria	2006		44625	3
Victoria	2006		49875	71
Victoria	2006	(Other)		1557
Victoria	2006	(Other)	0	2941
Victoria	2006	(Other)	3937	963
Victoria	2006	(Other)	5250	3380
Victoria	2006	(Other)	7875	3944
Victoria	2006	(Other)	10500	954
Victoria	2006	(Other)	11812	772
Victoria	2006	(Other)	14437	529
Victoria	2006	(Other)	18375	299
Victoria	2006	(Other)	23625	129
Victoria	2006	(Other)	28875	71
Victoria	2006	(Other)	34125	54
Victoria	2006	(Other)	39375	38
Victoria	2006	(Other)	44625	11
Victoria	2006	(Other)	49875	165
Victoria	2006	Co-op/church group etc		665
Victoria	2006	Co-op/church group etc	0	2095
Victoria	2006	Co-op/church group etc	3937	1496
Victoria	2006	Co-op/church group etc	5250	1626
Victoria	2006	Co-op/church group etc	7875	891
Victoria	2006	Co-op/church group etc	10500	259
Victoria	2006	Co-op/church group etc	11812	254
Victoria	2006	Co-op/church group etc	14437	152
Victoria	2006	Co-op/church group etc	18375	63
Victoria	2006	Co-op/church group etc	23625	30
Victoria	2006	Co-op/church group etc	28875	17
Victoria	2006	Co-op/church group etc	34125	12
Victoria	2006	Co-op/church group etc	39375	8
Victoria	2006	Co-op/church group etc	44625	8
Victoria	2006	Co-op/church group etc	49875	61
Victoria	2006	Person not in same household		4700
Victoria	2006	Person not in same household	0	10522
Victoria	2006	Person not in same household	3937	3449
Victoria	2006	Person not in same household	5250	18602
Victoria	2006	Person not in same household	7875	26131
Victoria	2006	Person not in same household	10500	11873
Victoria	2006	Person not in same household	11812	10526
Victoria	2006	Person not in same household	14437	7300
Victoria	2006	Person not in same household	18375	3628
Victoria	2006	Person not in same household	23625	1398
Victoria	2006	Person not in same household	28875	586
Victoria	2006	Person not in same household	34125	335
Victoria	2006	Person not in same household	39375	257
Victoria	2006	Person not in same household	44625	167
Victoria	2006	Person not in same household	49875	905
Victoria	2006	Real estate agent		4793
Victoria	2006	Real estate agent	0	1399
Victoria	2006	Real estate agent	3937	2588
Victoria	2006	Real estate agent	5250	26038
Victoria	2006	Real estate agent	7875	71462
Victoria	2006	Real estate agent	10500	38070
Victoria	2006	Real estate agent	11812	48555
Victoria	2006	Real estate agent	14437	33744
Victoria	2006	Real estate agent	18375	17086
Victoria	2006	Real estate agent	23625	5132
Victoria	2006	Real estate agent	28875	1965
Victoria	2006	Real estate agent	34125	1091
Victoria	2006	Real estate agent	39375	760
Victoria	2006	Real estate agent	44625	482
Victoria	2006	Real estate agent	49875	1961
Victoria	2006	State or territory housing authority		3620
Victoria	2006	State or territory housing authority	0	19423
Victoria	2006	State or territory housing authority	3937	9438
Victoria	2006	State or territory housing authority	5250	13071
Victoria	2006	State or territory housing authority	7875	5875
Victoria	2006	State or territory housing authority	10500	1406
Victoria	2006	State or territory housing authority	11812	625
Victoria	2006	State or territory housing authority	14437	205
Victoria	2006	State or territory housing authority	18375	107
Victoria	2006	State or territory housing authority	23625	53
Victoria	2006	State or territory housing authority	28875	127
Victoria	2006	State or territory housing authority	34125	55
Victoria	2006	State or territory housing authority	39375	42
Victoria	2006	State or territory housing authority	44625	30
Victoria	2006	State or territory housing authority	49875	897
Victoria	2011			1161
Victoria	2011		0	8033
Victoria	2011		3937	177
Victoria	2011		5250	397
Victoria	2011		7875	398
Victoria	2011		10500	199
Victoria	2011		11812	404
Victoria	2011		14437	517
Victoria	2011		18375	281
Victoria	2011		23625	114
Victoria	2011		28875	47
Victoria	2011		34125	27
Victoria	2011		39375	17
Victoria	2011		44625	16
Victoria	2011		49875	58
Victoria	2011	(Other)		2044
Victoria	2011	(Other)	0	2476
Victoria	2011	(Other)	3937	633
Victoria	2011	(Other)	5250	2186
Victoria	2011	(Other)	7875	2639
Victoria	2011	(Other)	10500	1835
Victoria	2011	(Other)	11812	2040
Victoria	2011	(Other)	14437	2166
Victoria	2011	(Other)	18375	875
Victoria	2011	(Other)	23625	364
Victoria	2011	(Other)	28875	198
Victoria	2011	(Other)	34125	91
Victoria	2011	(Other)	39375	81
Victoria	2011	(Other)	44625	46
Victoria	2011	(Other)	49875	234
Victoria	2011	Co-op/church group etc		788
Victoria	2011	Co-op/church group etc	0	1061
Victoria	2011	Co-op/church group etc	3937	1113
Victoria	2011	Co-op/church group etc	5250	2256
Victoria	2011	Co-op/church group etc	7875	1749
Victoria	2011	Co-op/church group etc	10500	608
Victoria	2011	Co-op/church group etc	11812	629
Victoria	2011	Co-op/church group etc	14437	461
Victoria	2011	Co-op/church group etc	18375	217
Victoria	2011	Co-op/church group etc	23625	83
Victoria	2011	Co-op/church group etc	28875	44
Victoria	2011	Co-op/church group etc	34125	21
Victoria	2011	Co-op/church group etc	39375	12
Victoria	2011	Co-op/church group etc	44625	10
Victoria	2011	Co-op/church group etc	49875	7
Victoria	2011	Person not in same household		6023
Victoria	2011	Person not in same household	0	10584
Victoria	2011	Person not in same household	3937	1685
Victoria	2011	Person not in same household	5250	10297
Victoria	2011	Person not in same household	7875	14764
Victoria	2011	Person not in same household	10500	10766
Victoria	2011	Person not in same household	11812	15492
Victoria	2011	Person not in same household	14437	19031
Victoria	2011	Person not in same household	18375	11421
Victoria	2011	Person not in same household	23625	4877
Victoria	2011	Person not in same household	28875	2059
Victoria	2011	Person not in same household	34125	1060
Victoria	2011	Person not in same household	39375	600
Victoria	2011	Person not in same household	44625	333
Victoria	2011	Person not in same household	49875	1351
Victoria	2011	Real estate agent		6386
Victoria	2011	Real estate agent	0	1049
Victoria	2011	Real estate agent	3937	723
Victoria	2011	Real estate agent	5250	7564
Victoria	2011	Real estate agent	7875	22565
Victoria	2011	Real estate agent	10500	19751
Victoria	2011	Real estate agent	11812	52775
Victoria	2011	Real estate agent	14437	92152
Victoria	2011	Real estate agent	18375	69405
Victoria	2011	Real estate agent	23625	25687
Victoria	2011	Real estate agent	28875	10362
Victoria	2011	Real estate agent	34125	4841
Victoria	2011	Real estate agent	39375	2362
Victoria	2011	Real estate agent	44625	1366
Victoria	2011	Real estate agent	49875	4185
Victoria	2011	State or territory housing authority		3784
Victoria	2011	State or territory housing authority	0	5579
