STE_NAME16	Year	medianTotalHouseholdIncomeWeekly
New South Wales	2006	1039
Victoria	2006	1024
Queensland	2006	1036
South Australia	2006	885
Western Australia	2006	1071
Tasmania	2006	800
Northern Territory	2006	1193
Australian Capital Territory	2006	1450
Other Territories	2006	1184
New South Wales	2011	1233
Victoria	2011	1214
Queensland	2011	1227
South Australia	2011	1042
Western Australia	2011	1405
Tasmania	2011	947
Northern Territory	2011	1589
Australian Capital Territory	2011	1883
Other Territories	2011	1660
New South Wales	2016	1482
Victoria	2016	1417
Queensland	2016	1392
South Australia	2016	1204
Western Australia	2016	1582
Tasmania	2016	1099
Northern Territory	2016	1915
Australian Capital Territory	2016	2067
Other Territories	2016	1398
