STE_NAME16	Year	Age	NonSchoolQualification	Sex	adults
New South Wales	2006	15-19		F	26402
New South Wales	2006	15-19		M	29075
New South Wales	2006	15-19	Certificate nfd	F	1203
New South Wales	2006	15-19	Certificate nfd	M	732
New South Wales	2006	15-19	Certificate I and II Level	F	3357
New South Wales	2006	15-19	Certificate I and II Level	M	1969
New South Wales	2006	15-19	Certificate III and IV Level	F	6167
New South Wales	2006	15-19	Certificate III and IV Level	M	6766
New South Wales	2006	15-19	Advanced Diploma and Diploma	F	1882
New South Wales	2006	15-19	Advanced Diploma and Diploma	M	939
New South Wales	2006	15-19	Bachelor	F	274
New South Wales	2006	15-19	Bachelor	M	251
New South Wales	2006	15-19	Graduate Diploma and Graduate Certificate	F	32
New South Wales	2006	15-19	Graduate Diploma and Graduate Certificate	M	10
New South Wales	2006	15-19	Postgraduate	F	35
New South Wales	2006	15-19	Postgraduate	M	46
New South Wales	2006	20-24		F	22921
New South Wales	2006	20-24		M	28128
New South Wales	2006	20-24	Certificate nfd	F	3920
New South Wales	2006	20-24	Certificate nfd	M	2455
New South Wales	2006	20-24	Certificate I and II Level	F	6904
New South Wales	2006	20-24	Certificate I and II Level	M	4143
New South Wales	2006	20-24	Certificate III and IV Level	F	25416
New South Wales	2006	20-24	Certificate III and IV Level	M	35980
New South Wales	2006	20-24	Advanced Diploma and Diploma	F	17434
New South Wales	2006	20-24	Advanced Diploma and Diploma	M	12323
New South Wales	2006	20-24	Bachelor	F	33576
New South Wales	2006	20-24	Bachelor	M	21772
New South Wales	2006	20-24	Graduate Diploma and Graduate Certificate	F	840
New South Wales	2006	20-24	Graduate Diploma and Graduate Certificate	M	330
New South Wales	2006	20-24	Postgraduate	F	1644
New South Wales	2006	20-24	Postgraduate	M	1438
New South Wales	2006	25-34		F	49413
New South Wales	2006	25-34		M	55612
New South Wales	2006	25-34	Certificate nfd	F	12338
New South Wales	2006	25-34	Certificate nfd	M	5574
New South Wales	2006	25-34	Certificate I and II Level	F	10633
New South Wales	2006	25-34	Certificate I and II Level	M	4606
New South Wales	2006	25-34	Certificate III and IV Level	F	46141
New South Wales	2006	25-34	Certificate III and IV Level	M	97275
New South Wales	2006	25-34	Advanced Diploma and Diploma	F	48213
New South Wales	2006	25-34	Advanced Diploma and Diploma	M	33322
New South Wales	2006	25-34	Bachelor	F	112563
New South Wales	2006	25-34	Bachelor	M	81027
New South Wales	2006	25-34	Graduate Diploma and Graduate Certificate	F	8370
New South Wales	2006	25-34	Graduate Diploma and Graduate Certificate	M	4564
New South Wales	2006	25-34	Postgraduate	F	21037
New South Wales	2006	25-34	Postgraduate	M	19939
New South Wales	2006	35-44		F	58051
New South Wales	2006	35-44		M	54373
New South Wales	2006	35-44	Certificate nfd	F	16353
New South Wales	2006	35-44	Certificate nfd	M	6595
New South Wales	2006	35-44	Certificate I and II Level	F	9457
New South Wales	2006	35-44	Certificate I and II Level	M	3467
New South Wales	2006	35-44	Certificate III and IV Level	F	43268
