SA4_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
101,512,241,134,59,943,598,209,79,36,925,953,409,133,73,1573,527,233,67,15,849,324,139,43,22,528,121,56,19,5,199,88,63,13,10,174,49,25,11,3,92,397,286,105,57,846,140,50,14,14,223,4945,2392,871,381,8589
102,933,520,251,88,1802,1214,458,213,96,1984,1977,955,315,122,3369,1093,555,168,65,1879,550,336,101,34,1019,206,133,39,10,386,131,124,42,14,311,69,40,9,3,118,750,562,238,86,1629,222,86,30,5,345,9431,5010,1791,634,16863
103,618,300,157,66,1142,603,234,99,72,1003,918,401,162,71,1559,439,209,64,11,720,254,127,37,18,431,69,35,5,3,119,55,37,19,8,111,28,11,0,0,45,363,245,120,81,812,163,79,23,11,279,4951,2433,1035,462,8879
104,516,245,110,57,926,517,242,93,51,907,771,361,106,46,1275,287,160,45,26,518,151,62,19,12,242,40,25,0,0,72,27,22,4,6,55,22,5,0,0,35,284,209,97,51,641,104,45,20,4,170,3818,1972,684,338,6800
105,334,177,120,48,682,399,160,72,53,679,561,260,106,63,991,235,113,40,21,412,147,70,30,13,257,39,33,8,4,73,40,19,7,6,71,26,4,3,0,33,244,163,81,54,535,154,71,26,25,282,3059,1609,732,392,5786
106,753,469,256,89,1575,845,341,126,94,1408,1350,631,218,95,2299,627,402,106,40,1177,314,197,49,20,584,131,60,11,7,214,83,68,24,5,171,49,19,14,3,77,454,339,156,83,1032,157,91,43,9,299,6582,3721,1428,619,12349
107,861,417,163,63,1500,932,386,124,63,1502,1595,733,211,74,2611,859,455,146,50,1501,495,317,65,23,899,190,124,46,14,368,120,102,28,12,263,75,54,18,4,148,554,433,174,86,1248,172,67,22,10,273,7688,4079,1321,494,13577
108,730,368,180,88,1368,897,321,103,94,1421,1114,479,144,82,1813,463,247,68,36,813,187,84,29,15,317,62,31,3,3,105,39,32,13,4,93,35,8,5,0,51,451,319,129,74,979,202,66,35,19,328,5911,2853,1036,571,10374
109,292,142,72,28,538,346,120,54,31,558,490,224,67,31,804,204,127,41,16,395,110,58,10,5,182,42,23,4,0,73,30,13,13,0,55,18,7,3,0,29,201,110,65,29,408,77,36,13,14,147,2571,1273,510,201,4548
110,551,274,157,72,1053,577,211,108,75,977,862,384,108,71,1433,406,181,72,25,692,170,87,19,11,275,64,32,13,3,110,39,19,18,4,82,28,12,3,3,46,329,214,109,81,738,163,74,34,22,293,4527,2251,977,517,8280
111,1123,508,211,90,1936,1216,480,179,80,1958,2224,918,321,111,3570,1122,591,154,45,1917,610,325,86,13,1036,233,133,36,10,407,134,124,28,4,286,88,44,15,3,157,756,459,195,76,1486,198,81,19,10,304,9981,4911,1619,590,17101
112,836,400,184,84,1498,913,337,109,64,1431,1491,639,176,63,2363,607,316,75,37,1033,269,156,40,17,482,92,55,14,7,166,49,46,16,5,112,37,12,9,0,53,558,389,130,76,1150,166,73,29,16,281,6977,3394,1054,456,11888
113,363,167,113,54,696,458,176,83,48,770,704,288,123,48,1167,353,176,64,13,604,164,76,23,8,278,67,33,11,3,113,38,34,17,8,99,31,13,3,0,47,252,172,93,57,571,120,50,19,22,212,3481,1740,768,365,6351
114,419,214,103,44,774,497,192,84,41,812,727,317,91,53,1190,292,159,46,17,515,180,91,30,9,310,45,28,14,9,96,30,31,6,4,71,29,20,4,0,50,281,237,88,39,649,87,51,16,8,159,3522,1856,661,287,6328
115,215,138,36,10,392,264,155,40,22,475,659,339,112,25,1142,511,297,73,14,894,366,281,64,13,729,198,128,30,10,364,174,163,50,23,411,108,120,28,15,268,265,242,97,22,627,54,28,9,3,89,3389,2220,649,178,6440
116,785,424,235,150,1592,896,394,202,108,1599,1775,844,287,185,3086,967,582,190,103,1838,659,403,105,61,1222,275,221,69,30,601,159,177,79,36,448,63,80,38,23,206,478,412,222,152,1261,246,107,42,38,433,8201,4792,1956,1118,16065
117,446,117,30,12,602,542,133,31,9,708,972,323,71,19,1390,693,246,51,12,1005,487,208,25,8,726,204,74,19,4,296,265,148,21,0,436,151,82,19,3,254,434,207,73,19,729,116,31,12,6,159,5462,2015,457,116,8052
118,316,106,26,12,464,442,123,23,10,599,930,356,79,14,1381,730,255,57,11,1049,560,248,43,3,857,218,101,11,3,338,349,229,46,6,631,222,120,25,8,372,419,315,89,29,853,99,32,8,0,144,5147,2265,495,100,8011
119,1342,509,268,107,2218,1579,512,195,83,2371,2896,1146,374,153,4564,1791,807,202,79,2880,1067,587,160,57,1874,526,325,92,28,974,290,333,114,56,796,163,169,64,34,421,890,719,290,153,2049,263,118,44,27,452,14193,6956,2418,1051,24621
120,501,144,39,12,690,578,192,29,14,810,1289,445,82,17,1829,857,359,66,13,1292,652,297,57,15,1013,327,128,25,4,490,317,229,49,10,607,171,113,36,5,327,440,326,79,22,861,82,32,11,3,126,6533,2751,579,141,10003
121,411,163,30,10,621,529,190,44,7,766,1366,523,106,27,2022,1021,474,109,16,1611,828,419,67,15,1331,380,155,47,5,583,520,392,105,12,1030,388,223,51,18,678,573,484,157,26,1241,94,31,12,0,138,7390,3631,871,169,12055
122,278,127,41,8,460,398,180,39,13,629,953,432,108,23,1514,691,322,71,8,1094,535,284,79,15,910,232,104,22,6,365,209,213,59,8,490,146,105,30,13,299,428,342,131,24,919,86,43,10,3,136,4572,2481,690,138,7884
123,660,367,209,109,1346,730,328,164,76,1293,1451,686,250,115,2500,841,467,143,68,1514,490,317,90,32,929,223,168,49,18,454,135,133,49,25,343,63,51,30,11,147,469,424,173,118,1185,169,82,27,25,311,6730,3983,1616,758,13085
124,752,396,214,71,1440,857,388,160,82,1498,1856,839,279,116,3091,1129,528,135,67,1857,703,366,115,34,1215,301,202,47,14,574,164,178,62,15,425,89,63,18,14,187,528,456,194,81,1254,172,77,28,15,295,8360,4513,1591,657,15126
125,889,375,188,89,1548,997,338,123,86,1554,2092,817,251,115,3283,1232,571,159,68,2031,753,438,124,48,1360,356,212,56,29,652,198,210,57,34,503,115,101,40,19,271,623,471,169,120,1391,198,83,30,24,338,9828,4843,1621,830,17126
126,253,95,26,5,372,306,109,29,9,455,712,273,55,15,1056,541,211,41,0,793,366,177,31,3,575,175,103,20,3,294,156,142,29,5,339,106,84,21,13,220,260,160,57,13,490,34,30,3,0,72,3608,1671,370,82,5737
127,1051,563,279,145,2042,1242,599,215,134,2192,2131,1142,403,173,3849,1189,729,270,110,2298,644,486,177,84,1383,268,252,97,42,658,192,246,108,58,593,74,103,57,39,284,636,539,280,162,1619,270,137,58,35,497,10525,6601,2628,1255,21012
128,333,152,40,16,539,429,190,52,13,693,982,432,99,30,1544,685,328,92,14,1127,526,240,55,7,827,247,150,32,3,437,172,163,52,11,393,116,96,37,3,247,381,301,109,39,826,73,41,12,3,135,4635,2479,677,173,7960
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,496,273,118,49,938,513,192,91,43,839,731,336,119,47,1234,331,175,58,13,582,130,94,25,3,250,46,31,13,3,94,36,33,13,7,88,25,5,4,0,40,301,187,92,48,626,107,46,11,18,176,3868,1989,778,314,6945
202,469,232,120,53,881,502,197,79,50,829,773,381,115,48,1314,374,178,40,21,608,160,84,28,10,286,48,31,10,4,93,29,29,12,0,72,30,13,3,0,45,291,246,90,48,678,90,25,21,3,142,3867,1966,692,300,6826
203,724,366,151,64,1312,765,382,133,59,1337,1378,685,226,65,2353,683,358,110,42,1189,381,183,60,17,650,129,65,12,3,205,71,79,22,7,178,62,15,12,4,95,513,352,147,71,1081,175,81,18,14,288,6613,3509,1171,466,11767
204,445,246,86,38,826,499,200,79,44,829,801,322,116,39,1274,361,158,50,15,585,173,83,19,6,288,48,41,14,6,106,38,24,9,4,73,17,13,6,0,36,303,241,108,37,681,102,46,26,11,179,3895,2030,729,274,6926
205,756,386,191,83,1415,764,334,136,80,1306,1202,516,182,80,1973,517,259,86,40,895,232,121,32,14,396,88,45,11,6,156,49,48,12,6,113,51,10,6,7,70,516,381,147,89,1124,190,65,25,12,296,6331,3294,1222,531,11382
206,858,262,66,36,1218,981,262,61,29,1340,1847,663,124,52,2682,1192,459,77,15,1741,848,370,63,15,1294,330,121,35,3,483,431,287,52,10,772,264,138,26,0,430,808,504,163,41,1509,210,77,32,28,348,10364,4114,953,346,15776
207,510,221,57,18,808,663,263,46,16,982,1402,582,126,25,2133,929,407,99,12,1454,681,357,74,16,1119,293,167,25,9,497,285,268,59,16,630,200,140,46,7,395,562,455,152,34,1203,133,35,9,3,178,7434,3696,867,204,12198
208,660,244,54,17,979,849,329,68,15,1263,1687,698,137,27,2555,1127,581,123,18,1848,765,449,82,21,1318,282,142,25,3,453,281,272,75,12,636,194,141,42,8,391,701,578,186,47,1510,151,57,11,3,229,8350,4244,954,213,13766
209,1122,534,200,63,1919,1262,549,189,67,2065,2455,1145,306,104,4011,1409,798,208,63,2477,806,485,118,37,1441,297,224,75,20,612,201,237,65,25,537,117,77,40,10,236,829,759,268,112,1972,289,129,42,21,472,11315,6310,1959,661,20235
210,810,427,180,73,1490,990,458,165,82,1698,1829,895,278,105,3106,1022,539,163,64,1786,586,337,104,39,1061,252,192,61,20,521,122,129,51,15,316,69,66,37,12,184,638,511,237,112,1501,216,98,38,22,385,8366,4837,1722,727,15660
211,1073,503,187,54,1815,1285,608,201,65,2165,2511,1170,332,90,4107,1456,800,225,56,2537,873,505,134,37,1541,356,257,63,14,687,197,218,68,15,495,123,99,36,12,276,964,763,269,90,2084,256,110,34,11,415,11372,6364,1913,543,20190
212,1587,866,335,135,2930,1921,820,320,135,3198,3610,1709,498,218,6040,1987,1109,305,119,3515,1100,705,208,63,2077,414,325,127,23,886,269,283,91,40,684,140,118,57,18,332,1149,955,387,209,2699,370,166,51,40,632,16838,9604,3169,1330,30938
213,1627,909,392,178,3105,2017,904,329,199,3445,3635,1818,549,246,6244,1875,1141,340,145,3500,1054,664,196,72,1983,405,342,119,28,894,241,298,91,51,683,125,123,41,22,309,1144,911,438,259,2751,377,231,83,93,786,16899,10150,3558,1749,32352
214,804,422,163,56,1441,940,399,134,63,1534,1727,769,192,69,2754,900,441,125,36,1503,442,269,74,11,793,149,88,28,10,281,116,104,28,8,252,51,42,11,3,106,635,549,208,79,1469,220,66,22,9,320,7805,4157,1258,427,13653
215,435,193,113,42,776,456,188,83,38,763,603,266,94,47,1009,242,124,35,24,418,106,61,14,0,185,37,20,6,0,66,18,10,15,3,47,26,7,3,4,37,236,170,77,50,534,116,46,24,11,196,3245,1670,653,291,5860
216,354,180,107,51,692,426,149,67,43,680,582,295,109,37,1025,255,131,24,15,427,107,64,25,8,201,47,23,7,3,82,21,24,11,3,52,17,3,5,0,27,203,151,89,50,488,97,47,16,6,168,2968,1520,647,293,5428
217,312,161,77,32,581,355,136,61,27,570,530,225,81,25,861,224,95,35,12,365,121,61,12,6,200,35,18,3,0,63,30,22,11,4,66,23,9,0,3,31,201,155,67,32,447,97,33,14,7,146,2667,1315,511,201,4699
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,505,263,102,44,917,610,319,86,48,1069,1262,613,192,64,2126,724,393,100,27,1244,416,234,51,15,718,197,109,25,11,338,129,108,28,6,273,66,38,21,3,121,345,301,103,39,786,95,50,15,5,164,5442,3020,887,342,9692
302,435,155,60,25,673,591,214,73,22,895,1296,502,129,49,1982,746,374,70,22,1221,469,217,53,20,763,200,78,32,7,316,119,89,24,3,233,63,47,8,4,122,313,268,93,41,713,78,28,14,3,135,5179,2443,690,245,8556
303,629,267,94,39,1035,760,298,81,44,1191,1637,664,185,78,2562,994,504,126,27,1651,628,343,72,27,1066,270,143,41,10,460,171,159,51,15,389,92,62,19,5,183,469,339,146,62,1011,109,42,19,14,180,7289,3606,1063,416,12379
304,227,119,33,19,395,274,143,35,16,468,691,364,87,20,1167,507,294,73,13,883,350,213,46,10,629,150,58,20,0,233,109,102,37,0,252,72,45,17,5,139,242,206,70,26,546,34,19,5,0,61,3250,1919,517,141,5833
305,274,97,16,3,396,343,132,33,5,512,839,295,62,19,1213,596,233,59,9,895,470,211,46,3,728,198,62,14,5,279,183,165,46,6,396,143,81,19,12,249,278,200,63,16,563,53,16,0,0,74,4145,1781,406,103,6428
306,705,379,189,117,1384,760,359,134,102,1350,1317,608,196,107,2233,618,303,100,50,1071,326,169,50,19,560,100,56,14,5,173,66,62,22,11,159,46,18,7,3,67,436,342,138,114,1032,178,70,32,33,311,6284,3275,1216,719,11494
307,312,158,123,48,636,330,136,57,44,561,512,204,74,48,843,214,87,22,16,335,94,38,13,3,147,41,23,3,0,70,28,19,3,0,56,18,5,7,0,25,176,116,64,47,402,82,31,12,9,131,2556,1292,534,279,4661
308,492,302,164,93,1054,539,274,109,67,992,872,397,141,81,1483,472,258,76,35,838,264,116,44,13,440,134,40,16,0,189,70,44,15,7,137,57,21,4,3,88,323,235,96,51,702,112,54,25,12,199,4740,2550,1025,498,8819
309,1556,823,342,107,2824,1894,811,237,94,3034,3457,1508,431,155,5551,1738,878,222,66,2907,908,506,128,41,1579,290,194,45,15,542,231,181,63,14,480,136,59,27,3,227,962,745,250,115,2075,258,134,35,11,439,14850,7661,2274,739,25530
310,877,547,350,177,1942,1073,494,223,172,1961,1846,944,311,221,3317,911,518,170,69,1659,471,281,85,48,876,176,109,40,12,332,70,89,28,19,206,44,39,15,8,101,507,413,189,133,1252,167,84,51,31,329,8407,4958,2014,1164,16543
311,915,568,314,162,1960,1016,483,196,183,1879,1841,957,362,175,3329,885,522,164,88,1655,458,291,91,39,882,182,128,36,19,367,93,106,34,15,246,44,35,13,10,95,543,397,193,144,1275,185,99,40,34,354,8461,5023,1985,1121,16591
312,362,212,104,50,732,385,179,83,39,679,625,310,96,53,1080,318,164,60,14,557,217,93,31,19,363,67,41,7,3,120,64,33,17,7,122,36,16,5,0,61,225,146,73,43,494,88,40,17,4,152,3332,1869,686,314,6208
313,708,432,254,118,1517,862,397,165,121,1543,1437,681,249,108,2473,673,349,115,39,1180,336,169,54,17,578,113,76,21,12,226,51,64,23,7,144,45,15,4,3,69,395,290,137,78,896,168,70,25,16,272,6570,3562,1409,645,12181
314,429,277,136,41,879,497,296,97,42,930,992,583,139,70,1774,608,349,95,36,1089,330,207,53,19,599,115,70,24,9,218,69,51,12,8,143,36,24,13,3,76,243,236,79,32,594,59,45,5,3,112,4268,2696,830,322,8118
