SA4_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
101,41,20,105,158,687,2501,127,84,1966,3295,5265,44919,44527,3201,3157,8379,9684,2707,8676,29810,25021,89016,91060,180076
102,63,43,220,395,1413,4665,149,183,3866,6407,10278,61857,62039,4701,5864,11885,17383,4251,14661,44915,39759,127602,139707,267307
103,23,30,83,126,658,2468,92,138,1824,3247,5075,39639,39221,2898,3135,6982,7997,2536,8586,29550,24709,81605,83644,165251
104,38,15,67,124,502,1901,70,62,1528,2526,4052,26277,26285,2153,2476,5774,7235,1840,6298,18308,15785,54349,58077,112427
105,10,10,66,70,359,1290,41,64,1033,1708,2741,20382,20108,1730,1836,3906,4189,1477,4854,17421,15243,44921,46226,91150
106,32,9,97,152,669,2563,90,105,1877,3341,5219,51392,51228,3756,4156,8936,11189,2829,9449,36362,30859,103276,106875,210150
107,38,19,101,201,919,3492,82,102,2721,4612,7332,57699,57849,3398,4074,8703,12295,3178,11497,43914,37111,116898,122829,239730
108,39,30,162,218,1037,3482,99,118,3030,4718,7749,43026,43000,3503,3828,9456,11211,3469,11256,26099,22642,85557,91932,177488
109,9,6,66,67,467,1501,69,53,1264,1939,3208,23273,23358,1606,1722,4070,4720,1604,5000,15574,13417,46131,48220,94353
110,20,17,70,109,515,2142,64,106,1470,2780,4248,34488,34408,2622,2880,5919,6809,2261,7837,25863,22838,71154,74766,145922
111,44,34,169,270,1320,4833,98,189,3517,6408,9928,67823,67959,4380,5159,11769,16501,4196,14782,55132,48003,143301,152388,295691
112,52,30,188,298,1052,3685,120,157,3063,4981,8042,44162,44202,3430,4012,10289,13686,3206,10948,34094,30502,95176,103343,198521
113,23,13,44,79,497,1976,66,83,1425,2528,3951,30940,30254,2065,2223,4431,5139,1776,6395,22603,19019,61810,63034,124846
114,33,11,94,155,630,1929,59,84,1843,2743,4588,31171,31013,2096,2298,5574,7419,2199,6795,18396,15711,59435,63242,122671
115,25,13,48,112,448,1870,34,90,1458,2541,4003,54135,54803,1558,2038,3888,6196,1494,6058,27081,23525,88161,92620,180785
116,22,19,68,137,454,1773,54,63,1258,2314,3575,68857,68413,3800,4828,7020,10366,2233,9212,47265,40326,129170,133145,262316
117,41,20,101,164,348,1483,178,175,1315,2111,3426,42549,41649,3118,3123,9288,11430,1474,6015,89194,77454,145631,139665,285297
118,36,25,123,295,654,2779,230,340,2306,4037,6342,44646,44504,2233,2615,6531,10061,1731,7840,53601,52516,108747,117535,226282
119,90,45,206,365,1650,6261,232,292,5108,8313,13419,120085,119516,6260,8007,14038,21089,4740,20125,82369,68102,227488,236840,464334
120,44,35,93,215,671,2837,168,275,2259,3896,6153,57699,57969,2481,3174,7123,11014,1935,8783,49646,47253,118885,128189,247072
121,53,25,156,358,1132,4466,163,412,3699,6440,10139,89130,90826,2921,3687,8189,14679,2858,12072,53101,52906,156196,174176,330375
122,37,18,133,322,808,3193,76,180,2456,4489,6945,53353,53587,2162,2589,6627,10268,2123,8444,33584,30289,97849,105173,203023
123,22,15,50,101,402,1586,37,43,1090,2083,3174,51113,51275,3225,4278,6478,9877,1867,6980,36239,32756,98925,105160,204085
124,29,18,81,196,603,2287,75,122,1557,3017,4571,57954,57922,3914,4888,8952,13697,2562,9092,45249,40554,118630,126160,244791
125,56,29,116,216,978,3669,117,176,2761,4823,7583,98434,94677,4811,5747,10288,14498,3194,13336,65551,49384,182276,177642,359916
126,13,9,61,169,587,2219,86,233,1790,3141,4930,40012,40438,1312,1589,3366,5689,1422,5884,26804,24707,72914,78304,151220
127,49,35,70,156,656,2625,72,90,2111,3432,5545,81035,80928,5218,6805,10106,14661,2710,12918,57757,48443,156827,163744,320571
128,23,18,67,217,731,2808,81,112,2123,3824,5949,47249,47479,2000,2537,5331,8426,1997,7645,28444,25223,85021,91312,176329
197,0,0,0,0,3,3,0,0,3,7,10,102,119,3,8,10,29,7,21,26,35,157,220,374
199,6,0,9,9,8,26,7,3,32,48,78,1157,1181,635,257,980,569,143,185,4049,2395,6958,4590,11545
201,23,21,62,113,466,1842,53,107,1291,2456,3745,29397,29384,2130,2507,5355,7216,1857,6302,23235,21140,61973,66545,128519
202,27,20,60,124,523,1831,85,101,1457,2500,3961,29206,29090,2089,2359,5207,7094,1811,5852,21856,20205,60173,64603,124780
203,41,20,96,185,930,3486,86,151,2667,4657,7326,55525,55301,3328,4112,8030,11724,3021,10800,39245,36031,109156,117970,227122
204,23,20,75,103,616,2154,83,84,1754,2840,4590,34394,34277,2533,2675,6306,7630,2199,7100,22974,19708,68406,71384,139788
205,37,21,124,182,962,3402,107,106,2763,4489,7251,55202,54956,4016,4471,10117,12324,3493,11837,35946,31236,108772,114826,223600
206,56,39,202,327,1024,4065,404,435,3585,5790,9372,84790,84918,5400,5968,15300,21275,3335,13679,142917,146709,251741,272543,524285
207,52,22,144,317,1230,4994,160,471,4013,7094,11110,76859,79105,2454,3270,6191,11331,3129,13215,53700,51089,142342,158013,300350
208,74,38,200,410,1501,5915,197,399,4481,8064,12538,82793,83317,3543,4509,9634,16111,3649,14832,56830,54629,156447,173391,329844
209,44,32,108,245,1237,4275,128,136,3427,5632,9057,101533,101742,5233,6606,11058,17117,4080,15242,72324,64575,194224,205282,399503
210,37,26,72,117,897,3157,88,70,2587,4063,6650,74431,74258,4174,5461,8357,12151,2951,12051,51585,43179,141503,147096,288599
211,61,31,172,321,1317,5127,128,180,3840,6801,10639,105751,106539,5009,6466,12851,20613,4327,16352,68955,61190,196894,211158,408056
212,76,45,175,322,1662,6189,156,226,5048,8254,13311,158954,157718,7724,9563,17162,25318,5733,22935,109675,90333,299248,305863,605115
213,44,42,118,208,1110,4260,130,142,3156,5539,8698,144085,142970,8768,11112,17398,24900,4693,18756,108246,91548,283202,289288,572482
214,75,32,141,245,1061,3457,73,112,3054,4721,7772,56433,56508,3959,4746,10112,15172,3362,11236,39703,36046,113561,123705,237269
215,19,10,64,70,602,2280,119,116,1789,3034,4819,30652,30258,2141,2261,5018,5550,2054,7287,21028,17105,60891,62466,123356
216,14,11,48,70,459,1650,61,52,1372,2213,3579,26459,26367,1917,2167,4359,5094,1716,5444,17421,14561,51868,53639,105507
217,14,10,52,56,472,1736,77,95,1270,2260,3529,24816,24802,1574,1714,3859,4879,1591,5597,17299,14552,49132,51535,100676
297,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,9,0,27,4,25
299,0,0,0,3,4,17,3,3,9,28,38,653,623,351,196,422,328,46,91,2462,1647,3942,2883,6825
301,28,18,87,168,606,2234,67,70,1719,2985,4703,45886,45987,2774,3439,7075,10225,2033,7517,29005,25779,86776,92945,179726
302,32,16,97,159,573,2527,85,229,1761,3436,5195,39135,39317,2411,2837,6180,9125,1715,7325,31781,29644,81219,88246,169465
303,31,28,95,221,726,3141,91,165,2164,4150,6313,66135,66754,3115,3831,7898,11904,2328,9545,56711,51295,136193,143334,279522
304,17,10,43,100,420,1751,30,92,1228,2375,3605,36385,36899,1359,1847,3533,6091,1171,4796,27238,25726,69686,75348,145038
305,11,13,66,159,326,1546,122,230,1051,2242,3291,39619,39739,2572,2584,7384,9320,1223,4704,56045,52285,106851,108640,215485
306,30,19,99,110,469,1752,97,75,1425,2298,3722,41565,41982,3390,3799,9281,10867,2116,7275,38303,33957,94652,97882,192534
307,16,4,50,62,340,1273,71,60,1025,1661,2685,25960,25831,1908,1785,4373,4391,1488,4718,16593,13353,50315,50080,100396
308,17,10,64,75,417,1463,85,97,1202,1960,3161,42612,41724,3270,3259,7423,7775,1947,6216,32504,26394,87751,85375,173127
309,78,46,312,467,1464,5363,188,166,4457,7405,11859,105855,106989,7540,9636,20308,29556,4948,18179,85532,77997,224184,242352,466532
310,27,21,85,103,523,1947,93,95,1548,2567,4113,57282,56770,4941,5858,9845,13080,2474,8558,48937,42542,123476,126812,250288
311,33,7,88,153,494,1702,38,56,1392,2288,3680,56736,56799,4604,5712,9524,13123,2395,8351,47096,41649,120357,125648,245998
312,15,10,48,64,287,1027,39,27,830,1336,2162,32977,32007,2632,2632,6180,5999,1491,4398,25794,20391,69072,65432,134500
313,37,23,136,192,695,2381,98,98,2054,3226,5282,44199,44250,3896,4658,8939,12088,2596,8957,32314,28613,91942,98562,190510
314,13,10,34,54,265,1076,30,41,759,1407,2169,39425,39814,2169,2883,4874,7387,1086,4175,25327,23219,72884,77481,150360
315,10,3,15,14,95,289,49,21,288,372,663,12333,11481,1046,853,2395,1957,725,1792,15392,13063,31893,29149,61037
316,54,31,188,329,1063,4012,106,120,3501,5580,9082,71318,71841,4446,5616,12644,18775,3508,12999,43663,39887,135585,149112,284697
317,21,12,56,87,367,1705,58,107,1197,2231,3431,29272,29422,1753,2205,4070,6294,1292,5687,20545,18687,56937,62298,119233
318,23,20,84,96,417,1599,77,61,1295,2101,3396,40238,40334,3002,3658,7406,9186,1868,6562,38621,32369,91141,92109,183253
319,44,21,173,216,898,2992,137,120,2842,4111,6953,58641,58539,4872,5385,12304,14001,3813,12357,36243,30780,115869,121064,236940
397,0,0,0,0,0,0,0,0,0,0,4,30,33,0,3,11,17,0,18,21,17,65,81,144
399,0,0,3,0,5,18,0,0,19,18,44,1793,2015,546,218,932,626,134,174,3106,2148,6509,5179,11693
401,41,29,147,294,1023,4153,120,254,3109,5636,8740,58800,59176,2662,3241,8044,12207,2710,11097,44641,40429,116855,126143,243000
402,46,31,132,246,1131,3721,79,81,3017,4910,7927,79534,78984,5544,6761,12883,18161,4206,14400,64972,54871,167148,173172,340320
403,57,44,148,340,1244,4830,82,165,3605,6533,10136,70596,71005,3946,4936,11278,17381,3524,13315,51173,46473,140522,153114,293636
404,39,21,127,212,921,3536,116,163,2646,4717,7369,42069,42182,2786,3221,7826,10523,2501,10290,38296,33120,93475,99334,192810
405,23,9,40,48,435,1556,59,56,1199,2003,3207,23754,23761,1576,1511,4273,4214,1575,5157,14210,11292,45391,45933,91328
406,14,7,33,46,208,781,40,16,627,1024,1644,15536,14878,1279,1206,2928,2877,958,3057,13575,10443,34274,32466,66735
407,37,12,95,118,676,2465,77,71,2128,3310,5433,39704,39028,2661,2647,7125,7858,2384,8042,24412,19306,76287,76886,153169
497,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3
499,0,0,0,0,5,7,3,0,13,7,22,311,311,141,86,220,110,40,27,920,487,1627,1016,2648
501,13,10,43,94,391,1529,28,43,1280,2039,3318,36092,36241,2277,2663,5841,7377,1586,5599,23065,19830,68864,71705,140569
502,15,5,52,81,314,980,18,17,1025,1388,2416,19934,20183,1432,1717,3509,4637,1127,3724,12183,10730,38182,40991,79180
503,22,11,91,153,389,1902,100,172,1346,2611,3961,31740,31845,1567,1656,4623,6466,1146,4988,31119,28156,70201,73108,143313
504,26,21,80,142,444,1772,47,58,1405,2360,3769,49010,48537,3200,3720,7276,10433,1778,6636,39266,32701,100526,102032,202559
505,54,28,148,303,968,4160,79,126,3243,5585,8828,108563,108962,5539,6980,13239,20920,3509,14690,78609,68552,209459,220096,429558
506,40,28,137,289,984,3852,126,149,2909,5171,8082,96691,95920,5388,6274,13070,18206,3458,13660,78539,64199,197142,198253,395396
507,45,28,130,243,895,3613,92,113,2745,4854,7599,79358,79609,4490,5615,11067,15961,3095,11738,59865,52741,157869,165658,323530
509,31,12,58,65,374,1220,57,25,1183,1655,2844,28998,28132,2117,1947,5107,5351,1569,4737,18242,13902,56035,54073,110110
510,3,0,11,4,37,64,14,19,78,98,184,18251,12248,1641,1069,3188,2149,386,883,19316,14342,42784,30698,73483
511,20,5,38,32,211,605,33,12,612,795,1411,22037,20988,1845,1687,4197,3952,1052,3143,19736,15410,48868,45174,94047
597,0,0,0,0,0,0,0,0,3,0,3,199,5,10,0,29,3,0,0,169,14,408,26,434
599,0,0,0,0,3,12,3,0,12,11,23,782,732,268,109,499,263,43,71,1740,1058,3336,2220,5559
601,25,15,81,155,695,2536,62,137,1906,3368,5275,40228,40212,2742,3352,7568,11000,2419,8588,34376,31775,87329,94929,182260
602,14,9,62,87,458,1614,52,86,1230,2141,3369,27278,27254,1899,2068,5127,6731,1820,5953,20164,17720,56285,59733,116022
603,4,8,13,18,95,218,24,21,271,326,600,7637,7627,641,502,1841,1673,537,1270,5095,4066,15753,15142,30898
604,19,13,44,69,315,1215,49,47,942,1587,2522,21412,21508,1592,1814,4112,5097,1411,4936,14825,12967,43356,46325,89678
697,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,3,0,0,0,20,6,49,18,73
699,0,0,0,0,0,0,0,0,0,0,3,87,81,37,32,62,60,6,12,298,174,481,350,835
701,5,6,32,37,94,235,24,10,273,356,626,25045,22883,1762,1715,4366,4631,668,2210,25987,20045,57821,51481,109301
702,3,0,5,16,38,130,22,18,116,192,310,15010,14553,1183,1298,2040,2174,662,2034,15092,13669,33985,33722,67701
797,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,4,0,0,24,7,61,9,72
799,0,0,0,0,0,0,0,0,0,0,0,406,402,61,31,143,85,26,28,605,491,1240,1043,2281
801,26,12,110,232,737,2784,78,109,2316,3839,6155,77380,77146,3669,4443,9750,15517,2631,9900,63494,58476,156932,165485,322415
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,3,0,0,0,3,3,35,27,27,12,42,39,3,10,180,131,297,209,506
901,0,0,0,3,4,20,3,0,28,29,51,1015,899,69,53,175,140,44,138,719,470,2013,1702,3714
997,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,6
999,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,7,3,0,0,3,10,21,30,46
