SA4_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
101,56832,23443,2031,7643,89951
102,85380,31956,3712,6141,127190
103,51176,21517,2050,6535,81279
104,35360,14452,1808,5006,56621
105,27729,12392,1121,4777,46016
106,68864,22691,2337,6230,100123
107,75950,25390,3950,5290,110576
108,56249,24574,2523,6642,89980
109,29250,13257,1337,4062,47908
110,45145,19101,2056,6283,72583
111,93845,35715,5944,4843,140341
112,60795,26234,3928,9446,100397
113,38697,15053,1764,4204,59715
114,38987,15538,1366,3793,59683
115,59893,8904,1026,2304,72117
116,84034,15483,2402,4637,106553
117,65587,41706,17382,15530,140208
118,61478,27177,10166,9438,108261
119,139728,37026,7650,9542,193945
120,72397,24739,7819,7060,112013
121,107091,34080,5540,7865,154586
122,65764,19132,3046,4453,92390
123,67078,13989,1651,3745,86467
124,78778,22541,2850,5294,109467
125,106933,27478,6454,7944,148804
126,46321,13360,3084,2459,65229
127,96786,17829,2273,6583,123470
128,58414,16014,1741,2800,78968
197,0,0,0,0,0
199,0,0,0,0,0
201,39682,17677,2383,3809,63553
202,38945,16435,2134,4038,61546
203,71673,27443,3514,5859,108491
204,43821,18563,1712,5665,69767
205,69914,30946,2622,8160,111647
206,130369,84193,32344,25812,272721
207,92410,29635,6284,5594,133921
208,104491,39145,6094,7283,157012
209,128476,34269,5922,8157,176823
210,92080,23317,3217,6055,124667
211,133533,37474,4291,6311,181602
212,189847,43902,9264,11450,254462
213,182530,45191,8704,13084,249511
214,75813,28867,2800,6328,113807
215,37704,17552,1643,4900,61802
216,32811,13197,1310,3621,50937
217,31180,14009,1347,3456,49993
297,0,0,0,0,0
299,0,0,0,0,0
301,60515,16432,2287,3101,82331
302,54149,20044,3845,3139,81179
303,84084,24555,8190,5738,122566
304,45777,11630,3784,2093,63293
305,56365,29074,11549,8696,105682
306,59294,22973,3776,11834,97883
307,31919,11952,1233,4915,50019
308,55346,18784,2398,9301,85829
309,145300,46934,11364,17457,221060
310,80189,21521,3745,7264,112711
311,79330,19171,3585,6111,108198
312,42100,14049,1958,7480,65594
313,61270,20416,2861,5307,89855
314,52763,10572,1764,2477,67581
315,17253,6908,852,7424,32436
316,93058,30433,5237,9799,138529
317,37818,13969,2039,3348,57181
318,57338,20082,3620,7865,88899
319,75990,29568,3802,11554,120917
397,0,0,0,0,0
399,0,0,0,0,0
401,74112,31316,5330,5561,116325
402,110265,38721,5158,6833,160970
403,95465,36786,4646,5842,142735
404,58339,28004,4304,4060,94704
405,29607,12989,867,3134,46588
406,20184,9835,762,4321,35101
407,48852,21467,1789,5011,77114
497,0,0,0,0,0
499,0,0,0,0,0
501,46278,15169,1704,5152,68294
502,26146,9085,962,2338,38531
503,40480,19544,4331,6280,70634
504,65297,19420,3185,4956,92847
505,142329,40825,6445,9456,199058
506,123746,38362,8026,10343,180472
507,105654,31769,4691,8696,150809
509,34422,13693,1222,5126,54469
510,17448,5608,875,9827,33762
511,28092,10729,1248,9146,49218
597,0,0,0,0,0
599,0,0,0,0,0
601,57405,24851,3371,4581,90210
602,36216,16634,1732,3693,58281
603,9941,4095,372,1206,15618
604,29001,12935,1018,2554,45502
697,0,0,0,0,0
699,0,0,0,0,0
701,31515,8957,2574,6725,49770
702,15881,5269,864,7460,29476
797,0,0,0,0,0
799,0,0,0,0,0
801,100308,35413,6938,8032,150693
897,0,0,0,0,0
899,0,0,0,0,0
901,980,369,20,198,1556
997,0,0,0,0,0
999,0,0,0,0,0
