SA4_CODE_2016,C06_Tot_Div_F,C06_Tot_Wid_M,C06_Tot_Wid_F,C06_Tot_nver_marrie_M,C06_Tot_nver_marrie_F,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_T_M,C11_65_69_T_F,C11_65_69_T_P,C11_70_74_Married_M,C11_70_74_Married_F,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_T_M,C11_70_74_T_F,C11_70_74_T_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F
101,7338,2276,8273,24969,20075,78282,79650,157928,10,17,6,5,9,0,0,4,6916,6299,6951,6323,13273,165,397,8,40,10,9,4,5,4793,4192,4981,4645,9620,1149,1674,58,134,42,92,4,9,3640,2999,4893,4916,9811,2261,2961,137,186,134,215,8,24,2331,2060,4870,5452,10323,3592,3973,216,298,357,530,17,38,2141,1669,6330,6520,12844,4119,4676,332,433,665,898,24,68,1967,1497,7110,7571,14682,4625,4692,359,457,892,1142,51,136,1739,1187,7666,7614,15278,4824,4998,414,444,1206,1291,78,206,1407,967,7925,7914,15837,4846,5003,388,341,1164,1252,125,376,925,580,7443,7540,14984,5285,4960,367,269,1207,1172,230,550,587,343,7672,7295,14970,4286,3838,244,153,773,727,254,866,374,209,5931,5799,11732,3306,2577,179,106,487,477,330,1088,262,121,4559,4372,8932,2178,1568,90,54,290,247,404,1351,166,107,3125,3337,6456,1458,886,41,33,141,156,466,1574,135,79,2234,2730,4956,767,421,25,14,66,106,557,2159,76,103
102,13927,3968,14906,36443,31324,112792,124278,237071,12,17,10,3,7,4,3,12,10886,10124,10911,10163,21071,305,620,10,45,18,15,3,4,8390,7759,8731,8444,17180,1904,2830,120,205,72,141,7,15,5660,4973,7770,8162,15929,3777,4620,232,376,208,429,6,29,3639,3100,7864,8548,16406,5371,5878,398,610,529,981,15,60,3046,2629,9361,10157,19515,5870,6467,528,780,966,1531,37,120,2469,2068,9868,10969,20836,6183,6417,572,777,1409,2057,66,192,2063,1610,10301,11052,21346,6347,6572,629,767,1599,2346,118,355,1602,1168,10296,11210,21508,6091,6052,515,580,1612,2156,142,481,1048,755,9406,10020,19432,6170,5994,446,471,1461,2130,241,801,727,531,9043,9922,18965,5348,5041,353,318,1188,1600,345,1312,506,359,7738,8631,16370,4516,3895,210,181,823,1061,456,1745,328,225,6334,7106,13440,3481,2727,138,106,420,680,606,2372,253,207,4906,6092,10993,2626,1839,81,71,294,427,846,3011,169,150,4021,5499,9523,1665,973,37,26,129,271,1200,4334,128,201
103,6234,2160,8585,25236,20092,73695,75391,149092,19,13,7,3,4,6,3,9,6872,6547,6903,6580,13482,258,439,19,48,13,17,4,3,5662,4971,5958,5479,11440,1351,1924,52,138,46,78,5,6,3726,3048,5185,5198,10385,2464,2921,144,215,141,212,4,25,2357,1878,5110,5241,10351,3382,3724,222,323,329,464,9,44,1883,1528,5826,6075,11903,3725,3992,291,385,569,792,19,91,1654,1249,6265,6503,12770,3937,4228,376,412,775,898,47,129,1500,988,6634,6655,13284,4274,4343,325,355,962,1045,81,209,1177,693,6824,6649,13475,4243,4192,309,277,973,958,121,329,803,429,6446,6187,12637,4358,4105,269,254,959,983,195,538,585,278,6377,6151,12529,3570,3103,223,184,708,674,261,838,414,210,5178,5009,10186,2768,2271,138,103,465,446,312,1075,313,159,3991,4052,8047,2042,1559,97,43,246,228,384,1344,214,124,2978,3306,6290,1345,835,44,31,127,127,477,1573,116,110,2105,2673,4777,669,379,18,12,49,78,462,2161,82,133
104,5763,1624,5829,15301,12816,48571,51694,100268,11,12,7,5,0,3,0,5,4463,4219,4482,4249,8732,140,280,16,35,7,7,0,7,2860,2677,3022,3001,6028,638,970,43,72,32,56,11,5,1987,1744,2711,2845,5561,1168,1490,80,123,86,158,6,10,1395,1287,2732,3075,5807,1856,2098,160,224,200,363,4,27,1271,1093,3501,3802,7302,2133,2446,190,311,373,621,16,57,1099,990,3807,4424,8232,2491,2671,214,335,611,877,30,111,1013,814,4357,4806,9164,2727,3087,311,330,830,1080,33,154,901,657,4806,5301,10107,3050,3089,263,247,911,1013,78,228,670,387,4976,4959,9939,3163,3037,268,208,881,879,133,390,390,216,4829,4733,9564,2744,2516,141,124,557,599,150,530,241,130,3834,3899,7729,2121,1800,101,79,388,394,201,741,148,75,2958,3097,6053,1626,1227,70,39,227,204,236,944,113,69,2265,2478,4744,1125,680,51,27,109,129,302,1056,76,45,1658,1940,3604,629,334,20,8,53,74,433,1626,40,63
105,3527,1404,5234,15667,13143,43746,44820,88569,14,5,3,3,5,8,3,3,3853,3559,3885,3581,7464,146,256,12,29,10,3,3,0,2938,2902,3103,3192,6299,729,1014,39,73,25,53,6,3,2309,2125,3109,3260,6364,1249,1510,63,128,72,131,3,11,1439,1353,2822,3128,5950,1707,1855,121,176,202,260,9,20,1247,1128,3292,3435,6726,1932,2062,158,208,301,415,14,47,1150,990,3561,3728,7285,2116,2272,190,212,441,534,36,68,1083,785,3860,3866,7731,2456,2487,229,249,549,643,46,120,858,603,4132,4107,8236,2299,2308,228,189,584,577,71,218,605,315,3784,3601,7383,2305,2167,199,145,615,520,118,311,434,220,3668,3358,7028,1886,1666,139,100,438,397,184,495,270,129,2905,2786,5692,1501,1303,99,61,297,202,209,694,208,88,2313,2344,4655,1078,794,54,27,154,134,257,860,117,63,1653,1884,3536,780,488,24,3,92,50,266,955,74,53,1240,1556,2801,356,167,6,4,42,37,284,1168,38,59
106,8133,2296,8809,28567,22982,86715,89387,176099,18,8,9,3,4,0,3,5,8442,8137,8477,8155,16634,356,676,37,56,8,20,4,10,6957,6108,7364,6867,14227,1944,2724,96,195,85,128,3,15,4881,3955,7013,7012,14028,3560,4078,206,261,243,317,10,24,3162,2426,7175,7107,14281,4480,5039,346,440,488,715,13,48,2481,1927,7804,8167,15970,4909,5271,435,543,781,1118,35,82,1966,1457,8124,8469,16594,5188,5294,455,519,1045,1341,55,158,1570,1050,8311,8355,16668,5381,5466,445,431,1205,1496,93,268,1132,693,8251,8362,16612,5263,5268,339,312,1177,1374,130,401,735,419,7644,7773,15419,5388,5121,294,233,1063,1244,212,638,516,283,7467,7518,14988,4442,3917,202,149,836,761,278,884,313,180,6065,5896,11960,3222,2653,124,106,470,474,336,1113,229,129,4378,4469,8841,2286,1724,78,55,252,257,369,1444,156,98,3142,3570,6708,1426,916,36,20,120,138,426,1724,110,113,2123,2910,5030,763,406,13,7,54,95,552,2213,57,89
107,9739,2886,11123,36123,29190,102847,107776,210625,18,26,3,6,12,11,6,0,9778,9163,9816,9206,19023,253,672,24,38,13,12,7,13,9579,8581,9873,9310,19187,2028,3030,73,142,61,117,3,12,6401,5010,8571,8311,16877,4066,4719,192,300,243,379,11,23,3500,2714,8009,8139,16143,5477,5909,305,481,480,782,7,37,2692,2210,8966,9412,18375,5498,5940,386,565,818,1170,25,87,2258,1633,8980,9399,18382,5966,6213,435,576,1144,1536,61,167,1966,1312,9579,9814,19398,6054,6125,425,534,1307,1734,101,284,1436,983,9321,9665,18991,5585,5730,382,357,1202,1550,127,420,828,569,8124,8626,16752,5652,5192,308,271,1006,1304,197,687,542,292,7716,7747,15458,4530,4195,205,176,742,962,290,992,362,191,6132,6509,12641,3736,3309,137,99,468,605,394,1461,254,130,4989,5609,10603,2962,2270,79,89,255,365,505,1912,185,95,3981,4720,8705,2062,1294,34,39,140,225,624,2292,117,91,2976,3931,6906,1133,596,25,16,83,134,750,2889,77,99
108,8383,2992,10499,21485,17654,75632,80795,156420,11,26,5,3,13,9,0,5,6269,5905,6306,5943,12246,143,333,15,41,9,10,3,3,3813,3458,3989,3848,7834,841,1230,68,142,41,85,4,15,2580,2325,3537,3791,7324,1690,2057,128,240,107,166,6,12,1879,1715,3802,4188,7996,2547,3018,214,367,287,543,6,47,1806,1491,4860,5464,10325,3015,3473,320,435,565,878,29,87,1659,1371,5590,6246,11840,3505,3924,379,506,881,1288,44,123,1557,1185,6370,7027,13397,4163,4566,460,521,1221,1566,83,267,1230,892,7153,7809,14966,4373,4639,423,412,1391,1485,114,394,939,554,7240,7492,14728,5379,5327,357,318,1349,1397,196,594,519,380,7800,8013,15819,5053,4728,273,203,1087,1076,324,1062,406,232,7140,7292,14437,4130,3566,200,127,771,638,384,1365,238,156,5726,5861,11587,3102,2393,128,84,454,352,519,1758,184,122,4390,4713,9100,2187,1471,72,44,212,223,660,2099,140,84,3270,3920,7189,1333,710,24,10,84,140,873,3052,82,95
109,3670,1330,4868,13951,11413,42785,44193,86976,4,9,3,0,0,0,3,3,3943,3628,3957,3640,7592,104,250,14,18,3,8,0,5,2814,2739,2929,3020,5954,708,1072,40,68,22,50,3,3,1994,1680,2760,2877,5641,1339,1608,75,108,89,109,6,10,1258,1037,2763,2871,5638,1863,1995,111,183,160,281,13,16,1002,805,3138,3281,6420,2011,2235,173,223,313,423,14,31,882,707,3393,3614,7013,2187,2371,197,244,396,611,16,66,763,520,3558,3809,7369,2530,2669,186,235,586,674,39,114,621,367,3969,4058,8027,2459,2544,187,181,628,636,74,189,442,221,3790,3771,7552,2708,2542,158,145,536,510,124,288,309,146,3833,3618,7450,2171,1967,131,86,417,358,140,474,189,78,3046,2962,6007,1760,1536,102,55,290,227,180,665,165,74,2487,2562,5051,1276,984,41,42,149,135,218,764,99,73,1789,1998,3785,920,580,28,13,88,65,316,917,65,39,1417,1621,3036,484,243,10,6,26,43,350,1304,48,58
110,5516,1992,7889,22540,18938,66124,69181,135300,17,18,0,3,8,6,3,3,6173,5992,6207,6024,12227,217,484,19,39,8,5,10,6,4843,4591,5096,5125,10220,1153,1566,74,139,51,87,5,18,3236,2840,4517,4649,9170,2059,2458,148,203,126,182,3,14,2063,1907,4405,4768,9172,2782,3206,196,304,252,414,15,28,1659,1431,4902,5376,10282,3236,3449,242,328,450,634,23,73,1492,1248,5453,5722,11181,3480,3743,304,365,668,855,32,105,1306,919,5789,5995,11786,3809,4117,342,393,838,1025,69,183,1100,695,6167,6406,12570,3892,3775,294,275,896,886,106,288,739,451,5929,5676,11604,3947,3754,247,218,819,784,152,551,533,277,5700,5581,11281,3337,2999,185,134,565,567,257,766,348,174,4693,4644,9342,2634,2259,116,77,370,350,322,1050,263,139,3708,3880,7592,1885,1279,87,37,191,188,360,1273,158,113,2679,2891,5575,1133,709,30,24,99,98,356,1502,95,93,1719,2427,4144,631,303,16,18,43,61,455,1946,56,81
