SA4_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
101,372,539,5265,189352,11895,1509,234,13636,15846,218843
102,596,1450,10278,289774,17540,2471,254,20265,17700,327736
103,159,672,5075,180602,6751,979,131,7854,17703,206155
104,162,545,4052,119455,6022,1200,142,7358,9476,136288
105,78,448,2741,98454,3852,441,66,4355,10964,113779
106,184,668,5219,236895,7639,1039,153,8830,17691,263416
107,1549,618,7332,236409,35348,7269,558,43182,13907,293494
108,233,990,7749,191140,5571,584,140,6296,14767,212201
109,134,416,3208,101332,4581,893,87,5560,8911,115803
110,89,577,4248,159220,6073,1044,109,7219,15114,181555
111,695,1566,9928,317626,21421,3591,304,25317,16166,359106
112,329,1048,8042,210091,9788,967,185,10948,18564,239604
113,355,463,3951,131503,9846,2213,186,12248,12185,155934
114,230,430,4588,130255,6213,821,102,7134,9975,147363
115,786,549,4003,156141,55411,8065,484,63957,7646,227739
116,1529,309,3575,181836,122328,17411,1515,141256,16554,339637
117,1518,374,3426,168746,93303,20270,947,114520,32284,315551
118,1751,856,6342,174685,60924,7626,539,69095,23255,267037
119,5144,1138,13419,208749,263204,67746,3117,334065,28604,571416
120,2996,398,6153,151957,99837,23159,1085,124082,17259,293301
121,1585,950,10139,269493,98781,17730,944,117456,18408,405356
122,783,846,6945,201772,34284,4188,378,38848,12252,252878
123,508,496,3174,191267,50235,6929,697,57862,12935,262064
124,626,304,4571,250484,35417,4428,489,40340,16104,306933
125,2647,559,7583,155954,208222,55625,2508,266351,26082,448391
126,1246,438,4930,92694,67310,14736,619,82666,6762,182119
127,3536,393,5545,142130,180416,59750,2472,242644,21190,405962
128,601,346,5949,181129,25206,3351,298,28855,7895,217880
197,3,0,10,279,54,46,0,95,41,412
199,15,22,78,7212,1529,320,19,1863,3211,12288
201,204,381,3745,139419,6773,895,101,7767,10301,157485
202,109,640,3961,134612,5706,1293,114,7112,11362,153092
203,944,756,7326,235394,22870,4045,366,27286,16250,278929
204,329,630,4590,149577,7092,1029,126,8248,12365,170194
205,565,896,7251,237339,11381,1676,211,13262,20806,271416
206,4057,1024,9372,361824,149781,28555,1651,179990,49873,591679
207,2731,837,11110,215176,105864,23180,954,130000,14473,359644
208,2481,1164,12538,289673,81856,12433,836,95127,18911,403707
209,3166,925,9057,307322,134529,27406,1914,163849,24176,495353
210,2709,573,6650,199430,118445,24517,1735,144705,19239,363371
211,1896,988,10639,385044,77916,16163,873,94952,19613,499608
212,4213,1084,13311,396245,259301,61090,3178,323578,35450,755265
213,3689,827,8698,378070,248989,55504,3386,307877,41497,727443
214,699,722,7772,248413,21397,2692,338,24429,16303,289142
215,262,600,4819,127271,8080,2170,153,10405,12356,150035
216,269,448,3579,107747,9661,2403,192,12250,9974,129971
217,127,370,3529,110036,3473,681,73,4224,8442,122701
297,0,0,0,18,5,0,0,10,3,29
299,7,4,38,4201,1069,343,22,1431,1929,7565
301,341,701,4703,195482,16177,1791,205,18173,9441,223095
302,454,802,5195,164256,28290,3858,388,32534,9736,206522
303,1051,480,6313,212811,90721,20313,894,111927,15833,340569
304,309,419,3605,141560,27173,3257,255,30679,6755,178991
305,506,524,3291,184859,39770,6180,359,46310,19048,250207
306,502,489,3722,190417,23804,4178,529,28512,21260,240190
307,85,333,2685,110994,4235,652,78,4971,10324,126289
308,84,292,3161,191286,10180,1676,180,12027,17600,220912
309,1128,1575,11859,459299,60390,9319,673,70382,40318,569997
310,406,458,4113,247560,40584,9934,647,51166,24344,323069
311,483,296,3680,248473,40162,8945,679,49783,19040,317296
312,123,202,2162,143999,8639,1105,133,9876,15815,169688
313,221,1225,5282,206017,12065,2019,212,14302,15772,236091
314,133,291,2169,170090,14886,1582,202,16668,8209,194969
315,64,80,663,56253,12744,1754,486,14989,8463,79700
316,481,1017,9082,308716,16558,1605,239,18399,19406,346522
317,96,552,3431,128349,9670,1934,122,11728,9435,149512
318,367,334,3396,195766,14073,1958,254,16278,16984,229031
319,279,877,6953,255645,9340,1365,164,10871,21373,287883
397,0,0,4,110,20,0,0,20,22,150
399,8,10,44,8697,1060,255,22,1328,2483,12510
401,1958,531,8740,212516,54486,8869,580,63928,13105,289546
402,1427,697,7927,313805,69272,18530,1034,88832,20450,423086
403,1117,865,10136,298048,35700,5632,436,41774,15523,355341
404,2229,607,7369,152766,51789,12089,731,64604,10370,227745
405,126,383,3207,101093,2658,275,49,2989,6431,110515
406,120,219,1644,69328,5303,719,97,6116,7375,82820
407,345,598,5433,162043,8439,2071,167,10677,12014,184742
497,0,0,0,0,4,0,0,4,0,3
499,3,3,22,1933,291,76,14,379,547,2863
501,248,396,3318,151997,10075,1260,177,11511,12829,176330
502,103,250,2416,84395,5626,518,108,6250,6088,96736
503,724,400,3961,121504,30258,4206,300,34763,13034,169301
504,724,606,3769,182924,42619,8068,596,51292,16805,251017
505,1581,1049,8828,398308,91973,16557,1174,109711,27094,535114
506,1208,1139,8082,329028,109131,19275,1212,129617,29714,488354
507,1101,1139,7599,312660,56593,7829,679,65106,25567,403334
509,159,391,2844,115599,6308,1055,102,7463,12286,135354
510,51,32,184,65039,13897,1290,402,15590,13286,93920
511,91,151,1411,95453,9501,1173,280,10960,12157,118563
597,0,0,3,309,55,3,0,60,72,434
599,3,3,23,3819,503,92,12,610,1527,5950
601,414,462,5275,192382,14839,2565,209,17612,12360,222356
602,160,349,3369,124207,5602,1337,81,7022,9249,140484
603,17,74,600,33425,974,96,15,1083,2613,37119
604,68,268,2522,99663,2533,330,51,2918,6437,109024
697,0,0,0,60,9,4,0,10,4,68
699,0,0,3,680,59,11,0,67,171,912
701,132,72,626,92942,24195,3585,356,28136,15755,136828
702,103,52,310,38304,33751,5168,1019,39941,11201,89443
797,0,0,0,27,27,10,0,40,6,70
799,0,0,0,1364,451,85,18,557,568,2489
801,1072,884,6155,288639,76179,10552,821,87553,20669,396857
897,0,0,0,0,0,0,0,0,0,0
899,0,0,3,355,72,13,4,89,100,538
901,25,5,51,1688,1681,432,34,2154,684,4523
997,0,0,0,4,0,0,0,0,0,6
999,0,0,0,40,7,0,0,10,6,55
