SA4_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
101,10,3,3,0,0,3,69,116,112,64,240,373,565,881,943,925,1573,849,528,199,174,92,1068,8589,439,309,489,513,1925,1773,5022,3886,9968,6926,6320,4207,4756,3992,6670,57201
102,17,6,0,0,0,0,129,177,236,107,369,560,966,1781,1802,1984,3369,1879,1019,386,311,118,1981,16863,753,413,653,743,2632,2871,7910,6096,14837,11471,10489,6881,6767,4544,9621,86671
103,11,0,3,0,0,0,97,146,103,81,311,420,631,1116,1142,1003,1559,720,431,119,111,45,1089,8879,439,317,537,557,1879,1905,4836,3510,8941,6349,5881,3728,3763,2614,6087,51354
104,8,3,0,0,0,0,53,85,80,51,179,286,469,896,926,907,1275,518,242,72,55,35,815,6800,306,199,332,378,1556,1596,4432,3268,7202,4526,3409,1954,1689,974,3999,35830
105,5,3,0,0,0,0,95,129,65,52,191,284,474,698,682,679,991,412,257,73,71,33,819,5786,255,164,307,351,1174,1128,2756,2024,4695,3267,2901,1913,1786,1114,3938,27784
106,7,3,3,0,0,0,87,128,180,92,343,560,867,1473,1575,1408,2299,1177,584,214,171,77,1333,12349,574,349,592,709,2369,2485,6409,4701,11641,8984,8386,5543,5217,3830,7724,69511
107,13,3,0,0,0,0,79,126,180,106,349,447,821,1360,1500,1502,2611,1501,899,368,263,148,1524,13577,707,417,630,613,2439,2478,6715,4784,11996,9593,9367,6710,7029,5293,8183,76959
108,4,0,0,3,4,0,91,147,113,79,312,476,735,1382,1368,1421,1813,813,317,105,93,51,1306,10374,503,369,559,641,2604,2594,8103,5362,11559,6621,4869,2823,2241,1488,6352,56696
109,3,5,0,0,0,0,46,64,47,50,148,214,380,529,538,558,804,395,182,73,55,29,557,4548,263,186,266,284,1106,1024,2822,2121,5544,3821,3344,2030,1742,1109,3552,29233
110,7,0,0,0,0,0,95,126,110,82,309,436,616,1033,1053,977,1433,692,275,110,82,46,1034,8280,445,273,508,543,1825,1813,4566,3382,8320,5816,4878,2853,2623,1757,5626,45223
111,5,10,3,0,0,0,113,176,202,105,412,563,1038,1736,1936,1958,3570,1917,1036,407,286,157,1790,17101,666,388,710,760,2751,2886,8219,6141,15479,11861,11591,8357,8493,6351,9744,94407
112,6,0,0,0,0,0,96,137,129,93,302,443,881,1460,1498,1431,2363,1033,482,166,112,53,1434,11888,469,326,564,582,2348,2567,6764,5011,12409,8081,6418,3642,3125,2212,6881,61399
113,8,7,0,0,0,0,83,117,78,44,186,280,437,771,696,770,1167,604,278,113,99,47,779,6351,346,188,322,371,1317,1302,3287,2607,6926,5330,4752,2893,2629,1640,4784,38690
114,10,3,3,0,0,0,44,79,88,53,177,256,442,678,774,812,1190,515,310,96,71,50,814,6328,381,239,361,374,1562,1395,4555,3202,7560,4792,3984,2385,2242,1753,4674,39461
115,0,3,0,0,0,0,40,55,175,67,138,122,226,312,392,475,1142,894,729,364,411,268,721,6440,896,348,364,242,1026,911,2361,2330,6841,6377,7556,6132,9116,11161,6665,62326
116,16,9,3,0,6,0,155,225,299,124,456,587,933,1389,1592,1599,3086,1838,1222,601,448,206,1692,16065,1375,426,807,841,2376,2679,5466,4875,13167,11920,12464,8451,9022,5574,8300,87749
117,3,4,0,4,4,0,70,94,221,81,249,229,422,535,602,708,1390,1005,726,296,436,254,891,8052,1094,297,483,406,1294,1234,2644,2369,6714,6336,7622,6095,9501,12154,6321,64563
