SA4_CODE_2016,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_Foo_hos_pers_S_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_Tot,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_T,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Soc_cult_T,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_arts_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_T,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
101,147,485,1002,941,724,519,198,83,22,4120,3,5,9,10,18,17,6,6,4,78,6,41,133,218,225,173,83,50,16,941,1590,871,1899,2406,2515,2299,2308,2209,744,16836,2276,4326,12343,16923,17829,13838,8151,4853,1292,81829,0,57,297,517,490,500,309,101,23,2300,59,138,480,466,445,270,69,14,0,1941,104,641,1657,2552,3028,2850,1976,891,243,13951,63,382,937,1242,1474,1239,740,337,79,6495,52,183,573,909,894,689,356,156,31,3839,24,213,926,1479,2109,1853,1019,440,140,8204,12,127,799,1219,1568,1972,973,309,88,7061,166,762,2372,3396,3113,2611,1249,424,176,14268,108,556,1684,2362,2255,1871,832,232,66,9964,17,140,453,546,501,425,232,91,22,2426,149,487,1141,1140,841,619,307,103,26,4822,13,6,5,13,18,9,13,12,8,93,7,28,164,261,259,225,106,51,18,1124,1404,855,1782,2239,2402,2409,2359,2143,1042,16631,2178,4581,13270,18329,19394,17556,10552,5302,1952,93118
102,232,792,1602,1479,1055,776,385,216,48,6581,8,4,15,23,30,10,21,18,7,133,13,56,163,249,241,188,86,89,28,1119,2483,1344,2542,3504,3499,3327,4098,5292,2384,28477,3767,7614,19714,24222,24081,17263,12455,10568,3527,123204,3,127,333,513,424,359,226,110,30,2129,62,247,648,693,526,270,60,14,3,2530,119,908,2547,3790,4772,4153,3225,1884,591,21977,92,611,1792,2156,2075,1591,1058,596,170,10132,63,231,574,622,522,282,173,79,23,2567,108,604,2115,2739,3298,2291,1159,635,172,13117,21,302,1589,1898,2145,2411,1119,554,136,10173,416,1542,4341,5183,4795,3794,2242,1003,321,23644,221,1053,2508,2851,2560,1862,880,354,86,12379,80,402,809,831,596,455,281,125,42,3610,261,820,1813,1856,1299,951,540,246,74,7863,12,9,22,24,27,25,12,17,5,152,19,53,154,263,230,202,119,70,40,1163,2126,1197,2110,2915,3260,3077,3707,4240,2664,25299,3599,8109,21351,26324,26545,21721,14810,9932,4352,136737
103,189,528,931,760,500,343,148,66,23,3491,3,8,7,14,8,6,4,3,3,65,17,38,112,131,146,103,49,20,12,629,1501,1005,1895,2148,1986,2133,2244,2123,773,15816,2432,5020,12401,14377,14322,10954,6374,3989,1212,71081,3,51,224,284,276,242,122,31,10,1244,33,126,260,226,197,136,48,8,0,1026,139,939,2301,2759,2911,2366,1441,682,167,13706,66,399,858,834,901,750,429,218,45,4495,68,243,686,890,949,718,487,173,35,4246,80,404,1221,1565,1899,1614,784,408,127,8113,13,232,1067,1374,1446,1573,772,315,80,6864,185,800,2279,2619,2516,1998,853,333,113,11690,112,513,1328,1444,1304,1003,426,148,38,6309,39,158,350,309,268,249,170,49,17,1602,157,561,1044,963,611,409,241,95,16,4095,12,16,11,8,9,10,7,10,3,90,10,32,86,160,164,111,55,44,15,671,1556,1109,1837,2173,2137,2260,2294,1993,836,16194,2473,5581,13542,15616,15596,13424,8118,4499,1497,80352
104,106,325,630,657,488,345,143,75,9,2769,3,8,6,10,11,12,6,3,3,64,9,25,71,108,126,86,56,19,3,499,992,461,899,1293,1336,1269,1507,1750,757,10261,1491,2453,6378,9493,11373,8187,5134,3549,1139,49189,4,23,97,161,174,238,121,39,4,865,28,96,166,175,156,100,36,10,0,763,91,306,804,1290,1801,1974,1394,726,176,8559,50,173,493,722,1018,899,494,242,67,4147,33,122,320,447,433,292,117,67,10,1840,39,168,649,1119,1515,1288,623,270,74,5742,3,84,529,805,1160,1384,698,245,52,4952,142,561,1356,1685,1941,1694,801,305,116,8597,72,291,849,1190,1350,1104,390,125,30,5397,22,89,236,293,310,257,124,41,15,1394,106,354,748,714,580,448,236,84,20,3283,15,13,10,8,7,8,9,4,3,69,9,16,57,113,118,125,44,35,9,522,854,486,858,1130,1328,1350,1442,1567,926,9944,1463,2774,7152,9849,11880,11148,6524,3767,1507,56064
105,76,274,481,383,298,214,84,46,11,1878,3,3,5,6,11,5,0,7,0,44,13,16,64,68,65,48,23,10,0,310,1075,714,1248,1507,1606,1496,1527,1388,462,11021,1509,2828,7133,8102,8071,5585,3489,2251,640,39605,0,25,102,118,101,104,34,15,0,491,13,55,119,87,107,48,19,5,0,453,90,439,1049,1225,1405,1181,676,317,74,6455,38,199,384,370,453,409,252,93,19,2216,56,195,476,586,563,330,187,77,12,2496,34,223,764,832,1117,820,401,178,67,4443,0,183,835,833,767,689,274,97,32,3709,93,441,1183,1339,1291,867,335,128,29,5714,67,291,783,835,714,513,170,47,9,3425,12,45,125,98,105,99,51,20,9,559,79,264,531,453,320,242,139,58,8,2098,4,5,3,6,13,12,3,4,0,55,4,22,42,81,60,68,26,21,3,323,983,680,1237,1388,1536,1429,1498,1383,586,10728,1481,3068,7637,8260,8549,6801,4066,2448,845,43164
106,233,681,1386,1113,647,507,196,90,26,4880,5,3,6,9,11,14,3,3,0,67,13,45,154,192,186,116,43,30,8,787,1844,1007,2054,2607,2381,2412,2409,2478,1019,18220,2955,6050,15603,18183,17363,12689,7369,4747,1454,86412,6,93,295,382,333,312,150,45,9,1613,38,138,350,266,259,167,54,13,0,1283,186,1706,4279,4892,5099,4035,2422,1008,264,23909,50,371,948,1112,1158,954,671,247,57,5565,60,228,662,637,512,343,174,58,15,2688,60,404,1413,1858,2245,1796,913,350,106,9145,4,191,1000,1317,1421,1648,719,294,67,6658,332,1268,3253,3583,3127,2265,1223,430,124,15605,124,580,1621,1626,1507,1108,471,151,22,7200,30,177,418,357,283,237,138,79,13,1741,176,748,1634,1440,836,594,330,110,28,5894,7,10,3,16,21,14,9,5,3,96,16,37,152,255,179,145,81,35,12,923,1713,1071,2052,2551,2582,2537,2429,2272,1012,18216,2803,7039,18073,20289,19553,16151,9782,5106,1718,100524
107,222,801,1433,1141,721,488,209,128,34,5181,8,36,14,15,26,16,17,12,0,158,21,91,210,232,227,142,68,39,12,1046,2089,1523,2353,2997,2788,2651,3051,3276,1149,21880,3235,9013,21592,23280,22395,14566,9167,6361,1833,111437,8,258,656,607,574,504,257,84,15,2961,59,348,960,620,447,202,48,11,0,2700,132,1301,3688,4769,5600,4587,2793,1468,451,24791,100,617,1622,1755,1527,1024,713,415,98,7877,33,137,492,470,381,195,94,37,12,1857,78,640,2046,2309,2516,1689,783,345,106,10524,11,348,1701,1934,2387,2496,972,382,98,10332,326,1926,4588,4866,4104,2817,1310,538,177,20649,172,1268,2820,2930,2483,1694,644,248,58,12308,71,466,906,766,567,347,167,81,29,3399,198,736,1588,1393,953,580,342,134,47,5976,17,59,19,16,17,23,19,14,5,194,24,83,204,255,254,165,78,52,15,1135,1664,1266,1996,2192,2559,2485,2561,2915,1196,18833,2899,9445,23285,24892,24368,18814,10808,6721,2303,123542
108,169,450,948,870,752,588,273,149,34,4240,8,11,8,20,18,11,9,14,4,95,16,17,93,140,156,118,80,58,26,696,1445,689,1362,1874,2138,2161,2744,3349,1371,17136,2220,3501,9035,13318,15888,13065,9544,7090,2065,75725,0,12,88,202,218,278,196,77,29,1104,31,110,204,226,239,218,68,9,0,1104,99,476,1180,1915,2761,3030,2791,1541,433,14232,61,267,714,1098,1417,1368,962,471,103,6446,55,132,354,588,565,437,207,104,24,2453,48,311,980,1642,2380,1929,1107,535,147,9077,14,125,629,1176,1558,2007,1113,478,90,7182,203,674,1742,2408,2789,2495,1656,706,221,12893,107,399,1098,1545,1733,1382,623,227,46,7154,20,83,250,330,352,341,211,92,23,1701,154,465,1027,1030,901,713,427,168,44,4931,21,5,7,9,18,12,20,14,5,115,9,14,87,131,140,168,116,52,24,744,1337,725,1195,1693,2106,2362,2833,3130,1792,17184,2150,3804,9555,13991,17190,16737,12330,7610,2982,86337
109,102,346,589,560,369,243,134,56,15,2415,4,9,0,3,0,6,3,5,0,32,6,22,77,93,79,46,34,21,7,379,958,432,841,1092,1202,1143,1464,1561,502,9197,1400,2881,7142,8017,8403,5714,3783,2678,750,40781,0,35,123,154,102,103,51,15,7,595,11,66,134,126,93,73,30,4,0,533,73,462,1099,1232,1518,1313,874,383,111,7058,52,264,455,493,558,443,290,165,33,2744,47,175,528,588,557,392,186,73,9,2550,29,229,796,819,1120,962,478,217,69,4716,4,111,592,698,857,777,445,143,39,3661,115,504,1431,1507,1373,957,440,183,53,6572,48,266,749,893,774,653,205,52,19,3656,14,67,199,146,129,109,61,21,8,756,123,330,642,632,438,308,167,84,18,2746,4,8,11,5,8,3,0,3,0,38,6,19,67,81,86,75,39,11,12,398,826,457,760,961,1159,1276,1406,1422,775,9036,1345,2973,7576,8336,8771,7449,4670,2781,1155,45049
110,132,384,732,626,472,288,142,54,10,2844,8,13,8,14,7,12,12,0,0,72,12,35,105,165,136,93,36,24,7,623,1296,714,1525,1948,1829,1964,2078,2127,815,14278,2138,4155,10433,12651,12839,9814,5800,3716,1201,62740,3,62,200,272,272,275,153,49,25,1310,30,96,210,162,153,105,38,13,0,794,117,674,1608,1758,2114,1835,1172,463,110,9846,67,300,618,658,808,683,415,202,32,3780,79,295,853,942,834,659,394,160,40,4253,68,300,994,1322,1741,1471,797,332,117,7133,13,184,1011,1205,1361,1452,684,255,69,6228,168,756,1974,2270,2228,1677,793,257,72,10196,120,514,1268,1498,1414,1163,449,123,37,6576,35,126,267,292,249,199,107,60,14,1348,147,470,816,736,564,386,192,59,26,3393,16,11,16,18,13,11,6,0,0,91,9,24,109,158,149,102,68,18,15,650,1390,862,1505,1831,1942,1918,2095,1893,879,14307,2251,4666,11427,13114,13840,11930,7364,3884,1435,69916
