SA4_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
101,852,1615,3327,3380,6707,1313,832,54,37,677,1404,2042,2276,4319,763,360,39,20,622,1731,1426,2112,3536,38142,38551,8859,9136,28698,31147,75707,78831,154539
102,1380,2992,5172,5925,11100,2229,1518,88,63,1015,2849,3329,4433,7758,1576,800,64,51,1322,3539,2960,4383,7345,55409,56019,12362,12724,46355,56814,114121,125556,239681
103,883,1679,2951,3189,6145,1201,831,33,24,656,1450,1887,2312,4201,723,353,24,14,600,1673,1335,2037,3378,33603,34080,7530,7731,26912,29701,68052,71514,139566
104,647,1219,2349,2561,4907,1055,704,50,28,472,1085,1579,1820,3401,660,315,26,19,444,1315,1136,1645,2774,22597,22954,5452,5672,18850,22108,46897,50738,97636
105,521,905,1591,1735,3322,608,387,21,14,348,814,986,1220,2201,391,173,13,8,332,843,731,1022,1753,16742,16975,4396,4584,15595,17327,36736,38886,75623
106,869,1729,3415,3633,7046,1432,896,39,27,591,1570,2062,2495,4557,763,357,35,20,606,1767,1398,2143,3545,44718,45559,10397,10815,34195,38243,89310,94623,183930
107,937,2244,3953,4691,8647,1952,1248,68,39,730,2102,2751,3384,6141,1228,549,34,21,827,2565,2087,3132,5222,51639,52321,9805,10139,43004,48028,104449,110490,214938
108,1233,2171,4579,4817,9392,2007,1351,85,61,862,1981,2954,3386,6344,1319,623,49,25,909,2489,2278,3138,5410,37063,37477,7884,8117,28897,34676,73848,80264,154114
109,518,959,1782,1952,3733,760,507,24,9,359,844,1144,1362,2505,482,216,8,8,405,948,894,1164,2060,19609,19898,4209,4371,15183,16745,39008,41011,80013
110,773,1505,2670,3016,5691,1130,632,38,16,523,1277,1697,1928,3621,593,261,13,12,451,1489,1057,1769,2825,29095,29416,6655,6865,23864,26967,59616,63246,122865
111,1220,2860,4859,5714,10571,2254,1544,79,42,961,2725,3291,4307,7598,1481,757,29,21,1196,3467,2710,4245,6951,60694,61831,13846,14407,53189,60877,127732,137114,264849
112,1055,2107,3851,4365,8217,1750,1212,76,44,820,2034,2649,3290,5933,1250,568,42,21,963,2640,2254,3229,5480,38058,38528,9869,10162,33939,40965,81866,89654,171515
113,561,1128,2111,2345,4455,909,603,24,15,408,1065,1335,1682,3019,580,252,8,6,406,1264,995,1523,2525,25907,26293,5299,5564,20255,22220,51460,54075,105540
114,752,1365,3075,3176,6253,1325,829,47,38,543,1236,1909,2100,4008,775,361,36,23,538,1416,1347,1798,3150,26606,26969,5366,5550,18606,22376,50576,54897,105475
115,361,1081,2362,2534,4899,1084,644,22,12,339,945,1439,1600,3036,708,323,18,12,375,1286,1103,1619,2715,49986,50676,4281,4343,27959,31295,82226,86306,168534
116,634,1626,2474,2785,5258,932,498,25,9,460,1321,1421,1829,3250,513,240,13,10,412,1252,943,1493,2440,62319,62651,7895,8106,48655,53028,118873,123788,242659
117,764,1416,2036,2315,4351,752,445,55,20,578,1175,1390,1639,3026,488,171,22,14,451,1219,970,1399,2366,33432,33683,23368,19108,62522,64842,119321,117629,236951
118,692,1758,2531,3191,5718,1197,682,51,25,513,1594,1767,2300,4069,961,404,48,18,694,2188,1700,2608,4311,37965,38457,13352,12868,40099,49865,91419,101191,192610
119,1431,3716,6215,7304,13522,3331,2001,66,50,1236,3537,4627,5589,10217,2245,927,40,15,1565,4549,3849,5495,9343,104898,105389,12139,12086,91817,99671,208854,217143,425991
120,679,1768,2714,3293,6006,1392,839,54,18,556,1659,2006,2518,4521,980,337,27,21,626,2101,1637,2459,4097,49818,50215,11125,11373,44898,53324,105836,114910,220746
121,877,2551,4524,5275,9801,2291,1475,61,33,705,2344,3056,3851,6910,1710,816,60,14,1045,3368,2811,4198,7015,79860,81176,12615,12336,49033,64500,141504,158011,299515
122,643,1718,3131,3526,6653,1481,978,48,29,483,1600,2007,2602,4609,1092,548,19,19,763,2390,1876,2956,4831,47725,48345,9376,9562,31206,37004,88305,94907,183214
123,525,1241,2147,2362,4508,845,477,29,15,340,1012,1212,1500,2715,433,210,13,8,341,1118,785,1337,2123,46733,47156,8320,8599,35468,40884,90519,96642,187160
124,740,1849,2816,3329,6141,1173,680,64,29,505,1554,1742,2259,4001,588,275,17,11,541,1673,1142,1957,3097,52316,52824,11491,11895,42972,49561,106780,114281,221059
125,975,2334,3926,4450,8373,1805,1021,59,27,762,2126,2623,3180,5804,1116,472,25,13,887,2682,2038,3167,5200,83011,83417,8263,8235,73180,70243,164458,161889,326348
126,413,1184,1906,2380,4281,1029,688,26,7,362,1116,1419,1810,3223,792,344,15,4,498,1633,1298,1987,3282,35965,36293,4243,4252,26206,31048,66416,71598,138019
127,863,2292,3693,4162,7859,1641,868,44,23,635,1987,2321,2870,5194,975,327,20,19,662,2053,1653,2395,4050,71993,72419,7824,7963,63787,70555,143599,150934,294535
128,495,1374,2582,2976,5561,1322,924,31,25,453,1348,1814,2304,4111,967,475,29,16,601,1988,1599,2475,4073,43321,43825,6609,6748,28240,33286,78168,83854,162025
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,581,1192,2081,2285,4370,878,556,29,14,428,1061,1329,1628,2963,509,244,16,7,425,1344,952,1596,2552,25474,25714,6315,6431,21695,25907,53484,58059,111540
202,572,1109,2101,2328,4425,923,588,23,15,413,1001,1354,1604,2964,565,297,14,11,467,1198,1045,1498,2548,25083,25413,5981,6214,20770,24655,51833,56283,108119
203,771,1975,3438,4088,7528,1643,1179,37,22,650,1814,2335,3014,5349,1105,528,25,14,788,2348,1915,2894,4810,48053,48712,10114,10441,36813,44573,94977,103726,198705
204,618,1305,2513,2704,5214,1079,691,38,22,475,1162,1592,1875,3465,704,310,20,22,514,1403,1240,1736,2976,29028,29426,6706,6855,21769,24816,57506,61093,118602
205,1132,2230,4363,4594,8955,1781,1138,61,39,831,1936,2675,3106,5783,1135,523,31,15,830,2234,1990,2776,4766,46164,46802,10414,10859,35447,40796,92025,98459,190481
206,1329,3050,4227,5297,9526,1929,1176,75,31,989,2719,2993,3929,6920,1389,590,59,31,1133,3030,2580,3644,6223,70469,71173,37292,35490,106870,127822,214632,234480,449113
207,847,2715,4708,5809,10519,2660,1612,61,33,730,2694,3449,4339,7788,1876,904,54,18,1094,3627,3029,4545,7574,68554,69584,9133,9015,51778,64583,129461,143180,272642
208,1050,2947,4360,5501,9863,2158,1575,78,44,880,2738,3112,4355,7468,1871,886,53,38,1309,4268,3234,5182,8415,73859,74830,13700,13677,53904,68148,141459,156648,298109
209,1028,2841,4958,5771,10733,2574,1546,56,34,861,2631,3489,4213,7703,1441,653,30,17,1041,3033,2513,3705,6223,91140,91849,15676,16168,70061,78892,176882,186913,363791
210,752,2149,3759,4331,8094,1882,1141,47,23,650,2127,2584,3288,5869,1185,490,27,7,812,2294,2022,2792,4812,66464,66924,9966,10071,52715,57467,129148,134462,263607
211,1213,3281,5647,6594,12236,2631,1661,53,49,949,2757,3638,4462,8098,1588,729,32,15,1096,3307,2718,4051,6768,95710,96606,16305,16578,68188,79433,180203,192617,372813
