SA4_CODE_2016,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85_ov,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85_ov,C16_F_CL_CL_nfd_Tot,C16_F_CL_T_15_19,C16_F_CL_T_20_24,C16_F_CL_T_25_34,C16_F_CL_T_35_44,C16_F_CL_T_45_54,C16_F_CL_T_55_64,C16_F_CL_T_65_74,C16_F_CL_T_75_84,C16_F_CL_T_85_ov,C16_F_CL_T_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85o,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85_ov,C16_F_LE_NS_T,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85o,C16_F_T_T,C06_P_Post_Deg_15_19_yrs,C06_P_Post_Deg_20_24_yrs,C06_P_Post_Deg_25_34_yrs,C06_P_Post_Deg_35_44_yrs,C06_P_Post_Deg_45_54_yrs,C06_P_Post_Deg_55_64_yrs,C06_P_Post_Deg_65_74_yrs,C06_P_Post_Deg_75_84_yrs,C06_P_Post_Deg_85o,C06_P_Post_Deg_Tot,C06_P_GrDip_GrCe_15_19,C06_P_GrDip_GrCe_20_24,C06_P_GrDip_GrCe_25_34,C06_P_GrDip_GrCe_35_44,C06_P_GrDip_GrCe_45_54,C06_P_GrDip_GrCe_55_64,C06_P_GrDip_GrCe_65_74,C06_P_GrDip_GrCe_75_84,C06_P_GrDip_GrCe_85ov,C06_P_GrDip_GrCe_Tot,C06_P_BD_15_19,C06_P_BD_20_24,C06_P_BD_25_34,C06_P_BD_35_44,C06_P_BD_45_54,C06_P_BD_55_64,C06_P_BD_65_74,C06_P_BD_75_84,C06_P_BD_85o,C06_P_BD_Tot,C06_P_AdD_DL_15_19,C06_P_AdD_DL_20_24,C06_P_AdD_DL_25_34,C06_P_AdD_DL_35_44,C06_P_AdD_DL_45_54,C06_P_AdD_DL_55_64,C06_P_AdD_DL_65_74,C06_P_AdD_DL_75_84,C06_P_AdD_DL_85o,C06_P_AdD_DL_Tot,C06_P_CL_C_III_IV_15_19,C06_P_CL_C_III_IV_20_24,C06_P_CL_C_III_IV_25_34,C06_P_CL_C_III_IV_35_44,C06_P_CL_C_III_IV_45_54,C06_P_CL_C_III_IV_55_64,C06_P_CL_C_III_IV_65_74,C06_P_CL_C_III_IV_75_84,C06_P_CL_C_III_IV_85_ov,C06_P_CL_C_III_IV_Tot,C06_P_CL_C_I_II_15_19,C06_P_CL_C_I_II_20_24,C06_P_CL_C_I_II_25_34,C06_P_CL_C_I_II_35_44,C06_P_CL_C_I_II_45_54,C06_P_CL_C_I_II_55_64,C06_P_CL_C_I_II_65_74,C06_P_CL_C_I_II_75_84,C06_P_CL_C_I_II_85_ov,C06_P_CL_C_I_II_Tot,C06_P_CL_CL_nfd_15_19,C06_P_CL_CL_nfd_20_24,C06_P_CL_CL_nfd_25_34,C06_P_CL_CL_nfd_35_44,C06_P_CL_CL_nfd_45_54,C06_P_CL_CL_nfd_55_64,C06_P_CL_CL_nfd_65_74,C06_P_CL_CL_nfd_75_84,C06_P_CL_CL_nfd_85_ov,C06_P_CL_CL_nfd_Tot,C06_P_CL_T_15_19,C06_P_CL_T_20_24,C06_P_CL_T_25_34,C06_P_CL_T_35_44,C06_P_CL_T_45_54,C06_P_CL_T_55_64,C06_P_CL_T_65_74,C06_P_CL_T_75_84,C06_P_CL_T_85_ov,C06_P_CL_T_Tot,C06_P_LE_ID_15_19,C06_P_LE_ID_20_24,C06_P_LE_ID_25_34,C06_P_LE_ID_35_44,C06_P_LE_ID_45_54,C06_P_LE_ID_55_64,C06_P_LE_ID_65_74,C06_P_LE_ID_75_84,C06_P_LE_ID_85o,C06_P_LE_ID_Tot,C06_P_LE_NS_15_19,C06_P_LE_NS_20_24,C06_P_LE_NS_25_34,C06_P_LE_NS_35_44,C06_P_LE_NS_45_54,C06_P_LE_NS_55_64,C06_P_LE_NS_65_74,C06_P_LE_NS_75_84,C06_P_LE_NS_85_ov,C06_P_LE_NS_T,C06_P_Tot_15_19_yrs,C06_P_Tot_20_24_yrs,C06_P_Tot_25_34_yrs,C06_P_Tot_35_44_yrs,C06_P_Tot_45_54_yrs,C06_P_Tot_55_64_yrs,C06_P_Tot_65_74_yrs,C06_P_Tot_75_84_yrs,C06_P_Tot_85o,C06_P_T_T,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85o,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85ov,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85o,C11_P_BD_Tot
101,111,202,266,251,313,293,163,27,15,1641,39,115,221,363,608,695,543,183,62,2837,389,1261,2656,2798,3217,2740,1417,400,140,15030,4,21,64,70,118,186,174,89,31,758,752,449,959,1072,1455,1695,1901,1547,1039,10859,1182,2625,8037,9423,10580,10188,6702,3040,1481,53261,4,3,326,787,831,735,270,90,6,3049,0,21,284,570,828,513,143,33,8,2397,10,577,2689,3118,3306,2334,1056,480,85,13652,41,405,1491,2300,2622,2135,1048,470,112,10622,390,1883,4384,5918,5708,4147,2434,1045,195,26107,156,330,447,487,345,226,75,26,8,2097,60,151,481,675,743,515,235,133,21,3018,600,2370,5310,7078,6800,4885,2750,1204,228,31227,43,107,305,563,678,586,339,190,51,2873,1581,844,1943,2501,2765,2645,2538,2384,805,18012,2276,4326,12343,16923,17829,13838,8151,4853,1292,81829,0,13,528,1095,1105,1097,521,132,20,4519,0,20,363,660,827,871,313,60,10,3132,3,523,3010,3848,3570,3241,1681,579,166,16634
102,202,283,357,442,464,426,234,46,25,2478,86,197,393,588,885,1014,840,321,122,4450,801,2352,4745,4802,5158,4101,2248,722,288,25215,9,36,121,144,235,355,383,170,85,1539,762,625,1121,1301,1662,1914,2484,2468,1954,14282,1707,4681,13274,14744,14517,12811,8857,4732,2719,78043,0,17,351,768,848,604,264,120,11,2984,0,22,303,502,756,404,183,60,10,2235,5,997,4083,3788,3936,2241,1166,677,135,17029,128,867,2865,3828,3664,2461,1416,893,206,16331,680,3297,7473,8999,8429,5816,3823,2473,497,41495,284,502,688,646,556,292,99,62,10,3131,107,333,791,1114,1077,874,452,274,56,5076,1076,4130,8953,10761,10058,6977,4373,2812,563,49703,85,206,501,869,931,760,546,363,92,4345,2478,1380,2655,3700,3883,3826,4508,5654,2508,30588,3767,7614,19714,24222,24081,17263,12455,10568,3527,123204,3,26,562,1009,1103,963,460,168,31,4319,0,33,357,598,755,716,264,93,13,2838,10,1099,4816,5166,4195,3446,1710,810,228,21487
103,141,219,307,308,335,267,149,46,15,1789,62,137,269,362,565,592,417,142,48,2595,505,1547,2978,2843,3062,2202,1136,337,138,14744,12,28,48,65,110,174,155,65,37,705,863,574,973,1105,1442,1567,1800,1481,741,10549,1428,3015,8280,8548,8621,7740,5290,2676,1178,46789,0,11,198,385,535,422,144,34,3,1736,0,21,196,329,529,301,92,33,0,1497,3,636,2650,2415,2447,1579,582,305,75,10693,35,345,1252,1887,2042,1553,746,328,71,8255,531,2286,4891,5459,4864,3410,1774,759,155,24127,240,460,542,506,377,210,69,22,3,2420,69,146,461,648,680,521,220,81,23,2853,830,2896,5885,6612,5928,4141,2064,861,184,29397,54,128,264,505,576,508,294,149,30,2505,1508,998,1948,2239,2270,2457,2456,2281,844,16999,2432,5020,12401,14377,14322,10954,6374,3989,1212,71081,0,17,277,530,542,568,255,67,15,2281,0,16,230,357,488,468,159,49,4,1776,3,705,3076,3076,2376,2162,986,395,118,12897
104,89,126,195,195,215,241,139,14,3,1212,32,80,170,242,367,494,378,133,50,1942,304,870,1742,1901,2227,2113,987,281,122,10555,7,15,47,53,81,126,143,58,27,544,452,263,532,622,878,1094,1182,1123,747,6881,789,1612,4667,5560,6297,6740,4145,2064,1071,32938,0,0,94,222,293,298,88,32,7,1041,0,11,95,235,417,233,80,21,3,1104,4,278,1325,1566,2051,1143,491,235,57,7150,20,245,694,1320,1744,1251,644,305,59,6275,232,1022,2477,3703,4092,2856,1682,849,160,17069,174,251,298,312,322,122,55,20,5,1554,37,114,290,389,491,384,173,66,22,1950,442,1380,3059,4404,4902,3366,1908,932,177,20565,37,82,161,334,479,360,231,139,29,1847,985,461,956,1398,1492,1531,1693,1888,801,11203,1491,2453,6378,9493,11373,8187,5134,3549,1139,49189,0,5,145,336,360,430,201,68,14,1554,0,11,114,268,334,409,124,27,6,1294,3,337,1594,2089,1984,1948,805,355,79,9190
105,58,115,192,170,198,146,72,19,0,967,30,65,136,157,241,285,163,64,18,1163,218,812,1649,1494,1581,1240,527,138,45,7710,5,10,38,30,56,87,63,31,10,333,443,376,812,714,925,1004,1001,883,474,6637,687,1691,5068,4418,4605,4095,2396,1363,629,24951,0,4,99,178,194,119,28,13,0,647,0,12,149,185,288,108,27,13,0,783,3,436,1595,1338,1150,658,244,103,29,5546,24,163,730,984,939,650,354,139,39,4015,256,1131,2586,2973,2868,1828,898,408,69,13016,119,225,302,261,234,106,23,8,3,1278,28,93,242,317,282,225,104,38,3,1344,405,1454,3134,3556,3384,2157,1023,450,69,15639,23,51,165,267,358,243,137,65,19,1327,1056,716,1265,1592,1759,1640,1672,1472,477,11648,1509,2828,7133,8102,8071,5585,3489,2251,640,39605,0,6,186,212,233,173,56,26,4,899,0,11,133,213,236,203,50,8,0,855,5,402,1871,1555,1197,961,349,131,35,6505
106,193,326,495,434,401,319,151,24,4,2351,52,187,365,454,751,713,551,159,56,3291,648,2331,4907,4296,4253,2897,1461,359,136,21293,10,35,90,107,159,215,183,77,44,909,773,546,1253,1192,1443,1715,1930,1525,935,11313,1513,4012,11297,11000,10462,9106,5902,2720,1326,57336,0,8,195,363,497,363,113,39,7,1576,0,9,189,349,539,253,72,27,0,1437,8,697,2586,2395,2512,1606,674,278,58,10813,60,586,1834,2438,2597,1802,844,343,78,10582,618,2896,7053,8039,6835,4591,2420,1120,177,33738,297,501,633,554,426,228,74,23,3,2749,81,212,605,758,735,606,249,130,27,3399,1000,3601,8289,9349,7996,5426,2742,1274,209,39887,52,142,344,535,622,502,293,159,25,2675,1845,1009,2162,2763,2601,2739,2632,2626,1073,19442,2955,6050,15603,18183,17363,12689,7369,4747,1454,86412,0,16,325,566,626,538,237,57,11,2378,0,15,217,423,507,425,144,29,8,1764,4,785,3344,3233,2522,2358,1177,372,90,13888
107,140,271,305,407,410,336,163,47,18,2098,81,212,334,604,879,913,608,257,93,3978,607,2169,4145,3957,4357,3160,1435,521,222,20573,12,53,125,143,192,275,249,132,48,1235,686,633,1111,1072,1325,1568,1762,1657,1140,10963,1432,5390,14059,13844,12771,10920,6418,3267,1655,69760,3,125,1027,1326,1440,881,256,79,11,5147,0,59,453,556,883,404,128,31,12,2513,21,1854,5426,4317,4010,1978,804,379,91,18870,85,1166,3047,3498,3404,2016,885,429,111,14653,637,3228,7232,8081,7182,4778,2953,1594,311,36003,246,501,727,598,512,229,92,42,9,2945,94,291,762,1035,1030,771,358,160,37,4540,980,4024,8717,9720,8721,5778,3403,1793,353,43485,66,224,449,726,812,578,396,231,49,3535,2077,1565,2473,3136,3122,2933,3296,3419,1199,23227,3235,9013,21592,23280,22395,14566,9167,6361,1833,111437,0,168,1693,1720,1686,1347,500,121,31,7265,4,85,617,668,818,789,185,56,6,3226,21,2116,6262,5608,4303,3134,1356,494,139,23429
108,106,186,288,290,360,367,239,46,17,1898,57,112,246,369,613,819,733,270,96,3321,433,1289,2641,2901,3586,3381,1884,584,211,16914,4,13,30,70,125,237,270,138,53,943,692,378,756,847,1288,1771,2379,2038,1436,11590,1182,2263,6272,7669,9165,10147,7544,3888,1989,50117,3,4,93,252,326,315,149,71,16,1234,0,14,146,264,517,335,121,47,8,1450,5,288,1493,1890,2459,1717,886,426,74,9233,39,303,1075,1820,2235,1915,1210,617,110,9326,420,1588,3725,5527,6168,4738,3219,1807,314,27507,222,370,445,485,410,246,94,39,6,2333,68,132,376,590,687,631,331,192,36,3041,715,2086,4542,6602,7266,5610,3644,2047,360,32880,32,99,273,475,698,597,416,267,65,2923,1423,703,1410,2017,2386,2577,3115,3620,1438,18680,2220,3501,9035,13318,15888,13065,9544,7090,2065,75725,0,5,166,367,434,514,264,87,14,1852,0,11,122,352,483,538,210,61,11,1783,4,345,1688,2514,2432,2561,1431,598,150,11723
109,48,102,176,173,160,158,63,20,3,904,26,81,131,177,260,267,185,75,14,1207,236,854,1614,1539,1639,1386,634,198,51,8151,4,9,28,37,60,72,81,48,24,358,382,317,571,605,736,978,1050,988,519,6139,652,1730,4821,4777,4743,4548,2887,1629,705,26493,0,4,103,183,229,118,57,15,4,705,0,19,167,253,305,191,35,12,8,985,5,418,1766,1430,1443,742,308,137,39,6278,18,296,784,1014,1255,910,437,196,40,4941,272,1312,2775,3165,3052,1907,1103,517,90,14203,111,257,314,241,198,90,24,9,0,1250,38,95,239,310,311,187,87,39,11,1314,423,1670,3330,3714,3563,2182,1210,570,102,16759,19,57,137,265,284,257,140,93,21,1289,933,418,852,1161,1333,1320,1591,1661,541,9823,1400,2881,7142,8017,8403,5714,3783,2678,750,40781,0,8,257,259,281,202,84,23,10,1120,0,13,173,300,326,264,82,12,8,1182,0,402,1952,1787,1423,1128,500,165,57,7423
110,94,193,259,242,263,248,148,36,7,1489,45,121,209,309,475,513,375,110,43,2193,452,1290,2504,2347,2582,2122,1039,256,82,12669,10,29,69,51,88,124,149,78,38,640,746,567,1004,1021,1356,1526,1609,1311,731,9871,1248,2663,7283,7329,7703,7204,4747,2356,1062,41584,0,5,217,455,569,477,186,71,14,1993,0,18,216,355,462,269,81,22,5,1431,3,665,2397,2147,2236,1423,532,291,61,9762,30,316,1228,1690,1806,1325,670,305,76,7433,450,1760,3730,4467,4346,2985,1536,576,118,19975,261,427,513,443,339,186,57,18,7,2249,64,173,360,560,503,436,177,73,19,2365,773,2361,4604,5474,5196,3608,1767,669,140,24585,51,93,239,471,530,438,287,111,32,2235,1281,694,1537,2066,2039,2277,2284,2248,875,15293,2138,4155,10433,12651,12839,9814,5800,3716,1201,62740,0,15,343,539,629,584,307,84,23,2535,0,23,256,413,420,427,129,28,7,1710,4,650,2676,2591,2180,2018,878,319,124,11433
