SA4_CODE_2016,Ag_forest_fish_C06_M,Ag_forest_fish_C06_F,Ag_forest_fish_C06_P,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Mining_C06_M,Mining_C06_F,Mining_C06_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Manuf_C06_M,Manuf_C06_F,Manuf_C06_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Ele_gas_wat_was_ser_01_Cen_M,Ele_gas_wat_was_ser_01_Cen_F,Ele_gas_wat_was_ser_01_Cen_P,Ele_gas_wat_was_ser_06_Cen_M,Ele_gas_wat_was_ser_06_Cen_F,Ele_gas_wat_was_ser_06_Cen_P,Ele_gas_wat_was_ser_11_Cen_M,Ele_gas_wat_was_ser_11_Cen_F,Ele_gas_wat_was_ser_11_Cen_P,Constr_C06_M,Constr_C06_F,Constr_C06_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Whlesale_tde_C06_M,Whlesale_tde_C06_F,Whlesale_tde_C06_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Retail_tde_C06_M,Retail_tde_C06_F,Retail_tde_C06_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Accom_food_S_C06_M,Accom_food_S_C06_F,Accom_food_S_C06_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Tpt_post_ware_C06_M,Tpt_post_ware_C06_F,Tpt_post_ware_C06_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Inf_Medi_Tele_C06_M,Inf_Medi_Tele_C06_F,Inf_Medi_Tele_C06_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Finan_Insu_S_C06_M,Finan_Insu_S_C06_F,Finan_Insu_S_C06_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Rent_hir_re_est_S_01_Cen_M,Rent_hir_re_est_S_01_Cen_F,Rent_hir_re_est_S_01_Cen_P,Rent_hir_re_est_S_06_Cen_M,Rent_hir_re_est_S_06_Cen_F,Rent_hir_re_est_S_06_Cen_P,Rent_hir_re_est_S_11_Cen_M,Rent_hir_re_est_S_11_Cen_F,Rent_hir_re_est_S_11_Cen_P,Prof_scie_tech_S_01_Cens_M,Prof_scie_tech_S_01_Cens_F,Prof_scie_tech_S_01_Cens_P,Prof_scie_tech_S_06_Cens_M,Prof_scie_tech_S_06_Cens_F,Prof_scie_tech_S_06_Cens_P,Prof_scie_tech_S_11_Cens_M,Prof_scie_tech_S_11_Cens_F,Prof_scie_tech_S_11_Cens_P,Admin_supp_S_C06_M,Admin_supp_S_C06_F,Admin_supp_S_C06_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Pub_admin_safet_C06_M,Pub_admin_safet_C06_F,Pub_admin_safet_C06_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Educ_trn_C06_M,Educ_trn_C06_F,Educ_trn_C06_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Hea_car_soc_assist_01_Cens_M,Hea_car_soc_assist_01_Cens_F,Hea_car_soc_assist_01_Cens_P,Hea_car_soc_assist_06_Cens_M,Hea_car_soc_assist_06_Cens_F,Hea_car_soc_assist_06_Cens_P,Hea_car_soc_assist_11_Cens_M,Hea_car_soc_assist_11_Cens_F,Hea_car_soc_assist_11_Cens_P,Arts_rec_S_C06_M,Arts_rec_S_C06_F,Arts_rec_S_C06_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Oth_services_C06_M,Oth_services_C06_F,Oth_services_C06_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Inad_descr_Ns_C06_M,Inad_descr_Ns_C06_F,Inad_descr_Ns_C06_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101,4985,1900,6883,4521,1627,6148,4585,1750,6334,202,17,221,321,40,363,439,57,497,4380,1302,5686,3998,1342,5349,3088,1216,4308,991,234,1226,1166,275,1441,1076,224,1299,6562,831,7396,7617,919,8536,8200,942,9142,1600,697,2300,1585,676,2260,1191,501,1690,4368,6064,10434,4445,5929,10371,4025,5502,9524,2997,4392,7389,3145,4510,7655,3364,4525,7892,2851,822,3671,2857,823,3677,2747,805,3548,618,514,1136,568,533,1100,601,474,1072,440,942,1384,469,967,1432,403,849,1251,559,768,1320,602,770,1370,641,782,1423,2246,2155,4398,2498,2515,5014,2421,2555,4974,1008,1205,2212,1179,1296,2473,1301,1690,2986,5962,4934,10894,7045,6418,13465,6986,6708,13691,1865,4104,5970,2035,4732,6769,1964,5379,7346,1639,6942,8581,1828,8396,10227,2094,9222,11315,789,613,1404,886,693,1575,923,812,1736,1766,1371,3137,1977,1467,3449,2057,1536,3593,1185,803,1983,1190,807,1999,2339,1353,3697,47006,40613,87626,49930,44731,94663,50446,46886,97339
102,617,380,998,596,314,909,715,404,1113,367,36,405,655,60,716,691,71,762,8450,3269,11723,8570,2907,11473,6343,2390,8733,1343,184,1521,1620,237,1860,1340,212,1550,10294,1433,11729,11125,1462,12586,14004,1722,15724,2958,1717,4674,2975,1554,4530,2225,1211,3437,6752,9772,16529,6761,9660,16421,6374,9114,15491,3640,4635,8277,3950,5537,9485,4405,6176,10589,4324,997,5318,4696,993,5685,4184,1080,5260,1632,788,2414,1666,929,2600,1777,907,2684,1811,2397,4207,1763,2372,4139,2198,2463,4665,1079,1198,2284,991,1177,2167,1100,1335,2433,3321,2913,6229,3798,3376,7169,4017,3501,7520,1796,1843,3640,2181,2336,4514,2393,2586,4980,4629,2886,7513,4959,3394,8354,4923,3777,8703,2551,5708,8261,2867,6546,9418,3016,7694,10708,3274,12202,15477,3759,14859,18619,4466,16943,21413,897,791,1689,1058,908,1961,1137,984,2126,2771,2182,4950,2941,2449,5384,3078,2790,5868,1651,1225,2869,1789,1248,3036,3709,2132,5841,64163,56553,120714,68699,62312,131011,72088,67514,139593
103,7140,2658,9794,6225,2353,8578,6041,2275,8318,2719,242,2963,4618,538,5160,4157,460,4617,6030,1672,7704,5447,1618,7063,3976,1275,5252,1068,228,1300,1124,258,1385,952,172,1128,4500,586,5087,4910,676,5582,5447,748,6195,1643,630,2269,1622,703,2327,1317,507,1824,3736,5588,9327,3405,5513,8916,3352,5199,8549,1873,3560,5435,1980,3735,5720,2200,3718,5920,2718,797,3518,2918,795,3713,2550,726,3279,473,428,895,406,359,770,389,370,753,411,921,1323,365,841,1211,400,804,1207,406,502,909,412,511,918,445,520,969,1315,1377,2689,1458,1617,3075,1326,1719,3041,665,930,1597,903,1144,2045,919,1448,2363,3283,2241,5517,3246,2441,5688,3274,2834,6108,1816,4935,6753,2017,5501,7513,1940,5988,7930,1489,7161,8649,1797,8388,10188,2197,9188,11381,356,299,656,359,328,681,414,405,821,1655,1266,2916,1952,1332,3282,1984,1414,3394,995,761,1755,1093,763,1856,2017,1206,3225,44292,36767,81060,46262,39399,85662,45297,40989,86287
104,1865,783,2644,1728,718,2446,2104,937,3041,71,10,80,187,25,213,215,16,226,2709,637,3347,2555,618,3176,1797,467,2264,353,69,422,464,84,549,397,53,451,3339,442,3777,3919,525,4444,4354,571,4924,993,383,1378,966,385,1350,636,288,929,2959,3926,6883,2778,3941,6720,2587,3583,6172,1847,2675,4522,1926,2843,4774,2062,2773,4834,1504,361,1867,1530,368,1904,1524,400,1925,397,293,687,301,244,542,294,206,500,355,639,996,358,600,958,298,465,761,389,473,861,390,483,874,370,482,853,871,991,1865,1002,1091,2085,1008,1123,2129,663,619,1275,770,699,1464,843,934,1776,1836,1283,3120,1960,1502,3462,1906,1531,3432,1238,2679,3910,1320,3046,4357,1271,3288,4563,1286,4603,5894,1662,5812,7475,1901,6640,8543,400,281,679,394,294,693,399,328,725,1075,766,1837,1159,834,1990,1167,871,2041,615,447,1063,599,464,1065,1234,734,1970,24758,22342,47099,25965,24570,50539,26388,25696,52076
105,5298,1949,7245,4796,1714,6506,4385,1567,5952,1532,175,1707,1687,220,1908,1702,253,1957,1880,469,2347,1739,423,2160,1354,435,1783,541,128,669,598,166,764,499,121,623,2337,291,2632,2491,278,2773,2663,329,2997,1145,406,1544,1061,390,1447,773,296,1067,2186,3129,5318,2106,2979,5082,1838,2664,4505,1043,2019,3061,1127,2170,3293,1167,2104,3274,1566,411,1979,1633,377,2009,1380,358,1738,265,214,479,208,172,378,208,149,355,270,523,791,248,490,744,220,398,621,201,266,464,193,256,449,186,226,411,603,769,1377,634,854,1482,620,827,1452,431,556,988,492,614,1112,477,751,1221,2108,1377,3481,2163,1586,3754,1979,1620,3604,1048,3007,4053,1051,3300,4352,1002,3440,4437,1145,4436,5582,1162,5200,6359,1283,5316,6600,245,229,471,322,268,587,300,242,542,1002,649,1652,1092,714,1812,1078,749,1829,789,550,1338,695,432,1122,1159,602,1758,25633,21544,47183,25498,22593,48088,24273,22440,46707
106,2760,1459,4215,2346,1328,3674,2409,1323,3730,5973,526,6501,8663,1164,9826,8668,1262,9936,8201,2123,10331,8555,2229,10788,5586,1847,7436,1361,262,1621,1456,328,1783,1516,298,1813,6395,1025,7420,7271,1172,8447,8108,1324,9434,2114,805,2919,2215,873,3084,1653,567,2217,4171,7266,11434,3974,7542,11513,4066,7136,11201,2540,4814,7358,2844,5577,8417,3319,5708,9025,3248,906,4154,3603,1046,4652,3675,1153,4826,450,363,819,351,348,699,381,310,698,539,1259,1801,508,1292,1803,597,1418,2019,743,819,1562,795,907,1703,744,937,1680,2018,1947,3965,2265,2292,4564,2181,2319,4509,1202,1378,2575,1492,1859,3345,1775,2349,4120,4009,2265,6274,4175,2606,6777,4320,3022,7336,1533,4321,5852,1693,4877,6571,1721,5735,7454,1546,7438,8982,1618,9292,10914,2003,10948,12952,490,519,1009,555,630,1184,574,591,1162,2463,1637,4093,3198,1927,5130,2913,2113,5028,1427,883,2308,1522,892,2416,2814,1565,4379,53174,42013,95188,59102,48181,107286,59029,51933,110966
107,343,168,513,344,153,497,386,212,603,2091,118,2208,2868,186,3058,2418,155,2574,11471,2140,13612,10040,1817,11862,6297,1308,7607,938,194,1135,1135,194,1326,1147,201,1349,7931,1008,8943,8383,1002,9383,11008,1132,12139,2060,941,2997,2165,906,3070,1813,725,2533,4990,7772,12764,4890,7638,12529,5151,7665,12817,2942,4450,7390,3516,5080,8595,4069,5441,9506,4459,896,5361,5074,984,6061,4822,1053,5878,958,698,1658,860,594,1455,894,504,1394,1381,2519,3898,1482,2782,4259,1764,2725,4493,982,975,1960,864,957,1824,846,1020,1868,3258,2485,5739,3587,2670,6259,3823,2875,6695,1483,1819,3304,1666,2070,3734,1875,2396,4270,4221,3130,7344,4787,3601,8393,5078,4192,9269,3679,7203,10882,4034,8352,12382,4194,9728,13921,2621,10159,12783,3170,12688,15858,3914,14813,18725,818,779,1604,906,776,1680,946,880,1823,2436,1881,4324,2748,2083,4827,2774,2361,5133,1518,942,2458,1403,973,2371,3124,1624,4744,60591,50275,110873,63918,55504,119425,66333,60992,127331
108,2458,1040,3497,2178,909,3085,2305,950,3259,233,19,253,515,41,562,461,27,490,4125,1155,5284,3805,976,4786,2774,830,3607,903,414,1312,1196,575,1772,1054,417,1468,5625,742,6366,5682,710,6387,6761,799,7562,1313,506,1820,1273,486,1755,880,331,1211,4153,5592,9739,4029,5625,9650,3743,5155,8900,2426,3541,5964,2559,3825,6386,2822,3965,6783,2133,516,2650,2275,500,2778,2265,530,2795,412,276,687,335,311,649,310,235,540,465,872,1335,474,827,1300,441,704,1145,583,730,1322,512,689,1196,502,720,1226,1145,1299,2442,1304,1377,2683,1272,1543,2818,893,851,1746,1175,1076,2247,1289,1423,2709,2075,1334,3408,2157,1533,3698,2192,1598,3789,1705,3673,5379,1848,4142,5988,1858,4750,6607,1837,7015,8854,2305,8858,11163,2735,9996,12736,504,366,872,536,386,922,480,385,868,1516,1159,2673,1610,1207,2818,1623,1304,2928,915,595,1509,843,630,1476,1665,1065,2731,35424,31695,67119,36615,34688,71304,37433,36723,74160
109,5090,1872,6959,4213,1459,5664,4167,1538,5704,94,14,109,202,20,220,147,15,160,4341,1345,5683,4087,1281,5367,3090,1045,4132,449,80,531,501,86,583,463,83,544,3188,435,3619,3343,443,3789,3669,495,4160,1204,485,1693,1073,420,1490,839,299,1141,2281,3512,5794,2230,3296,5522,1994,3012,5008,1426,2491,3916,1420,2496,3907,1549,2477,4026,1740,482,2222,1780,468,2250,1777,523,2302,308,221,529,215,220,434,208,191,396,336,585,923,282,592,871,248,522,776,255,271,523,234,270,501,219,280,497,904,917,1818,913,906,1821,843,969,1807,513,532,1048,593,617,1211,585,808,1393,1622,1228,2853,1679,1484,3159,1654,1422,3074,902,2517,3422,982,2776,3759,1004,3180,4184,743,4152,4896,969,4905,5870,1046,5365,6411,216,206,423,247,248,496,262,224,482,965,703,1670,1007,749,1755,1091,798,1891,710,528,1241,704,488,1195,1262,746,2008,27278,22583,49862,26679,23206,49891,26119,23980,50100
110,8837,3419,12256,8121,3069,11190,7834,2984,10811,338,33,373,993,126,1112,1448,184,1632,3936,1151,5084,3839,1162,5004,3056,1013,4067,586,80,664,712,97,810,636,73,710,3850,561,4414,4280,545,4833,4529,564,5089,1613,627,2240,1661,647,2313,1305,520,1823,3474,4696,8171,3363,4892,8252,3031,4551,7584,1674,2983,4650,1817,3217,5035,1913,3095,5008,2513,694,3207,2620,726,3342,2325,666,2990,466,296,762,331,293,629,291,276,571,497,934,1428,499,963,1460,437,795,1237,390,436,823,393,492,884,382,465,844,1201,1559,2761,1230,1626,2857,1203,1706,2907,709,813,1528,743,914,1659,914,1307,2227,2766,1519,4285,2675,1675,4353,2605,1694,4300,2139,4848,6988,2180,5280,7459,2178,5703,7883,1435,6170,7605,1609,7398,9006,1773,7934,9710,358,249,604,374,264,642,333,258,591,1780,1208,2988,1833,1215,3051,1728,1222,2951,1048,793,1838,1028,664,1697,1934,1115,3050,39609,33064,72666,40316,35271,75583,39847,36134,75985
