SA4_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
101,797,443,424,506,601,642,439,182,38,4060,22,8,7,12,29,28,41,12,4,166,20232,12536,10633,14113,19258,20539,18238,9931,4039,129516,201,75,390,172,70,46,25,3,3,982,384,126,347,167,108,56,27,8,0,1224,15,4,14,18,20,38,27,7,3,145,26,4,9,9,10,7,3,0,0,62,118,44,233,71,19,23,3,3,3,514,68,61,84,124,140,120,58,22,9,680,211,111,323,200,164,144,67,22,9,1255,13987,7666,7864,7813,8255,8300,5296,1819,598,61597,3515,2346,2541,2651,3314,3298,2705,1425,612,22398,38761,23019,22338,25417,31504,32731,26553,13249,5265,218843
102,1533,953,884,855,1012,920,545,239,101,7043,47,48,28,42,55,41,47,21,11,355,32665,20954,17423,22642,28078,28850,26907,16761,7497,201779,249,95,286,232,134,81,55,23,8,1158,290,116,176,193,129,66,45,23,0,1030,28,30,27,44,59,54,70,36,10,356,18,13,15,13,13,4,0,0,0,78,58,20,101,42,7,11,7,0,0,243,120,100,121,143,168,145,53,15,5,874,199,130,237,201,188,165,58,17,5,1197,22289,13552,13846,12448,11071,9163,6027,2598,1085,92082,4280,2936,2826,3026,3364,3475,3194,2199,1664,26955,60427,38098,35278,39376,43630,42364,36591,21691,10278,327736
103,980,468,447,497,529,482,359,160,52,3974,17,11,9,13,9,15,18,6,0,105,25627,14865,13363,15354,18952,19422,16968,10042,4130,138717,159,58,210,150,65,25,17,3,0,692,128,58,119,97,43,26,15,3,0,491,4,3,8,7,4,9,9,4,3,56,18,10,8,15,9,6,3,0,0,61,57,11,66,39,3,5,9,3,0,201,42,74,72,86,64,65,35,13,0,444,116,97,148,137,75,76,40,17,0,705,11125,6541,6290,5177,4779,4192,2821,979,259,42159,3581,2902,2803,2538,2896,2833,2551,1434,670,22206,40910,24652,23097,23652,27016,26773,22483,12507,5075,206155
104,634,381,289,377,396,529,309,126,52,3078,29,11,10,19,22,22,19,8,6,139,10966,6692,5398,7406,10684,13016,12141,7218,2950,76463,70,23,78,77,25,27,17,7,0,323,164,120,70,71,63,24,18,3,0,527,18,5,12,9,21,15,14,3,5,100,16,8,15,7,8,5,7,0,0,63,304,163,367,194,135,120,51,25,15,1368,47,37,54,88,86,85,45,9,4,456,370,206,436,288,230,211,102,34,14,1881,9931,5571,5188,5107,5066,5601,3455,1315,470,41702,2163,1420,1405,1511,1850,2133,1773,1094,609,13954,23859,14153,12753,14690,18165,21286,17629,9702,4052,136288
105,452,218,230,247,251,247,181,84,22,1931,5,6,3,5,11,14,5,7,0,57,13666,7588,7643,7854,10333,11020,8913,5405,2204,74621,110,32,269,113,31,25,8,3,0,599,120,27,120,77,31,13,11,3,0,402,5,0,11,0,3,5,7,0,0,34,41,13,20,13,4,9,4,3,0,110,14,3,61,9,3,0,0,0,0,95,13,28,28,26,33,25,17,3,3,175,66,46,111,54,41,40,24,6,3,385,6250,3657,3807,2876,2616,2374,1428,566,172,23741,2326,1565,1940,1572,1766,1767,1403,762,356,13457,22628,12959,14006,12659,14907,15305,11821,6744,2741,113779
106,1254,652,630,656,690,609,432,160,45,5131,33,7,14,19,26,34,36,25,3,198,30857,18493,17226,20835,23898,24036,20593,10758,4010,170708,200,51,191,153,70,43,15,6,0,732,151,72,139,102,67,48,26,4,0,596,22,7,7,19,10,17,19,3,0,118,8,12,7,7,5,5,3,0,0,52,43,15,83,20,12,4,0,0,0,186,60,67,96,115,130,94,38,9,0,602,118,85,186,144,149,100,42,9,0,836,17459,9949,10348,7937,7213,5966,3827,1363,477,64538,4201,2667,3226,2981,3105,3127,2705,1515,726,24252,53266,31500,31603,32481,34777,33575,27320,13680,5219,263416
107,1681,1087,1068,1160,1133,1014,746,337,99,8324,30,17,16,26,24,39,23,19,3,201,29858,20343,17191,21397,24810,24696,20588,13466,5795,178148,251,242,360,252,145,91,71,29,4,1453,1537,862,941,852,495,254,233,89,15,5273,16,9,8,21,15,16,30,10,3,140,27,3,12,5,17,4,3,0,0,72,22,15,51,21,3,4,6,0,0,125,119,98,127,139,141,95,52,19,9,794,174,113,186,168,159,108,58,18,9,989,17779,14775,13645,10815,9531,7764,4402,1862,688,81263,3759,2985,2998,2691,2842,2865,2472,1535,798,22955,53772,39837,35895,36792,38525,36239,28043,17066,7332,293494
108,956,537,454,539,664,724,519,254,86,4727,10,7,3,7,12,27,30,9,5,113,18383,10940,8502,12277,17640,21973,23831,13966,5890,133386,84,23,107,90,37,41,21,9,0,411,57,15,49,45,30,18,12,6,0,233,14,3,3,17,8,22,34,11,3,113,28,19,9,9,11,12,9,5,0,100,19,3,33,13,0,0,3,0,0,82,51,56,59,70,111,102,39,15,3,515,98,80,106,96,120,119,52,22,3,689,12938,7071,6491,6058,6523,7442,5446,2261,819,55046,2954,1942,1847,1894,2582,3158,3381,1960,1031,20750,34706,20218,17264,20710,27232,33119,32942,18262,7749,212201
109,467,261,223,251,273,313,225,116,25,2161,9,3,3,7,7,3,14,0,0,55,11595,6904,5887,7287,9588,11176,10015,5912,2453,70815,241,105,291,180,76,44,25,11,3,972,107,25,82,79,20,9,3,0,0,326,0,3,3,0,9,0,14,3,3,40,42,29,15,16,16,9,5,4,0,135,69,9,138,43,5,12,3,3,0,281,35,29,40,43,37,25,19,0,0,236,149,66,197,100,57,46,26,3,0,648,7353,4732,4534,3763,3567,3251,2139,904,283,30519,1909,1287,1293,1266,1393,1702,1458,945,466,11711,21447,13217,12415,12838,14843,16327,13722,7784,3208,115803
110,799,409,397,405,434,438,355,157,41,3440,36,13,15,16,23,23,28,3,3,164,21454,12830,11355,13254,16760,17734,15314,9073,3373,121142,124,69,290,112,51,30,15,4,0,686,239,63,229,137,47,23,12,0,0,757,13,3,3,7,5,11,5,0,0,52,16,24,7,10,14,8,0,3,0,85,29,12,80,10,9,6,0,0,0,143,35,80,55,68,95,58,25,9,0,424,77,112,140,91,115,71,30,8,3,652,10126,6466,5813,4258,3888,3738,2337,831,252,37713,3444,2444,2206,2199,2403,2708,2217,1341,617,19574,35630,22102,20212,20263,23405,24436,19976,11283,4248,181555
