SA4_CODE_2016,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_T_M,C11_65_69_T_F,C11_65_69_T_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_T_M,C11_70_74_T_F,C11_70_74_T_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_N_mar_M,C16_15_19_N_mar_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F
101,825,812,1800,1860,6769,7017,13787,4294,4522,777,739,1932,1941,7002,7202,14205,4251,4422,592,554,1682,1798,6521,6770,13294,4601,4336,502,373,1612,1725,6715,6429,13146,3728,3358,258,168,1189,1536,5175,5065,10243,2898,2276,145,79,915,1495,3956,3852,7803,1930,1365,45,36,766,1493,2744,2902,5646,1253,755,31,19,608,1495,1894,2260,4153,595,306,6,6,510,1461,1113,1771,2889,37772,38307,7761,7957,26716,29077,72248,75342,147588,0,4,62,150,5699,5298,5765,5449,11215,122,316,697,1018,3539,2875,4353,4212,8565,965,1544,1141,1270,2309,1897,4408,4708,9118,2257,2754,981,1029,1560,1430,4801,5217,10017,2780,3274,815,823,1203,1290,4799,5387,10182,3444,3789,891,915,1553,1644,5892,6343,12237,3710,4247,919,984,1824,1941,6448,7172,13620,4084,4191,893,902,1976,2055,6954,7156,14110,4307,4444,799,779,2144,2133,7254,7356,14609,4262,4322,647,549,1873,2073,6789,6948,13739,4464,3964,526,384,1712,1976,6706,6325,13029,3342,2840,247,170,1157,1784,4744,4790,9530,2325,1669,150,94
102,1063,1019,2626,3299,9446,10412,19853,5863,6156,830,865,2702,3447,9398,10470,19863,5621,5580,653,621,2302,3100,8573,9305,17871,5573,5452,457,412,2122,3167,8150,9039,17185,4781,4481,329,236,1780,3044,6892,7764,14655,4075,3541,197,102,1381,2806,5651,6457,12106,3157,2475,92,59,1153,2964,4400,5500,9894,2308,1565,54,38,1155,3009,3517,4610,8132,1352,716,20,17,1080,3168,2451,3901,6353,54583,55374,10263,10626,43042,53823,107885,119821,227708,3,9,63,145,9280,8929,9351,9085,18437,202,394,880,1419,7148,6058,8231,7873,16103,1496,2367,1834,2016,4197,3512,7528,7899,15421,3688,4590,1599,1594,2584,2428,7874,8616,16491,4668,5172,1381,1348,2097,2351,8146,8869,17016,5367,5736,1320,1329,2431,3023,9117,10088,19209,5476,5878,1269,1274,2669,3380,9413,10532,19940,5580,5767,1186,1104,2943,3518,9700,10390,20096,5723,5971,904,937,2800,3702,9428,10610,20039,5600,5490,663,612,2377,3536,8642,9642,18280,5543,5383,521,454,2246,3658,8311,9491,17807,4684,4124,374,258,1857,3333,6921,7716,14639,3578,2815,223,114
103,627,623,1712,1624,5918,6202,12114,3875,4006,553,487,1681,1635,6111,6121,12236,3770,3805,399,338,1574,1484,5743,5627,11369,3861,3641,323,244,1481,1623,5659,5512,11176,3143,2732,160,138,1243,1533,4549,4403,8948,2457,2029,108,43,941,1542,3515,3619,7131,1806,1389,29,28,760,1481,2593,2897,5494,1167,713,17,11,603,1497,1785,2219,3999,538,277,4,4,417,1455,959,1730,2685,34188,34718,6773,6973,25743,28115,66700,69805,136511,0,6,81,188,5493,5069,5577,5264,10838,173,343,842,1204,3509,2901,4525,4453,8977,1161,1667,1265,1325,2233,2000,4654,4993,9652,2324,2869,1015,920,1467,1440,4807,5228,10038,2733,3019,734,750,1162,1327,4625,5098,9724,3074,3453,648,699,1430,1554,5159,5697,10856,3313,3585,709,727,1611,1694,5625,6005,11632,3363,3727,626,642,1854,1785,5840,6155,11998,3697,3750,551,477,1749,1884,5998,6107,12104,3607,3480,365,306,1581,1712,5552,5499,11049,3501,3252,324,267,1511,1804,5336,5315,10650,2784,2291,198,134,1188,1725,4175,4152,8325,1958,1463,110,50
104,492,556,1133,1432,3862,4466,8329,2478,2831,484,530,1363,1522,4330,4880,9213,2783,2787,452,400,1265,1335,4503,4513,9021,2823,2688,374,259,1122,1277,4308,4222,8533,2419,2232,182,135,790,1105,3391,3469,6862,1887,1585,110,72,628,1099,2632,2755,5380,1464,1113,53,40,510,1047,2029,2199,4227,969,567,28,17,414,1006,1413,1593,3011,502,233,9,4,378,1101,893,1336,2227,22965,23327,4731,4941,17507,20787,45205,49061,94268,4,9,36,80,3675,3340,3721,3434,7151,87,175,368,553,2171,1761,2626,2497,5122,529,828,647,731,1406,1294,2588,2852,5441,1182,1481,559,547,948,951,2684,2978,5662,1378,1648,517,565,813,997,2707,3214,5913,1816,2023,539,563,1022,1227,3370,3810,7182,1933,2213,527,599,1049,1384,3506,4202,7706,2196,2370,521,557,1302,1538,4016,4464,8479,2376,2685,518,555,1476,1688,4370,4931,9303,2745,2738,466,390,1425,1540,4634,4667,9301,2767,2562,376,292,1194,1507,4336,4351,8686,2279,1933,192,125,802,1266,3274,3321,6601,1592,1276,112,58
105,392,420,1113,1033,3355,3513,6872,2134,2234,372,343,1107,1109,3609,3684,7287,1988,2080,251,223,1020,954,3265,3256,6520,2010,1907,211,149,1004,914,3220,2971,6195,1638,1458,114,82,798,904,2545,2445,4992,1321,1128,62,32,631,902,2009,2057,4068,918,691,25,14,478,905,1424,1617,3040,655,388,21,5,373,830,1043,1227,2266,271,121,8,0,244,725,522,844,1372,17755,18216,4286,4459,15498,17036,37539,39710,77250,0,0,41,84,2760,2590,2809,2675,5481,86,171,524,715,1903,1724,2511,2606,5120,638,893,706,826,1360,1396,2705,3106,5819,1167,1479,554,566,929,996,2649,3045,5691,1329,1489,427,401,680,865,2431,2746,5183,1423,1522,410,421,810,984,2644,2924,5566,1531,1672,424,433,981,1057,2936,3163,6104,1702,1877,381,366,1128,1083,3214,3322,6540,1977,2003,326,325,1135,1148,3440,3483,6919,1767,1771,241,196,1046,1018,3052,2982,6036,1748,1557,172,130,968,986,2886,2670,5554,1359,1185,98,79,688,920,2146,2181,4327,1013,792,59,32
106,839,779,1926,2056,7498,7841,15338,4915,5121,639,634,1938,2025,7490,7785,15269,4755,4798,469,430,1638,1888,6859,7118,13972,4822,4580,358,297,1489,1912,6666,6782,13448,3959,3496,222,145,1189,1644,5380,5282,10654,2900,2392,101,72,899,1565,3905,4025,7933,2061,1543,59,38,671,1592,2796,3175,5969,1258,778,30,19,556,1620,1846,2417,4260,617,290,15,6,477,1549,1112,1843,2961,43961,44810,8945,9216,31366,34579,84282,88603,172885,0,3,89,196,7467,7010,7557,7213,14770,198,449,1075,1632,5094,4389,6364,6471,12840,1640,2451,1808,1990,2969,2592,6415,7033,13452,3243,3987,1392,1359,2019,2060,6646,7408,14057,3845,4206,1135,1070,1791,1840,6772,7116,13887,4272,4770,1073,1062,1951,2100,7293,7934,15228,4381,4778,993,1010,2119,2337,7495,8121,15611,4607,4910,838,834,2119,2311,7560,8045,15601,4860,4931,691,633,2037,2314,7589,7877,15462,4696,4652,510,449,1767,2136,6971,7236,14206,4633,4244,390,322,1631,2216,6653,6778,13432,3709,3098,232,148,1179,1868,5120,5116,10233,2436,1834,110,67
107,777,816,2494,2561,8922,9312,18236,5672,5798,665,635,2271,2690,8608,9123,17736,5150,5342,448,373,1887,2315,7482,8031,15512,5204,4761,317,255,1541,2125,7059,7147,14209,4135,3826,188,148,1219,2001,5540,5979,11517,3450,3059,100,81,1005,2040,4554,5175,9732,2729,2064,57,33,830,2164,3621,4261,7875,1829,1145,23,21,750,2189,2606,3353,5960,936,452,16,6,676,2061,1624,2516,4141,50942,51706,8029,8304,40392,44901,99359,104913,204271,4,8,91,142,8819,8170,8907,8327,17236,198,437,843,1251,8435,7072,9483,8763,18243,1586,2541,1671,1886,4845,3642,8105,8065,16163,3834,4758,1350,1293,2647,2246,7835,8297,16131,4792,5196,1074,1102,2002,2011,7867,8318,16181,5453,5813,1012,1021,2119,2453,8576,9289,17867,5176,5461,928,909,2261,2699,8374,9068,17439,5446,5643,853,858,2534,2761,8828,9262,18086,5426,5512,723,675,2315,2871,8470,9049,17522,4968,4990,494,413,1794,2618,7260,8013,15280,4875,4400,319,288,1591,2365,6787,7043,13833,3811,3408,208,163,1148,2214,5166,5790,10956,2887,2358,132,85
108,708,747,1818,2137,5734,6545,12279,3712,4212,673,728,1999,2240,6376,7184,13563,3920,4170,628,568,1928,2007,6481,6750,13224,4751,4739,514,425,1642,2011,6907,7173,14079,4430,4195,350,251,1485,2047,6261,6497,12762,3711,3189,211,155,1164,1919,5095,5255,10346,2797,2165,102,57,1006,1961,3909,4176,8087,1966,1287,58,30,859,2040,2877,3355,6232,1063,492,23,15,791,2110,1877,2613,4494,37072,37633,6756,6940,26275,31961,70101,76535,146633,3,0,46,123,5353,4986,5403,5110,10515,121,227,584,807,2872,2512,3580,3545,7129,666,1115,856,966,1915,1804,3431,3887,7323,1529,1963,712,757,1289,1403,3535,4120,7660,2007,2336,668,698,1187,1384,3862,4417,8275,2628,2953,741,808,1445,1750,4812,5513,10326,2792,3167,802,800,1751,2069,5340,6041,11382,3212,3690,772,814,2116,2244,6100,6751,12857,3801,4324,737,806,2217,2574,6758,7694,14455,4277,4473,694,598,2200,2398,7174,7468,14634,5151,4918,557,457,1968,2457,7673,7833,15500,4414,3832,373,266,1577,2449,6368,6548,12913,3137,2506,208,135
109,350,369,863,985,3208,3538,6745,2286,2430,299,331,989,976,3574,3736,7311,2203,2283,268,225,895,891,3368,3397,6767,2360,2225,195,142,799,826,3347,3196,6541,1847,1689,109,72,645,805,2601,2559,5160,1506,1331,70,46,568,864,2141,2237,4374,1092,846,30,22,396,856,1520,1726,3242,790,468,12,9,398,841,1201,1318,2514,371,171,4,3,291,841,662,1020,1685,19948,20294,3674,3786,14703,16160,38318,40238,78559,6,7,50,99,2988,2800,3046,2911,5951,67,169,451,639,2101,1755,2624,2561,5183,557,878,687,724,1211,1094,2463,2703,5163,1301,1575,535,509,810,786,2652,2874,5522,1491,1705,369,390,704,749,2576,2854,5427,1758,1897,380,402,720,858,2852,3150,6008,1810,1960,378,392,902,1004,3089,3355,6446,1879,2090,350,373,983,985,3209,3450,6656,2241,2298,310,332,1015,1046,3567,3676,7245,2139,2165,287,210,960,1014,3392,3392,6787,2207,1995,199,159,863,971,3265,3125,6394,1716,1478,100,87,643,922,2460,2477,4942,1195,953,69,38
110,579,573,1458,1509,5189,5537,10727,3391,3757,491,480,1594,1642,5476,5876,11354,3433,3361,383,310,1436,1416,5251,5082,10331,3490,3355,277,222,1269,1420,5046,5005,10048,2946,2634,158,105,1020,1355,4128,4090,8217,2286,1989,92,55,875,1378,3253,3425,6675,1671,1124,47,31,633,1376,2352,2526,4880,976,581,13,10,470,1431,1460,2024,3480,479,213,6,5,380,1332,867,1548,2415,30322,30818,6067,6286,22595,25942,58988,63047,122036,8,10,76,196,4647,4173,4730,4380,9113,138,283,781,1120,3105,2661,4028,4064,8094,947,1454,1110,1174,2078,1887,4134,4515,8647,1874,2282,861,788,1362,1457,4098,4521,8615,2208,2491,632,646,1103,1331,3944,4471,8410,2639,2858,611,614,1245,1428,4497,4907,9402,2762,2989,580,597,1488,1553,4826,5130,9961,2952,3215,582,581,1573,1678,5105,5476,10574,3202,3416,484,477,1645,1792,5331,5685,11021,3173,3070,375,290,1519,1563,5072,4925,9998,3116,2833,281,211,1325,1615,4726,4658,9383,2517,2154,148,104,1022,1564,3692,3822,7516,1826,1464,81,44
