SA4_CODE_2016,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85_ov,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85_ov,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85_ov,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85o,C16_P_Arch_building_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85o,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85o,C16_P_Healt_To,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85o,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85o,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85o,C16_P_Society_cultur_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85o,C16_P_Creative_arts_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85o,C16_P_Foo_hos_pers_S_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85_ov,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85o,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85o,C16_P_FldStu_NS_T,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85o,C16_P_T_T
128,3,195,491,677,623,600,380,118,42,3122,14,177,728,923,573,360,108,14,0,2891,48,750,2504,3199,3966,3595,2768,1568,658,19062,72,571,1712,1803,1532,1062,629,377,126,7877,16,102,317,341,275,215,88,48,10,1415,50,551,1854,1958,1883,1669,843,429,172,9410,17,396,1862,1915,1884,2540,1255,464,130,10466,126,1334,4933,6309,5803,4735,2800,1021,438,27490,108,999,2797,2806,2256,1660,903,287,86,11906,55,565,1235,973,561,366,227,115,42,4146,117,433,1136,1174,915,531,438,147,75,4959,8,4,21,18,25,28,32,19,13,161,8,63,200,266,254,196,118,48,16,1167,629,547,1487,1579,1498,1384,1195,1196,1114,10624,1265,6696,21277,23929,22047,18931,11779,5855,2932,114699
197,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,18,5,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,16,0,0,0,0,0,3,5,0,0,16,0,0,10,0,0,3,5,0,0,23,0,0,0,3,0,7,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,4,3,4,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,4,11,16,18,0,69,4,3,30,15,24,43,60,25,3,212
199,0,17,55,16,11,21,4,3,0,134,3,21,54,42,15,8,0,0,0,140,4,69,199,114,126,151,122,21,4,804,3,25,80,69,47,59,50,6,0,337,0,14,35,23,17,21,7,0,0,119,4,30,125,61,62,77,54,7,3,431,0,14,53,29,41,58,34,0,0,239,15,108,260,134,120,105,75,15,0,826,8,86,157,83,81,91,63,8,3,575,0,26,105,54,46,16,15,0,0,269,11,51,83,48,30,32,18,0,0,280,4,9,5,6,3,3,0,0,0,27,0,7,13,14,13,12,13,0,0,79,128,316,793,709,665,482,264,88,23,3472,183,808,2023,1392,1284,1142,722,150,41,7741
201,0,101,248,333,261,236,169,45,9,1401,22,96,453,372,246,173,56,3,0,1417,72,493,1476,1602,2006,1914,1526,696,203,9986,73,452,1100,827,697,669,469,231,54,4564,32,137,437,468,516,363,221,98,28,2294,38,424,1561,1467,1694,1716,1022,425,135,8476,24,246,1086,1270,1199,1545,1286,422,112,7188,75,664,2043,2401,2184,1536,801,267,94,10064,135,642,1534,1743,1749,1587,867,196,42,8498,78,310,510,532,414,332,239,61,19,2500,110,479,1052,792,637,479,285,108,34,3978,10,20,25,14,31,25,43,22,8,197,5,36,154,240,235,177,129,40,19,1032,976,793,1411,1510,1882,1969,2079,1520,805,12944,1654,4882,13086,13563,13739,12723,9189,4136,1562,74538
202,6,66,221,362,285,262,191,59,18,1464,16,107,361,319,245,170,73,15,0,1301,66,491,1536,1543,1911,1937,1521,712,222,9945,59,410,1024,808,813,748,481,232,56,4623,30,130,416,587,558,461,213,83,26,2499,40,493,1565,1544,1712,1798,987,425,136,8716,18,256,1040,1272,1241,1567,1292,464,132,7286,61,526,1838,2050,1815,1417,839,260,103,8916,133,644,1510,1743,1730,1642,959,239,59,8654,32,181,474,558,422,357,230,70,24,2352,102,499,1001,702,617,420,277,107,41,3762,7,23,21,20,16,21,42,23,4,173,7,31,116,252,194,185,120,61,12,988,1070,760,1665,1687,1923,2016,1922,1589,1014,13646,1638,4615,12776,13438,13479,13008,9161,4335,1862,74307
203,14,363,721,880,641,562,379,127,33,3727,34,217,725,680,435,282,119,8,4,2494,110,926,2984,3263,3721,3631,2971,1433,511,19546,127,894,2600,2030,1620,1326,825,432,138,9984,48,163,569,724,604,438,301,152,40,3043,75,894,3401,3087,2934,2852,1586,727,266,15816,48,361,2103,2305,2163,2882,2194,833,217,13108,163,1126,4240,4784,3909,3061,1811,618,246,19966,268,1330,3055,3284,3192,2572,1497,377,88,15663,153,447,1269,1049,710,513,310,123,48,4626,204,808,1978,1433,1197,745,586,208,60,7217,25,31,29,18,27,42,43,52,16,291,23,78,294,441,392,292,164,79,38,1805,1445,1354,2663,2653,2812,2742,2839,2389,1553,20448,2736,8994,26619,26638,24355,21940,15636,7557,3256,137730
204,0,79,202,331,257,346,205,58,25,1498,15,62,180,222,182,167,89,3,3,922,119,618,1846,1992,2513,2492,2050,810,273,12701,72,414,934,872,868,944,650,300,77,5129,60,193,619,779,758,594,357,153,36,3551,63,399,1447,1485,1722,1913,1176,503,182,8889,13,205,964,1155,1229,1702,1355,477,119,7225,110,567,1878,2235,2219,1845,1070,322,124,10388,162,610,1463,1619,1678,1688,931,213,47,8408,42,140,387,337,254,271,165,62,25,1676,164,487,1083,1001,844,634,437,122,54,4827,10,18,21,20,19,32,39,31,15,200,11,41,142,186,216,191,125,51,23,988,1241,832,1566,1853,2239,2510,2387,1760,1030,15423,2091,4654,12728,14075,15010,15338,11026,4877,2026,81819
205,3,150,341,381,310,378,320,80,28,1997,33,102,362,346,229,224,123,17,10,1436,158,1024,3071,3154,4388,4400,3812,1699,490,22187,106,653,1807,1478,1524,1659,1086,572,159,9042,70,285,957,1085,1006,690,405,149,50,4697,64,612,2198,1908,2261,2759,1819,739,218,12579,29,310,1521,1701,1817,2704,2090,712,158,11046,109,839,2906,2990,2730,2418,1748,575,205,14513,186,908,2244,2354,2708,2733,1503,358,75,13065,60,224,552,519,414,453,332,107,42,2690,160,782,1826,1361,1202,921,694,239,62,7248,15,20,23,18,30,41,82,62,28,317,14,47,192,277,315,311,231,77,31,1500,1873,1456,2837,2947,3643,4054,4233,3200,1623,25865,2875,7413,20851,20518,22574,23721,18457,8586,3182,128181
206,91,2544,5571,3339,2212,1524,960,290,102,16627,50,1156,7204,4432,1897,874,222,18,14,15862,89,2858,10989,5593,4060,3064,2193,1185,500,30523,59,1445,6385,3177,2213,1309,758,343,119,15802,38,407,1390,840,605,354,160,70,19,3872,78,2025,12322,6333,4349,3693,2083,984,340,32210,43,726,5585,3637,3707,4358,2669,870,268,21858,416,8124,31162,17839,11154,6210,2973,868,388,79135,237,4218,18488,11299,8005,6345,3889,1110,308,53907,278,4366,14839,6794,3379,1858,827,251,82,32677,206,1828,5157,2443,1652,811,488,136,82,12813,256,299,144,60,69,89,82,63,13,1078,91,854,2232,1688,1172,771,425,138,79,7449,2634,6310,16493,8952,6370,5121,3846,2631,1616,53968,4559,37173,137973,76414,50845,36380,21573,8949,3929,377787
207,22,912,1561,1612,1983,1568,1020,455,191,9323,60,658,2872,3060,2124,1052,291,39,6,10168,59,988,3676,3366,4209,3507,2868,1928,820,21412,45,579,1649,1336,1508,1001,705,533,168,7518,11,148,417,320,373,272,149,89,39,1814,47,1155,4627,4128,4371,3753,2431,1554,655,22719,24,336,1930,1975,2976,3380,2744,1344,461,15181,195,3642,11934,11562,10814,6502,3714,1585,790,50748,107,1537,4455,4654,5031,4131,2682,1059,384,24040,147,1366,2721,1774,1325,879,481,259,119,9070,140,615,1593,1143,1166,634,527,229,105,6148,45,89,60,31,51,52,69,63,20,482,25,265,536,649,722,517,299,165,72,3255,1124,1366,2817,2239,2466,2131,2097,2147,1736,18115,2045,13671,40846,37845,39116,29393,20093,11441,5558,200005
