SA4_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
101,9150,1656,769,11572,7292,2918,312,187,10714,271,139,413,11127,1785,935,13841,8150,3173,349,179,11852,281,120,395,12251,2076,1070,15393,8056,3289,427,190,11968,278,155,433,12403,2551,1158,16114,6672,3514,530,165,10882,265,172,435,11317,4297,1137,16748,4013,2965,415,121,7524,212,197,405,7928,6929,1127,15991,1661,1681,207,79,3629,28,66,91,3713,10420,1203,15342,592,716,90,54,1450,11,17,30,1474,8760,979,11217,377,428,56,92,949,12,12,22,968,15014,2527,18507,59489,31861,4007,1971,97339,2959,2028,4985,102324,63685,14071,180076
102,14619,2984,905,18506,10423,4828,394,252,15895,496,330,824,16718,3117,1032,20870,10900,4939,391,257,16483,533,261,799,17278,3329,1128,21739,10513,4834,504,232,16080,570,275,847,16929,3886,1076,21892,8980,4803,556,193,14536,461,288,752,15284,5583,1172,22039,4988,3764,461,160,9375,336,252,584,9957,9281,1080,20320,1556,2059,177,81,3878,41,89,126,4005,14819,1215,20035,388,877,59,39,1369,15,28,41,1408,13982,1170,16555,141,340,26,65,572,8,22,29,596,27538,3836,31970,82786,49224,5073,2512,139593,5829,4276,10105,149701,101390,16220,267307
103,8523,1877,831,11222,6192,2615,223,158,9189,339,130,473,9659,1850,916,12426,6626,2589,271,159,9638,332,151,486,10123,2118,1041,13279,6515,2671,301,171,9657,332,159,491,10151,2454,1133,13738,5901,2655,369,127,9052,274,147,427,9474,3365,1096,13935,3645,2267,323,113,6345,186,127,314,6663,5135,1035,12833,1585,1330,171,79,3163,19,32,56,3220,8230,1153,12601,624,757,87,64,1525,3,16,20,1549,7339,993,9877,452,497,59,108,1122,5,7,17,1135,14238,2204,17581,53418,27636,3377,1847,86287,3569,2134,5707,91992,59168,14090,165251
104,5020,1216,423,6664,3530,1983,141,93,5742,231,130,361,6105,1383,536,8026,3737,2115,164,95,6115,221,120,340,6458,1566,573,8592,3774,2288,214,111,6390,255,145,400,6791,2150,632,9569,3486,2488,264,85,6325,253,154,408,6732,3163,784,10677,2123,2028,231,74,4451,165,150,317,4768,5170,674,10607,710,958,96,48,1811,17,39,52,1864,7459,718,10043,198,370,43,19,632,3,12,17,650,6342,589,7587,115,201,18,55,391,7,3,5,396,11612,1745,13758,28134,20928,1990,1029,52076,2691,1779,4464,56542,47405,8473,112427
105,4529,1024,513,6066,3207,1157,109,103,4577,206,84,294,4866,1127,600,6595,3542,1255,104,99,5005,235,82,319,5320,1172,655,7154,3726,1238,165,98,5231,198,74,276,5503,1554,704,7760,3505,1326,215,94,5141,199,86,286,5419,1970,746,8134,2227,1088,179,79,3571,105,94,201,3775,2717,674,7170,1002,684,104,56,1842,12,27,30,1878,4091,634,6604,398,352,35,38,826,3,10,12,839,3817,567,5221,302,274,35,67,675,5,9,13,690,7630,1173,9490,30431,13402,1742,1132,46707,2312,1215,3527,50234,32310,8605,91150
106,12002,2615,867,15484,8279,3719,365,209,12570,483,254,738,13305,2644,1048,16992,8563,3696,369,219,12856,517,203,720,13575,2725,1064,17363,8177,3588,401,192,12363,440,207,649,13007,3339,1068,17417,6805,3391,493,147,10836,375,203,577,11418,4944,1046,17409,3699,2706,328,138,6867,271,165,435,7306,7785,1079,16161,1232,1460,147,62,2907,24,56,83,2991,11373,1112,15475,359,597,50,34,1042,3,16,24,1065,9808,980,11848,221,342,35,75,665,7,13,17,684,16091,2121,18896,66980,37609,4276,2098,110966,5353,3310,8665,119628,76329,14194,210150
107,13966,2797,761,17522,9672,4648,389,182,14885,432,279,711,15596,2850,827,19271,9575,4155,375,205,14306,419,238,663,14968,3044,869,18880,9397,4265,461,181,14304,416,202,618,14921,3803,919,19648,7666,3850,505,147,12170,355,183,546,12714,5563,935,19216,3745,2911,378,103,7136,202,178,381,7522,8611,889,17020,1043,1350,131,53,2588,23,61,86,2672,11989,930,15589,244,496,41,41,817,7,13,20,839,10728,890,12454,111,230,28,56,421,3,11,20,441,21461,2495,24398,75471,44937,4833,2091,127331,4795,4595,9391,136719,89924,13090,239730
108,6764,1915,546,9218,4914,2700,232,145,7997,348,168,518,8515,2292,684,11492,5421,3039,276,177,8903,387,206,595,9501,2425,817,12739,5568,3420,344,171,9502,416,212,628,10127,3383,982,14490,5195,3595,464,162,9415,407,274,681,10093,5197,1078,16370,3040,2971,369,123,6503,329,226,548,7053,8599,1095,16744,1106,1545,160,80,2897,25,52,77,2968,13751,1313,18036,348,626,63,68,1105,9,20,32,1133,12572,1198,14904,218,306,48,87,661,10,13,23,678,22232,3092,26004,39615,29594,3216,1735,74160,4013,2516,6524,80684,83637,13169,177488
109,4722,911,438,6070,3363,1529,139,94,5131,145,96,236,5370,902,498,6768,3646,1555,149,98,5451,193,79,266,5717,1001,550,7266,3758,1597,198,87,5641,179,72,249,5891,1153,540,7576,3531,1743,273,105,5650,152,92,245,5896,1782,664,8340,2240,1504,250,84,4072,116,89,207,4275,3046,656,7989,867,892,112,81,1947,16,30,49,1996,5072,650,7713,328,377,63,33,795,7,8,17,812,4647,556,6011,196,239,37,47,521,0,3,6,523,8985,1489,10996,29955,16996,2052,1087,50100,1853,1185,3041,53140,33181,8037,94353
110,7225,1606,781,9607,5182,2213,190,143,7728,292,148,445,8173,1643,837,10654,5654,2238,215,156,8257,308,116,421,8682,1751,891,11322,5847,2372,240,148,8604,271,122,389,8997,2111,971,12081,5331,2454,323,166,8274,238,138,377,8653,3001,1081,12742,3597,2021,275,116,6013,201,160,359,6369,4326,1002,11694,1590,1251,147,77,3068,15,32,44,3120,6955,1005,11079,666,676,49,68,1462,3,7,10,1478,6531,886,8900,455,436,77,101,1073,11,5,17,1092,12343,2099,15535,47151,24215,2865,1745,75985,3225,1998,5223,81209,51727,12991,145922
