SA4_CODE_2016,Med_age_persns_C2006,Med_age_persns_C2011,Med_age_persns_C2016,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Average_hh_size_C2006,Average_hh_size_C2011,Average_hh_size_C2016
101,41,42,44,1200,1608,1625,431,551,655,160,210,255,1082,1314,1561,0.8,0.8,0.8,872,1039,1235,2.5,2.4,2.4
102,40,41,42,1500,1820,1750,407,502,600,200,270,350,1090,1284,1560,0.8,0.8,0.8,855,1000,1256,2.5,2.5,2.5
103,38,39,41,1088,1456,1500,387,496,594,140,180,235,1050,1254,1473,0.8,0.8,0.8,797,977,1167,2.5,2.5,2.4
104,42,44,46,1083,1452,1500,349,434,520,170,240,290,845,998,1249,0.8,0.8,0.8,657,835,1013,2.4,2.4,2.4
105,38,39,40,900,1200,1278,379,480,590,110,145,190,967,1121,1386,0.8,0.8,0.8,732,894,1106,2.5,2.4,2.4
106,37,38,39,1300,1733,1733,402,527,599,170,240,290,1111,1407,1548,0.8,0.8,0.8,937,1159,1284,2.6,2.6,2.6
107,37,38,39,1517,1950,1950,395,493,591,185,250,330,1158,1413,1679,0.8,0.8,0.8,954,1113,1349,2.6,2.6,2.6
108,45,47,50,1083,1417,1450,339,405,491,165,210,270,795,940,1174,0.8,0.8,0.8,632,779,939,2.4,2.3,2.3
109,39,41,43,1030,1300,1300,416,501,600,130,165,200,1064,1188,1422,0.8,0.8,0.8,826,920,1115,2.4,2.4,2.3
110,38,40,41,975,1300,1309,381,479,579,130,175,220,999,1123,1378,0.8,0.8,0.8,753,902,1104,2.5,2.4,2.4
111,39,39,40,1300,1733,1733,397,536,628,190,265,330,1122,1443,1670,0.8,0.8,0.8,900,1132,1328,2.5,2.5,2.5
112,42,44,46,1127,1600,1600,370,455,550,195,270,300,928,1061,1333,0.8,0.8,0.8,710,862,1064,2.4,2.4,2.4
113,36,38,39,1083,1387,1365,423,521,643,135,180,220,1081,1263,1517,0.8,0.8,0.8,863,993,1230,2.6,2.5,2.5
114,43,46,48,1300,1603,1625,376,463,552,172,230,295,975,1097,1340,0.8,0.7,0.7,748,895,1091,2.4,2.4,2.4
115,36,38,39,2000,2500,2500,602,705,801,320,440,550,1816,2163,2397,0.8,0.8,0.8,1661,1990,2265,3.1,3.1,3.1
116,32,32,33,1716,2100,2150,474,566,672,200,300,380,1210,1492,1818,0.8,0.9,0.9,1117,1386,1710,3,3.1,3.2
117,33,33,33,2015,2500,2500,630,797,904,300,435,550,1552,2039,2369,1,1.1,1.1,1185,1543,1886,2.1,2.1,2.2
118,35,35,35,2210,2817,2900,713,869,1020,330,470,580,1879,2368,2756,0.9,1,1,1367,1725,2157,2.3,2.3,2.4
119,36,36,35,1733,2127,2167,408,484,565,225,335,415,1125,1315,1576,0.9,1,1.1,980,1167,1429,2.8,2.8,2.9
120,36,36,36,2024,2500,2500,594,723,828,290,415,500,1586,1984,2282,0.9,1,1,1280,1624,1959,2.5,2.5,2.6
121,38,38,38,2200,2726,2600,766,897,1029,340,470,556,2210,2558,2814,0.9,0.9,1,1771,2105,2329,2.5,2.6,2.6
122,38,39,40,2167,2800,2800,655,779,916,340,460,565,1783,2188,2528,0.9,0.9,0.9,1428,1770,2173,2.6,2.6,2.7
123,32,34,35,1600,1993,2000,490,591,686,195,277,360,1247,1542,1794,0.8,0.9,0.9,1146,1386,1634,3,3,3
124,34,36,37,1517,1950,1950,514,613,715,210,290,365,1299,1580,1852,0.8,0.8,0.8,1138,1343,1585,2.8,2.7,2.7
125,34,33,33,1700,2037,2037,415,501,586,225,340,410,1144,1360,1631,0.9,1,1.1,1020,1234,1517,2.8,2.9,3
126,38,38,37,2000,2400,2383,556,659,760,270,380,470,1644,1991,2236,0.8,0.9,1,1278,1581,1913,2.6,2.7,2.7
127,33,34,35,1625,2000,2000,376,426,500,190,290,365,1073,1235,1489,0.9,1,1,1006,1169,1427,3.2,3.2,3.3
128,37,39,40,1950,2400,2427,600,718,836,260,370,450,1652,2013,2312,0.8,0.9,0.9,1353,1648,1975,2.7,2.7,2.7
197,38,64,58,0,0,0,1037,490,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,35,37,39,0,0,0,344,349,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
