STE_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
1,391888,78033,29802,499724,262391,103165,8526,6169,380250,11556,6843,18404,398649,75750,28770,503169,256163,98609,7635,6171,368584,11726,6174,17905,386482,77509,28445,492440,241925,94795,8865,5791,351383,11165,5810,16979,368356,88836,28345,485546,200497,90436,10211,4712,305860,9554,6048,15601,321457,120290,27972,469726,115047,74988,8222,3388,201641,6642,5417,12054,213698,180506,25835,420044,42804,44293,4258,1902,93260,910,1654,2557,95818,263210,25441,384470,12247,19497,1581,1081,34405,225,612,838,35247,235718,21590,292556,5912,10389,1001,1577,18877,215,336,557,19435,462487,58697,540618,2134521,1071151,107652,67003,3380332,123987,101567,225546,3605881,2088240,399773,6093895
2,317393,63555,23080,404026,201593,89758,7425,4899,303675,9930,5891,15818,319497,60128,22271,401887,204086,88489,6776,4954,304311,9654,5100,14753,319067,60746,22230,402043,186732,79581,7679,4516,278505,8957,4320,13279,291780,65027,21567,378371,152089,74971,8506,3715,239279,7523,4225,11749,251031,85893,20689,357616,88996,62770,7440,2696,161892,5140,3903,9037,170929,129393,19512,319840,31666,36417,3812,1476,73372,697,1285,1982,75355,196660,19378,291397,8706,14984,1393,904,25988,152,489,640,26632,175407,16164,218203,4342,7915,864,1213,14339,136,234,366,14702,355541,42751,412998,1670556,920875,91630,53063,2736125,103131,90343,193465,2929593,1610130,305978,4845710
3,239582,45637,19998,305218,165852,67288,6037,3967,243147,9681,4647,14330,257474,44646,20781,322901,168472,64831,5892,3776,242965,9650,3944,13596,256569,45044,21373,322982,154472,59491,6714,3199,223876,9415,3476,12894,236769,51221,20732,308727,124976,55251,7206,2690,190124,8211,3557,11765,201893,70593,19714,292198,74054,44789,5662,1984,126482,5722,3400,9119,135602,107182,17898,260685,26231,25785,2600,1128,55746,741,1194,1930,57674,167177,17340,242192,7382,10777,889,651,19695,187,441,623,20324,146046,14040,180406,3393,5189,484,935,10002,156,188,342,10346,250480,34518,295346,1333193,691751,73004,38511,2136455,105534,70129,175665,2312114,1206040,272337,3790497
4,80857,16886,5068,102818,51519,25608,2223,1082,80432,3351,1507,4855,85288,16354,5004,106650,55988,26217,2239,1170,85604,3417,1452,4870,90479,17521,5624,113619,53838,25144,2674,1042,82701,3160,1364,4520,87220,20385,5663,113272,46208,24184,2977,864,74231,2796,1270,4065,78302,27768,5831,111896,28312,19671,2446,690,51116,1725,1219,2941,54060,42642,5327,102028,9504,11165,1235,398,22313,173,328,504,22816,68063,5407,96286,2472,4625,410,254,7761,44,102,142,7901,60088,4569,72563,1247,2345,268,384,4246,51,76,123,4377,121321,12044,137737,435110,270409,28535,12047,746105,35454,25035,60488,806596,501988,75066,1383650
5,133873,27084,12086,173041,84947,36976,3840,1948,127700,5974,2817,8789,136492,23830,11672,171996,88289,35971,3997,2002,130257,6048,2229,8277,138537,22397,11587,172520,81446,32469,4348,1729,119987,5601,1886,7484,127472,23913,11055,162438,65695,30267,4521,1411,101896,4652,1869,6521,108413,31190,10295,149899,39367,26226,3716,966,70262,3276,1766,5046,75315,47810,9021,132145,13970,15456,1769,520,31709,503,709,1208,32915,75714,8131,116755,3473,6475,624,304,10870,117,265,389,11257,65205,6448,82911,1522,3320,326,359,5524,69,112,182,5706,123172,17638,146520,715287,376590,45846,20014,1157735,59494,38476,97966,1255702,595448,146578,1997726
6,21838,4944,1550,28333,14323,8050,749,324,23450,866,413,1278,24722,5019,1754,31495,16180,8208,816,394,25601,882,418,1300,26900,5649,1957,34512,16070,8046,983,360,25455,864,410,1276,26733,6708,2099,35538,14063,8224,1158,349,23791,758,410,1165,24958,10145,2277,37378,7986,6703,927,239,15848,547,445,999,16850,15678,2246,34778,2533,3508,394,152,6593,46,112,157,6748,23901,2297,32945,678,1401,126,92,2301,18,27,46,2353,20125,1958,24434,348,789,78,129,1340,19,28,46,1382,36011,3980,41372,121822,81601,9415,3748,216583,9613,6754,16365,232948,160050,26754,419752
7,12598,3226,2189,18012,8430,2064,403,228,11124,529,170,702,11823,2804,1986,16615,8560,1886,412,229,11086,498,162,652,11740,2611,2105,16456,7712,1597,432,232,9972,447,124,571,10542,2441,1873,14854,6264,1502,424,161,8358,268,85,348,8708,2523,1660,12886,3937,1202,304,109,5550,195,107,306,5857,3172,1374,10407,1515,756,123,65,2461,58,41,92,2557,3885,926,7364,376,292,39,26,727,14,10,26,756,2982,562,4300,142,136,22,20,320,3,3,7,321,3761,620,4704,74100,21493,4504,2605,102708,5515,2169,7685,110391,46008,22959,179359
8,25584,3077,1531,30193,17165,5282,697,243,23390,489,249,733,24125,2674,1417,28216,16793,4523,559,255,22134,386,181,560,22695,2519,1335,26556,14914,3864,712,203,19684,395,178,574,20262,2981,1189,24433,11005,3535,655,151,15350,333,231,565,15912,5305,1143,22357,5747,3135,478,102,9462,206,184,389,9847,8250,1050,19144,2036,2070,257,60,4421,50,114,166,4589,11763,934,17285,462,827,76,36,1400,22,43,63,1465,9898,804,12168,166,412,51,40,673,7,26,31,705,17441,2374,20520,137058,57064,8482,3022,205626,4894,5311,10205,215832,88580,18502,322917
9,226,75,16,321,165,44,6,5,222,7,7,14,234,57,30,325,170,54,8,9,237,4,0,3,242,56,35,332,182,68,9,13,271,0,0,0,275,57,52,378,165,57,22,4,249,3,6,10,261,67,49,376,133,49,8,3,193,0,0,8,202,85,46,335,89,51,7,3,152,0,0,0,157,102,40,295,27,23,0,0,54,0,0,0,54,111,14,180,13,22,0,3,34,0,0,0,34,174,32,241,1413,571,122,69,2170,34,21,58,2228,1108,439,3773
