STE_CODE_2016,C11_2500_2999_R650m,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R0_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650mo,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000m_R0_74,C11_4000m_R75_99,C11_4000m_R100_149,C11_4000m_R150_199,C11_4000m_R200_224,C11_4000m_R225_274,C11_4000m_R275_349,C11_4000m_R350_449,C11_4000m_R450_549,C11_4000m_R550_649,C11_4000m_R650m,C11_4000m_R_NS,C11_4000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650m,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot,C16_N_inc_R0_74,C16_N_inc_R75_99,C16_Ne_Ni_inc_R100_149,C16_Ne_Ni_inc_R150_199,C16_Ne_Ni_inc_R200_224,C16_Ne_Ni_inc_R225_274,C16_Ne_Ni_inc_R275_349,C16_Ne_Ni_inc_R350_449,C16_Ne_Ni_inc_R450_549,C16_Ne_Ni_inc_R550_649,C16_Ne_Ni_inc_R650m,C16_Ne_Nil_inc_R_NS,C16_N_inc_R_Tot,C16_1_149_R0_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_149,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650m,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R0_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R150_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650m,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R0_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650m,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R0_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650m,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R0_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650m,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R0_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650m,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R0_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650m,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R0_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650m,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R0_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650m,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R0_74,C16_1500_1999_R75_99
1,9439,953,48592,962,60,238,393,509,990,2488,6263,6825,5421,7142,599,31896,413,33,127,138,157,273,646,1769,2703,2900,7331,341,16825,2120,727,2418,3298,2498,4500,8302,9847,6218,3573,5317,2649,51478,1621,1924,1974,1757,888,1286,1773,1698,872,477,965,4641,19878,44020,36316,52796,63833,42050,74472,124049,135811,71320,36697,47166,27743,756273,1318,240,1141,1029,649,951,1935,2972,2375,1890,2789,1711,18997,838,275,874,739,363,409,620,784,529,346,474,496,6746,3523,1845,5321,3089,1517,1612,1964,2007,1076,568,657,1258,24427,2083,1307,12801,5618,2366,2508,3053,2608,1120,470,530,1433,35906,3506,1337,13504,9134,4354,5408,6176,5427,2251,932,827,1790,54649,1812,463,3557,6131,3621,5968,8306,8189,3399,1311,1134,1509,45410,2518,528,3447,7206,4895,6991,11047,11961,4860,1908,1516,1751,58630,2214,318,2345,3923,4008,6511,11879,15115,6800,2725,2172,1547,59550,2459,256,1739,3340,3195,6122,13618,20672,10032,4197,3460,1753,70839,2111,158,1026,2199,2072,4545,10863,19902,10695,4886,3860,1402,63720,3038,189
2,3103,730,30775,594,45,179,255,311,954,3176,5853,4139,2013,2114,403,20039,274,20,68,108,80,261,804,1711,1821,1311,2051,221,8737,1356,394,1582,2530,1933,4433,7849,6909,3427,1549,2057,2002,36009,916,990,1188,1330,701,1214,1701,957,406,219,492,3411,13520,28767,20503,35386,50367,35751,74740,116017,82559,31262,12768,16981,20140,525241,1115,159,787,897,689,1813,3281,3877,2439,1479,1178,1484,19198,634,199,678,529,382,550,943,845,458,200,215,452,6082,2257,872,3305,2187,1271,1858,2466,1686,650,301,296,906,18047,1410,858,7476,3325,1929,2649,3237,1816,547,229,238,988,24704,2610,929,8173,5899,3429,5315,6443,3291,893,346,393,1333,39050,1396,324,2562,4622,3280,6206,9087,4697,1210,418,496,1123,35431,1908,383,2367,4613,3574,7343,11933,6905,1649,581,642,1251,43150,1714,273,1663,3125,3386,7746,14997,9053,2246,866,824,1276,47158,1980,200,1402,2795,2881,7946,18660,13356,3459,1200,1163,1449,56492,1589,156,871,1822,1939,5780,16786,14197,3728,1281,1261,1131,50548,2086,152
3,2317,902,29753,1487,180,287,294,293,647,2102,5775,3765,1557,1561,449,18386,690,84,103,94,100,200,522,1538,1513,896,1296,272,7311,1913,605,1706,2153,1802,3806,8635,11165,4111,1450,1367,1792,40502,1225,652,1020,1209,665,1167,1726,1425,486,241,452,3271,13543,38191,15391,30334,38975,30093,59768,116451,120097,35132,11706,12207,18539,526887,596,104,496,552,458,754,1379,1860,1039,512,398,831,8980,489,138,380,392,236,349,541,594,246,89,97,269,3818,2029,903,2241,1727,980,1447,1726,1362,461,166,156,646,13844,1194,1249,4963,3156,1642,2517,2785,1747,385,135,128,871,20783,2313,1459,6929,5587,3563,6025,6080,3756,849,226,219,1117,38134,1268,362,2313,4292,3141,6413,9060,5998,1261,334,260,870,35566,1678,440,2251,4442,3503,7449,12394,9099,1914,502,372,1052,45100,1624,340,1620,3162,3187,7162,13874,11837,2706,669,467,1069,47716,1905,291,1409,2514,2636,7122,16434,17329,4205,1078,725,1171,56824,1640,213,949,1636,1814,5259,14110,18260,5082,1202,805,1010,51981,2402,286
4,260,154,5958,187,24,136,146,124,269,675,931,415,152,141,88,3293,67,12,53,47,20,62,152,259,183,112,94,45,1093,514,254,877,1168,848,1721,2444,1364,436,153,190,490,10447,525,611,594,492,236,407,433,175,57,28,100,1215,4876,14563,14399,19671,22123,14951,28615,32651,14979,3612,1330,1828,7092,175812,289,132,299,339,201,438,721,620,317,111,83,347,3891,306,161,311,265,117,212,286,137,67,19,18,142,2035,1516,1047,1574,1017,478,762,779,367,80,35,45,380,8089,643,2265,3356,1648,727,1203,1185,386,59,23,55,497,12040,1045,2207,4338,2906,1394,2278,2182,674,136,27,69,552,17812,564,343,1449,2345,1372,2971,3307,1077,143,51,39,386,14045,689,410,1331,2828,1737,3518,4318,1484,187,48,69,506,17117,664,279,958,1638,1655,3640,4987,1827,311,108,79,420,16559,718,191,735,1464,1315,3750,6129,2697,393,114,111,482,18105,547,113,483,1025,883,2723,5091,2877,435,112,98,324,14719,697,92
5,2361,847,20117,1335,129,558,391,312,502,1503,3401,1989,847,1189,443,12595,857,52,287,183,93,177,467,1173,1000,550,1223,279,6335,1324,323,1038,1150,850,1615,4256,5912,2175,816,1070,1040,21577,776,514,563,425,231,412,691,631,237,118,289,1434,6328,22426,10376,17122,16073,11884,22827,48009,49732,15728,5672,8913,9993,238758,447,82,325,251,150,312,763,1063,477,184,173,423,4651,294,110,275,199,81,151,242,350,144,44,46,162,2100,1120,499,1385,815,360,508,854,833,259,59,59,375,7129,726,572,3211,1247,534,800,1275,1033,204,57,69,403,10135,1280,599,3887,2094,968,1432,2322,1893,386,89,90,523,15568,803,196,1120,1538,841,1581,3320,2840,589,122,128,350,13433,971,237,1050,1869,1001,1835,3831,3923,789,188,176,456,16312,964,160,728,974,972,1839,4499,5060,1165,244,227,479,17307,1125,153,704,924,876,1873,5190,7206,1904,403,343,544,21247,977,107,464,733,595,1369,4304,7226,2037,409,369,452,19044,1567,152
6,28,48,1246,50,4,20,40,29,71,134,163,92,34,20,21,669,33,8,11,17,7,13,14,44,30,16,12,3,206,177,67,251,427,308,510,581,312,106,31,32,111,2918,156,252,209,209,116,122,90,39,12,6,17,342,1563,4374,4458,6568,9037,5490,8543,7387,3015,732,223,352,1717,51893,50,23,75,111,75,118,116,76,27,16,15,77,777,97,39,97,97,47,55,53,30,15,0,9,32,563,451,229,538,481,244,280,163,36,14,8,6,114,2574,204,441,1001,941,403,409,234,61,10,4,11,131,3859,398,560,1407,1443,798,955,511,142,27,7,20,164,6432,224,74,553,1147,814,1116,786,193,24,16,17,142,5104,282,119,493,1174,894,1358,1028,258,39,19,13,108,5785,272,71,332,776,764,1304,1210,338,39,11,19,110,5249,269,40,274,578,707,1360,1429,455,83,15,15,96,5313,235,27,156,352,445,989,1265,498,68,23,20,84,4145,288,26
7,281,176,2806,466,57,69,73,70,104,104,239,343,249,246,130,2141,208,19,15,23,18,22,40,60,136,136,182,64,922,568,109,159,170,126,142,240,420,407,236,220,240,3042,283,53,71,51,18,30,51,50,48,18,60,271,991,8255,1327,1929,1737,1419,1606,2588,4113,3319,1575,1477,2291,31631,82,14,19,20,7,10,12,35,15,17,17,44,287,111,24,21,19,6,3,5,14,12,3,5,32,256,316,110,93,38,17,11,18,21,19,4,3,68,717,316,208,123,51,17,30,28,44,14,3,6,55,897,493,213,187,93,39,32,58,47,30,10,7,89,1300,243,84,157,100,54,56,84,90,41,16,14,80,1022,380,105,209,138,58,98,134,157,83,30,24,102,1521,410,125,172,146,75,125,209,263,133,42,35,116,1859,472,98,173,152,95,149,304,411,250,101,65,131,2401,427,97,137,117,84,161,263,480,314,146,98,153,2481,737,113
8,348,71,4309,56,5,18,24,57,112,183,860,1029,432,253,47,3087,28,0,9,9,7,41,87,241,429,291,293,28,1460,85,62,131,103,83,159,239,821,771,334,212,137,3131,69,73,50,36,14,20,33,94,59,23,41,166,687,2135,2346,2335,1812,1225,1907,3897,12244,7240,2465,1653,1298,40555,63,27,45,56,24,25,83,173,125,63,48,67,793,42,27,52,33,14,10,29,54,29,9,14,34,346,266,175,240,85,35,37,61,96,42,16,15,69,1148,129,390,584,147,66,44,78,107,43,16,13,86,1704,151,412,772,232,71,97,131,197,72,13,14,98,2260,91,70,342,248,92,122,230,312,107,20,19,51,1702,78,67,260,325,161,197,330,449,134,39,28,59,2128,72,45,137,191,153,248,489,705,225,51,42,80,2451,97,23,115,149,102,284,866,1288,408,97,64,93,3574,80,20,68,94,90,205,800,1595,480,126,86,73,3705,131,13
9,0,8,54,20,0,0,3,0,3,0,0,0,0,6,7,46,3,0,0,0,0,0,0,0,0,0,3,6,16,18,0,11,8,0,3,0,0,0,0,0,3,51,4,0,0,0,0,0,0,0,0,0,0,3,10,150,31,47,43,18,25,22,6,8,3,16,57,439,3,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,0,0,0,5,3,3,3,3,0,0,0,0,0,0,0,0,12,6,0,10,3,0,0,3,0,0,0,0,0,28,7,5,5,5,0,0,0,0,0,0,0,0,24,11,0,4,7,3,0,0,0,0,0,0,3,39,0,0,10,7,3,0,0,3,3,0,0,3,35,20,3,10,11,8,0,3,0,0,0,0,5,56,15,3,3,17,9,3,0,5,0,0,0,3,50,29,3
