STE_CODE_2016,C06_0_14_SEO,C06_0_14_SOL_SE_Vw_w,C06_0_14_SOL_SE_Nw_Na,C06_0_14_SOL_SE_P_E_n,C06_0_14_SOL_SE_T,C06_0_14_LPE_NS,C06_0_14_T,C06_15_24_SEO,C06_15_24_SOL_SE_Vw_w,C06_15_24_SOL_SE_Nw_N,C06_15_24_SOL_SE_P_E_n,C06_15_24_S_ot_l_SE_T,C06_15_24_LPE_NS,C06_15_24_T,C06_25_34_SEO,C06_25_34_SOL_SE_Vw_w,C06_25_34_SOL_SE_Na,C06_25_34_SOL_SE_P_E_n,C06_25_34_SOL_SE_To,C06_25_34_LPE_NS,C06_25_34_T,C06_35_44_SEO,C06_35_44_SOL_SE_Vw_w,C06_35_44_SOL_SE_Na,C06_35_44_SOL_SE_P_E_n,C06_35_44_SOL_SE_To,C06_35_44_LPE_NS,C06_35_44_T,C06_45_54_SEO,C06_45_54_SOL_SE_Vw_w,C06_45_54_SOL_SE_Na,C06_45_54_SOL_SE_P_E_n,C06_45_54_SOL_SE_To,C06_45_54_LPE_NS,C06_45_54_T,C06_55_64_SEO,C06_55_64_SOL_SE_Vw_w,C06_55_64_SOL_SE_Na,C06_55_64_SOL_SE_P_E_n,C06_55_64_SOL_SE_To,C06_55_64_LPE_NS,C06_55_64_T,C06_65_74_SEO,C06_65_74_SOL_SE_Vw_w,C06_65_74_SOL_SE_Na,C06_65_74_SOL_SE_P_E_n,C06_65_74_SOL_SE_To,C06_65_74_LPE_NS,C06_65_74_T,C06_75_84_SEO,C06_75_84_SOL_SE_Vw_w,C06_75_84_SOL_SE_Na,C06_75_84_SOL_SE_P_E_n,C06_75_84_SOL_SE_To,C06_75_84_LPE_NS,C06_75_84_T,C06_85ov_SEO,C06_85o_SOL_SE_Vw_w,C06_85o_SOL_SE_Na,C06_85o_SOL_SE_P_E_n,C06_85o_SOL_SE_To,C06_85o_LPE_NS,C06_85o_T,C06_T_SEO,C06_To_SOL_SE_Vw_w,C06_To_SOL_SE_Nw_Na,C06_To_SOL_SE_P_E_n,C06_T_SOL_SE_T,C06_T_LPE_NS,C06_T_T,C11_0_14_SEO,C11_0_14_SOL_SE_Vw_w,C11_0_14_SOL_SE_Nw_Na,C11_0_14_SOL_SE_P_E_n,C11_0_14_SOL_SE_T,C11_0_14_LPE_NS,C11_0_14_T,C11_15_24_SEO,C11_15_24_SOL_SE_Vw_w,C11_15_24_SOL_SE_Nw_N,C11_15_24_SOL_SE_P_E_n,C11_15_24_S_ot_l_SE_T,C11_15_24_LPE_NS,C11_15_24_T,C11_25_34_SEO,C11_25_34_SOL_SE_Vw_w,C11_25_34_SOL_SE_Na,C11_25_34_SOL_SE_P_E_n,C11_25_34_SOL_SE_To,C11_25_34_LPE_NS,C11_25_34_T,C11_35_44_SEO,C11_35_44_SOL_SE_Vw_w,C11_35_44_SOL_SE_Na,C11_35_44_SOL_SE_P_E_n,C11_35_44_SOL_SE_To,C11_35_44_LPE_NS,C11_35_44_T,C11_45_54_SEO,C11_45_54_SOL_SE_Vw_w,C11_45_54_SOL_SE_Na,C11_45_54_SOL_SE_P_E_n,C11_45_54_SOL_SE_To,C11_45_54_LPE_NS,C11_45_54_T,C11_55_64_SEO,C11_55_64_SOL_SE_Vw_w,C11_55_64_SOL_SE_Na,C11_55_64_SOL_SE_P_E_n,C11_55_64_SOL_SE_To,C11_55_64_LPE_NS,C11_55_64_T,C11_65_74_SEO,C11_65_74_SOL_SE_Vw_w,C11_65_74_SOL_SE_Na,C11_65_74_SOL_SE_P_E_n,C11_65_74_SOL_SE_To,C11_65_74_LPE_NS,C11_65_74_T,C11_75_84_SEO,C11_75_84_SOL_SE_Vw_w,C11_75_84_SOL_SE_Na,C11_75_84_SOL_SE_P_E_n,C11_75_84_SOL_SE_To,C11_75_84_LPE_NS,C11_75_84_T,C11_85ov_SEO,C11_85o_SOL_SE_Vw_w,C11_85o_SOL_SE_Na,C11_85o_SOL_SE_P_E_n,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_T,C11_T_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_T_SOL_SE_T,C11_T_LPE_NS,C11_T_T,C16_0_14_SEO,C16_0_14_SOL_SE_Vw_w,C16_0_14_SOL_SE_Nw_Na,C16_0_14_SOL_SE_P_E_n,C16_0_14_SOL_SE_T,C16_0_14_LPE_NS,C16_0_14_T,C16_15_24_SEO,C16_15_24_SOL_SE_Vw_w,C16_15_24_SOL_SE_Nw_N,C16_15_24_SOL_SE_P_E_n,C16_15_24_S_ot_l_SE_T,C16_15_24_LPE_NS,C16_15_24_T,C16_25_34_SEO,C16_25_34_SOL_SE_Vw_w,C16_25_34_SOL_SE_Na,C16_25_34_SOL_SE_P_E_n,C16_25_34_SOL_SE_To,C16_25_34_LPE_NS,C16_25_34_T,C16_35_44_SEO,C16_35_44_SOL_SE_Vw_w,C16_35_44_SOL_SE_Na,C16_35_44_SOL_SE_P_E_n,C16_35_44_SOL_SE_To,C16_35_44_LPE_NS,C16_35_44_T,C16_45_54_SEO,C16_45_54_SOL_SE_Vw_w,C16_45_54_SOL_SE_Na,C16_45_54_SOL_SE_P_E_n,C16_45_54_SOL_SE_To,C16_45_54_LPE_NS,C16_45_54_T,C16_55_64_SEO,C16_55_64_SOL_SE_Vw_w,C16_55_64_SOL_SE_Na,C16_55_64_SOL_SE_P_E_n,C16_55_64_SOL_SE_To,C16_55_64_LPE_NS,C16_55_64_T,C16_65_74_SEO,C16_65_74_SOL_SE_Vw_w,C16_65_74_SOL_SE_Na,C16_65_74_SOL_SE_P_E_n,C16_65_74_SOL_SE_To,C16_65_74_LPE_NS,C16_65_74_T,C16_75_84_SEO,C16_75_84_SOL_SE_Vw_w,C16_75_84_SOL_SE_Na,C16_75_84_SOL_SE_P_E_n,C16_75_84_SOL_SE_To,C16_75_84_LPE_NS,C16_75_84_T,C16_85o_SEO,C16_85o_SOL_SE_Vw_w,C16_85o_SOL_SE_Na,C16_85o_SOL_SE_P_E_n
1,1000597,174618,43379,10501,228499,69825,1298917,631033,178054,9801,2108,189962,50721,871713,611502,198203,18044,2163,218401,61138,891043,685672,186929,31322,2043,220294,51875,957841,672587,146409,39951,1616,187975,43775,904334,554982,96469,32805,1294,130567,34004,719546,349684,55757,35247,899,91909,23739,465325,253335,29453,23586,706,53746,21714,328797,87287,7069,7051,341,14459,9912,111653,4846669,1072955,241185,21659,1335803,366704,6549174,1018535,195201,52906,6572,254682,59295,1332509,640308,195565,11722,2024,209311,43488,893101,599542,265004,20379,2340,287725,54231,941495,677991,217405,28956,2023,248382,45250,971627,688570,177203,42403,1762,221374,40505,950453,614554,120378,40804,1392,162578,33152,810293,414896,67622,34795,1060,103474,23311,541688,252092,35415,29775,838,66034,18633,336754,106849,11273,9943,443,21664,11219,139732,5013345,1285081,271685,18464,1575226,329083,6917656,1024922,224508,62380,6103,292985,68425,1386331,639156,227201,17574,1642,246412,52527,938094,625641,334303,32776,2316,369393,72493,1067524,636401,272778,32415,2268,307465,59016,1002886,674574,201225,44501,1939,247663,55749,977984,638148,142043,56233,1650,199928,51690,889763,504020,87738,41155,1314,130202,42801,677020,265102,44240,34432,1005,79674,28333,373115,118662,14983,14949,513
2,746623,119955,31628,7527,159108,44653,950384,495831,134640,7931,1680,144252,33814,673893,483686,143757,12493,1678,157929,36271,677880,545571,140576,20812,1675,163060,32718,741352,514504,109948,25693,1390,137029,27985,679517,404225,80575,26075,1146,107799,22465,534487,239675,55345,32750,1002,89101,16750,345528,175653,29183,22941,851,52972,16880,245510,62508,6114,6447,377,12940,8421,83872,3668284,820100,186757,17334,1024193,239947,4932422,766384,145655,40855,5416,191922,40488,998793,518435,159374,10074,1861,171309,30696,720446,495165,210664,15936,2109,228705,37005,760878,550633,170076,21742,1728,193535,30443,774615,536391,133877,27935,1544,163351,26729,726475,463759,95657,28444,1184,125282,22204,611249,292291,62360,30078,943,93387,16545,402224,175570,36013,28152,816,64980,13805,254360,76225,10251,9420,323,19994,8772,104994,3874861,1023926,212633,15922,1252481,226701,5354039,781711,185846,53774,5424,245042,54155,1080919,518610,193836,15599,1404,210842,40685,770134,527797,277776,25682,2103,305556,55842,889190,518057,214875,26146,1844,242864,44992,805920,544733,158587,32972,1642,193193,42482,780420,490852,109410,37149,1292,147851,38752,677453,370790,74819,30655,1167,106650,32160,509599,187587,44472,30630,920,76031,21388,285006,86671,14561,13467,427
3,710990,39763,11898,3394,55054,40493,806538,459260,43207,3708,636,47553,32391,539201,442607,43692,4684,579,48956,32041,523600,494897,43709,5957,521,50185,30482,575567,468753,35853,6554,451,42859,27577,539185,385793,24760,4945,314,30020,21737,437547,223984,16156,4875,250,21289,14156,259428,140014,9683,3892,190,13769,13029,166808,45388,2544,1427,67,4041,7228,56657,3371683,259368,47943,6402,313722,219134,3904531,761083,55411,17625,2122,75156,39623,875861,491691,59368,4688,813,64859,31207,587767,468291,76483,7222,895,84605,34511,587406,518847,62421,7460,601,70482,31429,620749,506670,47912,7577,527,56023,28187,590885,440092,31742,6590,380,38710,22287,501089,283437,19129,5071,306,24507,14705,322643,149611,10846,4309,214,15370,11557,176544,56230,3561,1861,100,5522,8046,69799,3675958,366870,62407,5951,435223,221562,4332737,764252,74397,22742,2390,99532,48910,912696,494166,72913,6544,668,80124,38848,613147,479770,106081,12026,896,119001,47927,646694,491090,85470,9517,811,95803,41231,628124,520269,59706,9652,628,69989,41448,631705,466399,39631,9667,508,49804,36676,552886,362563,24407,6400,422,31230,28808,422601,174661,13295,4764,252,18306,16849,209818,67468,4631,2355,131
4,242860,19453,5463,1630,26545,11417,280824,166870,23396,1816,327,25543,8455,200868,152456,22736,2326,308,25366,7924,185748,181677,25095,3464,364,28921,8455,219062,184104,20792,3902,270,24958,7823,216887,151681,16131,3647,216,19987,6154,177822,90690,13963,5525,197,19685,4726,115099,67863,9222,4994,172,14385,5183,87436,24586,1914,1595,64,3570,2441,30594,1262778,152695,32739,3537,188972,62590,1514340,242329,24933,8685,1042,34660,9949,286935,168986,29244,2592,364,32199,7655,208837,153694,36615,3453,343,40407,8221,202321,173400,30576,4336,352,35259,7721,216374,187723,24672,4577,335,29582,7641,224945,170708,18148,4064,255,22464,6436,199607,110061,13831,4469,228,18529,4604,133202,66333,10183,5456,216,15859,4001,86193,29836,3411,2301,120,5827,2486,38155,1303066,191607,39931,3251,234793,58711,1596569,235541,32760,10877,1021,44657,12809,293001,161805,33661,3494,267,37421,9448,208676,155803,45195,4978,384,50548,11760,218107,155485,38101,5052,354,43502,10473,209468,181357,28185,5691,291,34175,11366,226891,176880,20112,5663,280,26061,10982,213923,140414,14779,4218,222,19220,9214,168852,70994,10930,5275,197,16400,5865,93258,33260,4221,3008,90
5,335271,27099,7445,2176,36722,24438,396434,223002,32316,2124,392,34832,18177,276015,208670,30977,2861,377,34212,18554,261434,241630,31830,4183,401,36416,18597,296643,229638,29050,4748,324,34127,15936,279698,177546,20267,3832,226,24324,11441,213305,102500,12646,4425,183,17249,7193,126940,63383,7754,3936,154,11844,5906,81133,21403,1834,1420,52,3301,2773,27477,1603043,193773,34964,4297,233029,123020,1959087,361544,41491,12323,1543,55353,23172,440067,242245,42881,2939,539,46358,18617,307220,236178,57824,5122,563,63510,24411,324101,253043,48297,5870,509,54684,20536,328256,250550,36786,5527,389,42698,16979,310229,209778,26749,5049,301,32099,12551,254424,126686,14684,4018,243,18942,6918,152543,69853,8698,4136,207,13039,5230,88116,26078,3074,1857,99,5029,3105,34217,1775951,280478,46836,4391,331707,131514,2239171,374190,57818,16993,1833,76648,25848,476683,235972,51278,3548,485,55311,19048,310329,254733,84248,8295,685,93228,31213,379178,241274,71039,7347,618,78997,24770,345038,257495,47034,7207,499,54736,22724,334959,224531,31335,6950,361,38643,18860,282042,161612,19484,4785,262,24529,13523,199669,80350,10551,4079,195,14820,8921,104095,30875,3764,2122,108
6,87407,1862,636,311,2803,3811,94026,56351,2418,304,45,2761,2653,61770,49458,2048,239,30,2314,2272,54040,61884,2253,205,33,2487,2518,66898,65318,1977,189,40,2200,2512,70028,54381,1745,170,22,1935,2261,58580,33949,1450,185,16,1655,1852,37454,22116,1105,200,26,1340,1696,25152,7302,344,95,12,452,785,8539,438166,15210,2215,530,17948,20360,476481,87099,2601,962,111,3683,3088,93871,56422,3114,434,51,3595,2245,62259,49248,3591,380,24,3994,2041,55283,59489,2817,387,29,3237,2129,64852,66588,2408,309,19,2740,2235,71555,62276,2045,244,22,2309,2236,66823,41164,1612,209,19,1835,1755,44764,22926,1124,208,17,1345,1423,25697,8904,397,117,8,526,814,10247,454119,19707,3246,312,23269,17965,495351,81116,3208,1326,125,4657,4437,90207,53464,3676,490,37,4196,3277,60940,48800,5063,643,37,5743,3486,58034,52358,3540,491,40,4075,3393,59830,62723,2787,446,33,3265,4057,70050,65031,2256,364,31,2649,4474,72160,51313,1736,242,24,2009,4061,57381,25654,1235,210,17,1468,2482,29604,9955,516,129,19
7,30042,7795,4699,578,13072,4494,47605,18080,6907,1083,185,8175,3112,29372,20961,6725,833,131,7693,3405,32056,21223,5845,731,137,6711,3224,31152,18712,4278,653,101,5033,2738,26475,12247,2478,582,39,3097,1608,16953,4168,1039,499,27,1559,591,6315,1506,379,231,9,623,239,2371,346,110,103,0,215,35,594,127282,35544,9412,1206,46164,19451,192899,29463,9795,5341,422,15556,4120,49141,18763,8473,1043,168,9684,3207,31661,21613,9764,1023,139,10932,4014,36556,20688,8091,842,85,9017,3453,33161,19582,5523,671,70,6266,2722,28577,14833,3352,601,43,4003,1924,20754,5905,1353,516,31,1896,760,8567,1771,507,264,13,786,282,2833,403,121,88,3,219,74,693,133015,46987,10393,983,58362,20571,211943,28557,11563,4036,587,16183,4737,49473,16559,9502,707,177,10387,3777,30719,23010,12899,956,216,14076,5952,43036,18960,10396,823,162,11380,4288,34630,19194,7312,755,112,8173,3945,31310,15556,4080,640,90,4807,2931,23296,7891,1859,513,33,2404,1371,11661,2334,670,330,17,1021,419,3771,574,140,91,7
8,52055,5564,1388,464,7416,2464,61935,41786,6585,377,78,7038,2341,51170,39981,7409,391,69,7869,2451,50301,39094,7262,557,67,7882,1935,48918,37445,6070,672,57,6795,1766,46006,28084,4179,625,40,4840,1234,34154,13133,2535,818,39,3389,720,17245,8196,1414,673,25,2109,562,10868,2687,289,227,5,524,240,3446,262450,41298,5719,841,47861,13722,324034,53817,7797,2336,297,10421,2103,66346,42034,9335,567,76,9978,2734,54748,42554,12231,724,104,13060,2628,58248,40446,9766,737,89,10596,1893,52928,38103,7529,776,70,8373,1530,48008,31675,5126,780,43,5950,1153,38784,17093,2979,799,43,3823,741,21663,8697,1678,767,20,2460,507,11666,3613,498,330,26,858,368,4830,278042,56942,7820,762,65522,13656,357218,56593,11391,3239,378,15012,2875,74480,40380,11822,920,67,12811,2744,55938,43992,17021,1018,101,18143,3988,66119,40124,14273,987,97,15352,2927,58407,38346,9117,957,56,10132,2510,50989,31984,6056,1300,47,7407,2114,41506,23028,3836,935,46,4822,1601,29453,10334,2051,820,31,2898,1124,14363,4201,683,379,11
9,234,199,83,8,294,26,552,131,107,7,0,118,28,270,132,105,18,4,127,25,289,200,140,55,3,199,24,412,153,99,110,4,215,11,376,91,46,116,3,170,16,276,23,8,67,0,74,10,103,3,4,9,0,13,0,16,0,0,11,0,11,0,11,972,713,475,26,1212,129,2320,215,180,69,3,252,33,496,110,120,15,0,134,181,433,129,139,20,0,163,437,723,165,125,20,3,150,136,445,183,131,67,3,205,36,426,112,81,131,3,212,19,344,26,21,70,0,91,7,120,6,0,21,0,24,0,32,0,0,5,0,5,0,3,945,798,420,15,1236,856,3029,342,324,76,5,409,63,815,138,189,4,3,197,81,421,167,221,20,0,239,163,573,240,276,19,9,299,102,642,278,274,51,3,325,113,711,288,211,115,11,336,89,709,188,127,101,3,237,48,478,69,53,40,4,94,20,182,24,16,8,0
