STE_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1,29612,11535,21606,33141,13528,25006,38531,488,628,1109,452,558,1009,389,573,958,15551,26842,42395,19536,31088,50615,24639,39028,63673,286749,271512,558266,251554,234986,486541,269916,265351,535266,1048298,1051602,2099902,1060146,1075971,2136112,1145077,1180162,2325241
2,25401,10765,22009,32773,12663,23989,36650,495,633,1129,471,557,1023,376,522,898,13913,23391,37303,19082,31184,50266,23078,36418,59498,197070,194536,391603,182347,174134,356481,205462,207734,413199,764283,778702,1542982,797582,819975,1617555,896923,932323,1829240
3,16091,6615,12898,19518,7965,16048,24014,252,328,579,254,284,537,255,301,556,7933,14605,22537,10993,17848,28840,13825,23688,37517,169246,154285,323530,166544,145250,311790,185561,175327,360888,592057,603910,1195964,633301,648956,1282252,705280,738625,1443913
4,6840,2632,4747,7380,2554,4711,7274,108,132,243,111,137,245,84,100,188,3425,6315,9742,4321,6776,11098,4439,7062,11501,53637,52154,105792,50648,48045,98693,53947,52488,106438,220180,227219,447397,225002,233659,458666,237292,247666,484956
5,6874,3129,5863,8999,4055,7778,11840,117,136,253,127,123,242,134,144,278,3638,6266,9911,5400,8125,13527,7195,11345,18547,94457,83742,178200,100601,80266,180866,105174,92475,197644,309184,306198,615379,344603,335221,679823,383579,383416,766992
6,1569,649,1310,1960,630,1214,1844,37,50,86,21,35,54,31,26,54,770,1531,2306,1021,1844,2865,1059,1755,2810,17895,18115,36008,16055,15572,31624,19012,19314,38329,70135,72509,142638,68638,71144,139787,71978,74988,146972
7,801,396,740,1139,383,816,1199,18,24,44,23,12,35,24,22,43,419,735,1153,637,991,1623,613,1042,1655,14829,12132,26963,15153,11093,26243,17636,13704,31342,35098,33524,68621,37711,35416,73128,41622,39742,81367
8,1789,755,1221,1971,740,1487,2230,34,25,61,21,22,47,14,20,39,1202,1423,2620,1269,1533,2808,1214,1948,3165,10225,9465,19682,9943,8566,18503,11803,11325,23127,53770,54104,107875,57657,57200,114860,65201,66463,131655
9,10,3,0,5,0,9,12,0,3,5,0,0,3,0,3,3,7,18,29,7,0,11,14,18,27,162,88,257,854,96,949,541,255,802,401,350,752,1075,319,1397,934,642,1571
