STE_CODE_2016,Age_74_C16_P,Age_70_74_C06_M,Age_70_74_C06_F,Age_70_74_C06_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_75_C06_M,Age_75_C06_F,Age_75_C06_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_76_C06_M,Age_76_C06_F,Age_76_C06_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_77_C06_M,Age_77_C06_F,Age_77_C06_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_78_C06_M,Age_78_C06_F,Age_78_C06_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_79_C06_M,Age_79_C06_F,Age_79_C06_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_75_79_C06_M,Age_75_79_C06_F,Age_75_79_C06_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_80_84_C06_M,Age_80_84_C06_F,Age_80_84_C06_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_85ov_C06_M,Age_85ov_C06_F,Age_85ov_C06_P,Age_85ov_C11_M,Age_85ov_C11_F,Age_85ov_C11_P,Age_85ov_C16_M,Age_85ov_C16_F,Age_85ov_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1,51715,100549,110353,210902,114427,122935,237361,142102,150452,292556,18581,21518,40098,19656,21997,41653,23005,25252,48259,18095,21389,39487,17830,20854,38689,21910,24016,45927,17013,20725,37739,16955,19455,36414,20319,23064,43386,16376,20068,36446,16130,19108,35236,18823,21826,40647,15059,19263,34323,15466,18574,34042,17972,21109,39080,85125,102966,188091,86043,99984,186031,102028,115280,217308,57083,83619,140701,64655,86072,150723,68882,86922,155806,36034,75625,111653,47883,91852,139732,61753,105755,167506,3228451,3320726,6549174,3408880,3508782,6917656,3686014,3794217,7480228
2,39432,74177,83008,157179,84892,92421,177315,104739,113466,218203,13884,15990,29874,14618,16593,31208,17365,19110,36477,13603,16163,29761,13419,15552,28971,16372,18548,34923,12643,15266,27914,13009,15129,28140,15435,17602,33039,12160,14913,27077,12138,14688,26829,14242,17023,31263,11244,14584,25833,11290,13904,25193,13498,15913,29413,63530,76917,140450,64473,75864,140338,76920,88198,165115,42486,62573,105057,48895,65128,114021,52533,67356,119895,27075,56802,83872,36269,68727,104994,47567,80427,127993,2420415,2512009,4932422,2632617,2721423,5354039,2908077,3018549,5926624
3,31729,55545,57454,113003,67741,69142,136884,88925,91484,180406,10087,11141,21228,11088,11545,22635,14183,14712,28893,9534,10724,20261,9984,11110,21094,13256,13944,27201,8886,10370,19250,9152,10203,19359,12121,13146,25267,8392,10191,18583,8737,9999,18734,11055,11932,22988,7753,9398,17147,8280,9474,17749,10208,11521,21728,44653,51827,96473,47241,52328,99571,60824,65259,126084,29437,40895,70329,33550,43420,76973,37883,45851,83731,19179,37473,56657,24650,45152,69799,31767,53759,85528,1935378,1969151,3904531,2148221,2184520,4332737,2321889,2381308,4703193
4,12794,24979,27656,52642,27798,30738,58536,34666,37896,72563,4622,5594,10215,4813,5435,10246,5515,6220,11737,4716,5468,10178,4400,5164,9565,5184,6060,11248,4485,5419,9899,4373,4975,9349,5084,5894,10981,4342,5286,9633,4091,4845,8941,4714,5516,10231,4051,5306,9355,3830,4710,8542,4502,5185,9686,22219,27062,49280,21515,25115,46631,25008,28879,53885,15268,22884,38150,16927,22634,39562,17432,21938,39374,9861,20739,30594,13008,25146,38155,16340,28143,44479,745209,769131,1514340,787217,809351,1596569,825997,850652,1676653
5,15118,26886,29026,55917,32268,33944,66218,40855,42054,82911,5014,5399,10414,5348,5940,11286,6490,7143,13630,4662,5389,10048,4994,5618,10610,6228,6852,13084,4309,5004,9316,4442,5209,9651,5882,6514,12395,4064,4974,9037,4300,5098,9396,5479,6206,11688,3826,4717,8542,3986,4902,8882,4975,5744,10715,21877,25482,47359,23068,26761,49833,29057,32451,61509,14051,19725,33778,16635,21648,38286,18803,23782,42590,8828,18652,27477,11922,22296,34217,15846,26579,42420,976122,982963,1959087,1126175,1112991,2239171,1238419,1235994,2474410
6,4310,7985,8659,16645,9483,9961,19448,11894,12539,24434,1452,1699,3155,1483,1712,3197,1914,2109,4028,1409,1631,3042,1409,1566,2973,1825,1939,3762,1292,1558,2849,1369,1594,2965,1665,1818,3482,1214,1507,2725,1240,1529,2767,1547,1767,3311,1125,1407,2530,1181,1435,2620,1385,1644,3030,6496,7805,14298,6685,7837,14523,8332,9279,17613,4358,6498,10854,4853,6320,11174,5347,6648,11994,2688,5848,8539,3513,6736,10247,4347,7413,11767,233383,243100,476481,242675,252677,495351,249478,260482,509965
7,745,1190,1086,2280,1798,1475,3280,2311,1985,4300,182,180,366,230,198,432,385,314,698,195,157,351,207,182,395,335,285,622,161,147,306,150,181,333,210,194,401,138,137,274,148,152,295,223,214,434,125,122,249,135,142,277,170,188,362,802,747,1549,872,858,1727,1317,1197,2516,357,461,823,540,567,1112,569,688,1258,218,380,594,255,441,693,392,545,938,99372,93532,192899,109519,102428,211943,118570,110266,228833
8,2154,3514,3935,7452,4241,4759,8992,5737,6435,12168,650,664,1317,714,772,1487,854,1064,1921,586,666,1254,685,737,1421,858,948,1801,540,659,1195,566,742,1314,793,896,1694,534,678,1218,542,655,1198,744,869,1619,485,621,1106,510,665,1168,644,848,1493,2794,3293,6088,3012,3575,6591,3901,4623,8519,1909,2869,4778,2180,2895,5074,2541,3292,5839,1154,2293,3446,1657,3174,4830,2316,3841,6158,159654,164382,324034,176747,180477,357218,195739,201653,397397
9,23,20,15,36,37,14,49,92,86,180,0,0,3,3,4,7,20,14,30,3,0,3,0,0,3,10,9,23,0,3,3,0,0,3,22,15,31,0,0,0,3,0,4,10,14,18,0,0,0,3,0,7,3,6,12,6,7,11,10,10,22,66,54,122,3,3,4,7,5,13,26,38,68,10,4,11,5,0,3,28,33,58,1261,1052,2320,1967,1061,3029,2462,2120,4587
