STE_CODE_2016,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_T_M,C11_65_69_T_F,C11_65_69_T_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_T_M,C11_70_74_T_F,C11_70_74_T_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_N_mar_M,C16_15_19_N_mar_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F
1,20201,19187,54811,65523,215505,229530,445037,138197,140596,16681,15710,54008,66256,208885,222565,431450,127310,125529,12815,11018,46695,60658,186820,197204,384028,124302,114772,9627,7235,41082,57724,175016,179732,354749,98019,85477,5402,3611,31083,49982,134504,139079,273576,75589,62819,2797,1637,23957,46911,102339,111365,213710,56124,41205,1355,731,19187,47166,76664,89097,165762,38275,23617,684,391,17038,48109,56005,72114,128116,20744,9686,342,178,15508,49663,36591,59530,96118,1248671,1265708,209332,209395,975850,1120396,2433852,2595496,5029343,119,431,1409,2942,206806,193892,208334,197263,405595,5722,14721,18695,27628,190337,168095,214759,210442,425201,46384,76023,42402,47829,137648,113619,226434,237468,463902,114119,139303,38274,36864,82580,72978,234974,249150,484124,134936,145562,28923,27540,57099,59180,220964,232282,453246,140793,148052,26184,25487,54375,63736,221353,237270,458623,135342,142430,23933,23269,55751,68026,215029,233720,448749,135325,136402,21331,20211,57599,69830,214254,226441,440692,131758,131314,17670,16235,55328,71423,204762,218964,423725,121365,116516,13237,10994,47048,65944,181650,193458,375105,115107,103408,9839,7435,40813,62906,165757,173759,339509,88625,73972,5650,3839,29926,54871,124201,132681,256885,63285,48141,3149,1819
2,15489,14736,41176,50846,167405,179836,347243,107280,107862,12625,11673,39002,50167,158903,169699,328606,98368,96922,9560,8052,33703,45606,141627,150574,292201,94095,88977,6499,5004,28816,43136,129411,137121,266526,73045,64717,3542,2357,20995,35710,97583,102789,200373,56833,47144,1721,1034,16177,34329,74733,82508,157245,42237,31282,793,477,13315,35041,56343,66798,123137,28922,17604,451,226,12317,36121,41687,53949,95634,15548,7474,197,90,11467,36338,27214,43903,71120,968241,980282,170164,171150,770764,883056,1909168,2034489,3943656,101,309,933,1852,165463,155903,166497,158063,324560,3829,10301,15142,22343,165922,147190,184887,179838,364721,36810,60274,39493,44285,116034,96042,192337,200602,392946,95562,115083,34782,32837,66065,60397,196413,208318,404735,110601,116739,24699,24132,45133,47344,180430,188216,368650,112927,117437,22149,21918,42271,51513,177355,190871,368229,111855,116466,20137,19618,44495,56216,176486,192299,368793,107080,107607,16399,15592,43434,55265,166911,178461,345372,102545,100887,13319,11771,40108,54696,155974,167354,323325,93208,89438,9712,8023,34145,50084,137068,147539,284610,86381,79743,6581,5018,28759,47408,121717,132170,253892,65573,55788,3692,2522,20581,39907,89852,98215,188067,47951,36496,1923,1170
3,14664,14461,33675,40130,130995,143348,274342,80832,84317,11506,11287,32270,39033,124607,134635,259241,75543,75694,8713,7643,28069,35469,112325,118808,231132,75026,70272,6730,5009,25397,34047,107160,109332,216489,59342,51627,3753,2561,19191,29135,82286,83330,165618,43971,35251,1946,1219,14256,25953,60179,62424,122606,30037,21646,881,489,10906,24437,41819,46575,88396,19528,11894,422,218,8921,24342,28873,36456,65336,10456,4911,201,101,8093,24187,18752,29193,47943,732522,754617,168068,174917,582253,657187,1482848,1586720,3069567,85,233,1797,3745,132448,123737,134329,127709,262039,4043,8636,20647,29714,109390,96973,134079,135324,269400,27813,42968,34745,38644,70316,61000,132876,142618,275499,62548,78205,29009,28462,45079,42766,136633,149438,286069,73921,83578,21370,21249,34282,37542,129572,142369,271948,82488,90047,19627,19467,35282,42062,137396,151573,288965,83308,88955,17769,17620,36069,44380,137137,150955,288099,80266,83575,14938,14556,36253,44201,131457,142330,273786,78091,79556,11797,11028,33887,42690,123777,133280,257059,73097,70739,8710,7278,29001,39040,110809,117062,227871,70831,64432,6506,4873,26188,38104,103534,107411,210940,54541,45362,3807,2578,19086,32617,77430,80558,157985,37403,27290,1859,1122
4,5383,5359,14694,16001,51060,53808,104872,31383,32585,4496,4341,14199,16064,50079,52988,103065,30064,30542,3389,3081,11776,14570,45224,48191,93422,30607,29311,2508,1927,9892,14002,43001,45237,88240,23981,21929,1335,962,6943,11664,32259,34553,66813,18780,16213,684,417,5200,11130,24659,27761,52421,14423,10743,324,210,4438,11445,19184,22397,41581,10326,6418,206,107,4156,12453,14691,18974,33661,5494,2652,85,54,4233,13161,9816,15867,25686,285451,290365,55630,57539,231852,260353,572935,608255,1181191,40,99,404,867,46646,43594,47080,44557,91639,1259,2923,5229,7865,41909,35698,48397,46485,94886,9327,15181,10605,11720,26663,21613,46596,48516,95106,22416,27731,8974,8790,16926,14898,48316,51422,99740,26235,28710,6530,6587,12717,12690,45475,47989,93465,27909,29646,6203,6228,13419,14184,47537,50058,97592,29293,30865,6006,6105,14996,16377,50295,53345,103642,29462,30502,5393,5364,15214,16950,50069,52812,102882,30054,30573,4560,4183,14276,17202,48883,51953,100837,28771,28390,3286,2946,11821,15743,43869,47078,90956,28496,26831,2352,1801,9835,15162,40686,43791,84479,21943,19300,1258,929,6878,13038,30079,33262,63343,16092,12713,643,394
5,7313,7465,16656,18789,68263,73201,141465,42153,43964,5967,5771,15918,18912,64036,68652,132688,38819,39575,4425,3861,13840,17466,57088,60905,117998,37703,34793,3114,2287,11863,16430,52678,53516,106192,28015,23961,1555,1096,8333,13051,37904,38107,76011,21278,17474,822,529,6180,12402,28278,30401,58683,15095,11318,370,231,4825,12090,20290,23639,43931,10149,6199,195,106,3973,11781,14318,18095,32409,5409,2467,93,43,3675,12060,9176,14565,23743,376345,392435,82772,88503,300404,322963,759517,803904,1563423,49,141,633,1414,68816,63982,69490,65540,135029,1864,4698,8497,13403,59523,49247,69886,67352,137231,15050,25799,18820,22193,41366,32348,75246,80339,155581,37489,47602,16507,16271,26162,22242,80164,86120,166282,43406,49117,10896,11163,18214,17845,72516,78119,150635,45719,49720,9619,9744,17088,18985,72432,78449,150881,46271,48901,8927,9017,17862,20641,73060,78553,151616,43737,45001,7673,7439,17618,20595,69031,73024,142057,41116,41387,5935,5569,16051,20518,63098,67482,130579,37516,36825,4313,3522,13799,19143,55630,59491,115127,35357,31498,2959,2218,11629,17760,49952,51476,101425,25551,21061,1606,1093,8074,14519,35227,36670,71892,18355,13775,817,554
6,2089,1935,4258,4951,15476,16787,32262,10088,10691,1664,1621,4314,5069,16069,17385,33450,9849,10039,1269,1077,3806,4625,14919,15738,30657,10026,9326,945,710,3362,4586,14334,14623,28958,7807,6901,548,376,2553,3868,10909,11141,22057,6008,4824,262,154,1975,3803,8249,8778,17030,4167,3067,131,72,1559,3703,5852,6839,12696,2776,1665,50,22,1333,3612,4161,5302,9459,1495,719,19,13,1162,3708,2676,4433,7115,85366,86673,20584,21110,66445,78277,172388,186063,358453,13,18,211,405,14041,12847,14264,13264,27534,394,748,2051,2995,10536,8680,12987,12423,25406,2315,3491,3504,3777,6259,5705,12086,12974,25060,5261,6517,2958,2944,4170,4243,12399,13702,26103,6218,7167,2343,2466,3363,3922,11926,13555,25484,7252,8292,2298,2334,3824,4516,13376,15147,28523,8205,8947,2278,2298,4244,5119,14730,16370,31100,8653,9242,2044,1962,4634,5263,15329,16465,31793,9543,9942,1712,1511,4567,5604,15816,17055,32877,9432,9204,1267,1041,3957,5112,14660,15352,30015,9303,8393,898,663,3444,5067,13645,14124,27765,6927,5958,525,362,2490,4405,9942,10720,20665,5003,3603,240,152
7,925,890,1847,1957,6068,6100,12173,3041,3033,733,758,1807,1878,5577,5677,11252,2649,2465,545,463,1592,1687,4780,4611,9394,2364,1770,336,225,1309,1441,4013,3436,7442,1343,935,179,118,805,930,2317,1979,4297,822,495,62,35,584,705,1465,1234,2705,382,210,27,11,278,475,686,694,1381,207,84,8,7,206,363,417,451,872,73,27,3,0,103,260,181,288,468,26877,27690,9492,10038,28881,28351,65248,66079,131329,80,159,86,215,5950,5104,6118,5481,11593,594,1025,1016,1469,4640,3647,6262,6136,12396,1952,2775,2025,2329,4054,3395,8031,8499,16526,3556,4345,1885,1856,2783,2507,8226,8709,16935,3836,4165,1311,1275,1989,1984,7137,7425,14565,3647,3681,1110,1123,1851,1980,6609,6786,13389,3461,3524,1106,1068,1964,2012,6532,6612,13140,3153,2960,873,860,1884,2018,5911,5830,11744,2777,2564,704,605,1577,1898,5059,5075,10131,2332,1917,472,335,1437,1655,4241,3907,8143,1730,1228,255,201,1106,1253,3088,2686,5774,1031,681,149,82,668,840,1847,1602,3447,578,321,53,32
8,1161,1128,2572,3355,10922,11925,22847,6955,6931,957,882,2444,3454,10357,11270,21625,6247,6076,694,636,2014,3033,8957,9747,18702,6015,5400,517,339,1588,2857,8119,8596,16714,4209,3503,227,166,1022,2165,5455,5837,11291,2922,2394,106,53,733,1796,3757,4241,8002,2009,1493,35,31,608,1648,2661,3167,5828,1377,839,25,6,497,1572,1901,2421,4320,810,393,13,3,481,1719,1301,2112,3419,62037,62880,13655,13938,49591,56251,125283,133073,258363,0,14,71,155,10492,9935,10564,10100,20664,264,683,1512,2219,10428,9377,12200,12280,24481,2657,4442,3376,3760,7582,6308,13620,14514,28132,7332,8943,2704,2524,4546,4117,14591,15587,30177,8519,8932,1903,1815,3090,3244,13514,13994,27505,8241,8327,1541,1579,2766,3350,12552,13260,25811,7670,7531,1412,1357,2857,3498,11937,12389,24329,6900,6884,1184,1162,2598,3501,10673,11548,22224,6382,6177,905,769,2378,3476,9669,10421,20088,5604,5223,605,520,1860,3077,8070,8818,16884,5177,4684,436,317,1487,2971,7104,7969,15075,3719,3006,217,149,969,2365,4907,5522,10432,2479,1882,104,61
9,12,8,17,12,97,83,183,61,64,4,4,22,15,85,83,166,59,64,0,3,31,8,93,73,162,63,24,3,0,30,11,92,41,134,21,24,0,0,10,3,34,29,54,26,11,0,0,17,3,37,16,53,4,5,0,0,5,8,8,11,18,4,0,0,0,0,9,7,5,13,0,0,0,0,3,0,3,0,6,438,439,44,43,323,198,807,687,1494,0,0,0,5,80,84,85,87,170,3,5,6,9,56,30,60,42,103,9,34,8,9,31,28,53,68,125,53,63,8,18,21,28,84,113,192,72,77,18,21,26,23,115,120,238,65,75,29,22,24,35,117,134,253,53,65,20,25,36,34,118,127,243,86,81,21,16,36,32,142,128,272,84,79,16,17,41,35,139,134,272,71,70,6,8,33,37,114,118,229,84,54,5,8,23,42,113,99,216,53,45,3,3,15,22,68,69,141,26,24,4,0
