STE_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
1,143,65,3343,599148,814684,397036,392973,177218,90241,2471299,307344,551952,291028,330274,159601,89612,1729820,59908,44079,17576,13956,4401,1831,141744,43778,52247,32809,29840,11212,5819,175709,103683,96321,50380,43800,15612,7652,317447,63786,40894,16865,10397,3223,1445,136617,56611,58119,26841,15241,4103,1539,162457,71338,82763,35640,20093,5566,2672,218075,911,702,279,215,83,47,2241,192643,182471,79636,45947,12973,5703,519380,7621,3714,521,270,116,74,12317,642,343,125,100,57,42,1310,2964,3234,1632,1180,573,376,9958,11227,7288,2277,1553,743,496,23583,5883,4266,1628,1224,648,429,14077,620778,842300,424955,422804,189580,103893,2604314
2,34,15,797,476869,644328,313832,316180,134279,59190,1944690,299077,492969,267267,297553,128659,61426,1546945,79236,60730,26295,18110,5409,2288,192062,23570,37626,22323,17548,5549,2248,108856,102798,98351,48620,35655,10953,4538,300917,48913,33342,11907,6152,1644,648,102602,23016,19486,4939,1667,377,140,49621,39059,38870,10242,3690,983,587,93435,179,119,41,23,8,7,382,111162,91820,27134,11530,3019,1379,246041,3835,1244,153,125,45,24,5429,207,70,33,25,13,9,364,1739,1804,802,560,245,142,5299,5783,3124,986,719,304,182,11091,3012,2436,972,794,334,164,7703,521828,688693,344984,346242,143262,67684,2112706
3,52,25,1278,353509,551518,249502,236180,102991,53604,1547304,220059,442151,221456,229461,101489,55039,1269653,38743,25004,6990,3572,1138,532,75979,31204,35727,17977,9780,3079,1230,99005,69940,60733,24972,13350,4221,1768,174984,39931,22347,6836,3106,880,391,73496,22103,21234,5767,2232,455,138,51940,23078,27645,6612,2766,632,234,60962,190,120,29,22,13,9,382,85306,71351,19241,8131,1977,778,186778,8532,3882,421,238,99,56,13232,644,402,127,102,47,35,1352,694,753,304,256,113,116,2231,9863,5033,858,598,255,211,16815,3907,2573,908,707,320,188,8602,389076,581837,267436,252245,108267,57970,1656831
4,14,7,325,172667,218783,92218,87960,33783,13624,619041,110262,178125,80569,82030,32010,13804,496799,36451,22313,7579,4642,1493,738,73220,6507,7799,3664,2411,652,253,21290,42958,30112,11240,7055,2145,991,94506,18551,8817,2985,1444,322,97,32214,2116,1249,423,203,43,5,4041,2614,2238,548,201,35,9,5648,43,30,13,11,3,0,100,23326,12335,3966,1858,402,116,41999,1168,596,57,41,16,6,1890,143,47,16,12,13,5,232,289,336,125,91,43,20,898,1604,986,196,140,68,26,3025,969,781,290,264,100,51,2454,179119,222332,96272,91348,34735,14991,638792
5,30,9,684,188765,273946,126581,127612,52694,24568,794157,124789,231584,120047,129529,54220,25663,685824,40596,30107,11355,6916,2214,1011,92201,9407,11597,4960,3207,888,301,30361,50005,41708,16313,10118,3098,1314,122560,11306,6356,1589,860,229,93,20435,5858,4141,1044,426,87,35,11596,7589,7059,1618,561,96,41,16970,51,28,4,0,0,0,85,24809,17585,4261,1850,410,163,49084,2867,1543,133,97,31,16,4688,243,190,42,46,23,15,565,312,373,170,125,56,29,1068,3428,2107,346,264,115,63,6323,1182,945,343,306,135,73,2981,204202,293927,141315,142071,57978,27275,866777
6,7,3,109,54040,70261,28287,25600,10149,4493,192826,44005,64875,26424,23992,9430,4267,172998,5354,2058,484,203,61,38,8194,1387,1116,384,189,78,27,3182,6743,3175,866,396,140,56,11385,5599,2554,647,279,77,45,9199,636,319,79,36,10,0,1082,523,221,59,15,0,0,820,100,42,17,6,5,4,166,6855,3137,794,334,94,49,11262,382,196,26,15,7,7,631,52,31,8,4,5,4,104,153,165,78,33,16,12,462,592,390,115,55,31,14,1199,320,221,75,64,36,22,732,58517,71806,28272,24847,9728,4412,197575
7,15,10,263,13317,18875,9995,9183,4469,5048,60893,6023,12278,7717,8216,4227,4638,43100,1957,1647,669,442,204,226,5144,833,960,490,283,97,42,2700,2789,2605,1154,724,300,268,7847,2060,1569,691,416,142,60,4940,643,754,289,144,43,8,1887,1470,1862,678,366,93,50,4516,12,10,0,0,0,0,31,4191,4193,1654,928,282,125,11367,708,517,58,44,21,18,1373,137,94,27,21,8,24,308,142,155,82,64,30,19,488,987,759,172,132,65,58,2171,235,160,64,58,24,27,569,14228,20006,10758,10061,4893,5114,65061
8,0,0,50,30249,43765,22581,21459,8169,3211,129425,15810,30363,17947,20299,7828,3266,95520,6050,4315,1856,1222,310,120,13872,3276,4015,2169,1365,399,179,11408,9326,8326,4032,2583,712,300,25278,2363,1513,403,232,61,26,4597,3333,2713,856,318,70,25,7314,4236,3821,876,305,43,19,9303,108,57,15,8,0,0,191,10045,8105,2153,866,170,74,21404,87,26,7,3,3,0,133,6,0,0,0,0,0,9,12,10,11,8,0,4,47,106,36,17,19,3,3,187,126,82,27,20,10,3,271,35413,46915,24175,23786,8727,3653,142664
9,0,0,15,138,210,142,93,64,47,695,282,408,170,135,80,59,1130,16,19,9,9,3,0,54,10,7,5,8,0,0,29,25,31,9,12,5,3,87,28,11,3,3,0,0,49,8,19,9,3,7,4,59,4,0,0,0,0,0,5,0,0,0,0,0,0,3,43,35,17,5,8,8,115,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,10,5,9,0,0,0,0,12,8,5,0,0,0,0,16,369,479,200,160,90,66,1360
