STE_CODE_2016,C06_OO_DS_Sep_house,C06_OO_DS_SemiDRTHT,C06_OO_DS_FUA,C06_OO_DS_OD,C06_OO_DS_NS_,C06_Owned_Outright_Tot,C06_OWM_DS_Sep_house,C06_OWM_DS_SemiDRTHT,C06_OWM_DS_FUA,C06_OWM_DS_OD,C06_OWM_DS_NS_,C06_Owned_with_mortgage_Tot,C06_R_REA_DS_Sep_house,C06_R_REA_DS_SemiDRTHT,C06_R_REA_DS_FUA,C06_R_REA_DS_OD,C06_R_REA_DS_NS_,C06_R_Real_Estate_Agent_Tot,C06_R_STHA_DS_Sep_house,C06_R_STHA_DS_SemiDRTHT,C06_R_STHA_DS_FUA,C06_R_STHA_DS_OD,C06_R_STHA_DS_NS_,C06_R_ST_House_Auth_Tot,C06_R_PNISH_DS_Sep_house,C06_R_PNISH_DS_SemiDRTHT,C06_R_PNISH_DS_FUA,C06_R_PNISH_DS_OD,C06_R_PNISH_DS_NS_,C06_R_Psn_NI_SameHsehld_Tot,C06_R_HCCCG_DS_Sep_house,C06_R_HCCCG_DS_SemiDRTHT,C06_R_HCCCG_DS_FUA,C06_R_HCCCG_DS_OD,C06_R_HCCCG_DS_NS_,C06_R_HCCCG_Tot,C06_R_OLT_DS_Sep_house,C06_R_OLT_DS_SemiDRTHT,C06_R_OLT_DS_FUA,C06_R_OLT_DS_OD,C06_R_OLT_DS_NS_,C06_R_Oth_Llord_Type_Tot,C06_R_LT_NS_DS_Sep_house,C06_R_LT_NS_DS_SemiDRTHT,C06_R_LT_NS_DS_FUA,C06_R_LT_NS_DS_OD,C06_R_LT_NS_DS_NS_,C06_R_Llord_Type_NS_T,C06_R_Tot_DS_Sep_house,C06_R_Tot_DS_SemiDRTHT,C06_R_Tot_DS_FUA,C06_R_Tot_DS_OD,C06_R_Tot_DS_NS_,C06_R_T_T,C06_OTT_DS_Sep_house,C06_OTT_DS_SemiDRTHT,C06_OTT_DS_FUA,C06_OTT_DS_OD,C06_OTT_DS_NS_,C06_OTT_Tot,C06_TT_NS_DS_Sep_house,C06_TT_NS_DS_SemiDRTHT,C06_TT_NS_DS_FUA,C06_TT_NS_DS_OD,C06_TT_NS_DS_NS_,C06_TT_NS_T,C06_Tot_DS_Sep_house,C06_Tot_DS_SemiDRTHT,C06_Tot_DS_FUA,C06_Tot_DS_OD,C06_Tot_DS_NS_,C06_T_T,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_FUA,C11_OO_DS_OD,C11_OO_DS_NS_,C11_OO_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_FUA,C11_OWM_DS_OD,C11_OWM_DS_NS_,C11_OWM_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_FUA,C11_R_REA_DS_OD,C11_R_REA_DS_NS_,C11_R_REA_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_FUA,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS_,C11_R_STHA_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemiDRTHT,C11_R_PNISH_DS_FUA,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS_,C11_R_PNISH_Tot,C11_R_HCCCG_DS_Sep_house,C11_R_HCCCG_DS_SemiDRTHT,C11_R_HCCCG_DS_FUA,C11_R_HCCCG_DS_OD,C11_R_HCCCG_DS_NS_,C11_R_HCCCG_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemiDRTHT,C11_R_OLT_DS_FUA,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS_,C11_R_OLT_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemiDRTHT,C11_R_LT_NS_DS_FUA,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS_,C11_R_LT_NS_T,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemiDRTHT,C11_R_Tot_DS_FUA,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS_,C11_R_T_T,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_FUA,C16_OO_DS_OD,C16_OO_DS_NS_,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_FUA,C16_OWM_DS_OD,C16_OWM_DS_NS_,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_FUA,C16_R_REA_DS_OD,C16_R_REA_DS_NS_,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_FUA,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS_,C16_R_STHA_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemiDRTHT,C16_R_PNISH_DS_FUA,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS_,C16_R_PNISH_Tot,C16_R_HCCCG_DS_Sep_house,C16_R_HCCCG_DS_SemiDRTHT,C16_R_HCCCG_DS_FUA,C16_R_HCCCG_DS_OD,C16_R_HCCCG_DS_NS_,C16_R_HCCCG_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemiDRTHT,C16_R_OLT_DS_FUA,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS_,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemiDRTHT,C16_R_LT_NS_DS_FUA,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS_,C16_R_LT_NS_T,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_FUA,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS_,C16_R_T_T,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT
1,678933,59918,65809,15406,473,820542,615233,56151,70998,2548,407,745335,158700,55826,178590,2894,237,396245,52439,21905,34930,152,64,109490,79755,15055,35016,2440,113,132381,6148,3204,5321,100,51,14826,16755,2555,3956,4502,43,27817,13088,1995,4218,570,18,19894,326885,100543,262034,10661,524,700657,9373,4517,5643,528,14,20068,91359,20225,66013,5670,586,183855,1721779,241353,470498,34819,2008,2470453,678577,66641,71921,12443,650,830225,657379,72465,95791,1881,626,828143,174215,63757,195013,2873,828,436684,48272,24224,36632,76,350,109556,87193,18029,39377,2320,416,147336,6278,4202,6858,59,75,17468,17280,3102,4677,4461,216,29728,10558,1639,3371,439,55,16054,343791,114948,285928,10228,1943,756830,10329,4636,5823,509,143,21449,83457,19016,52667,6559,846,162550,1773531,277710,512125,31620,4207,2599191,676639,80199,77519,13157,3357,850865,658893,83523,96806,2721,2431,844378,197438,81719,239099,4555,2760,525574,41599,29117,34367,217,257,105551,84429,18926,41155,2218,1611,148339,5306,5149,6883,80,303,17712,15275,3223,4956,3569,880,27902,9173,1694,2985,340,252,14443,353213,139828,329439,10983,6062,839525,10621,6453
2,560604,45769,37406,5024,121,648924,556479,42300,34109,1814,98,634797,116289,42433,95000,1339,63,255121,24226,9042,21623,65,17,54970,64705,12996,21016,1641,15,100378,2967,1243,3359,36,28,7631,9130,1102,2690,2889,12,15819,8924,1355,2584,284,3,13149,226238,68171,146268,6257,137,447073,7104,2630,2538,186,15,12471,78703,13815,30926,2610,66,126116,1429129,172688,251248,15894,436,1869388,577128,48909,39817,5056,161,671078,604471,51185,43433,1291,211,700583,159168,51511,109002,1316,186,321188,24489,9507,21212,46,29,55282,72681,13942,22147,1431,130,110328,3632,1775,3622,19,6,9055,10431,1432,2736,3230,68,17896,8172,1257,2159,249,15,11851,278581,79427,160867,6296,437,525604,8686,2850,3514,230,27,15310,75626,13042,27013,2897,78,118649,1544492,195411,274640,15771,913,2031229,577736,72945,32358,4283,1843,689164,625242,81069,40715,1554,1806,750389,191085,94662,124034,1885,1577,413241,21695,14070,16231,106,136,52239,71931,20151,19616,1068,837,113598,3431,2819,3629,37,89,10009,9927,2021,2496,2377,374,17203,7172,1712,1503,169,140,10692,305242,135434,167516,5644,3149,616985,9592,4989
3,385849,23932,26044,22416,229,458464,430246,19428,20898,2504,173,473251,133861,28790,62501,549,143,225845,27506,6616,13868,122,111,48227,73679,15480,29456,1611,98,120314,5795,1781,2542,115,76,10317,18093,3160,5084,7108,174,33622,9460,1326,2768,705,19,14282,268393,57152,116222,10214,614,452595,6457,3561,3990,798,19,14830,63451,9387,29436,6953,151,109379,1154403,113460,196588,42891,1188,1508520,392422,25269,26239,22884,737,467540,483732,25543,25598,1953,256,537082,174682,41671,75248,662,272,292533,29272,7830,17039,123,35,54302,79732,16080,25484,1538,219,123055,4305,2082,3349,82,21,9838,20374,3280,4639,6931,179,35405,8296,1271,1964,595,45,12179,316664,72214,127727,9935,764,527303,8212,3996,2562,902,73,15742,61824,10405,21766,6619,259,100867,1262842,137427,203885,42296,2090,1648540,406941,31165,28555,21223,2497,490386,503465,29491,25327,1958,1547,561786,200456,67879,85608,746,1626,356317,27439,12281,13204,113,174,53215,77276,16801,21237,1030,949,117293,2902,2847,2933,47,101,8832,18238,3693,3496,4911,680,31019,6974,1207,1434,375,157,10146,333285,104713,127913,7222,3690,576822,7611,5175
4,182202,12196,8385,2605,50,205439,185147,11500,6649,608,163,204076,28749,8386,12850,132,23,50143,17126,15598,7696,19,37,40474,30504,5959,9045,414,25,45940,2573,1782,2061,21,3,6443,5533,764,1151,922,10,8373,3365,677,763,110,0,4919,87846,33167,33559,1617,92,156287,2935,2695,2030,157,4,7824,24009,5181,5541,1519,32,36287,482144,64746,56172,6504,345,609908,182769,12803,7849,2433,198,206055,197902,13389,7691,396,101,219478,40649,11562,15554,111,33,67915,16633,13766,7809,16,10,38234,33645,6470,8841,342,66,49365,2709,1914,2263,20,7,6911,6177,948,1375,880,48,9431,2889,545,605,69,18,4125,102700,35210,36452,1443,180,175989,3934,3309,1868,129,47,9288,22006,4721,5166,1112,79,33088,509317,69430,59030,5515,609,643897,181448,18356,5607,2604,745,208760,200115,20192,5478,533,716,227039,47544,20460,15360,180,284,83830,13613,15476,4770,23,72,33953,33110,8825,6176,333,307,48747,2522,2953,1374,12,22,6877,5528,1128,845,832,180,8510,2515,671,325,60,46,3621,104827,49515,28853,1441,907,185535,4250,4333
5,192384,17963,8569,9496,128,228543,239596,17320,8116,1000,78,266114,50049,13958,15717,202,43,79976,14493,7674,6670,49,10,28901,43391,9141,7690,564,35,60827,2806,957,1283,108,9,5168,10369,1535,1348,2417,17,15684,4713,801,644,253,8,6423,125822,34073,33363,3604,119,196983,3293,2259,1799,342,31,7726,37971,7692,9393,3471,88,58621,599068,79307,61241,17914,450,757988,205720,17964,9177,10535,723,244125,270363,20255,10657,954,166,302391,64743,18397,21414,213,88,104861,16400,9026,6712,49,54,32241,50383,10198,8879,637,88,70182,2264,1310,1540,80,21,5212,13878,2153,1971,2362,168,20530,4375,673,592,246,56,5949,152050,41757,41112,3577,476,238979,4221,2855,2050,457,98,9679,36248,7713,8548,3561,158,56221,668608,90546,71538,19085,1620,851393,213803,25594,6417,9414,853,256085,303787,31994,8688,985,766,346219,72928,29407,19679,211,364,122593,15753,11744,3736,60,103,31396,48610,13022,5889,481,292,68300,1746,1799,1020,52,33,4639,13510,2407,1256,1850,343,19365,3763,851,347,172,76,5202,156314,59228,31925,2822,1215,251495,4289,3410
6,64479,1635,2752,614,6,69491,58531,1038,1208,292,8,61078,9270,1395,3533,96,0,14298,6296,1347,2808,5,0,10452,11756,1199,2935,221,0,16116,463,212,419,7,0,1108,1868,151,480,217,0,2717,1352,104,289,57,0,1796,31002,4412,10461,606,9,46485,987,111,317,35,0,1449,8033,664,1573,292,3,10560,163034,7862,16311,1838,22,189068,65496,2092,2424,562,39,70613,63072,1485,1440,252,29,66279,12386,2197,3875,109,17,18583,6264,1798,2331,6,0,10399,12557,1581,2613,239,13,16999,538,335,591,17,11,1491,2004,252,496,177,3,2930,1163,125,201,41,6,1534,34912,6287,10112,581,50,51939,1045,213,310,20,3,1586,7172,783,1219,275,12,9455,171695,10857,15509,1691,129,199879,67181,1959,1510,558,206,71411,63798,1285,1106,221,200,66613,15625,2838,3893,110,80,22553,5757,2058,1552,6,9,9383,13286,1574,2009,166,109,17149,836,598,447,4,9,1894,1892,292,287,187,38,2700,1104,132,122,27,7,1398,38502,7503,8304,508,254,55066,1252,291
7,6892,507,682,3300,54,11433,14848,1402,1592,326,9,18181,2909,1235,2917,47,9,7120,2552,1035,1094,27,0,4710,2269,720,1266,260,11,4517,4956,53,49,130,0,5178,3663,580,819,701,10,5762,636,101,130,126,4,994,16979,3722,6272,1286,27,28285,316,33,45,276,3,668,4024,848,1688,2023,10,8592,43056,6518,10281,7207,101,67161,7358,730,707,3554,230,12569,14850,1718,1918,410,65,18962,3642,1722,3474,73,23,8929,5463,766,1285,71,21,7612,2860,896,1428,316,46,5539,1558,63,128,58,12,1815,4097,743,1036,812,65,6756,618,96,153,137,11,1015,18235,4279,7506,1459,177,31666,408,68,79,272,48,877,4008,987,1895,1568,71,8517,44865,7779,12103,7251,593,72591,7708,626,782,3594,179,12884,15543,1560,1954,435,90,19586,4872,2304,4893,128,47,12246,5514,1312,949,69,35,7886,2955,893,1379,227,83,5530,1118,145,77,21,26,1396,3601,690,1183,734,119,6331,649,124,110,80,27,988,18714,5474,8599,1253,334,34376,424,76
8,30545,3408,1163,94,16,35222,39060,4307,1907,31,0,45313,6621,3439,4351,0,0,14410,5260,1893,2153,5,0,9313,5044,1790,1917,11,0,8760,180,118,150,0,4,457,1088,308,191,33,0,1621,372,107,102,0,0,580,18566,7655,8855,56,6,35140,326,191,94,3,17,632,3657,1054,1803,79,3,6595,92150,16622,13827,262,43,122900,31456,3838,1591,147,10,37048,41926,5551,3148,16,11,50654,7186,4021,6201,21,5,17430,5153,2141,2182,8,3,9482,5700,2185,2597,31,11,10525,225,207,167,0,0,601,1366,313,271,68,6,2024,346,95,84,3,0,523,19975,8959,11491,118,31,40582,380,291,198,13,0,878,3027,1022,1725,93,0,5872,96769,19659,18158,393,54,135037,31915,4968,1945,77,53,38957,42810,7736,4487,26,33,55100,7891,6097,9671,7,62,23727,4500,2491,1644,3,17,8660,5009,2471,2789,8,52,10334,228,228,181,3,17,662,1480,385,402,51,16,2330,304,124,74,0,3,508,19416,11799,14768,75,171,46219,373,400
9,141,0,58,7,0,203,60,0,5,0,0,68,22,0,10,0,0,28,119,0,48,0,0,160,48,0,15,0,0,70,33,0,0,0,0,33,126,3,4,0,0,138,12,0,0,0,0,13,363,7,75,0,0,447,28,0,3,3,0,33,30,0,6,0,0,41,618,12,157,11,0,795,87,19,66,7,0,176,41,12,15,4,0,68,20,3,4,0,0,29,70,4,86,0,3,157,32,18,25,3,0,78,47,0,0,0,0,47,74,12,12,3,12,106,11,4,0,0,0,18,250,44,122,6,17,439,29,0,0,0,0,33,24,7,61,8,0,100,432,85,265,24,13,814,367,15,23,3,3,418,286,11,11,0,3,302,83,3,10,3,3,99,57,26,32,0,0,116,138,15,18,3,0,179,25,0,0,0,0,31,95,17,34,3,0,145,32,0,3,0,0,40,439,68,91,11,7,611,49,3
