STE_CODE_2016,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85o,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85_ov,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85_ov,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85_ov,C11_P_CL_CL_nfd_Tot,C11_P_CL_T_15_19,C11_P_CL_T_20_24,C11_P_CL_T_25_34,C11_P_CL_T_35_44,C11_P_CL_T_45_54,C11_P_CL_T_55_64,C11_P_CL_T_65_74,C11_P_CL_T_75_84,C11_P_CL_T_85_ov,C11_P_CL_T_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85o,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85_ov,C11_P_LE_NS_T,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85o,C11_P_T_T,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85o,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85ov,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85o,C16_P_BD_Tot,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85o,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85_ov,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85_ov,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85_ov,C16_P_CL_CL_nfd_Tot,C16_P_CL_T_15_19,C16_P_CL_T_20_24,C16_P_CL_T_25_34,C16_P_CL_T_35_44,C16_P_CL_T_45_54,C16_P_CL_T_55_64,C16_P_CL_T_65_74,C16_P_CL_T_75_84,C16_P_CL_T_85_ov,C16_P_CL_T_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85o,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85_ov,C16_P_LE_NS_T,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85o,C16_P_T_T
1,2675,32708,91120,108178,95850,72307,37635,16691,4889,462061,14541,70163,158745,167812,168533,122331,71784,35685,10189,819779,5190,9088,15186,13816,12543,8382,3328,1112,328,68974,1847,5762,12945,18948,21647,19715,10860,4604,1620,97952,21579,85015,186874,200581,202722,150424,85973,41398,12144,986706,1334,5052,13135,16115,20941,19877,13204,7579,3048,100288,43192,37084,74944,71937,74036,71148,67098,63425,36205,539067,69330,224641,683014,672575,602684,464292,266171,151768,62456,3196922,67,5747,99809,95324,64107,45773,24800,7202,1658,344490,138,1890,18728,23809,22026,22241,11117,2803,589,103340,642,76273,285760,231366,160657,121836,68090,24753,7497,976888,3412,31960,105036,114958,113087,90720,54643,22018,7298,543142,14808,71475,176871,168140,175382,144048,91645,43008,13682,899055,4551,8173,12210,12181,12111,10013,5611,1574,497,66918,2177,6549,14831,20663,27437,28537,22268,9060,3459,134981,21534,86191,203909,200986,214925,182601,119520,53644,17639,1100959,813,2906,8803,8893,9779,10796,9483,4849,2054,58379,36821,39745,90463,76955,78516,79247,77799,62407,40950,582903,63430,244719,812517,752300,663104,553219,365449,177682,77686,3710095
2,1721,30221,78022,81077,70217,56682,30166,12925,3727,364758,12941,56176,123248,129266,123951,86416,48821,23804,6574,611192,4384,6214,10459,8311,7025,4726,1666,553,173,43505,1447,4592,9930,12618,12579,10096,5138,2238,858,59495,18770,66982,143634,150191,143552,101235,55627,26597,7601,714187,619,2605,7056,7827,8525,8025,5793,3510,1393,45348,32870,28894,55939,53611,54389,54085,52348,50762,29385,412291,54356,188193,561607,519741,439416,333502,190203,110013,46501,2443532,50,5706,83243,71671,45490,31264,16878,4682,1067,260039,127,2317,23971,28895,26958,23068,10831,2558,507,119226,460,68681,245618,192904,126445,90718,49907,17897,5638,798270,2661,31663,96927,93692,86879,68202,43704,17424,5879,447023,12982,58980,146312,129685,137905,105963,63258,29709,9341,694138,3305,6077,8897,8258,7508,5811,3131,785,247,44019,1436,4873,11761,14229,16154,14788,10733,4408,1912,80289,17720,69933,166969,152169,161569,126563,77119,34911,11503,818449,583,2206,6681,6127,5748,5680,5386,3031,1359,36803,28853,31395,70439,59249,60238,60037,60032,47308,28696,446245,50447,211904,693843,604704,513320,405528,263848,127814,54646,2926054
3,2338,16299,48500,62336,57589,42604,21187,7903,2022,260780,15690,53483,121923,122432,117141,87032,47005,19528,4756,589004,8060,8025,11108,7793,5968,3903,1424,397,97,46780,1821,4162,9008,11106,10200,8672,4250,1515,473,51209,25570,65668,142044,141336,133314,99606,52679,21442,5333,686994,795,2193,5620,6721,7711,7489,5377,2914,928,39751,28331,25180,48346,48581,47897,44215,40172,35680,20518,338904,57372,145619,397460,399059,350450,266333,150016,77783,31230,1875323,25,1870,32832,36194,28560,20332,10841,2987,609,134242,76,1681,12633,15940,15990,12733,5886,1557,240,66741,351,39102,137277,120800,85181,60045,34782,11776,3115,492427,3848,20802,60602,70343,72189,55495,32426,11727,3179,330619,20473,59245,143932,132564,130064,105405,64113,25898,6723,688423,7352,8398,9561,7350,6154,4746,2647,659,159,47018,2238,4631,10391,12930,13767,13092,9636,3802,1182,71665,30058,72270,163888,152845,149979,123237,76401,30353,8071,807105,559,1498,4056,4168,4544,4563,4453,2512,874,27234,26098,28313,58965,53194,55729,52780,49410,36280,21988,382748,61015,165535,470255,453484,412164,329183,214206,97196,38077,2241124
4,294,4835,15316,20767,21926,18680,9134,3556,1203,95692,3744,18031,40424,41399,41415,31301,17760,9162,2609,205850,1990,3208,5019,3307,2478,1502,624,209,54,18387,506,1600,3664,4553,4226,3885,1983,832,269,21519,6248,22831,49105,49251,48118,36683,20363,10201,2943,245756,248,762,1982,2485,2606,2457,1743,1076,432,13792,9118,7172,13231,14142,15495,15554,15355,16342,10101,116517,15996,48748,136580,134918,126953,105009,60042,35923,16047,680209,7,703,13581,13378,9527,7515,4527,1423,325,50993,13,449,4054,5467,5616,5721,3001,681,127,25129,90,13276,49802,42256,29035,24125,14991,5024,1785,180390,390,4946,18722,22116,25267,22585,14368,4947,1762,115102,4846,18676,46959,41169,44653,36982,23609,11191,3558,231643,1701,3187,4746,3577,2773,2104,1132,313,90,19628,614,1434,3504,4777,5307,5197,4066,1669,658,27225,7160,23296,55212,49520,52741,44285,28813,13171,4312,278498,173,542,1592,1613,1732,1796,1823,1052,512,10832,7629,7184,15272,14297,16319,16787,17014,13824,9168,117488,15459,50385,158224,148651,140237,122817,84531,40121,17989,778427
5,1270,9915,27336,32397,32112,24674,12327,4917,1345,146283,8622,29513,62785,61619,59450,42385,22262,10356,2835,299823,2844,3665,5263,3900,3086,2063,817,283,77,21998,746,2108,4758,6107,5895,4863,2488,1009,304,28275,12205,35287,72797,71628,68426,49311,25570,11647,3215,350094,532,1929,4886,5797,6625,6745,5101,2762,1051,35439,13817,14372,30100,27705,24724,21171,16612,15587,8759,172855,27968,82331,225750,217092,191409,142512,76513,40783,15824,1020180,11,993,20353,21748,15532,10441,5594,1637,352,76660,28,888,8095,9630,9100,7056,2913,729,149,38581,161,22189,88044,72367,50233,34326,18973,6879,1845,295027,1459,9951,35231,37096,36830,30019,18025,7062,1959,177631,7447,29671,77965,66183,65614,50420,28970,12672,3255,342195,3976,4047,5509,4149,3391,2524,1321,393,120,25437,818,2184,5790,7640,8135,7321,5257,2195,719,40060,12232,35898,89267,77971,77143,60266,35558,15259,4099,407695,270,878,2950,2829,2817,2680,2462,1292,483,16662,12546,14269,37516,31303,30341,27365,23867,18796,11595,207595,26707,85057,281458,252950,221993,172151,107384,51656,20491,1219843
6,62,870,3280,5516,6169,5690,3234,1363,423,26609,1480,6408,13280,13958,14473,10719,5839,2534,670,69352,714,1183,1652,989,915,536,232,88,33,6350,95,306,669,955,1171,1116,605,262,101,5275,2289,7900,15604,15897,16560,12376,6680,2884,797,80975,73,194,499,623,803,911,599,354,108,4162,2969,1940,3438,4126,4900,5644,5914,5436,2638,36994,5404,13648,35154,38948,40642,34958,20909,11651,4444,205761,3,145,2728,2923,2796,2549,1690,455,118,13408,10,126,1168,1480,1824,1710,934,224,44,7529,13,2534,10304,10076,8412,8287,5053,1656,585,46931,77,993,3905,5568,6892,6707,4775,2002,572,31487,1171,6228,14633,13222,14337,12953,7475,3348,900,74272,621,1254,1588,1069,904,709,373,107,41,6665,192,492,1052,1370,1637,1821,1263,589,216,8630,1988,7978,17267,15663,16878,15477,9109,4047,1155,89567,33,113,320,326,424,502,594,403,139,2866,3040,2318,4547,4571,5834,6753,7262,5327,2518,42172,5162,14218,40239,40597,43065,41993,29422,14120,5137,233961
7,36,527,2280,2824,2537,1745,553,124,24,10654,589,2747,6665,6154,5210,3274,1197,282,32,26138,288,521,817,548,390,201,55,17,0,2841,47,139,356,461,369,267,109,17,4,1767,922,3403,7838,7166,5970,3744,1364,310,37,30749,30,137,323,330,337,288,120,39,8,1616,2557,2526,5476,4839,4020,2949,1523,719,220,24831,3566,7800,23250,21206,17781,12214,4531,1361,330,92039,3,63,1725,1700,1286,1021,422,78,3,6298,0,57,830,915,831,647,191,35,0,3519,9,1145,7267,5235,3429,2492,1022,243,52,20899,31,568,2901,3070,3098,2127,816,229,27,12854,573,2644,8254,6294,5786,3910,1632,426,80,29592,317,437,730,512,425,244,78,11,3,2765,92,240,684,682,630,475,252,65,20,3132,981,3324,9669,7494,6841,4627,1960,500,99,35487,9,86,253,221,208,168,90,50,11,1088,2655,3164,7621,5728,5192,3885,2130,771,249,31393,3685,8402,30253,24366,20883,14961,6638,1903,445,111547
8,110,1744,5250,5992,5565,4193,2075,855,300,26088,640,3523,7466,6722,5750,3983,2170,1143,309,31701,372,591,736,514,403,299,138,48,14,3107,78,283,572,863,869,919,449,185,74,4302,1092,4395,8772,8103,7026,5205,2754,1367,404,39117,54,262,610,697,814,923,702,456,203,4729,1893,2188,3285,2592,2326,2011,1713,1644,1141,18783,3178,14699,45381,40157,34964,26666,13439,6447,2625,187558,8,386,8475,9761,7140,5070,2841,914,234,34819,7,235,2808,3014,2963,2626,1444,280,39,13412,30,6191,21220,16073,11230,8665,5498,2121,653,71685,131,1627,6060,6577,6170,4648,2954,1196,396,29758,696,3523,8665,7115,6215,4534,2706,1339,427,35224,350,526,642,497,381,295,186,79,36,2997,85,286,548,859,1032,1102,949,379,153,5399,1135,4336,9863,8464,7626,5935,3849,1798,620,43625,57,126,408,382,404,402,424,230,105,2548,1385,2109,4595,3600,3176,2845,2541,2039,1508,23803,2752,15007,53433,47867,38713,30188,19543,8579,3556,219643
9,0,3,30,35,37,23,4,0,0,124,6,23,59,57,78,47,13,0,0,283,10,3,10,3,12,3,0,0,0,33,0,0,3,3,3,0,0,0,0,12,12,24,70,70,92,52,13,0,0,334,0,0,3,6,10,3,0,0,0,22,56,152,464,152,74,59,14,12,0,987,69,204,623,344,262,160,32,14,0,1709,0,0,11,25,11,13,7,5,0,76,0,4,9,18,13,7,6,0,0,56,0,14,68,86,42,64,33,5,5,328,0,6,50,71,61,54,22,7,3,279,14,23,94,116,146,132,57,18,3,609,7,7,14,14,7,8,8,0,0,58,0,8,13,20,20,21,16,4,3,99,19,38,120,150,174,156,81,20,9,765,0,4,6,5,10,3,0,3,0,26,46,74,173,128,149,127,89,54,11,842,68,132,439,482,458,421,239,97,26,2374
