STE_CODE_2016,CFNC_FI_H_MI_C06_Fam,CFNC_FI_H_MI_C06_Per,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_S_MI_C06_Fam,CFNC_FI_S_MI_C06_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_L_MI_C06_Fam,CFNC_FI_L_MI_C06_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CF_CU15_DS_FI_H_MI_C06_Fam,CF_CU15_DS_FI_H_MI_C06_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_S_MI_C06_Fam,CF_CU15_DS_FI_S_MI_C06_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_L_MI_C06_Fam,CF_CU15_DS_FI_L_MI_C06_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15noDS_FI_H_MI_C06_Fam,CF_CU15noDS_FI_H_MI_C06_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_S_MI_C06_Fam,CF_CU15noDS_FI_S_MI_C06_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_L_MI_C06_Fam,CF_CU15noDS_FI_L_MI_C06_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CFNCU15_DS_FI_H_MI_C06_Fam,CFNCU15_DS_FI_H_MI_C06_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_S_MI_C06_Fam,CFNCU15_DS_FI_S_MI_C06_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_L_MI_C06_Fam,CFNCU15_DS_FI_L_MI_C06_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CF_nonDC_FI_H_MI_C06_Fam,CF_nonDC_FI_H_MI_C06_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_S_MI_C06_Fam,CF_nonDC_FI_S_MI_C06_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_L_MI_C06_Fam,CF_nonDC_FI_L_MI_C06_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,Tot_CF_FI_H_MI_C06_Fam,Tot_CF_FI_H_MI_C06_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_S_MI_C06_Fam,Tot_CF_FI_S_MI_C06_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_L_MI_C06_Fam,Tot_CF_FI_L_MI_C06_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_Tot_C06_Fam,Tot_CF_Tot_C06_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per
1,79999,14.4,99328,16.5,120288,18.9,246542,44.2,251156,41.6,235896,37,230794,41.4,252733,41.9,281222,44.1,11493,13.2,13428,15,15750,17.1,19454,22.3,18202,20.4,15608,16.9,56271,64.5,57613,64.6,60876,66,51461,12.7,60980,14.2,74348,16.1,73296,18,73294,17.1,66452,14.4,281967,69.3,295156,68.7,320464,69.5,14114,15.1,18167,17.1,22457,19.8,23524,25.2,24718,23.3,21540,19,55782,59.7,63086,59.5,69583,61.3,18066,13.1,22574,15.9,28913,18.7,52847,38.2,50438,35.6,48948,31.6,67290,48.7,68718,48.5,77044,49.7,175126,13.7,214473,15.7,261753,17.9,415666,32.4,417803,30.5,388451,26.6,692107,53.9,737305,53.8,809188,55.4,1282904,100,1369586,100,1459391,100
2,59310,14.1,75409,16.1,94456,18.8,182829,43.6,191515,40.9,182949,36.4,177172,42.3,201606,43,225125,44.8,8384,12.1,9568,13.5,11789,16.1,15449,22.3,14159,20,12288,16.8,45407,65.6,46940,66.4,49137,67.1,33059,10.9,41638,12.5,55397,14.8,51422,16.9,52258,15.7,50541,13.5,220064,72.3,239457,71.8,267695,71.6,11009,14,13882,15.7,17856,18.5,19194,24.5,19911,22.5,18179,18.8,48273,61.5,54605,61.8,60589,62.7,12217,11.8,15589,14.5,19897,17.4,41319,39.8,38712,36,36479,31.8,50326,48.5,53326,49.5,58200,50.8,123973,12.7,156083,14.6,199397,17.2,310208,31.8,316550,29.6,300440,25.9,541252,55.5,595936,55.8,660739,56.9,975431,100,1068569,100,1160573,100
3,48370,13.3,65254,16.1,81626,18.9,155884,43,161059,39.7,154944,35.8,158431,43.7,179134,44.2,196159,45.3,5924,12.7,7592,15.2,9265,17.3,10118,21.7,9566,19.1,8836,16.5,30614,65.6,32891,65.7,35382,66.2,28309,11.6,36890,13.7,45785,16.2,42503,17.4,42781,15.9,39282,13.9,173128,71,189647,70.4,197188,69.9,6075,13.7,8399,16.2,11037,19.2,11039,24.9,11584,22.3,10731,18.7,27284,61.5,31991,61.6,35668,62.1,8052,11.8,10907,15.2,14754,18.6,24783,36.4,23563,32.9,23502,29.6,35182,51.7,37188,51.9,41190,51.8,96731,12.6,129038,15.2,162469,17.9,244324,31.9,248558,29.3,237284,26.2,424633,55.5,470848,55.5,505584,55.8,765684,100,848450,100,905339,100
4,20250,13.6,25370,15.9,30088,18.5,67467,45.4,67022,42,61579,38,60754,40.9,67012,42,70533,43.5,2529,13.8,2935,15.5,3385,18,4196,23,4025,21.2,3435,18.2,11552,63.2,11995,63.3,12031,63.8,10758,12.1,12855,13.8,16361,17,16046,18,15287,16.4,13627,14.2,62292,69.9,65071,69.8,66065,68.8,3233,15.4,3924,17.2,5269,21,5181,24.6,5271,23,4941,19.7,12633,60,13673,59.8,14826,59.2,3805,12.7,4484,15.3,5755,18.8,11387,38.1,10089,34.5,9431,30.8,14719,49.2,14667,50.2,15411,50.4,40583,13.2,49569,15.3,60860,18.3,104275,34,101693,31.4,93015,28,161946,52.8,172420,53.3,178874,53.8,306805,100,323686,100,332738,100
5,21692,12.4,28702,14.3,38813,17.7,69658,39.9,74299,37,72233,32.9,83429,47.7,97905,48.7,108192,49.3,2365,10.2,2775,10.8,4074,14.1,4508,19.3,4500,17.6,4243,14.7,16425,70.5,18341,71.6,20527,71.2,10872,8.9,13460,9.7,19380,12.5,18431,15.2,19423,13.9,18491,11.9,92341,75.9,106436,76.4,117315,75.6,2958,11.9,3592,12.4,5732,16.7,5474,22.1,5980,20.7,5840,17,16346,66,19349,66.9,22705,66.2,3818,10.8,4922,12.8,7116,16.8,11332,32.2,11185,29.2,11064,26.1,20049,57,22243,58,24208,57.1,41705,11,53454,12.3,75116,15.7,109398,28.8,115387,26.6,111861,23.3,228585,60.2,264281,61,292951,61,379683,100,433122,100,479925,100
6,6786,14.3,8891,17.3,10080,19.3,21338,45,21360,41.7,19796,37.8,19253,40.6,21030,41,22450,42.9,921,15.8,1079,18.5,1145,20.4,1292,22.2,1118,19.2,955,17,3611,62,3628,62.3,3512,62.6,3991,13.9,4611,16.1,4919,18.1,5205,18.1,4649,16.2,3976,14.6,19556,68,19358,67.6,18314,67.3,938,15.9,1199,19.2,1374,22.1,1484,25.2,1404,22.5,1215,19.6,3466,58.9,3647,58.4,3621,58.3,1138,13.3,1409,16.8,1645,19.4,3167,37.1,2785,33.2,2527,29.9,4229,49.6,4187,50,4289,50.7,13776,14.3,17189,17.1,19163,19.2,32480,33.7,31322,31.2,28469,28.5,50118,52,51842,51.7,52191,52.3,96381,100,100353,100,99824,100
7,2216,18.1,2828,20,3284,20.9,4138,33.8,4541,32.1,4325,27.5,5876,48,6795,48,8109,51.6,355,19.4,364,17.8,484,21.9,453,24.7,548,26.7,469,21.2,1025,55.9,1138,55.5,1255,56.8,2335,18.5,2411,17.6,2700,18.2,3207,25.4,3287,23.9,3070,20.7,7064,56,8031,58.5,9035,61,244,18.2,283,19.2,350,20.1,333,24.9,344,23.4,421,24.1,761,56.9,845,57.4,973,55.8,360,16.5,514,20.7,602,23.1,764,35.1,767,30.9,755,28.9,1053,48.4,1203,48.4,1254,48,5509,18.2,6402,18.9,7420,20,8899,29.5,9488,28,9033,24.4,15785,52.3,18008,53.1,20627,55.6,30197,100,33896,100,37083,100
8,5289,19.1,6351,19.9,8071,23.3,8075,29.1,9278,29.1,8531,24.7,14379,51.8,16265,51,18000,52,640,14.2,688,15.2,875,19.1,836,18.6,1052,23.3,781,17.1,3016,67.1,2781,61.5,2919,63.8,2949,14.1,3577,15,5201,18.7,3412,16.3,4349,18.3,4398,15.8,14576,69.6,15844,66.7,18150,65.4,928,17.1,1037,17.7,1352,21.7,1080,19.9,1336,22.8,1257,20.2,3426,63,3488,59.5,3615,58.1,939,16.4,1138,18.9,1353,22.5,1519,26.5,1518,25.2,1387,23.1,3274,57.1,3360,55.9,3271,54.4,10734,16.7,12796,17.8,16845,21.3,14920,23.2,17535,24.3,16353,20.7,38676,60.1,41732,57.9,45961,58.1,64335,100,72065,100,79156,100
9,15,9.4,22,12.6,70,17.8,54,33.8,65,37.1,142,36,91,56.9,88,50.3,182,46.2,3,10.3,0,0,4,11.1,5,17.2,3,15.8,5,13.9,21,72.4,16,84.2,27,75,23,11.6,29,17.4,46,17.4,39,19.7,28,16.8,38,14.4,136,68.7,110,65.9,180,68.2,4,16.7,9,42.9,3,11.5,3,12.5,4,19,7,26.9,17,70.8,8,38.1,16,61.5,0,0,8,16.7,8,15.7,12,41.4,22,45.8,19,37.3,17,58.6,18,37.5,24,47.1,44,9.9,63,14.4,137,17,112,25.3,133,30.4,218,27.4,280,63.2,245,55.9,427,55.6,443,100,438,100,779,100
