STE_CODE_2016,C11_M_25_29_Tot_LF,C11_M_25_29_Notin_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Notin_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Notin_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75ov_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75ov_Notin_LF,C11_M_75ov_LF_NS,C11_M_75ov_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Notin_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Notin_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot,C16_M_25_29_Tot_LF,C16_M_25_29_Notin_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Notin_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Notin_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS
1,193448,23864,16386,233693,156464,21977,4901,4374,187717,7499,1634,9137,196854,19387,14375,230615,165825,21376,5014,4540,196750,7158,1448,8613,205363,20158,13396,238916,159889,21547,4960,4583,190980,6971,1471,8446,199430,22773,12689,234889,157509,22751,5049,4452,189763,6739,1499,8235,197993,26563,12319,236879,146249,23482,5467,3859,179061,6218,1566,7783,186841,31136,12351,230328,113967,23662,5697,2957,146289,5299,1760,7060,153349,42114,10644,206106,70871,26504,4386,2081,103843,3820,2119,5939,109780,74215,10029,194023,24047,16871,2034,985,43943,448,673,1119,45062,96898,8697,150664,6665,7801,757,514,15736,120,281,397,16136,90625,7668,114427,3190,4941,675,593,9389,59,142,198,9590,169783,19215,198586,1271541,308833,51411,42628,1674411,73601,31776,105377,1779793,780957,163558,2724304,24091,48451,2889,2518,77952,6408,12565,18978,96933,121725,11449,230103,91117,59741,3627,4986,159473,12263,9582,21843,181313,51198,15979,248490,150922,37599,3817,4947,197288,9865,4060,13922,211211,30470,18901,260582,176888,28364,4286,4701,214242,8191,2213,10402,224647,23150,18188,265983,169590,23875,3759,3999,201223,7316,1670,8984,210202,21596,15557,247360,167989,23873,3733,3587
2,162830,18065,12184,193086,127753,17550,4061,3416,152784,5634,1246,6882,159669,14164,10157,183991,132126,16779,4294,3560,156763,5201,1066,6269,163035,14885,9356,187277,132865,17240,4146,3673,157922,5108,1040,6152,164076,16664,9072,189809,126096,16737,3980,3313,150123,4648,904,5552,155669,17880,8538,182084,115643,16733,4572,2990,139941,4125,966,5088,145032,20159,7921,173117,89402,18247,4467,2181,114292,3588,1132,4711,119008,28902,7133,155034,54972,21557,4046,1626,82202,2511,1309,3820,86022,50300,6863,143188,18209,13685,1755,785,34433,283,437,725,35155,68802,6058,110011,4787,6201,696,376,12061,86,177,268,12330,66876,5688,84892,2299,3782,524,463,7067,45,65,115,7185,127309,15142,149633,1022982,252320,42415,33805,1351521,51667,24246,75914,1427433,575509,116881,2119823,14548,41036,1935,1807,59323,4117,12202,16322,75644,97648,8559,181849,69658,54530,2891,3888,130963,10310,9546,19852,150817,46275,12637,209733,125627,32906,3154,4127,165818,9230,3564,12795,178619,24450,14494,217558,146956,23995,3660,3688,178301,7207,1785,8989,187288,18077,14241,219603,137684,19668,3285,3088,163730,6221,1327,7548,171282,16714,11927,199919,133932,19193,3173,2823
3,125016,13205,11115,149337,95919,13317,3357,2635,115224,4880,1000,5880,121100,10824,9320,141245,104615,13271,3532,2971,124392,4694,823,5516,129906,11804,9462,151169,105309,13535,3540,2905,125286,4498,751,5245,130534,12914,9465,152916,100458,13170,3629,2738,119997,4152,800,4955,124954,14572,9135,148659,91953,13470,3891,2193,111506,3818,745,4563,116071,17127,8455,141656,71925,14074,3910,1731,91634,3354,893,4253,95889,24385,7217,127489,47265,15081,3257,1356,66961,2480,1094,3572,70531,44331,6855,121722,15123,9813,1298,627,26853,348,415,762,27617,59941,5557,93116,3886,4161,450,307,8807,85,149,238,9037,53969,4732,67741,1748,2260,344,374,4727,35,63,99,4823,88965,11652,105439,825654,192645,36223,26958,1081488,50824,18893,69719,1151202,435634,111630,1698472,17331,38399,1859,1621,59210,7059,10897,17957,77168,65666,8358,151196,65296,35250,2388,2783,105723,11280,5324,16607,122330,25281,11669,159280,91838,21903,2785,2626,119154,7961,2312,10274,129428,16165,12541,158128,103815,16635,3138,2458,126046,6406,1456,7863,133905,13596,12228,159727,99857,14331,2774,2218,119185,5555,1025,6580,125765,12915,10765,149443,105136,14726,2927,2227
4,44099,5717,2592,52404,32282,5189,1363,831,39668,1862,407,2264,41931,4744,2232,48908,34613,5231,1391,795,42031,1726,338,2064,44102,5263,2245,51605,37473,5518,1415,857,45263,1662,361,2028,47284,6101,2384,55767,36610,5838,1458,819,44720,1660,353,2010,46736,6933,2405,56073,34997,5765,1705,724,43190,1405,309,1719,44904,7862,2351,55121,28082,5889,1700,563,36225,1137,369,1507,37734,10184,1961,49885,17524,6906,1332,428,26184,733,411,1143,27331,18534,1994,47855,5123,4330,575,186,10214,68,105,175,10392,24297,1627,36315,1267,1834,197,99,3400,22,41,66,3460,22778,1561,27798,590,991,135,139,1856,19,14,31,1887,45114,4453,51452,290020,78374,14652,8224,391278,17681,7213,24897,416169,193578,30505,640247,4148,11894,591,462,17091,1762,3653,5415,22509,26973,2042,51516,19161,13793,950,833,34740,3864,2278,6145,40885,11646,2690,55223,29577,8450,1006,786,39821,3024,896,3913,43734,6856,2924,53510,34257,6893,1057,786,42999,2644,562,3206,46198,5603,2961,54767,32760,5864,1013,652,40286,2191,436,2626,42917,5449,2749,51116,34266,5798,1023,617
5,71753,7181,7858,86795,53851,6692,2566,1421,64540,2069,422,2497,67031,5699,6442,79168,56623,6439,2767,1574,67402,1924,336,2264,69660,5585,6081,81323,58332,6846,2767,1472,69424,1817,351,2165,71592,5992,6131,83710,55915,6604,2848,1333,66698,1695,294,1983,68683,6218,5592,80490,50750,6730,2790,1127,61398,1517,307,1827,63221,6983,5109,75307,40294,7017,2642,847,50807,1372,329,1697,52501,9731,4329,66557,25968,8916,2135,688,37701,939,460,1401,39098,18144,3513,60762,8116,5955,896,324,15292,168,191,353,15645,25376,2547,43564,1853,2698,302,143,4991,42,80,120,5113,24990,2171,32268,700,1446,190,160,2498,19,35,54,2548,43738,5342,51631,460179,100495,26218,13838,600736,20493,8134,28628,629367,204697,66187,900239,7965,18062,861,750,27633,2965,5434,8403,36035,36990,4085,77112,31827,19540,1609,1453,54434,5591,3107,8694,63129,13738,5690,82563,53808,12246,2256,1476,69780,4820,1246,6066,75845,8872,8252,92974,63772,9568,2525,1472,77338,4236,772,5007,82351,7328,8300,97980,58305,7685,2220,1225,69436,3744,546,4290,73732,6677,6901,87306,57605,7562,2061,1150
6,11470,1617,604,13692,8274,1512,376,229,10388,594,104,702,11082,1416,553,13054,9441,1687,423,228,11781,607,124,726,12512,1701,585,14790,10415,1831,480,263,12986,589,132,724,13703,1950,673,16327,10689,1996,523,262,13474,512,106,622,14096,2313,682,17084,10732,2128,562,256,13671,534,124,660,14334,2721,697,17746,8279,2259,546,173,11260,465,187,654,11910,4114,685,16702,4955,2417,444,159,7967,307,187,500,8469,7042,735,16237,1424,1345,179,59,3009,22,47,75,3083,8899,624,12598,381,575,65,29,1049,6,10,16,1071,7847,570,9483,185,312,48,39,585,3,11,13,597,13039,1411,15053,82166,23844,4641,2426,113074,6254,2259,8511,121587,63815,9143,194545,1691,3451,213,165,5526,651,963,1612,7135,8086,741,15960,5858,3237,300,220,9621,1218,537,1751,11372,3005,915,15289,7748,2019,274,212,10253,828,257,1084,11341,1869,881,14095,8691,1768,341,227,11035,595,163,754,11788,1604,850,14245,8404,1605,295,183,10486,560,117,680,11167,1600,758,13522,9267,1799,329,186
7,7097,1541,1196,9829,4973,744,271,181,6174,286,51,334,6505,1259,961,8727,4967,716,314,184,6177,256,49,303,6481,1140,909,8529,4827,696,283,162,5972,222,40,262,6233,1055,945,8234,4563,603,287,140,5595,181,35,217,5809,972,827,7610,4127,620,253,125,5130,152,33,181,5313,930,786,7029,3427,487,216,91,4217,117,22,136,4355,1054,674,6081,2178,521,181,61,2934,83,24,107,3044,1417,562,5027,696,279,75,27,1079,15,15,26,1108,1476,338,2926,190,135,24,15,360,9,4,12,365,1199,233,1798,40,48,9,8,104,6,4,10,115,1293,262,1669,40801,7742,2750,1571,52859,2384,689,3070,55929,18761,9600,84290,867,1286,84,108,2346,334,225,560,2905,3691,880,7476,3737,978,203,203,5115,557,157,714,5835,1775,1241,8850,5930,892,253,225,7297,442,116,553,7845,1601,1681,11132,6190,770,249,201,7402,405,73,482,7886,1503,1474,10861,5397,632,220,147,6391,329,57,387,6779,1257,1238,9274,4959,573,213,139
8,13231,1156,883,15277,9985,1294,390,190,11859,238,74,309,12169,902,655,13725,9909,1234,387,167,11691,223,68,286,11985,787,586,13357,9612,1060,372,180,11222,206,33,240,11457,780,554,12793,8945,950,376,170,10437,188,36,225,10666,791,490,11945,8326,918,430,129,9799,181,42,224,10019,881,432,11333,6009,1085,399,78,7571,129,73,194,7765,1726,386,9877,3682,1330,300,63,5383,96,58,153,5537,3112,315,8964,1075,891,118,26,2110,22,39,66,2178,3729,276,6180,248,374,55,6,687,3,16,17,703,3319,220,4241,85,182,22,16,303,3,6,12,318,6016,526,6852,77161,17877,3873,1676,100586,2269,1726,3991,104583,31089,6861,142538,1218,3419,211,156,5004,243,966,1212,6212,5668,482,12366,5922,4041,271,277,10517,500,565,1062,11576,3377,906,15863,10155,2046,300,220,12724,396,205,598,13320,1602,1024,15948,11719,1717,359,211,14002,331,107,443,14440,988,1061,16487,10907,1508,313,211,12936,291,83,379,13308,904,802,15014,10205,1292,261,148
9,69,281,5,360,48,8,3,0,58,7,0,6,60,158,3,223,51,8,3,4,63,3,0,4,62,75,9,151,58,7,6,0,77,0,0,0,74,42,6,123,82,9,4,3,101,0,0,0,98,25,6,133,61,14,3,0,87,3,0,3,83,22,0,110,74,8,4,3,89,0,0,0,85,15,4,107,55,5,3,6,75,0,0,0,73,21,4,107,9,3,0,0,9,0,0,0,14,28,5,41,10,0,0,0,10,0,0,0,10,29,0,37,0,0,0,0,0,0,0,0,0,13,5,20,564,95,26,23,705,24,3,26,733,923,60,1713,18,19,0,0,30,3,0,4,39,56,8,106,40,17,4,6,69,0,0,0,71,48,24,136,59,11,4,3,83,0,0,0,85,56,21,159,76,10,3,4,93,0,0,0,95,47,24,165,97,16,6,4,122,0,0,0,122,42,11,176,105,3,0,4
