STE_CODE_2016,C06_0_74_1PF_CU15DS,C06_0_74_1PF_CU15NDS,C06_0_74_1PFnCU15DS,C06_0_74_1PF_NDCO,C06_0_74_T,C06_75_99_1PF_CU15DS,C06_75_99_1PF_CU15NDS,C06_75_99_1PFnCU15DS,C06_75_99_1PF_NDCO,C06_75_99_T,C06_100_149_1PF_CU15DS,C06_100_149_1PF_CU15NDS,C06_100_149_1PFnCU15DS,C06_100_149_1PF_NDCO,C06_100_149_T,C06_150_199_1PF_CU15DS,C06_150_199_1PF_CU15NDS,C06_150_199_1PFnCU15DS,C06_150_199_1PF_NDCO,C06_150_199_T,C06_200_224_1PF_CU15DS,C06_200_224_1PF_CU15NDS,C06_200_224_1PFnCU15DS,C06_200_224_1PF_NDCO,C06_200_224_T,C06_225_274_1PF_CU15DS,C06_225_274_1PF_CU15NDS,C06_225_274_1PFnCU15DS,C06_225_274_1PF_NDCO,C06_225_274_T,C06_275_349_1PF_CU15DS,C06_275_349_1PF_CU15NDS,C06_275_349_1PFnCU15DS,C06_275_349_1PF_NDCO,C06_275_349_T,C06_350_449_1PF_CU15DS,C06_350_449_1PF_CU15NDS,C06_350_449_1PFnCU15DS,C06_350_449_1PF_NDCO,C06_350_449_T,C06_450_549_1PF_CU15DS,C06_450_549_1PF_CU15NDS,C06_450_549_1PFnCU15DS,C06_450_549_1PF_NDCO,C06_450_549_T,C06_550_649_1PF_CU15DS,C06_550_649_1PF_CU15NDS,C06_550_649_1PFnCU15DS,C06_550_649_1PF_NDCO,C06_550_649_T,C06_650_749_1PF_CU15DS,C06_650_749_1PF_CU15NDS,C06_650_749_1PFnCU15DS,C06_650_749_1PF_NDCO,C06_650_749_T,C06_750_849_1PF_CU15DS,C06_750_849_1PF_CU15NDS,C06_750_849_1PFnCU15DS,C06_750_849_1PF_NDCO,C06_750_849_T,C06_850_949_1PF_CU15DS,C06_850_949_1PF_CU15NDS,C06_850_949_1PFnCU15DS,C06_850_949_1PF_NDCO,C06_850_949_T,C06_950ov_1PF_CU15DS,C06_950ov_1PF_CU15NDS,C06_950ov_1PFnCU15DS,C06_950ov_1PF_NDCO,C06_950ov_T,C06_Rns_1PF_CU15DS,C06_Rns_1PF_CU15NDS,C06_Rns_1PFnCU15DS,C06_Rns_1PF_NDCO,C06_Rns_T,C06_Tot_1PF_CU15DS,C06_Tot_1PF_CU15NDS,C06_Tot_1PFnCU15DS,C06_Tot_1PF_NDCO,C06_Tot_T,C11_0_74_1PF_CU15DS,C11_0_74_1PF_CU15NDS,C11_0_74_1PFnCU15DS,C11_0_74_1PF_NDCO,C11_0_74_T,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_T,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_T,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_T,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_T,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_T,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_T,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_T,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_T,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_T,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_T,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_T,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_T,C11_950ov_1PF_CU15_DS,C11_950ov_1PF_CU15_NDS,C11_950ov_1PFnoCU15_DS,C11_950ov_1PF_NDCO,C11_950ov_T,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_T,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_T,C16_0_74_1PF_CU15DS,C16_0_74_1PF_CU15NDS,C16_0_74_1PFnCU15DS,C16_0_74_1PF_NDCO,C16_0_74_T,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_T,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_T,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_T,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_T,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_T,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_T,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_T
1,359,3369,1079,2641,7446,934,7468,897,1183,10483,1698,10378,1321,4348,17739,1873,15913,2359,4920,25064,1364,10921,1577,3168,17026,2034,13795,2274,4209,22310,1403,7509,1777,2981,13665,713,3117,1049,1454,6328,206,914,378,415,1913,104,350,160,172,787,30,138,76,69,320,26,97,45,36,199,17,62,17,28,128,81,514,110,201,907,380,2462,389,1033,4267,11219,76994,13510,26866,128580,342,2049,649,1414,4455,151,1707,718,1567,4140,1195,6989,1386,2658,12232,1420,8618,1569,4112,15713,949,5966,1079,2141,10140,1624,11035,2040,3864,18565,2742,15660,3316,5571,27286,2608,12345,3232,4946,23132,981,4295,1483,2099,8854,364,1677,686,810,3536,160,720,335,342,1559,87,372,183,149,795,37,179,98,94,404,131,482,220,189,1018,432,2195,563,1342,4536,13213,74300,17559,31294,136368,264,1501,442,968,3177,36,450,142,348,977,408,3780,990,2498,7678,982,5126,1122,2732,9969,684,3880,817,2704,8081,1142,7317,1374,3229,13066,2159,13769,2881,6092,24898,3589,18407,4592,8361,34942
2,278,2376,659,1313,4627,600,4857,614,631,6703,1175,6655,1231,2717,11774,2001,14243,2492,4578,23316,1087,6546,1186,1969,10794,1090,5394,1299,1772,9549,455,2090,723,848,4118,189,737,328,362,1618,48,206,130,94,479,24,82,41,26,182,16,61,21,14,118,12,40,14,23,85,8,40,10,12,72,66,323,66,112,556,287,1511,345,649,2783,7342,45169,9154,15114,76779,237,1392,469,864,2955,97,1115,374,799,2379,801,5107,985,1480,8380,1040,6068,1272,2737,11122,683,4325,942,1637,7589,1407,8647,1975,3184,15206,2289,11218,2839,4311,20659,1223,5089,1854,2136,10302,300,1175,570,534,2579,96,359,222,193,870,51,196,136,94,476,35,99,49,49,234,12,53,24,20,116,70,275,93,139,576,327,1593,449,824,3189,8663,46710,12249,19000,86628,234,1082,377,770,2460,32,300,78,194,603,358,3189,797,1405,5750,724,3407,889,1734,6753,478,2711,729,1898,5816,1016,6819,1649,3023,12511,2591,14130,3759,6295,26776,2506,10157,3607,4885,21160
3,293,3426,576,1376,5668,508,3545,353,671,5080,910,6454,819,2560,10746,1280,11582,1447,3391,17705,882,7123,953,1932,10889,1651,11545,1639,2927,17757,1139,6327,1151,1862,10477,322,1620,397,542,2877,69,280,84,112,556,16,88,36,38,174,5,31,15,13,62,3,12,3,3,22,0,10,3,4,17,27,244,34,99,406,170,1348,199,528,2246,7282,53648,7711,16047,84690,224,1952,409,1242,3831,215,2557,434,831,4034,866,4311,559,1609,7342,548,4218,706,1910,7379,379,3291,507,1280,5454,928,8483,1175,2576,13158,2284,16324,2524,4640,25766,2390,12443,2667,4096,21594,554,2438,628,828,4453,142,651,203,247,1243,62,211,64,99,438,39,91,46,35,215,16,30,20,11,72,38,186,55,77,367,213,1535,264,758,2768,8892,58723,10266,20244,98117,171,1181,270,694,2310,48,469,96,275,890,366,3096,579,1341,5382,602,4018,619,1688,6929,385,2834,441,1451,5106,941,7692,1162,2908,12699,2464,16707,2855,5946,27973,3454,17272,3997,6574,31304
4,80,1104,314,865,2365,235,2277,291,604,3410,480,3522,522,1340,5859,724,5847,868,1638,9077,327,2220,380,519,3448,357,1701,377,399,2826,137,489,171,142,938,25,145,46,26,253,6,29,15,10,56,4,16,5,0,23,0,5,3,0,17,0,3,0,0,10,0,3,0,0,4,12,127,14,55,205,88,525,102,254,972,2475,18017,3112,5863,29474,86,496,135,340,1058,41,679,239,556,1513,400,2295,457,1119,4277,382,2496,441,1098,4421,240,1891,351,627,3109,536,4090,750,1316,6695,803,4395,922,1135,7248,323,1199,394,439,2359,58,197,93,77,431,20,77,33,11,140,3,21,6,9,41,3,11,3,9,28,0,4,3,0,11,15,50,15,16,100,79,530,120,283,1015,2996,18440,3969,7039,32447,67,383,110,241,798,16,231,47,273,567,164,1113,337,697,2303,320,1706,404,963,3393,184,1307,314,750,2561,474,3586,709,1303,6069,1098,6149,1369,1962,10578,728,2657,941,998,5326
5,171,1985,261,721,3135,240,1745,170,398,2551,365,3032,513,1420,5332,834,7348,1000,2020,11200,395,2860,452,782,4492,476,2537,438,629,4079,214,879,248,256,1602,55,238,103,87,483,19,76,22,26,149,14,22,16,14,61,0,17,3,3,21,3,11,5,0,22,0,8,3,10,17,20,103,18,62,200,87,658,93,257,1095,2901,21522,3341,6671,34441,111,1285,182,555,2132,77,1192,152,391,1808,345,1998,289,718,3347,279,1700,313,914,3210,177,1237,253,565,2239,309,2778,428,994,4509,761,5753,980,1787,9286,853,4561,1006,1539,7960,187,836,253,339,1616,46,240,76,86,452,20,98,41,42,199,5,53,25,18,104,7,26,7,8,43,10,137,39,48,233,92,753,114,340,1299,3288,22643,4156,8348,38441,125,901,155,437,1616,26,240,38,158,466,168,1476,223,619,2486,278,1584,250,599,2712,168,898,204,570,1836,265,1804,320,724,3113,638,5168,922,1683,8403,1403,7417,1733,2656,13209
6,45,700,118,264,1128,95,850,66,240,1255,228,1543,238,467,2476,210,1867,219,332,2624,91,574,65,103,837,72,436,78,82,671,26,115,28,26,201,9,25,5,4,51,0,3,0,0,7,0,4,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,32,3,7,54,16,173,30,52,271,797,6333,863,1588,9585,30,221,57,105,404,13,419,65,144,645,126,1020,126,382,1654,159,1163,174,359,1858,96,848,135,213,1293,180,1505,215,289,2194,215,1145,221,188,1764,73,253,71,56,455,3,49,5,13,74,3,9,3,10,30,0,3,3,0,7,0,4,0,0,4,0,0,0,0,3,0,25,3,6,32,22,171,27,72,290,937,6837,1102,1835,10708,26,166,32,82,300,4,85,24,60,177,61,602,113,185,970,125,860,147,380,1510,146,866,125,337,1481,246,1710,285,466,2705,314,1657,302,428,2702,153,513,129,121,912
7,96,1399,63,325,1882,57,421,15,70,565,58,364,33,87,543,31,392,41,76,536,22,215,21,58,312,56,324,44,120,545,34,207,37,48,326,14,78,6,34,143,6,18,0,3,22,0,3,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,11,3,4,20,17,317,14,84,433,392,3757,285,902,5338,106,1157,58,368,1690,45,345,16,76,484,63,462,30,121,677,40,235,21,69,368,19,119,8,40,185,23,128,21,57,234,23,223,44,99,398,46,321,65,110,544,35,217,33,73,362,16,79,12,31,137,7,34,3,12,56,3,8,4,7,25,0,9,0,0,6,0,3,0,3,10,28,243,18,89,369,462,3597,338,1156,5550,76,802,52,371,1301,32,306,29,105,470,79,490,43,118,728,42,250,29,86,396,28,91,6,36,162,18,100,5,39,166,17,149,16,46,220,46,341,91,148,628
8,36,379,84,110,608,72,462,43,42,616,78,374,62,136,648,74,287,70,110,541,21,149,48,71,291,67,513,154,277,1007,98,586,160,189,1032,53,201,73,76,397,8,32,13,13,58,3,14,4,3,23,0,6,0,3,8,0,0,0,0,0,0,0,0,0,3,0,17,4,7,34,14,106,11,34,168,510,3124,731,1073,5436,21,97,45,73,236,39,400,62,91,594,100,553,56,91,793,66,233,56,113,463,30,109,26,38,201,21,151,54,68,295,35,276,101,144,562,121,797,257,403,1584,71,355,133,140,711,29,88,38,44,194,10,32,17,18,63,0,5,9,7,21,0,7,0,3,15,3,4,0,0,16,18,118,33,48,215,566,3237,885,1281,5961,12,77,32,35,162,10,148,36,64,258,102,582,94,128,910,58,221,68,98,448,21,108,26,70,228,30,134,54,93,315,46,313,86,132,570,106,908,265,431,1711
9,0,13,0,4,20,0,0,0,0,0,3,6,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,4,26,0,9,38,3,11,0,10,24,0,4,0,0,4,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,4,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,12,3,27,3,12,54,0,7,4,12,20,0,0,0,0,3,0,6,3,0,8,0,3,3,6,9,0,6,4,0,6,0,3,0,0,3,0,4,0,0,3,0,0,0,0,3
