STE_CODE_2016,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_SDRTHT1S_NPUR_1,C06_SDRTHT1S_NPUR_2,C06_SDRTHT1S_NPUR_3,C06_SDRTHT1S_NPUR_4,C06_SDRTHT1S_NPUR_5,C06_SDRTHT1S_NPUR_6mo,C06_SDRTHT1S_To,C06_SDRTHT2S_NPUR_1,C06_SDRTHT2S_NPUR_2,C06_SDRTHT2S_NPUR_3,C06_SDRTHT2S_NPUR_4,C06_SDRTHT2S_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_SDRTHT_NPUR_1,C06_SDRTHT_NPUR_2,C06_SDRTHT_NPUR_3,C06_SDRTHT_NPUR_4,C06_SDRTHT_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_SDRTHT_Tot,C06_FUA_1_2SB_NPUR_1,C06_FUA_1_2SB_NPUR_2,C06_FUA_1_2SB_NPUR_3,C06_FUA_1_2SB_NPUR_4,C06_FUA_1_2SB_NPUR_5,C06_FUA_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_FUA_I_a_3SB_NPUR_1,C06_FUA_I_a_3SB_NPUR_2,C06_FUA_I_a_3SB_NPUR_3,C06_FUA_I_a_3SB_NPUR_4,C06_FUA_I_a_3SB_NPUR_5,C06_FUA_I_a_3SB_NPUR_6m,C06_FUA_In_a_3SB_To,C06_FUA_4mor_s_b_NPUR_1,C06_FUA_4mor_s_b_NPUR_2,C06_FUA_4mor_s_b_NPUR_3,C06_FUA_4mor_s_b_NPUR_4,C06_FUA_4mor_s_b_NPUR_5,C06_FUA_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4
1,290867,542110,284772,318257,152903,73711,1662618,45248,39553,15060,10731,3718,1660,115964,28578,38380,20497,15414,5101,2616,110587,73824,77940,35558,26147,8818,4270,226556,76912,44652,14996,8066,2460,1008,148093,53028,47624,17748,9109,2353,821,130688,51802,50401,16014,7940,1973,650,128774,2140,1179,430,311,123,53,4239,183885,143851,49183,25425,6910,2538,411795,9396,4997,803,513,210,99,16014,1527,514,126,147,63,20,2397,2623,2363,1004,790,316,195,7288,13542,7873,1941,1445,589,312,25702,505,479,224,214,81,48,1549,562629,772243,371675,371492,169299,80883,2328217,308054,558365,290370,324586,155648,80671,1717700,52231,42611,16986,12768,4357,1992,130938,33042,43188,25090,20428,7489,3753,132992,85267,85802,42082,33189,11839,5746,263926,75337,45351,16760,9210,2892,1156,150711,54835,53371,22448,12169,3163,1150,147135,60764,63119,22960,12163,2986,1062,163054,2186,1181,416,302,134,75,4289,193121,163021,62584,33845,9174,3440,465190,8329,3991,482,271,86,67,13223,386,154,78,50,40,24,737,2576,2338,1024,740,286,221,7183,11295,6484,1588,1054,409,312,21143,1414,1012,416,289
2,253905,453891,239098,265428,119060,49544,1380921,49678,41086,13975,8816,2797,1096,117452,10649,17146,8634,6392,1964,731,45515,60332,58229,22605,15205,4764,1830,162965,81157,47887,14356,6663,1859,776,152697,17622,12395,2600,933,214,62,33820,15754,14657,3674,1480,481,256,36293,916,488,180,90,38,27,1735,115441,75426,20807,9166,2588,1112,224542,4550,1738,329,270,92,52,7037,640,227,94,91,42,26,1119,1437,1629,657,580,255,135,4691,6627,3594,1082,939,386,216,12850,149,127,44,42,18,8,387,436460,591273,283633,290778,126814,52706,1781666,284320,487994,258633,284743,125008,55269,1495969,51136,41955,15851,10077,3014,1245,123277,14091,22891,12211,9265,2839,1167,62460,65223,64850,28056,19338,5856,2415,185737,78071,51214,16710,8033,2279,889,157195,19407,15767,3790,1243,275,105,40582,22442,20541,5433,2005,568,348,51340,720,366,153,85,33,20,1377,120637,87894,26087,11364,3149,1362,250494,4892,1736,225,110,45,13,7031,229,109,47,31,22,17,455,1310,1466,668,490,162,106,4208,6430,3315,937,632,235,139,11693,260,274,110,98
3,185029,393573,193637,199835,90569,44232,1106877,25484,20962,5502,3115,1084,502,56652,15501,20071,8171,4084,1054,383,49266,40987,41038,13672,7193,2141,887,105919,52021,30720,7258,2867,810,371,94044,14644,13456,2843,923,208,34,32104,11101,13489,2745,1155,210,84,28782,731,392,106,73,39,24,1362,78495,58050,12957,5018,1263,513,156295,9740,5245,770,496,185,110,16546,1452,589,204,161,80,61,2534,699,915,348,263,138,58,2415,11887,6747,1321,925,396,230,21500,389,320,137,106,61,38,1043,316788,499725,221726,213071,94433,45899,1391636,205867,429021,212412,218678,97876,51451,1215305,29331,22257,6434,3457,1150,567,63205,19974,25588,11855,6210,1888,717,66224,49308,47848,18290,9668,3038,1280,129427,51697,30752,8832,3745,1087,470,96588,18224,17292,4274,1495,305,82,41680,15977,19162,4488,1794,343,109,41878,811,463,142,86,34,31,1571,86704,67682,17743,7124,1770,692,181716,9829,5308,549,301,123,87,16191,589,391,104,111,54,30,1284,744,770,275,186,83,38,2097,11166,6470,928,598,261,155,19576,466,501,128,112
4,97643,169912,77377,79109,30668,11707,466418,25446,16824,4914,2726,1009,514,51429,3568,4173,1370,678,150,40,9974,29016,21002,6279,3398,1161,553,61406,29006,12245,2373,858,215,74,44770,1958,964,249,93,35,4,3306,1780,1128,293,116,34,6,3358,296,150,43,27,12,3,528,33040,14493,2953,1095,291,87,51965,1472,749,129,119,47,15,2531,317,96,20,13,5,11,467,255,282,146,96,46,19,845,2047,1124,296,230,103,46,3843,77,98,61,56,17,8,317,161818,206630,86969,83891,32236,12407,583952,107554,179508,80442,82089,32027,12849,494472,26493,17389,5125,2837,990,539,53375,4238,5213,2086,1155,311,93,13090,30724,22603,7216,3993,1303,629,66465,27972,12741,3568,1400,354,99,46132,2051,1124,360,148,26,7,3716,2363,1699,405,178,26,14,4682,272,106,33,22,3,0,435,32656,15664,4371,1745,409,118,54968,1235,588,45,31,6,3,1903,104,59,21,9,8,8,202,251,251,93,64,25,18,704,1587,900,155,106,36,25,2812,140,107,33,24
5,104033,198957,96933,104563,44908,19425,568816,28527,19962,5238,3045,917,400,58088,5470,6263,2096,1050,277,72,15235,34005,26223,7336,4096,1196,466,73323,20215,10104,2176,966,253,109,33823,5888,2839,528,168,41,11,9476,5048,2859,576,228,36,15,8756,233,149,77,46,24,17,555,31388,15954,3353,1414,353,150,52610,3270,2189,271,199,84,56,6080,700,254,66,78,46,26,1170,251,286,109,94,44,17,804,4226,2727,453,374,173,103,8044,142,120,43,37,19,13,377,173782,243982,108108,110483,46642,20158,703165,116292,220032,109980,119051,49983,23435,638769,29219,21313,7127,3903,1280,591,63433,6734,8206,3278,1880,591,210,20899,35951,29521,10406,5782,1873,805,84333,19822,11877,3508,1698,537,206,37647,6217,4339,1014,356,77,23,12023,6055,5034,1125,383,87,27,12698,330,171,62,34,14,3,620,32424,21419,5710,2471,710,256,62991,3320,2231,259,141,44,25,6020,206,146,40,33,24,11,472,301,348,110,83,31,19,894,3825,2730,412,260,101,53,7381,279,247,73,49
6,34587,58501,25619,24756,10102,4223,157778,3279,1688,402,192,60,15,5646,675,692,211,110,33,15,1737,3952,2384,616,309,91,33,7381,8497,3635,730,272,73,28,13241,546,258,39,8,0,0,859,369,201,42,13,3,0,627,303,139,36,18,9,9,512,9713,4230,852,316,88,41,15238,403,238,57,40,17,7,750,77,44,11,26,11,3,174,186,196,64,64,28,3,551,669,483,133,125,55,12,1478,5,13,4,0,0,0,23,48923,65607,27222,25508,10336,4304,181902,38729,62528,26267,24721,9900,4365,166515,4850,2404,577,253,101,32,8207,836,784,304,146,31,20,2118,5679,3184,881,396,132,52,10328,7759,3485,866,315,67,39,12532,567,291,65,32,10,6,976,343,229,45,18,0,0,625,226,98,32,15,4,0,381,8894,4098,1006,377,84,48,14515,411,172,38,19,6,0,645,68,27,3,10,5,3,120,223,212,77,54,17,15,585,695,412,118,87,24,16,1354,34,32,13,23
7,5141,11211,6975,7739,3842,4402,39314,1665,1311,440,199,51,24,3680,681,819,292,124,26,19,1960,2342,2127,736,321,78,35,5647,2443,1634,503,218,67,39,4909,745,749,192,76,23,11,1786,670,794,185,56,14,5,1719,46,13,4,3,3,5,75,3904,3188,881,353,106,54,8488,606,520,102,84,29,49,1389,693,85,33,22,12,28,866,72,69,21,11,4,13,186,1374,670,146,120,47,89,2443,18,10,6,0,0,0,36,12785,17206,8744,8536,4073,4584,55928,5612,11590,7477,7767,3993,4750,41187,1799,1502,565,325,118,70,4378,738,988,403,270,76,25,2501,2538,2490,972,592,198,94,6879,2559,2027,700,385,139,84,5896,584,717,262,113,35,14,1724,752,1071,358,160,41,17,2393,32,21,13,6,3,0,74,3921,3828,1341,667,214,117,10084,756,685,121,104,41,46,1753,314,133,42,20,13,25,541,83,57,14,15,3,7,173,1149,876,175,133,60,84,2473,96,84,32,24
8,14555,29308,16981,18248,7436,2698,89222,4388,3427,1197,568,142,43,9766,1718,2409,1046,529,131,65,5897,6112,5835,2243,1095,270,104,15661,2559,1455,355,150,47,11,4572,2224,1531,349,112,19,0,4234,1282,1077,193,61,3,0,2623,214,90,30,15,8,0,350,6284,4155,917,333,84,10,11784,81,26,17,6,4,0,126,44,10,0,0,0,0,56,12,3,3,4,0,0,20,136,42,16,14,4,0,207,35,0,0,4,0,0,43,27121,39333,20161,19696,7795,2816,116916,15481,30773,18025,19356,7601,3023,94267,5158,4062,1455,874,244,83,11876,1770,2620,1498,743,221,78,6937,6928,6683,2957,1611,470,162,18810,2770,1827,540,197,44,13,5386,2755,2301,582,154,33,7,5834,1976,1989,433,106,18,0,4517,179,110,25,16,6,0,333,7683,6226,1573,471,98,20,16073,123,50,10,3,3,0,192,3,3,0,0,0,0,5,10,9,5,0,3,3,33,145,57,14,4,4,3,228,17,14,7,8
9,102,144,95,105,60,54,561,0,0,0,0,0,0,0,4,0,0,0,0,0,7,4,0,0,0,0,0,7,49,12,4,0,0,0,69,13,17,3,15,0,3,54,3,3,3,3,0,0,10,0,0,3,3,3,0,6,66,32,17,19,3,3,145,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,177,179,111,123,62,56,715,36,123,84,67,41,44,398,22,20,9,5,4,0,61,0,3,3,0,0,0,6,18,21,17,5,4,0,69,50,15,14,0,4,0,89,21,41,23,13,4,5,112,3,0,3,3,0,0,8,0,0,0,0,0,0,0,75,58,46,20,13,7,214,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,3,0,0,0,0,7,3,6,4,0
