STE_CODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
1,2041,8641,2844,4659,18191,951,3920,1484,2156,8513,447,1884,750,990,4072,192,800,412,486,1890,114,425,201,218,959,221,738,454,332,1746,339,1948,543,1461,4284,13570,72581,19057,37244,142447
2,696,2461,1208,1253,5615,266,862,481,442,2053,116,406,216,170,905,79,235,138,81,536,34,105,84,41,269,95,268,152,142,660,295,1368,447,941,3052,9520,47502,14613,23281,94907
3,1166,4579,1390,2047,9180,309,1276,512,603,2706,119,460,141,239,959,54,172,76,72,372,27,93,35,29,189,27,104,49,51,232,205,1358,269,711,2544,10351,61310,12475,24630,108767
4,130,425,181,170,911,35,96,66,44,237,16,47,11,25,100,4,24,7,6,54,3,4,7,0,14,3,15,4,9,37,67,449,129,299,939,3314,18184,4640,7742,33886
5,572,2053,713,878,4209,150,467,187,220,1020,38,185,85,71,384,25,89,40,37,192,14,40,24,17,104,31,79,32,27,167,90,630,134,367,1224,3988,23041,5059,9052,41142
6,27,67,22,31,144,4,23,3,3,40,0,3,0,3,9,0,0,3,0,3,0,0,0,0,0,0,5,0,3,9,24,152,32,66,268,1133,6708,1219,2155,11215
7,50,294,45,150,528,20,157,32,56,265,9,47,7,16,78,0,21,0,3,29,0,8,0,8,20,0,7,3,4,11,25,281,22,116,444,433,3336,377,1311,5460
8,97,435,167,229,937,40,110,63,51,264,12,33,15,17,84,3,17,7,4,31,3,10,4,0,21,8,11,7,4,24,17,77,26,62,184,567,3186,953,1435,6144
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,5,38,11,24,72
