STE_CODE_2016,C11_5_9_Indig_st_ns_P,C11_5_9_T_M,C11_5_9_T_F,C11_5_9_T_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_T_M,C11_10_14_T_F,C11_10_14_T_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65over_NonInd_M,C11_65over_NonInd_F,C11_65over_NonInd_P,C11_65over_Indig_st_ns_M,C11_65over_Indig_st_ns_F,C11_65over_Indig_st_ns_P,C11_65_over_T_M,C11_65_over_T_F,C11_65_over_T_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F,C16_5_9_Indig_st_ns_P,C16_5_9_T_M,C16_5_9_T_F,C16_5_9_T_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_T_M,C16_10_14_T_F,C16_10_14_T_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M
1,21059,223687,210923,434607,10641,10137,20779,203935,193569,397507,10973,9909,20878,225549,213621,439168,9930,9479,19401,207165,196170,403335,11132,9544,20676,228225,215190,443415,7079,6905,13987,205907,204492,410400,13971,11330,25298,226956,222735,449684,5403,5748,11152,212843,221283,434123,15450,12440,27892,233693,239468,473160,4477,4881,9358,212645,221476,434122,13495,11368,24861,230615,237720,468335,4741,5474,10215,221695,232970,454664,12483,10768,23250,238916,249210,488123,4746,5627,10370,218270,232834,451110,11873,10148,22019,234889,248615,483503,4251,5005,9262,221054,229694,450748,11571,9850,21419,236879,244548,481427,3874,4211,8093,214770,224807,439580,11682,9675,21351,230328,238693,469022,2987,3226,6211,192937,201572,394508,10180,8714,18896,206106,213508,419611,2269,2407,4685,182409,186104,368517,9343,8139,17479,194023,196652,390678,3327,3986,7315,435438,520766,956207,24906,29751,54656,463677,554505,1018179,85080,87540,172625,3143830,3258281,6402111,179965,162959,342925,3408880,3508782,6917656,13006,11958,24956,213469,202437,415908,12387,11887,24267,238859,226279,465135,12961,12386,25354,220128,208863,428993,12114,11723,23840,245208,232974,478184,12378,11585,23961,204297,193115,397416,11202,10432,21637,227884,215130,443009,11419,10957,22377,206670
2,14927,167232,158884,326121,2200,2211,4414,158699,150239,308934,7559,7034,14592,168458,159482,327939,2109,1948,4058,167041,159486,326532,7859,6893,14747,177010,168334,345338,1604,1730,3341,178207,174309,352517,10875,8379,19251,190684,184422,375108,1244,1311,2563,180163,185189,365348,11678,9076,20757,193086,195580,388670,1047,1189,2234,173292,179175,352465,9655,7862,17512,183991,188224,372213,1106,1197,2302,177387,187576,364958,8787,7373,16157,187277,196145,383415,1132,1256,2390,180079,192831,372914,8588,7304,15897,189809,201391,391197,998,1042,2043,172924,182347,355265,8166,6897,15057,182084,190276,372367,812,846,1659,164622,173464,338095,7673,6680,14358,173117,180994,354111,667,717,1381,147382,155579,302960,6982,6109,13091,155034,162397,317439,474,543,1017,136183,144068,280251,6539,6014,12549,143188,150621,293810,713,913,1630,325165,393172,718333,18671,22952,41623,344548,417038,761577,18673,19315,37992,2484668,2584490,5069155,129279,117613,246894,2632617,2721423,5354039,2752,2725,5476,177596,168087,345682,10246,9809,20056,190593,180626,371220,2735,2664,5403,176599,167836,344437,9736,9057,18793,189076,179563,368631,2552,2461,5011,163653,155495,319146,8704,8204,16916,174905,166160,341063,2399,2405,4797,170235
3,14289,147587,139399,286990,9540,9325,18864,131983,125877,257857,7408,6848,14258,148929,142048,290982,8724,8171,16892,133972,128882,262861,7726,6438,14163,150428,143487,293919,6321,6400,12719,131371,132681,264052,9881,7192,17075,147568,146279,293845,5158,5538,10697,133948,138571,272515,10229,7264,17500,149337,151372,300709,4577,4915,9483,128043,133826,261872,8624,6721,15339,141245,145453,286696,4624,5119,9748,137690,145188,282879,8848,6703,15550,151169,157016,308180,4344,4973,9320,139567,148005,287576,9005,6671,15672,152916,159653,312568,3818,4170,7991,136219,143583,279799,8617,6338,14953,148659,154090,302744,3076,3468,6541,130566,136949,267519,8014,6066,14078,141656,146485,288140,2382,2641,5018,118110,122536,240652,6998,5292,12289,127489,130477,257964,1674,1941,3622,113589,114464,228056,6451,4993,11442,121722,121406,243125,2281,3052,5330,248955,282329,531284,15066,17305,32374,266298,302691,568983,76743,79082,155826,1949362,2003345,3952704,122117,102090,224206,2148221,2184520,4332737,11150,10708,21857,131927,125160,257086,8955,8563,17519,152036,144432,296466,11689,11189,22877,142084,134526,276607,9036,8615,17645,162807,154331,317138,10888,10450,21340,134581,127004,261589,8211,7959,16170,153683,145417,299097,9895,9522,19420,132904
4,3677,47924,45279,93203,1761,1745,3507,46184,44168,90353,1965,1772,3735,49906,47686,97590,1653,1528,3179,49302,46855,96155,2129,1786,3917,53084,50167,103248,1352,1367,2716,50123,48442,98569,2501,1797,4302,53976,51606,105588,1143,1204,2344,48837,49121,97959,2427,1774,4204,52404,52096,104507,858,962,1827,45982,46399,92388,2062,1544,3606,48908,48910,97819,892,991,1881,48623,49730,98358,2086,1637,3724,51605,52358,103966,881,992,1874,52612,53926,106535,2276,1727,4001,55767,56644,112406,794,878,1670,52977,54366,107337,2303,1773,4077,56073,57012,113085,618,736,1356,52217,54202,106415,2284,1799,4089,55121,56735,111857,508,517,1030,47442,49964,97403,1931,1650,3585,49885,52128,102010,348,402,746,45544,47576,93121,1967,1760,3727,47855,49743,97598,534,723,1260,109620,134189,243810,5413,7064,12479,115565,141978,257546,14970,15458,30432,739035,764165,1503204,33212,29723,62935,787217,809351,1596569,1987,1808,3787,45557,43111,88673,2373,2241,4614,49910,47163,97072,2020,1946,3963,47083,44887,91973,2330,2204,4533,51430,49040,100466,1847,1820,3668,45038,42550,87589,2196,2009,4208,49076,46384,95461,1818,1737,3553,47490
5,7827,73098,69676,142775,4143,3940,8079,66819,63289,130109,4019,3829,7849,74985,71054,146034,3768,3504,7268,68584,64719,133303,4115,3516,7636,76467,71737,148209,3159,3025,6181,72764,69691,142451,6265,4105,10373,82190,76823,159011,2622,2697,5314,76758,73828,150583,7417,4625,12045,86795,81150,167944,2207,2326,4536,70885,70497,141382,6072,4157,10235,79168,76983,156152,2246,2273,4519,73289,73911,147199,5790,4012,9803,81323,80198,161526,2038,2332,4372,75789,76809,152597,5884,3882,9767,83710,83019,166730,1728,1920,3645,73378,73899,147270,5387,3552,8938,80490,79362,159860,1449,1589,3042,68871,70149,139023,4982,3322,8304,75307,75059,150369,1054,1248,2304,61248,63119,124374,4248,2968,7218,66557,67336,133893,728,888,1615,56551,56111,112664,3479,2770,6253,60762,59773,120530,991,1334,2326,119086,137797,256884,7378,8277,15658,127462,147408,274872,34418,35248,69664,1018139,1020643,2038783,73615,57104,130719,1126175,1112991,2239171,4344,4064,8409,73927,70010,143939,4891,4494,9388,83155,78574,161727,4409,4251,8658,75363,71384,146746,4513,4240,8747,84279,79873,164153,4180,4125,8309,69093,65609,134699,4018,3769,7795,77298,73510,150806,3851,3567,7418,69198
6,1204,15546,14685,30231,1220,1132,2350,14709,14115,28824,633,643,1282,16569,15890,32454,1079,1032,2109,15120,14237,29350,648,573,1218,16840,15844,32687,799,839,1638,13478,13315,26793,647,495,1145,14922,14650,29578,637,721,1361,12477,13215,25691,570,447,1018,13692,14384,28073,473,579,1056,12070,13131,25207,502,445,950,13054,14152,27210,493,578,1072,13748,15023,28771,558,516,1067,14790,16116,30908,558,677,1235,15109,16431,31536,666,507,1170,16327,17616,33943,491,568,1051,15931,16844,32774,664,537,1203,17084,17944,35030,460,502,961,16601,17713,34315,690,566,1254,17746,18782,36528,370,372,744,15620,16453,32077,711,566,1276,16702,17385,34089,294,287,575,15235,15637,30873,712,571,1284,16237,16493,32732,430,464,889,34881,40924,75809,1823,2183,4010,37137,43565,80702,9631,9998,19625,222956,233393,456343,10086,9290,19380,242675,252677,495351,1232,1198,2439,12526,11935,24465,780,795,1570,14544,13929,28469,1426,1366,2788,13888,13125,27007,879,836,1719,16188,15324,31514,1299,1261,2566,13352,12641,25989,841,829,1671,15495,14729,30219,1261,1122,2381,13862
7,1175,8333,8078,16415,3167,2980,6146,4230,4010,8239,660,559,1223,8057,7546,15608,2939,2731,5669,4238,3737,7973,672,502,1177,7854,6970,14819,2620,2678,5299,5566,4634,10206,798,546,1335,8981,7854,16840,2428,2464,4892,6438,6239,12676,962,682,1647,9829,9383,19214,2062,2084,4146,5900,5939,11839,767,591,1359,8727,8616,17345,1950,2025,3976,5858,5629,11481,724,639,1368,8529,8294,16829,1698,2031,3731,5748,5434,11180,787,634,1422,8234,8105,16331,1389,1466,2862,5497,5140,10633,722,578,1303,7610,7189,14799,1128,1323,2448,5212,4932,10147,684,500,1180,7029,6747,13775,823,937,1757,4663,4185,8845,600,433,1033,6081,5552,11633,538,698,1238,3984,3089,7075,502,304,807,5027,4098,9119,759,1142,1903,5005,4113,9123,619,453,1073,6391,5702,12096,28037,28741,56779,71674,66101,137773,9808,7588,17393,109519,102428,211943,2908,2688,5596,5296,5227,10521,794,717,1513,9005,8623,17630,3113,2905,6015,4898,4584,9488,678,646,1319,8687,8129,16822,3092,2788,5880,4068,3921,7989,614,549,1158,7778,7251,15029,2923,2697,5621,3942
8,697,11067,10347,21411,275,288,566,10077,9750,19823,405,293,700,10757,10335,21088,347,256,597,11457,10904,22363,555,480,1034,12363,11634,23998,290,277,565,14323,14056,28380,1025,779,1802,15638,15109,30752,236,231,465,14203,14415,28621,834,613,1450,15277,15261,30536,166,180,347,12925,13302,26228,638,502,1141,13725,13986,27707,175,159,336,12637,13029,25668,541,410,959,13357,13605,26960,149,157,303,12101,12601,24702,543,418,962,12793,13182,25972,137,150,289,11305,12139,23444,504,367,867,11945,12653,24603,104,111,218,10796,11610,22413,429,350,782,11333,12072,23405,92,94,187,9411,10133,19544,372,315,685,9877,10530,20409,49,42,89,8608,9099,17714,311,266,578,8964,9406,18372,43,62,106,16552,20049,36599,680,778,1451,17270,20894,38165,2656,2531,5184,166389,171642,338029,7702,6305,14007,176747,180477,357218,382,345,726,12859,12012,24874,656,543,1197,13901,12898,26795,369,309,680,12334,11464,23797,519,453,972,13224,12220,25451,314,310,622,10677,10150,20830,394,383,781,11389,10843,22235,329,349,680,11529
9,11,84,87,177,14,13,27,75,68,137,9,8,15,92,93,183,12,11,17,99,43,138,0,4,4,107,51,164,4,12,15,190,55,246,10,4,12,202,68,273,6,7,9,348,61,407,3,0,4,360,69,430,13,10,19,208,64,272,4,0,4,223,73,297,9,11,20,127,65,189,13,4,12,151,76,226,8,5,14,116,79,194,5,11,13,123,95,221,6,7,7,125,88,213,5,4,4,133,93,227,7,7,19,95,84,176,3,0,0,110,94,198,6,3,12,97,76,167,6,9,14,107,87,196,5,3,5,91,35,128,5,5,13,107,47,146,6,11,14,88,45,130,3,3,6,98,64,156,120,126,246,1775,873,2650,70,65,137,1967,1061,3029,5,5,14,124,110,238,8,3,15,140,126,262,14,13,20,131,115,242,13,10,23,156,131,285,18,10,24,100,118,222,14,6,22,126,138,263,6,16,20,90
