STE_CODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
1,247,32,63,1109,3184,185,1287,151,311,5120,8721,433,3175,497,901,13718,5387,496,2960,331,737,9912,9646,999,7284,722,1385,20029,19272,2099,17172,1559,2744,42857,38014,5100,41010,3836,5172,93129,32287,4484,29269,3433,4196,73670,20992,2499,16675,2219,2322,44711,11756,1344,9374,1310,1269,25053,5741,680,5000,771,636,12832,2838,425,3171,447,347,7220,4253,1168,6367,1280,696,13766,4433,570,3148,588,807,9542,173642,21228,151140,17797,22336,386139
2,185,20,33,781,2367,125,1137,125,227,3983,5617,349,2577,297,502,9342,4220,366,2561,271,456,7879,11022,967,8605,699,1116,22398,30590,3270,29344,2317,2951,68470,35755,4242,30733,3185,3323,77235,15742,1580,11157,1545,1255,31283,6594,745,4925,727,528,13525,2557,394,2647,422,248,6266,1240,245,1473,251,158,3358,580,150,879,180,93,1874,1328,432,1993,446,222,4420,3269,437,2430,402,574,7118,125825,13810,103971,11311,12192,267113
3,575,31,83,1369,2447,197,1648,118,321,4729,4959,383,2478,217,516,8546,4147,358,2471,225,410,7601,10591,981,8320,569,1087,21548,25006,2588,21793,1570,2618,53573,37530,5316,35478,3217,4346,85886,14217,2775,14516,2077,2263,35847,4458,1095,4837,952,855,12198,1702,494,1966,423,365,4953,664,239,940,222,167,2231,329,113,460,112,83,1090,503,167,700,181,106,1659,2536,394,2041,269,452,5677,114882,15694,102535,10553,14193,257849
4,215,18,31,634,1662,73,538,55,99,2429,3576,197,1548,168,260,5750,2162,205,1463,128,216,4174,5345,476,4631,312,567,11334,8642,1015,8234,759,872,19520,5813,990,5845,773,704,14129,1365,329,1403,299,217,3604,370,108,510,122,65,1181,146,58,226,65,31,522,70,29,115,21,11,247,40,9,52,12,11,127,67,24,88,17,6,199,866,85,578,71,128,1726,31983,3793,26535,2945,3388,68641
5,354,21,37,815,1584,138,1229,88,163,3205,2835,184,1314,115,221,4675,1816,165,1133,87,164,3363,3303,271,2424,162,298,6464,9159,705,7125,467,693,18158,16893,2121,16098,1378,1600,38093,7477,1418,7234,980,975,18076,2366,487,2530,420,367,6165,915,218,1198,226,140,2699,481,124,715,152,74,1547,222,90,399,79,45,836,421,162,768,147,84,1580,1467,211,1286,157,200,3322,52855,6676,47071,4710,5412,116723
6,24,3,3,106,446,29,204,21,40,741,1207,84,544,58,105,1998,1043,94,694,66,136,2040,1843,189,1486,143,209,3871,2052,330,2072,198,219,4878,1008,240,1059,116,135,2559,251,55,236,33,28,604,60,17,69,7,7,163,21,4,30,0,0,55,5,7,8,3,0,27,0,0,7,3,0,11,13,3,9,4,0,28,236,23,156,17,40,474,8820,1144,7046,717,981,18703
7,477,9,47,857,409,63,509,34,63,1076,271,64,349,14,45,740,140,25,172,10,22,373,555,59,612,19,30,1282,609,45,538,25,36,1251,1248,100,1085,59,79,2568,1442,129,1087,97,126,2875,847,96,713,55,88,1801,386,54,437,31,40,947,163,34,189,24,7,415,48,14,73,11,4,159,79,15,129,8,6,239,521,84,695,37,76,1414,8521,1109,9198,537,909,20269
8,25,0,3,70,211,15,90,18,17,351,327,45,168,23,31,587,187,14,84,8,16,317,501,39,371,21,32,968,1464,77,1113,59,58,2780,3909,202,2729,163,191,7203,2004,253,2009,200,168,4645,647,138,779,126,87,1774,168,62,268,49,26,566,82,27,116,25,3,258,40,11,63,17,5,136,57,27,102,19,10,217,203,25,137,16,25,403,10031,969,8200,754,703,20659
9,7,0,3,23,23,0,10,0,0,34,27,3,26,0,6,58,17,0,9,0,10,32,6,0,10,0,0,24,13,0,17,0,0,32,3,0,9,3,0,14,3,0,4,0,0,10,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,15,0,0,34,141,15,149,10,30,339
