STE_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
1,1874524,620778,109004,170546,2774855
2,1495290,521828,95588,129572,2242283
3,1189859,389076,77898,134910,1791739
4,436817,179119,22855,34751,673541
5,629882,204202,32692,71315,938092
6,132574,58517,6492,12032,209614
7,47400,14228,3438,14181,79246
8,100308,35413,6938,8032,150693
9,980,369,20,198,1556
