STE_CODE_2016,C06_0_74_CF_NC,C06_0_74_CF_Cu15DS_,C06_0_74_CF_CU15_NDS,C06_0_74_CF_NCU15_DS,C06_0_74_CF_NDCO,C06_0_74_CF_T,C06_75_99_CF_NC,C06_75_99_CF_Cu15DS_,C06_75_99_CF_CU15_NDS,C06_75_99_CF_NCU15_DS,C06_75_99_CF_NDCO,C06_75_99_CF_T,C06_100_149_CF_NC,C06_100_149_CF_Cu15DS_,C06_100_149_CF_CU15_NDS,C06_100_149_CF_NCU15_DS,C06_100_149_CF_NDCO,C06_100_149_Co_fam_To,C06_150_199_CF_NC,C06_150_199_CF_Cu15DS_,C06_150_199_CF_CU15_NDS,C06_150_199_CF_NCU15_DS,C06_150_199_CF_NDCO,C06_150_199_CF_T,C06_200_224_CF_NC,C06_200_224_CF_Cu15DS_,C06_200_224_CF_CU15_NDS,C06_200_224_CF_NCU15_DS,C06_200_224_CF_NDCO,C06_200_224_CF_T,C06_225_274_CF_NC,C06_225_274_CF_Cu15DS_,C06_225_274_CF_CU15_NDS,C06_225_274_CF_NCU15_DS,C06_225_274_CF_NDCO,C06_225_274_CF_T,C06_275_349_CF_NC,C06_275_349_CF_Cu15DS_,C06_275_349_CF_CU15_NDS,C06_275_349_CF_NCU15_DS,C06_275_349_CF_NDCO,C06_275_349_CF_T,C06_350_449_CF_NC,C06_350_449_CF_Cu15DS_,C06_350_449_CF_CU15_NDS,C06_350_449_CF_NCU15_DS,C06_350_449_CF_NDCO,C06_350_449_CF_T,C06_450_549_CF_NC,C06_450_549_CF_Cu15DS_,C06_450_549_CF_CU15_NDS,C06_450_549_CF_NCU15_DS,C06_450_549_CF_NDCO,C06_450_549_CF_T,C06_550_649_CF_NC,C06_550_649_CF_Cu15DS_,C06_550_649_CF_CU15_NDS,C06_550_649_CF_NCU15_DS,C06_550_649_CF_NDCO,C06_550_649_CF_T,C06_650_749_CF_NC,C06_650_749_CF_Cu15DS_,C06_650_749_CF_CU15_NDS,C06_650_749_CF_NCU15_DS,C06_650_749_CF_NDCO,C06_650_749_CF_T,C06_750_849_CF_NC,C06_750_849_CF_Cu15DS_,C06_750_849_CF_CU15_NDS,C06_750_849_CF_NCU15_DS,C06_750_849_CF_NDCO,C06_750_849_CF_T,C06_850_949_CF_NC,C06_850_949_CF_Cu15DS_,C06_850_949_CF_CU15_NDS,C06_850_949_CF_NCU15_DS,C06_850_949_CF_NDCO,C06_850_949_CF_T,C06_950over_CF_NC,C06_950ov_CF_Cu15DS_,C06_950ov_CF_CU15_NDS,C06_950ov_CF_NCU15_DS,C06_950ov_CF_NDCO,C06_950ov_CF_T,C06_Rns_CF_NC,C06_Rns_CF_Cu15DS_,C06_Rns_CF_CU15_NDS,C06_Rns_CF_NCU15_DS,C06_Rns_CF_NDCO,C06_Rns_CF_T,C06_Tot_CF_NC,C06_Tot_CF_Cu15DS_,C06_Tot_CF_CU15_NDS,C06_Tot_CF_NCU15_DS,C06_Tot_CF_NDCO,C06_Tota_Coup_fam_Tota,C11_0_74_CF_NC,C11_0_74_CF_Cu15DS_,C11_0_74_CF_CU15_NDS,C11_0_74_CF_NCU15_DS,C11_0_74_CF_NDCO,C11_0_74_Coup_fam_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_CF_T,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Co_fam_To,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_CF_T,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_CF_T,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_CF_T,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_CF_T,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_CF_T,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_CF_T,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_CF_T,C11_950over_CF_NC,C11_950ov_CF_Cu15DS_,C11_950ov_CF_CU15_NDS,C11_950ov_CF_NCU15_DS,C11_950ov_CF_NDCO,C11_950ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_T,C16_0_74_CF_NC,C16_0_74_CF_Cu15DS_,C16_0_74_CF_CU15_NDS,C16_0_74_CF_NCU15_DS,C16_0_74_CF_NDCO,C16_0_74_CF_T,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_
1,8080,874,6392,676,893,16909,2995,154,1244,129,327,4856,14618,1433,8529,908,1667,27155,17594,2170,16641,1401,2902,40706,12838,1679,13681,1152,1982,31341,21331,3037,23381,2188,2906,52845,22538,2697,17958,1927,2542,47657,16299,1657,11245,1429,1608,32222,5980,636,4474,631,611,12328,2295,276,2322,299,232,5425,1037,174,1312,196,117,2837,538,129,776,103,66,1616,277,98,443,79,33,925,998,281,1538,246,165,3228,3231,508,2551,363,599,7246,130648,15800,112490,11710,16655,287302,6942,862,5755,688,731,14987,1121,63,473,54,102,1820,9498,461,2899,504,916,14278,9426,1105,6001,864,1359,18756,6918,892,5832,615,1154,15413,12972,1727,11957,1205,2021,29885,24401,3192,25631,2280,3338,58836,31727,4703,30920,3388,3825,74568,19023,2383,14811,1955,2066,40238,9975,1022,7475,1021,1054,20554,4762,576,4183,578,474,10570,2316,325,2549,343,240,5777,1217,196,1539,216,152,3325,2142,648,3649,582,323,7346,4025,579,3165,514,713,9001,146478,18737,126845,14826,18458,325346,6383,727,4999,626,745,13482,736,28
2,5246,580,3873,464,563,10726,1552,98,747,77,131,2606,10171,884,5800,621,966,18439,18596,2000,15590,1401,2287,39877,10438,1192,9009,900,1141,22680,13886,1506,10705,1111,1240,28454,10662,955,6643,836,784,19881,4959,459,3578,524,371,9899,1366,227,1453,244,155,3446,559,106,680,131,51,1523,266,66,355,93,36,811,198,32,273,58,25,583,125,28,172,30,17,372,551,125,564,101,72,1408,2147,342,1663,244,363,4759,80726,8605,61100,6825,8201,165464,4944,486,3491,471,526,9916,729,28,331,36,53,1180,5411,256,2132,221,423,8444,7253,758,4934,520,882,14342,5769,606,4978,460,687,12502,14173,1475,12003,1151,1509,30308,26423,2889,22805,2003,2339,56463,21389,2217,15601,1844,1704,42750,7830,815,5492,795,588,15515,2918,355,2410,349,233,6265,1237,177,1337,187,121,3071,585,115,795,119,64,1678,323,68,528,101,50,1070,1017,266,1331,240,151,3005,2936,395,2208,368,470,6380,102935,10903,80367,8884,9808,212890,4439,483,3322,420,515,9176,514,20
3,6893,725,6566,478,757,15413,1921,178,1124,80,207,3506,8873,895,6134,439,987,17321,14606,1593,12225,834,1825,31089,9896,1042,8522,583,1179,21229,18538,1959,17070,1220,1892,40683,14219,2115,14510,1395,1887,34123,4942,964,5558,672,795,12932,1171,287,1326,205,180,3175,412,96,496,94,64,1161,129,44,198,34,15,429,98,20,120,16,10,256,45,13,56,3,6,122,304,54,252,33,63,709,2118,269,1847,191,318,4739,84158,10246,76004,6271,10196,186877,6421,678,5833,428,675,14039,843,126,938,42,116,2070,5046,387,2773,288,582,9067,5652,704,3958,334,735,11381,5204,511,4107,314,544,10686,11101,1070,8935,624,1173,22901,25097,2615,22398,1517,2412,54041,28290,4180,29129,2659,3432,67701,7765,1678,8497,1147,1210,20295,2424,571,2790,455,416,6652,887,263,1256,247,166,2810,420,125,568,94,59,1267,214,43,297,55,28,632,570,163,755,124,84,1694,2665,323,2238,274,406,5907,102601,13440,94462,8595,12036,231134,5181,544,4319,379,523,10948,627,57
4,2423,241,1677,160,195,4694,1152,48,475,30,68,1768,6501,395,3154,303,625,10979,6442,652,5274,465,874,13706,2953,334,2566,236,365,6461,2973,396,2711,285,286,6647,1389,225,1369,195,180,3362,478,131,656,115,68,1457,135,33,172,38,23,403,56,8,72,11,8,155,35,11,36,9,6,88,5,7,20,4,0,30,5,3,11,0,4,29,118,16,74,12,16,226,781,91,505,76,114,1565,25434,2588,18775,1931,2836,51568,1987,182,1347,119,158,3789,577,24,183,17,31,830,3958,150,1270,163,227,5762,3728,378,2448,202,434,7190,2694,247,2059,162,290,5452,5376,535,4610,414,639,11573,6607,862,6348,652,641,15109,3125,576,3193,402,354,7650,681,164,801,124,97,1873,228,76,313,53,41,705,82,33,142,28,23,311,42,15,73,8,12,150,25,7,20,4,0,62,108,19,103,16,10,256,905,92,550,76,111,1737,30117,3371,23452,2436,3071,62440,1521,163,1097,121,166,3068,339,31
5,4133,365,3823,220,400,8945,2046,88,853,49,123,3157,5431,429,3624,263,571,10322,8827,698,7351,463,951,18286,4474,467,4008,273,469,9682,4882,762,5430,446,602,12119,2754,556,3346,406,425,7488,1161,235,1339,181,170,3086,388,82,548,91,52,1162,170,50,250,42,22,541,95,33,156,12,9,310,53,28,125,11,5,219,42,14,64,11,3,137,180,28,155,27,21,414,1059,118,964,73,144,2350,35694,3948,32032,2575,3973,78218,4079,371,4134,237,458,9274,568,49,410,37,41,1103,3548,207,1867,124,277,6019,2904,275,1961,163,291,5603,2185,194,1617,101,262,4366,4386,358,3512,223,398,8879,10369,1112,9608,640,861,22591,11627,1796,12063,1050,1309,27850,3515,732,3844,516,470,9072,1267,257,1381,207,159,3266,560,121,737,91,78,1580,338,73,443,92,40,982,193,61,247,51,21,578,723,185,960,143,103,2117,1528,172,1411,126,193,3430,47774,5942,44203,3808,4970,106702,3537,351,3264,234,342,7725,379,31
6,853,78,640,47,83,1701,492,35,309,21,52,908,2081,241,1551,141,330,4339,1930,199,1759,84,176,4151,664,93,671,41,81,1552,624,74,677,61,83,1522,302,60,321,37,31,758,92,26,122,18,17,279,32,3,43,4,10,86,7,0,10,0,0,19,0,0,3,0,0,12,3,0,5,0,0,11,0,0,3,0,0,0,44,3,20,3,3,77,170,27,144,22,36,407,7306,849,6280,476,898,15815,675,61,480,38,68,1325,153,9,77,6,19,258,993,43,384,30,62,1505,1368,157,1105,100,187,2921,937,101,801,67,107,2020,1558,206,1576,129,170,3639,1429,240,1558,134,137,3488,580,139,684,95,76,1576,142,32,155,27,15,380,29,8,35,3,3,89,21,0,13,3,0,33,11,0,11,0,3,31,3,0,5,0,0,7,27,3,18,3,4,60,244,26,170,17,42,498,8176,1026,7078,647,898,17828,554,66,444,40,61,1162,71,0
7,1680,301,2841,115,291,5223,250,33,372,12,50,718,577,68,836,31,58,1568,784,75,868,37,71,1835,355,28,288,29,29,732,731,74,578,48,91,1516,679,59,497,34,65,1328,341,46,290,28,40,748,78,13,82,10,8,199,29,7,35,0,3,73,9,3,16,0,0,25,3,0,6,0,0,15,0,0,7,0,0,4,18,3,18,0,3,41,309,61,502,19,58,941,5845,772,7232,361,769,14977,1677,314,2771,105,253,5112,233,44,362,10,52,701,342,81,597,29,78,1123,386,49,507,13,42,998,340,39,431,19,19,855,336,56,382,32,35,834,597,52,548,39,63,1299,1204,69,795,58,56,2176,983,88,681,57,105,1913,414,49,370,30,40,899,184,26,159,19,20,409,91,14,79,9,10,207,30,4,41,4,5,77,27,3,24,4,3,65,385,74,610,34,50,1154,7233,944,8357,453,837,17831,1539,265,2116,102,241,4272,264,56
8,237,18,161,27,19,461,138,8,55,0,10,214,568,61,385,23,41,1079,578,79,565,51,47,1314,354,14,292,20,22,703,1341,129,973,126,166,2746,2464,159,1586,128,125,4454,886,135,824,97,63,2005,178,25,191,36,10,445,58,10,59,8,3,140,29,8,30,4,3,69,7,3,6,0,3,23,7,0,7,0,0,16,11,10,18,4,4,50,123,17,121,18,28,299,6981,671,5273,547,541,14019,214,23,152,16,17,418,39,9,31,4,4,79,377,32,173,21,27,632,287,42,182,22,19,551,246,31,257,17,17,577,336,61,368,56,25,852,844,69,688,56,60,1718,3459,224,2233,210,254,6382,1735,175,1397,130,129,3569,473,92,550,79,48,1249,140,36,165,30,23,389,68,19,89,14,5,193,23,10,42,13,3,90,47,15,74,12,6,157,154,25,141,24,22,363,8443,874,6537,693,671,17221,204,22,135,13,17,396,32,3
9,30,0,39,3,3,70,7,0,8,0,0,10,23,4,31,3,4,67,8,5,16,3,0,35,0,0,3,0,0,8,0,0,3,0,0,0,0,0,5,0,0,11,0,0,0,0,0,3,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,18,3,0,27,86,13,130,5,8,245,38,6,33,3,8,91,7,0,10,0,0,20,21,0,13,5,3,41,21,0,13,0,3,37,3,0,6,0,0,13,8,0,8,0,0,20,3,0,0,0,0,12,0,0,3,0,0,9,0,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,6,0,28,112,13,116,17,17,271,34,0,44,3,4,80,9,3
