STE_CODE_2016,C06_Tot_Div_F,C06_Tot_Wid_M,C06_Tot_Wid_F,C06_Tot_nver_marrie_M,C06_Tot_nver_marrie_F,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_T_M,C11_65_69_T_F,C11_65_69_T_P,C11_70_74_Married_M,C11_70_74_Married_F,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_T_M,C11_70_74_T_F,C11_70_74_T_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F
1,238233,63745,259492,932332,786935,2560866,2689393,5250262,467,936,123,123,153,126,123,116,227359,213891,228225,215190,443415,9351,21514,513,1338,327,597,161,193,216605,199092,226956,222735,449684,59012,88111,2367,4730,2046,3982,187,348,170083,142296,233693,239468,473160,115356,134546,4824,7653,5957,9724,242,600,104235,85203,230615,237720,468335,144721,156199,7329,11192,12020,18924,419,1242,74428,61653,238916,249210,488123,147835,157695,9453,13173,18554,28708,726,2423,58319,46608,234889,248615,483503,152039,154750,10426,13719,25335,36123,1329,4145,47747,35818,236879,244548,481427,150283,151456,10953,12842,30124,40595,2102,6980,36861,26821,230328,238693,469022,139105,137045,9313,9999,29642,37766,3076,10930,24978,17763,206106,213508,419611,136795,126221,8138,7798,27256,33970,4873,17030,16958,11638,194023,196652,390678,108729,94897,5698,4873,19087,23352,6316,23459,10834,7085,150664,153666,304325,83453,69450,3722,2843,12091,14252,7961,31416,7205,4975,114427,122935,237361,62007,46087,2285,1720,6885,8706,9861,39722,5005,3750,86043,99984,186031,43471,27737,1344,880,3820,5464,12570,48587,3450,3406,64655,86072,150723,26001,13596,597,444,1894,3663,17231,70148,2163,3990
2,173382,46739,193485,712319,618982,1932887,2049149,3982037,348,723,83,87,96,110,92,89,176383,167311,177010,168334,345338,6423,14668,377,860,275,433,179,177,183432,168286,190684,184422,375108,45278,66707,1536,3110,1251,2610,155,262,144861,122885,193086,195580,388670,90584,103170,3360,5412,4275,6955,178,443,85585,72242,183991,188224,372213,112751,121229,5330,8149,8967,14130,339,907,59885,51735,187277,196145,383415,120214,127548,7393,10364,14958,22811,565,1890,46671,38776,189809,201391,391197,118727,121288,8326,10469,19564,28300,984,2879,34483,27339,182084,190276,372367,115448,115638,7982,9578,22480,30714,1563,5087,25629,19972,173117,180994,354111,106782,105304,6836,7508,21707,28680,2431,7895,17277,13022,155034,162397,317439,103574,98546,5732,5746,18988,25438,3469,12709,11429,8182,143188,150621,293810,81905,73112,3903,3542,12820,16423,4262,16908,7120,4907,110011,114894,224911,64135,53503,2510,2089,8018,9920,5529,23481,4706,3423,84892,92421,177315,47915,35988,1563,1210,4514,5723,7219,30395,3265,2556,64473,75864,140338,33700,21263,948,668,2512,3480,9257,37349,2481,2362,48895,65128,114021,19844,10591,467,301,1125,2218,13240,52675,1583,2947
3,154433,34545,132762,556877,472444,1521500,1576497,3097997,342,607,95,94,120,117,65,55,149814,142618,150428,143487,293919,6506,12801,446,997,241,348,126,126,140254,132007,147568,146279,293845,36141,51727,1852,3370,1398,2502,149,232,109801,93534,149337,151372,300709,65524,77316,3503,5563,4145,6478,182,388,67884,55715,141245,145453,286696,86202,94423,5603,7881,8970,13148,267,879,50129,40683,151169,157016,308180,93124,98389,7098,9209,14058,20229,501,1445,38131,30384,152916,159653,312568,92597,95722,7585,9278,18446,25450,820,2626,29210,21013,148659,154090,302744,91170,92423,7082,8093,21440,27365,1303,4154,20650,14448,141656,146485,288140,85389,83969,5965,6162,20819,25072,1959,6392,13352,8882,127489,130477,257964,85046,78739,5131,4716,19463,22266,3024,10181,9065,5507,121722,121406,243125,66727,57756,3577,3040,13278,14980,3745,13476,5785,3399,93116,92644,185758,48961,39308,2302,1693,8131,8761,4528,17030,3826,2349,67741,69142,136884,33453,24350,1421,865,4503,4804,5248,20542,2619,1769,47241,52328,99571,22320,14089,722,456,2359,2893,6316,24564,1833,1422,33550,43420,76973,13206,6939,409,235,1177,1719,8623,34524,1226,1744
4,61163,16326,67646,215237,177991,601214,632304,1233516,116,192,43,29,36,24,21,43,52873,49871,53084,50167,103248,1869,4117,132,317,51,130,55,75,51870,46977,53976,51606,105588,12337,18207,531,1042,456,801,52,98,39029,31951,52404,52096,104507,23069,26690,1118,1635,1266,2114,78,175,23383,18300,48908,48910,97819,28810,31408,1665,2348,2830,4302,96,340,18205,13965,51605,52358,103966,32547,34218,2295,3006,5038,7191,216,616,15669,11607,55767,56644,112406,33609,34494,2691,3193,7019,9532,310,984,12438,8812,56073,57012,113085,34289,35076,2687,2972,8517,10800,593,1578,9039,6310,55121,56735,111857,32992,33268,2319,2260,8120,10140,774,2540,5679,3916,49885,52128,102010,33974,32644,1800,1701,7375,8865,1173,4103,3538,2424,47855,49743,97598,27019,24668,1149,1014,4668,5770,1442,5517,2036,1381,36315,38348,74667,21090,18178,762,620,2838,3362,1840,7713,1274,870,27798,30738,58536,16109,12141,474,340,1664,2184,2416,9797,846,656,21515,25115,46631,11783,7609,320,219,921,1374,3201,12818,699,608,16927,22634,39562,7078,3836,173,118,509,834,4800,19534,450,826
5,73994,15846,64111,288528,238370,772508,790142,1562653,223,357,50,52,52,42,34,40,76114,71242,76467,71737,148209,3267,6746,200,505,121,170,70,82,78531,69320,82190,76823,159011,19397,28064,942,1520,648,1102,81,133,65733,50337,86795,81150,167944,36775,42607,1730,2322,1985,2874,83,213,38604,28966,79168,76983,156152,47806,50519,2531,3348,4148,5842,138,372,26702,20113,81323,80198,161526,52322,53321,3417,4224,6839,9390,266,776,20871,15308,83710,83019,166730,51693,51143,3787,4235,9261,12229,427,1242,15318,10512,80490,79362,159860,49267,48598,3650,3877,10850,13380,705,2061,10835,7141,75307,75059,150369,45179,44250,3032,3015,10506,12575,989,3045,6855,4455,66557,67336,133893,43461,39406,2489,2308,9148,10695,1411,4693,4247,2672,60762,59773,120530,32229,27301,1622,1329,5668,6853,1579,5792,2475,1489,43564,42757,86322,24199,19701,969,767,3583,4407,1940,8040,1578,1033,32268,33944,66218,17006,12891,596,425,2001,2536,2470,10177,996,738,23068,26761,49833,11632,7284,340,221,1031,1468,2977,12105,657,574,16635,21648,38286,6724,3387,189,122,503,898,4090,17143,423,745
6,19919,5422,20933,64100,55776,184974,197480,382453,31,55,11,20,13,16,8,11,16779,15742,16840,15844,32687,496,1032,44,93,34,40,15,17,14339,13479,14922,14650,29578,3055,4368,192,364,126,220,18,48,10303,9393,13692,14384,28073,5563,6870,345,550,402,635,20,44,6728,6053,13054,14152,27210,7701,8873,587,828,881,1388,31,107,5595,4913,14790,16116,30908,9240,10153,816,1000,1543,2404,63,177,4664,3884,16327,17616,33943,9941,10596,879,1087,2385,3174,124,371,3758,2717,17084,17944,35030,11067,11577,900,1014,2784,3623,187,550,2802,2019,17746,18782,36528,11038,11186,733,726,2798,3398,280,880,1856,1190,16702,17385,34089,11404,10657,626,603,2559,3023,456,1419,1198,795,16237,16493,32732,9074,7935,409,326,1749,1986,615,1980,750,481,12598,12713,25312,6930,5579,270,190,1039,1180,735,2703,511,311,9483,9961,19448,4764,3602,153,109,551,677,891,3200,322,246,6685,7837,14523,3242,1998,94,42,278,351,1034,3717,205,217,4853,6320,11174,1901,984,50,42,115,214,1310,5234,140,258
7,5955,1168,3708,33478,27179,74854,70441,145290,286,488,21,23,12,8,5,7,7537,6447,7854,6970,14819,1251,1671,58,99,25,62,14,27,7629,5995,8981,7854,16840,2821,3475,122,210,106,157,27,44,6755,5508,9829,9383,19214,3902,4384,184,259,221,305,25,60,4398,3610,8727,8616,17345,4554,4573,289,313,420,545,33,95,3234,2767,8529,8294,16829,4428,4597,374,401,736,806,37,168,2661,2119,8234,8105,16331,4218,4003,396,384,863,1006,57,219,2084,1582,7610,7189,14799,3928,3755,354,353,1080,1155,95,346,1576,1142,7029,6747,13775,3523,3115,369,269,1095,1081,160,441,932,643,6081,5552,11633,3060,2203,259,230,970,805,159,511,581,350,5027,4098,9119,1734,1188,180,108,527,412,152,476,328,176,2926,2362,5285,1036,621,107,48,281,224,164,489,206,92,1798,1475,3280,484,289,47,25,121,80,110,398,100,63,872,858,1727,266,121,22,15,66,52,118,357,73,34,540,567,1112,113,52,10,5,13,37,92,329,23,23
8,12957,2171,8665,51857,45648,128117,133989,262107,28,35,0,3,4,4,4,5,12330,11592,12363,11634,23998,445,1005,28,72,7,23,13,8,15146,14001,15638,15109,30752,3459,5111,108,199,109,178,11,10,11595,9759,15277,15261,30536,6819,7805,237,341,330,544,9,23,6326,5272,13725,13986,27707,8093,8498,383,511,671,1030,27,76,4181,3494,13357,13605,26960,8144,8260,501,580,1015,1611,32,99,3100,2635,12793,13182,25972,7838,7887,498,651,1325,1998,53,163,2226,1957,11945,12653,24603,7612,7492,513,556,1419,2194,85,308,1707,1522,11333,12072,23405,6902,6684,405,461,1391,2069,129,450,1053,864,9877,10530,20409,6632,5980,295,361,1207,1823,202,707,626,538,8964,9406,18372,4744,3953,190,188,696,1136,223,898,325,313,6180,6489,12672,3273,2717,120,98,428,694,267,1098,144,146,4241,4759,8992,2265,1704,74,66,238,381,326,1301,114,125,3012,3575,6591,1576,1011,33,23,123,227,370,1547,72,76,2180,2895,5074,995,555,22,20,53,146,543,2360,47,91
9,29,21,34,339,209,991,773,1762,0,0,0,0,0,0,0,0,107,51,107,51,164,9,15,0,0,0,0,0,0,191,49,202,68,273,122,35,7,0,3,0,0,0,231,35,360,69,430,124,46,8,0,0,0,0,0,92,28,223,73,297,94,56,3,3,3,3,0,0,42,16,151,76,226,81,62,5,3,6,5,0,3,33,19,123,95,221,104,71,6,3,9,3,0,0,14,8,133,93,227,76,68,3,0,12,5,0,5,19,9,110,94,198,83,68,4,4,14,6,0,3,11,7,107,87,196,83,28,3,0,6,0,3,12,8,4,107,47,146,26,26,5,0,6,0,3,4,3,0,41,26,67,30,11,0,0,0,0,7,4,0,0,37,14,49,4,4,0,0,0,0,3,3,5,0,10,10,22,4,0,0,0,0,0,0,7,0,0,7,5,13,3,0,0,0,0,0,0,0,0,0
