STE_CODE_2016,C06_CF_BPT_1000_1499,C06_CF_BPT_1500_1999,C06_CF_BPT_2000_2499,C06_CF_BPT_2500_2999,C06_CF_BPT_3000_3999,C06_CF_BPT_4000m,C06_CF_BPT_Ns,C06_CF_BPT_T,C06_CF_1F1P_N,C06_CF_1F1P_1_149,C06_CF_1F1P_150_299,C06_CF_1F1P_300_399,C06_CF_1F1P_400_499,C06_CF_1F1P_500_649,C06_CF_1F1P_650_799,C06_CF_1F1P_800_999,C06_CF_1F1P_1000_1499,C06_CF_1F1P_1500_1999,C06_CF_1F1P_2000_2499,C06_CF_1F1P_2500_2999,C06_CF_1F1P_3000_3999,C06_CF_1F1P_4000m,C06_CF_1F1P_Ns,C06_CF_1F1P_T,C06_CF_1E1A_N,C06_CF_1E1A_1_149,C06_CF_1E1A_150_299,C06_CF_1E1A_300_399,C06_CF_1E1A_400_499,C06_CF_1E1A_500_649,C06_CF_1E1A_650_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000_3999,C06_CF_1E1A_4000_mr,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_149,C06_CF_1F1NW_150_299,C06_CF_1F1NW_300_399,C06_CF_1F1NW_400_499,C06_CF_1F1NW_500_649,C06_CF_1F1NW_650_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000_3999,C06_CF_1F1NW_4000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_Tot,C06_CF_1P1NW_N,C06_CF_1P1NW_1_149,C06_CF_1P1NW_150_299,C06_CF_1P1NW_300_399,C06_CF_1P1NW_400_499,C06_CF_1P1NW_500_649,C06_CF_1P1NW_650_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_3999,C06_CF_1P1NW_4000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_T,C06_CF_1A1NW_N,C06_CF_1A1NW_1_149,C06_CF_1A1NW_150_299,C06_CF_1A1NW_300_399,C06_CF_1A1NW_400_499,C06_CF_1A1NW_500_649,C06_CF_1A1NW_650_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000_3999,C06_CF_1A1NW_4000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_T,C06_CF_BA_N,C06_CF_BA_1_149,C06_CF_BA_150_299,C06_CF_BA_300_399,C06_CF_BA_400_499,C06_CF_BA_500_649,C06_CF_BA_650_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_3999,C06_CF_BA_4000_more,C06_CF_BA_Ns,C06_fc_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_149,C06_CF_BNW_150_299,C06_CF_BNW_300_399,C06_CF_BNW_400_499,C06_CF_BNW_500_649,C06_CF_BNW_650_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_3999,C06_CF_BNW_4000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_149,C06_CF_LFns_150_299,C06_CF_LFns_300_399,C06_CF_LFns_400_499,C06_CF_LFns_500_649,C06_CF_LFns_650_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_3999,C06_CF_LFns_4000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_CF_Tot_N,C06_CF_Tot_1_149,C06_CF_Tot_150_299,C06_CF_Tot_300_399,C06_CF_Tot_400_499,C06_CF_Tot_500_649,C06_CF_Tot_650_799,C06_CF_Tot_800_999,C06_CF_Tot_1000_1499,C06_CF_Tot_1500_1999,C06_CF_Tot_2000_2499,C06_CF_Tot_2500_2999,C06_CF_Tot_3000_3999,C06_CF_Tot_4000_more,C06_CF_TFI_Ns,C06_CF_T_T,C06_1PF_F_N,C06_1PF_F_1_149,C06_1PF_F_150_299,C06_1PF_F_300_399,C06_1PF_F_400_499,C06_1PF_F_500_649,C06_1PF_F_650_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_3999,C06_1PF_F_4000_more,C06_1PF_F_Ns,C06_1PF_F_T,C06_1PF_P_N,C06_1PF_P_1_149,C06_1PF_P_150_299,C06_1PF_P_300_399,C06_1PF_P_400_499,C06_1PF_P_500_649,C06_1PF_P_650_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_3999,C06_1PF_P_4000_more,C06_1PF_P_Ns,C06_1PF_P_T,C06_1PF_A_N,C06_1PF_A_1_149,C06_1PF_A_150_299,C06_1PF_A_300_399,C06_1PF_A_400_499,C06_1PF_A_500_649,C06_1PF_A_650_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_3999,C06_1PF_A_4000_more,C06_1PF_A_Ns,C06_1PF_A_T
1,7346,4179,2434,1479,1390,648,2793,26724,369,373,272,380,452,3017,3753,8826,53373,44864,27911,20150,22770,6582,18314,211410,101,88,67,83,109,644,714,1327,7400,6334,5035,3749,3638,1454,3801,34551,435,467,560,1227,738,8133,13696,18584,47651,21494,7023,22242,5920,2417,14501,165086,151,399,880,1589,1666,6817,4305,4518,7818,3370,1500,1435,894,423,4270,40022,109,121,188,266,261,1338,1386,1705,3720,1575,560,1114,348,135,2529,15352,69,30,36,38,73,265,166,349,1834,1569,1143,832,825,392,1888,9509,1624,1742,2271,1933,8608,11704,6142,8092,13587,7345,3103,1773,1193,680,10716,80520,95,70,102,103,205,555,417,494,1127,550,280,257,137,80,43286,47764,3614,3800,4748,6047,13095,36291,32729,48375,169385,120383,77463,73579,57961,24993,120218,792688,252,253,369,1144,171,5883,8256,8311,19902,8299,3327,3458,1189,226,8717,69749,140,598,2014,7188,575,15533,7863,4688,7368,2175,759,574,230,50,5582,55340,67,98,259,672,72,1266,734,657,1318,513,206,182,83,16,1370,7511
2,5654,3058,1555,806,812,343,1989,19182,283,310,237,343,436,2796,3466,8192,49511,38674,21889,14466,15233,3774,15840,175444,69,42,45,77,94,572,622,1182,6241,5350,3657,2375,2111,689,3230,26378,355,414,454,849,500,6514,11574,16438,41110,16994,5286,15062,3862,1344,11777,132521,92,315,649,1066,1222,4641,3037,3169,5692,2406,934,945,514,191,3099,27973,68,73,145,169,198,914,1064,1296,3065,1204,406,693,229,77,2012,11603,64,22,20,31,63,196,143,293,1540,1254,878,523,513,200,1531,7266,1164,1374,1632,1281,6205,7946,4189,6229,10766,5420,2107,1052,633,348,7936,58293,71,68,67,86,114,354,330,429,918,462,188,198,100,49,30142,33567,2653,2992,3521,4202,9618,26838,26287,40672,144111,97086,57579,49305,36675,13547,91419,606513,162,191,275,857,135,4380,6263,6336,14962,5799,2142,2139,738,92,6913,51392,106,494,1649,5486,473,12386,6401,3978,5631,1519,450,349,108,35,4599,43670,56,68,196,493,63,1002,589,520,1035,384,152,108,33,12,1022,5724
3,4528,2432,1265,608,545,260,1284,14635,194,249,151,214,270,1817,2374,5835,37540,29157,15813,9370,8936,2365,9339,123604,46,39,23,42,60,379,462,915,4882,4124,2852,1735,1317,374,2067,19318,219,233,246,439,311,3910,7985,12454,32880,13002,3442,9073,2189,728,7463,94573,66,130,327,607,712,3142,2250,2603,4692,1573,522,560,240,113,1867,19401,33,53,53,74,85,540,757,1069,2476,962,298,560,134,54,1335,8485,25,27,17,14,43,138,93,209,1150,918,647,420,314,136,1051,5213,671,621,817,733,3457,5618,3032,3945,6297,2757,939,451,303,226,4301,34168,37,16,37,40,65,236,220,271,616,279,122,127,54,31,30669,32819,1671,1677,1881,2417,5546,17919,18575,30176,113096,75969,44119,33541,22894,8173,69090,446743,156,172,242,895,101,4878,6921,6244,13267,4609,1616,1375,443,80,5138,46141,89,360,1276,4697,327,11722,5707,3414,4546,1054,273,211,78,15,3180,36954,45,72,182,470,51,995,600,438,879,286,88,66,26,4,872,5071
4,1941,941,487,208,197,93,611,6248,104,94,77,99,119,845,1075,2745,17094,12635,6743,3430,3271,846,4285,53467,14,13,13,30,28,192,199,375,2351,1773,981,631,468,123,802,8001,93,108,92,184,160,1627,3258,4750,11282,4022,1251,2420,702,224,2740,32921,16,82,160,252,403,1460,1045,1109,1757,632,236,163,100,47,775,8221,22,14,32,39,54,257,324,392,911,327,109,124,30,11,428,3093,3,17,10,14,24,69,51,81,521,426,284,144,122,47,364,2176,293,304,399,322,1989,2619,1377,1824,2839,1226,368,179,117,68,1884,15802,18,8,14,21,37,103,99,117,224,91,43,37,12,12,9339,10176,684,776,904,1050,3099,8155,8003,12488,44672,29160,16865,11084,7895,2729,24841,172405,50,60,96,280,41,1528,2279,2201,4991,1723,578,487,145,20,2179,16652,29,135,565,1973,170,4814,2341,1372,1843,396,100,80,29,4,1436,15268,16,24,59,190,26,397,249,182,331,112,38,26,10,3,311,1961
5,2110,1260,705,398,360,153,807,7763,103,103,85,90,147,835,984,2524,17302,15323,9258,6420,6162,1719,5619,66664,15,26,15,22,43,163,236,394,2225,2093,1525,1130,908,305,1304,10403,129,147,104,218,136,1707,3528,5619,17034,7693,2179,7398,1721,633,4375,52615,35,78,156,280,383,1472,960,1143,2206,876,366,389,184,70,999,9591,20,27,38,54,48,301,381,575,1543,684,190,551,117,42,775,5343,18,23,7,9,30,64,57,116,648,523,425,302,271,119,622,3236,341,305,360,355,1583,2150,1102,1524,2688,1319,511,295,157,105,2062,14861,17,17,10,20,29,87,80,114,272,167,73,87,32,23,18878,19902,879,858,883,1163,2691,7723,7917,13194,51793,37337,23009,22388,14945,5444,40527,230737,67,63,99,314,40,1667,2491,2590,6365,2646,977,955,307,50,2827,21455,31,216,743,2403,189,5484,2764,1843,2397,634,166,142,60,10,1824,18898,23,32,92,211,19,430,248,220,448,163,61,65,24,6,424,2475
6,737,317,123,69,42,19,198,2148,16,31,17,24,36,295,398,1017,5606,3704,1738,766,690,194,1462,15998,9,3,5,5,10,69,105,185,725,519,342,150,111,25,280,2530,23,32,27,67,55,577,1201,1813,3724,1047,318,419,130,49,859,10333,10,21,40,77,133,607,417,439,640,168,52,38,15,6,298,2953,0,6,11,13,30,119,113,197,321,96,28,18,8,3,168,1130,0,4,4,0,9,19,18,22,163,119,80,41,25,7,118,631,26,77,121,88,785,1163,569,608,771,272,77,24,19,16,679,5294,0,4,4,4,4,32,23,37,80,28,6,8,9,3,2870,3107,112,200,244,313,1138,3213,3051,4737,14667,8264,4488,2474,1657,565,8153,53283,15,21,30,127,12,534,710,710,1506,393,123,97,25,0,682,4991,12,31,166,835,54,1723,747,429,522,97,17,17,3,3,521,5173,0,8,30,68,9,131,65,64,84,21,6,7,0,0,109,597
7,178,81,49,26,17,6,62,851,4,7,8,7,4,48,53,120,967,912,572,305,275,58,246,3588,3,0,0,4,19,25,11,24,172,211,210,145,108,23,106,1051,8,13,7,14,40,147,226,343,1067,459,144,338,62,12,212,3081,0,20,53,25,166,257,120,110,187,40,27,25,7,0,70,1103,0,3,8,7,19,43,37,43,110,43,17,24,3,0,39,382,3,3,0,0,14,21,4,15,69,55,37,41,21,5,49,344,36,55,84,67,502,502,190,192,245,88,37,17,10,4,208,2233,3,4,8,10,27,42,12,27,38,12,11,4,4,0,1743,1954,72,126,198,139,945,1267,733,1034,3754,3065,2305,1767,1148,342,3259,20165,15,9,29,52,16,203,362,377,843,274,103,85,23,0,301,2689,3,30,137,171,45,339,207,114,173,42,11,12,3,3,131,1409,3,3,20,17,8,46,38,25,56,20,8,6,0,0,61,332
8,264,242,212,137,125,42,109,1280,15,11,3,8,3,46,92,230,1799,2314,1967,1504,1842,444,735,10996,0,3,3,9,0,17,21,37,301,416,495,451,407,160,215,2509,13,17,10,16,9,147,302,520,1922,1196,432,1095,394,118,457,6651,4,9,18,33,30,146,104,128,311,186,103,89,54,29,117,1351,0,3,0,4,8,15,30,43,148,64,29,51,36,9,71,514,0,0,0,0,0,3,4,11,78,92,96,90,99,48,84,605,35,21,44,47,144,198,119,143,386,240,151,91,52,32,228,1933,0,0,4,0,0,9,5,7,29,26,7,7,10,5,2396,2504,85,74,78,128,212,685,707,1217,6012,6096,5625,5612,5450,2273,5491,39741,12,8,10,44,3,204,366,563,1843,915,391,424,125,21,678,5603,3,34,68,277,21,572,379,279,492,155,48,43,13,0,201,2593,3,3,11,19,0,38,32,37,101,53,20,25,9,0,65,416
9,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,3,13,17,10,3,5,0,11,57,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,3,10,8,33,14,0,8,0,0,20,99,0,0,0,0,3,3,4,3,7,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,0,0,3,3,0,3,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24,23,3,0,0,3,3,7,16,22,77,47,39,13,10,0,69,318,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
