STE_CODE_2016,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Notin_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Notin_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Notin_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Notin_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Notin_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Notin_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Notin_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75ov_Em_FT,C16_M_75ov_Em_PT,C16_M_75ov_Em_AFW,C16_M_75ov_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75ov_Unem_Lo_pt_wor,C16_M_75ov_Unempl_Tot,C16_M_75ov_Tot_LF,C16_M_75over_N_lab_forc,C16_M_75ov_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_T_T_labo_for,C16_M_Tot_Notin_LF,C16_M_Tot_LF_NS,C16_M_T_T,C06_F_15_19_Em_FT,C06_F_15_19_Em_PT,C06_F_15_19_Em_AFW,C06_F_15_19_Em_Hrs_NS,C06_F_15_19_Em_Tot,C06_F_15_19_Unem_Look_FT,C06_F_15_19_Unem_Look_PT,C06_F_15_19_Unem_Tot,C06_F_15_19_Tot_LF,C06_F_15_19_Notin_LF,C06_F_15_19_LF_NS,C06_F_15_19_Tot,C06_F_20_24_Em_FT,C06_F_20_24_Em_PT,C06_F_20_24_Em_AFW,C06_F_20_24_Em_Hrs_NS,C06_F_20_24_Em_Tot,C06_F_20_24_Unem_Look_FT,C06_F_20_24_Unem_Look_PT,C06_F_20_24_Unem_Tot,C06_F_20_24_Tot_LF,C06_F_20_24_Notin_LF,C06_F_20_24_LF_NS,C06_F_20_24_Tot,C06_F_25_29_Em_FT,C06_F_25_29_Em_PT,C06_F_25_29_Em_AFW,C06_F_25_29_Em_Hrs_NS,C06_F_25_29_Em_Tot,C06_F_25_29_Unem_Look_FT,C06_F_25_29_Unem_Look_PT,C06_F_25_29_Unem_Tot,C06_F_25_29_Tot_LF,C06_F_25_29_Notin_LF,C06_F_25_29_LF_NS,C06_F_25_29_Tot,C06_F_30_34_Em_FT,C06_F_30_34_Em_PT,C06_F_30_34_Em_AFW,C06_F_30_34_Em_Hrs_NS,C06_F_30_34_Em_Tot,C06_F_30_34_Unem_Look_FT,C06_F_30_34_Unem_Look_PT,C06_F_30_34_Unem_Tot,C06_F_30_34_Tot_LF,C06_F_30_34_Notin_LF,C06_F_30_34_LF_NS,C06_F_30_34_Tot,C06_F_35_39_Em_FT,C06_F_35_39_Em_PT,C06_F_35_39_Em_AFW,C06_F_35_39_Em_Hrs_NS,C06_F_35_39_Em_Tot,C06_F_35_39_Unem_Look_FT,C06_F_35_39_Unem_Look_PT,C06_F_35_39_Unem_Tot,C06_F_35_39_Tot_LF,C06_F_35_39_Notin_LF,C06_F_35_39_LF_NS,C06_F_35_39_Tot,C06_F_40_44_Em_FT,C06_F_40_44_Em_PT,C06_F_40_44_Em_AFW,C06_F_40_44_Em_Hrs_NS,C06_F_40_44_Em_Tot,C06_F_40_44_Unem_Look_FT,C06_F_40_44_Unem_Look_PT,C06_F_40_44_Unem_Tot,C06_F_40_44_Tot_LF,C06_F_40_44_Notin_LF,C06_F_40_44_LF_NS,C06_F_40_44_Tot,C06_F_45_49_Em_FT,C06_F_45_49_Em_PT,C06_F_45_49_Em_AFW,C06_F_45_49_Em_Hrs_NS,C06_F_45_49_Em_Tot,C06_F_45_49_Unem_Look_FT,C06_F_45_49_Unem_Look_PT,C06_F_45_49_Unem_Tot,C06_F_45_49_Tot_LF,C06_F_45_49_Notin_LF,C06_F_45_49_LF_NS,C06_F_45_49_Tot,C06_F_50_54_Em_FT,C06_F_50_54_Em_PT,C06_F_50_54_Em_AFW,C06_F_50_54_Em_Hrs_NS,C06_F_50_54_Em_Tot,C06_F_50_54_Unem_Look_FT,C06_F_50_54_Unem_Look_PT,C06_F_50_54_Unem_Tot,C06_F_50_54_Tot_LF,C06_F_50_54_Notin_LF,C06_F_50_54_LF_NS,C06_F_50_54_Tot
1,199182,7092,1648,8741,207920,23901,15080,246903,157457,24070,3665,3622,188813,7104,1678,8780,197592,27125,14877,239599,148509,26009,4228,3327,182079,6831,1845,8680,190757,33326,14774,238859,124896,27679,4960,2657,160194,6250,2390,8644,168839,45557,14377,228777,74782,29150,4083,1932,109953,4782,2791,7576,117523,73684,13078,204285,29864,21325,2235,1095,54518,723,1083,1809,56331,119423,12611,188363,8978,11031,869,586,21463,178,417,593,22057,109491,10557,142102,4499,6731,630,815,12676,136,211,352,13028,196578,23054,232662,1329576,367907,42788,38774,1779049,77135,42165,119299,1898353,877226,198479,2974063,18473,60694,3992,4432,87590,6074,8383,14452,102039,101644,10603,214291,77123,53328,4497,4669,139617,6849,5727,12574,152188,47372,14118,213675,94579,38003,6498,3049,142132,4824,3755,8582,150713,48397,14623,213738,83081,56833,9161,2865,151937,4004,4349,8357,160290,63667,14746,238705,74156,71135,7073,3178,155541,4054,5125,9174,164721,65253,13641,243615,81511,76645,5071,3650,166875,4461,4947,9407,176278,56197,12761,245236,90876,70954,5215,3598,170636,4212,3838,8050,178686,50833,11773,241289,79197,57186,5312,2982,144687,3217,2686,5903,150591,56139,10699,217424
2,159127,5959,1279,7234,166358,18246,11450,196059,130219,19507,3128,2804,155659,5954,1215,7163,162822,20630,11322,194774,117897,19402,3543,2565,143399,5632,1293,6927,150323,23195,11081,184595,98189,21081,3996,2099,125370,4993,1543,6541,131913,30919,10340,173172,60202,23280,3730,1537,88752,3792,1885,5676,94427,50295,9679,154397,22841,17536,2024,831,43230,566,803,1377,44602,86023,9459,140089,6648,8707,804,505,16662,111,341,449,17107,79937,7691,104739,3370,5232,535,656,9789,70,130,198,9986,149868,17155,177018,1067762,306086,35849,30424,1440118,64163,36914,101072,1541194,662276,150037,2353499,10092,52234,2612,3438,68375,3507,7172,10679,79051,77262,7291,163607,58037,47353,3480,3685,112554,5407,4829,10232,122785,35579,9221,167582,77281,29309,4728,2263,113587,3786,2648,6435,120016,33856,8740,162607,63632,43893,7195,2173,116893,3086,3070,6155,123043,49363,9073,181478,55006,60462,6066,2539,124075,2939,3625,6561,130639,53642,9161,193440,59468,63829,4254,2776,130330,2948,3481,6428,136761,42532,8317,187615,66419,58812,4227,2957,132412,2851,2644,5493,137905,36295,7681,181878,58917,46972,4660,2354,112892,2316,1836,4145,117045,40124,7187,164353
3,125018,5785,1117,6903,131923,14598,11188,157705,102794,15170,2964,2152,123080,5706,952,6658,129735,16234,11552,157520,93665,15116,3228,1758,113767,5800,986,6791,120555,19377,11083,151016,77399,16060,3608,1489,98558,5417,1332,6751,105304,27013,10406,142727,48369,16446,2894,1107,68818,4168,1602,5765,74582,43801,9180,127555,18288,12139,1403,634,32471,605,781,1386,33856,76987,8828,119667,5415,5991,523,334,12270,148,292,441,12704,69184,7037,88925,2600,3315,286,486,6688,103,137,242,6926,109728,13818,130474,831801,225498,30777,21908,1109975,65989,28202,94194,1204176,510549,138646,1853368,16352,48273,2269,3167,70059,3497,5061,8563,78619,46629,6876,132125,52187,34607,2765,2431,91993,3938,3030,6972,98961,26430,8272,133663,52593,25876,3756,1564,83789,2467,2200,4665,88459,29306,7271,125033,46736,36734,5055,1706,90227,2180,2551,4729,94951,37843,7361,140158,45768,45913,4082,1988,97745,2221,2858,5082,102827,37087,7421,147331,52067,47892,3254,2172,105376,2263,2545,4812,110193,30248,7388,147822,56316,43138,3197,2206,104859,2111,1836,3940,108801,27876,6889,143561,47985,35092,3601,1681,88359,1659,1423,3075,91434,32064,6373,129869
4,41702,2219,408,2634,44337,6012,2715,53067,35537,6081,1127,684,43423,2206,406,2617,46037,7096,3050,56188,33501,6448,1307,577,41842,2114,484,2602,44437,8467,3027,55936,29269,6785,1417,482,37945,2014,512,2523,40475,11210,2982,54667,18705,6964,1204,369,27239,1303,649,1953,29186,17592,2724,49499,6666,5279,636,212,12787,142,222,360,13155,30788,2705,46649,1824,2625,234,132,4815,32,61,96,4909,27609,2145,34666,935,1524,171,194,2829,33,48,78,2903,51049,4823,58780,280612,88403,11721,6783,387522,23548,10612,34158,421680,216360,37533,675578,4082,16543,848,1026,22504,1288,2062,3351,25852,21017,1892,48760,17134,14471,1207,951,33757,1499,1174,2672,36426,10704,2041,49171,18380,9777,1507,556,30217,956,756,1707,31929,10300,1745,43973,14805,14138,2000,608,31555,770,847,1617,33172,13670,1921,48758,14729,19094,1666,692,36190,806,1039,1839,38028,14192,2091,54312,17805,20723,1414,773,40718,853,916,1775,42489,11842,2001,56338,21267,18952,1613,815,42645,732,704,1435,44082,11004,1985,57070,19402,15753,1597,656,37413,545,479,1028,38437,12758,1806,53005
5,68380,3820,548,4372,72755,6860,6603,86213,57108,7767,2247,1145,68268,3876,486,4359,72634,7387,6563,86580,51794,7825,2343,973,62930,3716,484,4202,67136,8199,6217,81546,42223,8252,2372,782,53633,3321,629,3949,57582,10977,5560,74118,26413,9327,2051,559,38344,2548,852,3402,41738,18309,4787,64835,10060,7408,968,297,18730,422,477,904,19639,34132,4132,57906,2644,3723,368,177,6922,97,185,287,7208,30494,3152,40855,1180,2180,215,185,3759,45,75,118,3883,52824,7000,63706,464714,121151,22092,11643,619602,39202,14855,54061,673657,242787,77242,993685,9266,23504,1176,1704,35652,1346,2127,3475,39124,24943,4043,68109,25733,17189,1665,1374,45963,1325,1254,2580,48539,13499,4252,66289,26365,12132,1854,873,41225,920,903,1826,43054,14944,4026,62025,21041,17815,2529,834,42217,746,1051,1801,44022,20893,4173,69083,19725,24354,2281,938,47295,836,1192,2033,49331,20898,4446,74668,23514,26067,1996,1118,52699,783,1158,1938,54636,16295,4323,75249,26841,23905,2222,1134,54104,754,872,1627,55732,14140,3906,73777,24043,19901,2326,919,47200,543,598,1140,48339,15650,3537,67527
6,11585,572,117,683,12266,1913,902,15077,10088,1956,383,216,12636,564,146,710,13347,2246,1054,16644,9860,2143,455,204,12662,550,146,697,13357,2821,1075,17250,8859,2436,523,194,12010,534,164,699,12705,4240,1129,18075,5331,2562,469,125,8488,424,222,642,9131,6734,1131,16993,1804,1747,214,82,3847,33,71,105,3948,11094,1141,16175,509,810,78,50,1444,15,22,40,1481,9446,966,11894,271,520,48,71,906,12,16,28,936,15466,1624,18024,78377,26054,3921,2138,110489,6539,2952,9493,119978,70118,13159,203256,1600,4843,290,325,7059,540,732,1271,8332,7023,607,15962,4758,3864,435,227,9277,582,373,949,10229,3615,614,14457,4538,3012,446,167,8155,360,260,619,8779,3720,505,13004,3811,4547,666,171,9202,284,327,610,9809,4560,611,14982,4215,6150,545,196,11101,311,330,642,11751,4540,654,16942,5278,6537,486,256,12557,353,330,686,13243,3710,639,17586,6613,6133,533,275,13552,352,269,623,14172,3746,625,18545,5675,5134,540,219,11569,271,203,470,12038,4544,609,17192
7,5880,305,67,371,6257,1224,1098,8577,4888,573,217,117,5791,295,72,374,6162,1185,1191,8538,4347,561,218,128,5249,260,50,310,5561,1095,1048,7697,3565,545,227,92,4426,168,46,217,4644,1057,897,6602,2383,508,171,64,3126,142,57,203,3323,1412,774,5505,959,374,65,31,1432,32,17,53,1484,1983,533,3999,252,152,26,18,450,8,7,21,471,1531,317,2311,102,78,17,7,200,3,0,7,204,1761,315,2279,43576,7913,2158,1470,55115,3294,947,4245,59357,21067,12677,93101,819,1553,95,152,2613,173,162,332,2951,3045,832,6827,2761,1143,141,156,4207,180,103,283,4485,2006,867,7355,3109,1207,242,138,4699,159,97,253,4948,2095,893,7938,2977,1507,312,124,4917,165,93,258,5176,2189,872,8235,2913,1715,296,132,5058,128,81,207,5266,1928,826,8016,3065,1481,227,129,4904,113,69,186,5087,1356,766,7209,3232,1305,215,133,4878,63,52,111,4992,1152,697,6834,2824,935,223,93,4077,54,40,98,4171,1257,593,6028
8,11903,292,78,370,12273,877,774,13924,9694,1154,246,140,11231,216,60,277,11507,938,721,13162,8298,1073,328,112,9810,244,62,311,10120,1096,630,11841,6263,1179,287,80,7808,221,94,320,8127,2116,557,10794,3431,1253,207,56,4940,150,106,258,5197,3428,489,9109,1366,1019,138,38,2560,36,72,109,2670,5070,471,8212,320,484,43,21,867,18,24,45,908,4448,375,5737,123,267,23,22,436,8,16,24,457,7406,900,8763,79627,20435,2989,1674,104720,2953,2442,5394,110115,37909,9200,157220,1252,4321,225,227,6029,152,525,673,6697,4269,405,11376,5609,4124,314,210,10254,222,288,507,10762,2025,653,13447,7083,2226,590,143,10039,146,115,265,10300,1846,601,12746,5711,2913,854,156,9639,119,139,253,9893,2329,517,12735,5134,3671,694,144,9639,96,134,229,9869,2271,447,12591,5780,3625,428,169,10006,105,126,233,10237,1733,463,12438,6522,3201,418,174,10314,105,103,205,10520,1518,434,12478,5902,2592,444,152,9089,83,58,140,9228,1783,413,11423
9,112,0,3,5,121,36,12,169,103,14,4,4,124,0,0,0,126,27,18,170,113,30,0,3,156,3,0,3,154,28,21,207,97,22,6,0,134,3,4,5,137,32,17,195,92,18,7,0,115,0,0,3,121,25,25,166,64,24,3,0,98,0,0,0,98,46,23,173,20,5,0,0,27,0,0,0,27,58,9,92,13,10,0,3,21,0,0,0,21,81,18,116,885,206,55,37,1188,18,10,28,1215,594,228,2037,3,9,0,3,13,4,6,8,17,37,3,56,32,8,6,0,40,3,0,3,44,21,0,67,32,10,0,0,43,4,0,5,49,13,0,62,21,15,0,0,41,3,0,3,47,25,3,71,36,22,3,8,62,0,4,3,65,37,3,106,27,29,0,3,59,0,0,5,62,27,8,94,26,23,3,0,58,0,0,0,61,32,0,90,29,11,0,3,35,3,3,5,47,43,4,86
